t,v,vw,o,c,h,l,n
2023-07-20 08:00:00,1058.0,18.9981,18.99,19.0,19.0,18.99,19
2023-07-20 08:01:00,1300.0,19.0228,18.94,19.05,19.1,18.94,10
2023-07-20 08:02:00,1500.0,19.041,19.1,19.01,19.11,19.0,6
2023-07-20 08:03:00,800.0,19.0,19.0,19.0,19.0,19.0,1
2023-07-20 08:05:00,320.0,18.96,18.96,18.96,18.96,18.96,3
2023-07-20 08:07:00,511.0,18.96,18.96,18.96,18.96,18.96,3
2023-07-20 08:11:00,501.0,19.0499,19.05,19.05,19.05,19.05,2
2023-07-20 08:12:00,2250.0,19.0122,19.03,19.01,19.03,19.01,4
2023-07-20 08:14:00,2161.0,19.0171,19.05,19.01,19.05,19.01,11
2023-07-20 08:15:00,151.0,19.01,19.01,19.01,19.01,19.01,1
2023-07-20 08:19:00,4122.0,19.0106,19.01,19.01,19.01,19.01,11
2023-07-20 08:23:00,1745.0,19.0011,19.01,19.0,19.01,19.0,5
2023-07-20 08:25:00,500.0,18.9958,18.99,19.0,19.0,18.99,3
2023-07-20 08:29:00,727.0,18.9986,18.99,19.0,19.0,18.99,5
2023-07-20 08:33:00,2000.0,18.9989,18.99,19.0,19.0,18.99,5
2023-07-20 08:34:00,100.0,18.99,18.99,18.99,18.99,18.99,1
2023-07-20 08:37:00,298.0,18.99,18.99,18.99,18.99,18.99,2
2023-07-20 08:42:00,100.0,18.98,18.98,18.98,18.98,18.98,1
2023-07-20 08:43:00,1500.0,18.9983,18.99,19.0,19.0,18.99,9
2023-07-20 08:44:00,1299.0,18.9904,18.99,19.0,19.0,18.99,8
2023-07-20 08:48:00,301.0,18.9966,18.99,19.0,19.0,18.99,5
2023-07-20 08:49:00,700.0,18.9993,19.0,19.0,19.0,19.0,5
2023-07-20 08:51:00,2100.0,18.96,18.96,18.96,18.96,18.96,3
2023-07-20 08:54:00,190.0,18.9947,18.99,18.99,18.99,18.99,5
2023-07-20 08:59:00,336.0,18.9368,18.95,18.95,18.95,18.95,5
2023-07-20 09:04:00,5160.0,18.9104,18.95,18.9,18.95,18.89,15
2023-07-20 09:09:00,140.0,18.9,18.9,18.9,18.9,18.9,4
2023-07-20 09:34:00,200.0,18.91,18.91,18.91,18.91,18.91,2
2023-07-20 09:41:00,459.0,18.95,18.95,18.95,18.95,18.95,1
2023-07-20 09:46:00,231.0,18.97,18.97,18.97,18.97,18.97,2
2023-07-20 09:47:00,1600.0,18.9911,18.97,19.0,19.0,18.97,8
2023-07-20 09:49:00,1000.0,19.0,19.0,19.0,19.0,19.0,7
2023-07-20 09:50:00,183.0,18.9864,18.99,18.99,18.99,18.99,5
2023-07-20 09:54:00,100.0,19.0,19.0,19.0,19.0,19.0,1
2023-07-20 10:01:00,164.0,19.0,19.0,19.0,19.0,19.0,1
2023-07-20 10:08:00,1600.0,18.9111,18.92,18.91,18.92,18.91,6
2023-07-20 10:11:00,230.0,18.9087,18.91,18.91,18.91,18.91,3
2023-07-20 10:29:00,643.0,18.9718,18.97,18.95,18.98,18.95,9
2023-07-20 10:33:00,300.0,18.9793,18.98,18.98,18.98,18.98,5
2023-07-20 10:34:00,100.0,18.98,18.98,18.98,18.98,18.98,1
2023-07-20 10:42:00,529.0,18.9301,18.93,18.93,18.93,18.93,3
2023-07-20 10:50:00,300.0,18.9733,18.97,18.98,18.98,18.97,3
