t,v,vw,o,c,h,l,n
2023-10-02 08:00:00,107,15.1799,15.18,15.18,15.18,15.18,3
2023-10-02 09:43:00,100,15.44,15.44,15.44,15.44,15.44,1
2023-10-02 10:02:00,210,15.2512,15.33,15.33,15.33,15.33,4
2023-10-02 11:00:00,314,15.198,15.2,15.2,15.2,15.2,8
2023-10-02 12:04:00,100,15.18,15.18,15.18,15.18,15.18,1
2023-10-02 12:10:00,100,15.18,15.18,15.18,15.18,15.18,1
2023-10-02 12:24:00,2754,15.1785,15.16,15.18,15.18,15.16,4
2023-10-02 13:30:00,31584,15.1205,15.13,15.075,15.15,15.06,146
2023-10-02 13:31:00,4497,15.0871,15.08,15.09,15.1,15.08,49
2023-10-02 13:32:00,6758,15.0737,15.09,15.08,15.094,15.06,48
2023-10-02 13:33:00,8821,15.0628,15.075,15.02,15.078,15.02,70
2023-10-02 13:34:00,5740,15.0334,15.02,15.055,15.06,15.0188,40
2023-10-02 13:35:00,5580,15.088,15.06,15.105,15.11,15.06,50
2023-10-02 13:36:00,5451,15.0896,15.08,15.0909,15.105,15.075,39
2023-10-02 13:37:00,12134,15.0927,15.095,15.08,15.12,15.07,105
2023-10-02 13:38:00,4832,15.0519,15.06,15.04,15.06,15.04,49
2023-10-02 13:39:00,7543,15.0246,15.04,15.005,15.055,15.005,76
2023-10-02 13:40:00,10673,15.0218,15.01,15.015,15.04,15.005,97
2023-10-02 13:41:00,8441,14.996,15.0101,14.985,15.02,14.975,89
2023-10-02 13:42:00,4511,14.9729,14.98,14.965,14.985,14.96,55
2023-10-02 13:43:00,12730,14.9769,14.965,14.99,14.995,14.965,93
2023-10-02 13:44:00,15304,14.9891,14.9912,14.99,14.995,14.98,166
2023-10-02 13:45:00,11418,14.9785,14.99,14.965,15.0,14.96,122
2023-10-02 13:46:00,30868,14.947,14.97,14.92,14.985,14.92,125
2023-10-02 13:47:00,5909,14.9288,14.91,14.93,14.94,14.91,43
2023-10-02 13:48:00,1999,14.9381,14.925,14.94,14.945,14.925,35
2023-10-02 13:49:00,2133,14.9449,14.94,14.95,14.95,14.94,42
2023-10-02 13:50:00,13227,14.9452,14.95,14.925,14.955,14.92,100
2023-10-02 13:51:00,10894,14.9453,14.93,14.9501,14.96,14.93,91
2023-10-02 13:52:00,16338,14.9351,14.95,14.935,14.95,14.93,92
2023-10-02 13:53:00,27803,14.924,14.935,14.92,14.94,14.92,72
2023-10-02 13:54:00,3224,14.9177,14.915,14.91,14.9289,14.91,56
2023-10-02 13:55:00,11877,14.9172,14.905,14.94,14.94,14.9,113
2023-10-02 13:56:00,1470,14.942,14.94,14.945,14.945,14.94,22
2023-10-02 13:57:00,7500,14.9432,14.945,14.945,14.95,14.94,68
2023-10-02 13:58:00,1130,14.942,14.945,14.9409,14.945,14.9409,19
2023-10-02 13:59:00,1515,14.9453,14.945,14.945,14.9453,14.9448,14
2023-10-02 14:00:00,10901,14.9446,14.94,14.955,14.97,14.92,133
