t,v,vw,o,c,h,l,n
2023-10-16 12:13:00,103,91.015,91.01,91.01,91.01,91.01,2
2023-10-16 12:14:00,300,91.01,91.01,91.01,91.01,91.01,1
2023-10-16 12:28:00,100,91.014,91.014,91.014,91.014,91.014,1
2023-10-16 12:32:00,100,91.02,91.02,91.02,91.02,91.02,1
2023-10-16 12:35:00,100,91.3,91.3,91.3,91.3,91.3,1
2023-10-16 13:05:00,132,91.3008,91.3,91.3,91.3,91.3,6
2023-10-16 13:19:00,150,90.9381,90.9381,90.9381,90.9381,90.9381,1
2023-10-16 13:28:00,200,90.91,90.91,90.91,90.91,90.91,2
2023-10-16 13:30:00,3585,91.0783,91.1,91.02,91.1,91.01,38
2023-10-16 13:31:00,8705,91.015,91.05,90.98,91.075,90.91,60
2023-10-16 13:32:00,105738,90.919,90.94,91.33,91.42,90.87,479
2023-10-16 13:33:00,9334,91.3681,91.31,91.34,91.43,91.271,180
2023-10-16 13:34:00,7024,91.3016,91.33,91.33,91.4,91.17,89
2023-10-16 13:35:00,16966,91.3422,91.25,91.3313,91.4,91.25,282
2023-10-16 13:36:00,7859,91.4093,91.38,91.45,91.47,91.35,158
2023-10-16 13:37:00,17305,91.4151,91.46,91.325,91.47,91.29,242
2023-10-16 13:38:00,15071,91.4009,91.35,91.49,91.49,91.293,166
2023-10-16 13:39:00,7137,91.4796,91.51,91.435,91.52,91.41,141
2023-10-16 13:40:00,28356,91.4896,91.435,91.47,91.54,91.435,372
2023-10-16 13:41:00,14887,91.4234,91.51,91.43,91.52,91.3,274
2023-10-16 13:42:00,24825,91.3961,91.42,91.385,91.46,91.36,341
2023-10-16 13:43:00,4384,91.4384,91.4,91.53,91.53,91.395,105
2023-10-16 13:44:00,9222,91.623,91.5,91.69,91.706,91.495,172
2023-10-16 13:45:00,10041,91.7468,91.69,91.771,91.8075,91.69,244
2023-10-16 13:46:00,15161,91.9387,91.78,91.94,92.01,91.78,217
2023-10-16 13:47:00,9557,91.8303,91.94,91.86,91.94,91.74,210
2023-10-16 13:48:00,7858,91.888,91.87,91.96,91.96,91.84,143
2023-10-16 13:49:00,23622,91.8824,91.96,91.74,92.0,91.72,336
2023-10-16 13:50:00,16727,91.8154,91.69,91.84,91.91,91.69,273
2023-10-16 13:51:00,21690,91.8128,91.765,91.85,91.86,91.755,297
2023-10-16 13:52:00,7779,91.9172,91.88,91.99,91.99,91.88,139
2023-10-16 13:53:00,7328,92.0678,91.98,92.175,92.19,91.975,139
2023-10-16 13:54:00,6670,92.1221,92.16,92.095,92.18,92.074,163
2023-10-16 13:55:00,8505,92.0291,92.09,92.0,92.09,91.99,155
2023-10-16 13:56:00,11767,91.9362,91.98,91.86,92.05,91.85,229
2023-10-16 13:57:00,13845,91.8825,91.865,91.91,91.93,91.84,229
2023-10-16 13:58:00,9822,91.9782,91.93,92.02,92.05,91.93,176
2023-10-16 13:59:00,16124,92.0468,92.0,92.08,92.11,91.98,263
2023-10-16 14:00:00,17944,92.0718,92.1,92.0627,92.14,92.02,288
2023-10-16 14:01:00,11019,92.2134,92.07,92.31,92.325,92.07,251
2023-10-16 14:02:00,11912,92.2691,92.265,92.26,92.34,92.22,226
2023-10-16 14:03:00,13041,92.2233,92.245,92.22,92.26,92.19,217
2023-10-16 14:04:00,27041,92.1559,92.205,92.14,92.21,92.08,407
2023-10-16 14:05:00,12790,92.0754,92.145,92.0,92.145,92.0,207
2023-10-16 14:06:00,18453,92.0283,92.0,92.06,92.08,91.9901,234
2023-10-16 14:07:00,38854,92.0103,92.04,91.89,92.06,91.89,353
2023-10-16 14:08:00,14259,91.948,91.901,92.0,92.005,91.895,237
2023-10-16 14:09:00,20775,91.9235,92.005,91.88,92.02,91.84,319
2023-10-16 14:10:00,13819,91.8147,91.865,91.73,91.89,91.73,202
2023-10-16 14:11:00,21668,91.6549,91.72,91.665,91.735,91.58,314
2023-10-16 14:12:00,13044,91.6687,91.66,91.64,91.7,91.62,222
2023-10-16 14:13:00,13252,91.6611,91.66,91.73,91.73,91.6,201
2023-10-16 14:14:00,9742,91.7383,91.725,91.75,91.76,91.705,173
2023-10-16 14:15:00,8766,91.7591,91.76,91.745,91.795,91.72,117
2023-10-16 14:16:00,13325,91.6828,91.73,91.67,91.73,91.65,218
2023-10-16 14:17:00,6673,91.7067,91.665,91.7,91.78,91.665,123
2023-10-16 14:18:00,6517,91.7907,91.725,91.81,91.83,91.72,106
2023-10-16 14:19:00,6863,91.7582,91.805,91.711,91.81,91.711,138
2023-10-16 14:20:00,12832,91.7165,91.72,91.71,91.75,91.69,228
2023-10-16 14:21:00,10098,91.6697,91.715,91.675,91.715,91.62,183
2023-10-16 14:22:00,10259,91.6725,91.68,91.69,91.7,91.63,198
2023-10-16 14:23:00,5109,91.6657,91.68,91.66,91.7,91.64,94
2023-10-16 14:24:00,9312,91.698,91.66,91.78,91.78,91.65,197
2023-10-16 14:25:00,11662,91.8876,91.79,91.945,91.955,91.79,199
2023-10-16 14:26:00,15588,91.943,91.955,91.935,91.97,91.92,286
2023-10-16 14:27:00,18438,91.976,91.93,92.0201,92.04,91.9,296
2023-10-16 14:28:00,12654,92.0208,92.04,92.01,92.05,91.99,240
2023-10-16 14:29:00,17655,92.0128,92.01,92.0,92.05,92.0,173
2023-10-16 14:30:00,54929,92.0122,92.0,92.1,92.12,92.0,266
2023-10-16 14:31:00,9700,92.0451,92.08,92.03,92.0932,92.0,207
2023-10-16 14:32:00,20211,92.0569,92.04,92.12,92.12,92.02,333
2023-10-16 14:33:00,8726,92.1326,92.12,92.1,92.16,92.1,149
2023-10-16 14:34:00,33241,91.9776,92.08,91.955,92.08,91.925,439
2023-10-16 14:35:00,28702,91.9846,91.95,92.04,92.04,91.91,341
2023-10-16 14:36:00,9848,92.043,92.07,92.01,92.0711,92.01,171
2023-10-16 14:37:00,7544,91.9954,92.02,91.96,92.03,91.96,107
2023-10-16 14:38:00,7129,91.9554,91.95,91.95,91.965,91.94,106
2023-10-16 14:39:00,8081,91.9394,91.95,91.92,91.9608,91.92,173
2023-10-16 14:40:00,12195,91.9206,91.94,91.93,91.94,91.9,210
2023-10-16 14:41:00,6315,91.9179,91.93,91.89,91.94,91.89,143
2023-10-16 14:42:00,11102,91.8538,91.9,91.86,91.9,91.83,151
2023-10-16 14:43:00,7775,91.7988,91.83,91.78,91.83,91.75,149
2023-10-16 14:44:00,6818,91.7819,91.79,91.79,91.8,91.77,114
2023-10-16 14:45:00,7151,91.8217,91.79,91.825,91.85,91.79,158
2023-10-16 14:46:00,8160,91.806,91.83,91.77,91.84,91.77,159
2023-10-16 14:47:00,12954,91.8181,91.77,91.8482,91.87,91.77,205
2023-10-16 14:48:00,6844,91.8524,91.855,91.89,91.89,91.83,114
2023-10-16 14:49:00,10191,91.9478,91.89,91.98,92.0,91.89,186
2023-10-16 14:50:00,9479,92.03,91.98,92.07,92.08,91.98,196
2023-10-16 14:51:00,12493,92.0885,92.08,92.09,92.13,92.06,230
2023-10-16 14:52:00,11570,92.1155,92.1,92.14,92.15,92.09,183
2023-10-16 14:53:00,9101,92.1216,92.13,92.15,92.17,92.12,189
2023-10-16 14:54:00,13516,92.1429,92.15,92.162,92.17,92.11,230
2023-10-16 14:55:00,16160,92.1136,92.16,92.11,92.16,92.07,246
2023-10-16 14:56:00,17649,92.1606,92.1075,92.165,92.195,92.1,299
2023-10-16 14:57:00,14874,92.1605,92.16,92.14,92.19,92.13,246
2023-10-16 14:58:00,18303,92.1472,92.13,92.16,92.179,92.1101,199
2023-10-16 14:59:00,17122,92.1582,92.1479,92.16,92.19,92.13,270
2023-10-16 15:00:00,9184,92.2089,92.169,92.215,92.2413,92.169,158
2023-10-16 15:01:00,11248,92.2162,92.2267,92.2,92.23,92.2,149
2023-10-16 15:02:00,10845,92.2374,92.215,92.22,92.265,92.21,202
2023-10-16 15:03:00,7155,92.2233,92.22,92.2,92.25,92.2,135
2023-10-16 15:04:00,12281,92.1864,92.205,92.18,92.22,92.155,186
2023-10-16 15:05:00,6767,92.1621,92.17,92.16,92.18,92.1428,93
2023-10-16 15:06:00,18691,92.1547,92.16,92.17,92.18,92.125,304
2023-10-16 15:07:00,4258,92.1986,92.18,92.2,92.23,92.1701,98
2023-10-16 15:08:00,9750,92.1224,92.18,92.121,92.18,92.09,190
2023-10-16 15:09:00,6138,92.134,92.13,92.13,92.14,92.13,122
2023-10-16 15:10:00,4752,92.137,92.12,92.17,92.17,92.11,107
2023-10-16 15:11:00,9920,92.1495,92.165,92.13,92.165,92.13,142
2023-10-16 15:12:00,16125,92.1733,92.14,92.195,92.2,92.14,165
2023-10-16 15:13:00,12282,92.2431,92.2,92.26,92.27,92.2,216
2023-10-16 15:14:00,7797,92.2524,92.26,92.23,92.28,92.23,165
2023-10-16 15:15:00,8616,92.2418,92.2,92.26,92.265,92.2,139
2023-10-16 15:16:00,6532,92.2479,92.27,92.24,92.27,92.23,128
2023-10-16 15:17:00,3073,92.2195,92.2494,92.23,92.2494,92.21,78
2023-10-16 15:18:00,9573,92.2272,92.22,92.23,92.235,92.22,169
2023-10-16 15:19:00,20418,92.2511,92.24,92.235,92.28,92.21,323
