t,v,vw,o,c,h,l,n
2023-09-06 08:07:00,500,19.68,19.68,19.68,19.68,19.68,1
2023-09-06 08:08:00,230,19.68,19.68,19.68,19.68,19.68,2
2023-09-06 08:34:00,108,19.413,19.39,19.39,19.39,19.39,2
2023-09-06 08:37:00,1091,19.4073,19.46,19.38,19.46,19.38,13
2023-09-06 09:05:00,738,19.3881,19.47,19.3,19.47,19.3,10
2023-09-06 09:14:00,100,19.25,19.25,19.25,19.25,19.25,1
2023-09-06 10:32:00,530,19.5338,19.55,19.53,19.55,19.53,3
2023-09-06 11:12:00,100,19.55,19.55,19.55,19.55,19.55,1
2023-09-06 11:37:00,275,19.6218,19.6,19.64,19.64,19.6,3
2023-09-06 12:00:00,1890,19.5809,19.64,19.64,19.64,19.5225,9
2023-09-06 12:29:00,1000,19.53,19.53,19.53,19.53,19.53,1
2023-09-06 12:45:00,200,19.6376,19.6376,19.6376,19.6376,19.6376,1
2023-09-06 12:59:00,509,19.6295,19.6295,19.6295,19.6295,19.6295,1
2023-09-06 13:25:00,1683,19.6329,19.63,19.64,19.65,19.6,9
2023-09-06 13:30:00,55563,19.6335,19.61,19.79,19.8036,19.6,172
2023-09-06 13:31:00,5753,19.8049,19.77,19.775,19.84,19.76,64
2023-09-06 13:32:00,24077,19.6441,19.73,19.565,19.84,19.552,123
2023-09-06 13:33:00,4470,19.5324,19.53,19.55,19.5899,19.5,43
2023-09-06 13:34:00,2988,19.5555,19.55,19.55,19.5893,19.535,25
2023-09-06 13:35:00,6300,19.6544,19.57,19.7233,19.73,19.57,79
2023-09-06 13:36:00,6476,19.6421,19.72,19.74,19.74,19.6101,29
2023-09-06 13:37:00,828,19.7795,19.77,19.78,19.78,19.77,15
2023-09-06 13:38:00,6975,19.7825,19.82,19.77,19.825,19.7598,37
2023-09-06 13:39:00,5002,19.7707,19.77,19.73,19.78,19.73,55
2023-09-06 13:40:00,481,19.733,19.73,19.74,19.74,19.73,6
2023-09-06 13:41:00,6253,19.7766,19.74,19.88,19.88,19.7,81
2023-09-06 13:42:00,35035,19.8986,19.88,19.875,19.9291,19.85,91
2023-09-06 13:43:00,3020,19.9165,19.8899,19.93,19.9593,19.8899,58
2023-09-06 13:44:00,2721,19.9031,19.9,19.92,19.9235,19.88,42
2023-09-06 13:45:00,8627,19.9406,19.9269,19.921,19.97,19.9,104
2023-09-06 13:46:00,15318,19.8948,19.92,19.85,19.99,19.85,137
2023-09-06 13:47:00,3222,19.7886,19.83,19.73,19.83,19.71,43
2023-09-06 13:48:00,5300,19.7515,19.74,19.7374,19.78,19.7374,44
2023-09-06 13:49:00,22070,19.7869,19.7357,19.77,19.82,19.7,71
2023-09-06 13:50:00,27442,19.7377,19.75,19.7,19.77,19.63,83
2023-09-06 13:51:00,3162,19.7414,19.7057,19.76,19.76,19.7057,43
2023-09-06 13:52:00,12768,19.7466,19.75,19.76,19.76,19.72,54
2023-09-06 13:53:00,5285,19.7541,19.7625,19.74,19.78,19.7254,57
2023-09-06 13:54:00,586,19.7379,19.74,19.74,19.74,19.74,21
2023-09-06 13:55:00,12733,19.7148,19.7245,19.71,19.7245,19.7,54
2023-09-06 13:56:00,7898,19.7074,19.7,19.705,19.73,19.7,74
2023-09-06 13:57:00,6721,19.7241,19.74,19.73,19.7794,19.7,78
2023-09-06 13:58:00,7138,19.6998,19.7,19.69,19.7,19.69,74
2023-09-06 13:59:00,8503,19.6821,19.68,19.695,19.72,19.67,90
2023-09-06 14:00:00,4458,19.6943,19.67,19.71,19.72,19.67,60
2023-09-06 14:01:00,7515,19.7012,19.69,19.72,19.73,19.68,86
2023-09-06 14:02:00,9950,19.697,19.71,19.71,19.71,19.67,137
2023-09-06 14:03:00,1555,19.736,19.725,19.7494,19.7494,19.725,12
2023-09-06 14:04:00,2835,19.686,19.71,19.68,19.71,19.67,50
2023-09-06 14:05:00,3061,19.6949,19.685,19.69,19.71,19.6826,40
2023-09-06 14:06:00,35658,19.6558,19.685,19.56,19.685,19.5545,277
2023-09-06 14:07:00,9479,19.635,19.56,19.69,19.6999,19.56,118
2023-09-06 14:08:00,10687,19.6871,19.685,19.73,19.73,19.67,70
2023-09-06 14:09:00,663,19.7033,19.7,19.7,19.7,19.7,16
2023-09-06 14:10:00,3077,19.7082,19.71,19.73,19.73,19.69,54
2023-09-06 14:11:00,2910,19.7269,19.727,19.7238,19.73,19.72,35
2023-09-06 14:12:00,1062,19.7236,19.7106,19.725,19.74,19.7106,16
2023-09-06 14:13:00,3294,19.6869,19.73,19.675,19.73,19.675,72
2023-09-06 14:14:00,2829,19.6865,19.675,19.69,19.71,19.6543,39
2023-09-06 14:15:00,3946,19.7161,19.71,19.71,19.73,19.71,81
2023-09-06 14:16:00,851,19.7252,19.72,19.74,19.74,19.715,32
2023-09-06 14:17:00,2616,19.7125,19.73,19.69,19.73,19.69,45
2023-09-06 14:18:00,1899,19.6865,19.69,19.6939,19.6939,19.68,39
2023-09-06 14:19:00,1804,19.684,19.6601,19.7,19.7,19.6601,24
2023-09-06 14:20:00,14152,19.6454,19.71,19.56,19.71,19.56,96
2023-09-06 14:21:00,22536,19.4593,19.52,19.425,19.53,19.4,219
2023-09-06 14:22:00,13910,19.3921,19.415,19.39,19.42,19.35,114
2023-09-06 14:23:00,4134,19.392,19.39,19.38,19.4,19.38,18
2023-09-06 14:24:00,4154,19.3957,19.4,19.39,19.41,19.38,75
2023-09-06 14:25:00,2522,19.3862,19.37,19.39,19.39,19.37,51
2023-09-06 14:26:00,11528,19.416,19.4,19.42,19.435,19.4,166
2023-09-06 14:27:00,7072,19.4768,19.42,19.51,19.51,19.4187,116
2023-09-06 14:28:00,8749,19.5075,19.505,19.505,19.52,19.49,109
2023-09-06 14:29:00,5113,19.4784,19.505,19.47,19.5071,19.44,77
2023-09-06 14:30:00,4723,19.3758,19.445,19.36,19.445,19.35,104
2023-09-06 14:31:00,3153,19.3823,19.36,19.43,19.43,19.3401,61
2023-09-06 14:32:00,4212,19.4835,19.46,19.4699,19.52,19.46,87
2023-09-06 14:33:00,1155,19.4303,19.445,19.42,19.445,19.42,33
2023-09-06 14:34:00,10750,19.4858,19.4101,19.51,19.51,19.4101,99
2023-09-06 14:35:00,6649,19.5518,19.51,19.585,19.6,19.51,98
2023-09-06 14:36:00,14713,19.5053,19.57,19.5,19.57,19.5,36
2023-09-06 14:37:00,1068,19.496,19.5,19.49,19.5,19.49,33
2023-09-06 14:38:00,2550,19.5228,19.5,19.515,19.55,19.5,68
2023-09-06 14:39:00,1406,19.5409,19.515,19.545,19.56,19.515,29
2023-09-06 14:40:00,2864,19.5609,19.545,19.555,19.58,19.545,74
2023-09-06 14:41:00,3514,19.574,19.57,19.57,19.58,19.5685,72
2023-09-06 14:42:00,15766,19.6041,19.5722,19.54,19.62,19.54,172
2023-09-06 14:43:00,1508,19.5239,19.55,19.5105,19.55,19.5105,23
2023-09-06 14:44:00,7290,19.5011,19.5,19.535,19.54,19.47,151
2023-09-06 14:45:00,2083,19.5299,19.52,19.53,19.535,19.52,43
2023-09-06 14:46:00,2993,19.5562,19.5494,19.565,19.57,19.54,75
2023-09-06 14:47:00,4074,19.5677,19.5799,19.535,19.5799,19.535,35
2023-09-06 14:48:00,2339,19.5705,19.5363,19.58,19.59,19.5363,84
2023-09-06 14:49:00,3232,19.5817,19.59,19.58,19.6,19.57,58
2023-09-06 14:50:00,5458,19.5742,19.575,19.57,19.59,19.5501,92
2023-09-06 14:51:00,266,19.5746,19.575,19.575,19.575,19.575,6
2023-09-06 14:52:00,7584,19.5385,19.56,19.52,19.575,19.51,125
2023-09-06 14:53:00,4639,19.5332,19.515,19.53,19.54,19.515,52
2023-09-06 14:54:00,2484,19.5709,19.55,19.61,19.61,19.55,71
2023-09-06 14:55:00,3253,19.5951,19.61,19.575,19.61,19.575,61
2023-09-06 14:56:00,3772,19.5832,19.5899,19.59,19.59,19.57,72
2023-09-06 14:57:00,2160,19.5871,19.6,19.59,19.6,19.58,47
2023-09-06 14:58:00,3848,19.5779,19.58,19.555,19.59,19.555,62
2023-09-06 14:59:00,2077,19.5351,19.54,19.53,19.55,19.525,48
2023-09-06 15:00:00,947,19.5235,19.525,19.525,19.525,19.515,20
2023-09-06 15:01:00,1987,19.5353,19.53,19.54,19.54,19.53,17
2023-09-06 15:02:00,2396,19.5195,19.5306,19.495,19.54,19.495,49
2023-09-06 15:03:00,5117,19.4657,19.47,19.46,19.495,19.45,74
2023-09-06 15:04:00,1171,19.4673,19.46,19.47,19.47,19.46,65
2023-09-06 15:05:00,4599,19.4438,19.4723,19.46,19.48,19.41,87
2023-09-06 15:06:00,5274,19.3515,19.36,19.35,19.36,19.35,15
2023-09-06 15:07:00,8038,19.3268,19.35,19.33,19.36,19.3,124
2023-09-06 15:08:00,2977,19.3264,19.33,19.31,19.33,19.3,57
2023-09-06 15:09:00,11016,19.2208,19.25,19.17,19.2646,19.17,82
2023-09-06 15:10:00,8956,19.1502,19.15,19.17,19.18,19.11,129
2023-09-06 15:11:00,1125,19.1451,19.14,19.1484,19.1484,19.14,13
2023-09-06 15:12:00,4191,19.1835,19.135,19.2167,19.22,19.135,116
2023-09-06 15:13:00,3433,19.2514,19.23,19.1775,19.28,19.1775,72
2023-09-06 15:15:00,415,19.197,19.1872,19.1801,19.2384,19.1801,10
2023-09-06 15:16:00,2162,19.2469,19.24,19.27,19.27,19.21,56
2023-09-06 15:17:00,3162,19.2708,19.27,19.27,19.27,19.27,45
2023-09-06 15:18:00,4251,19.2413,19.255,19.215,19.255,19.215,31
2023-09-06 15:19:00,2748,19.202,19.22,19.23,19.23,19.18,67
2023-09-06 15:20:00,4847,19.2174,19.23,19.215,19.24,19.2,48
2023-09-06 15:22:00,1468,19.2289,19.2119,19.245,19.245,19.2119,23
2023-09-06 15:23:00,2377,19.2449,19.27,19.27,19.27,19.2236,22
2023-09-06 15:24:00,622,19.2694,19.2842,19.24,19.2842,19.24,10
2023-09-06 15:25:00,2162,19.2179,19.24,19.18,19.24,19.18,55
2023-09-06 15:26:00,223,19.1857,19.19,19.18,19.19,19.18,7
2023-09-06 15:27:00,1219,19.216,19.21,19.21,19.23,19.21,51
2023-09-06 15:28:00,1399,19.2554,19.25,19.25,19.27,19.25,45
2023-09-06 15:29:00,1206,19.2404,19.235,19.27,19.27,19.235,21
