t,v,vw,o,c,h,l,n
2023-09-06 13:29:00,655,323.9143,324.02,323.39,324.02,323.39,16
2023-09-06 13:30:00,42257,324.2355,324.25,324.41,324.41,323.71,169
2023-09-06 13:31:00,1823,324.0884,324.21,324.215,324.215,323.84,50
2023-09-06 13:32:00,2373,324.6066,324.58,324.77,324.77,324.3,72
2023-09-06 13:33:00,592,324.6138,324.71,324.39,324.71,324.39,55
2023-09-06 13:34:00,918,324.5126,324.32,324.665,324.665,324.32,67
2023-09-06 13:35:00,3630,324.5164,324.49,324.46,324.62,324.46,94
2023-09-06 13:36:00,1659,324.6817,324.61,324.84,324.84,324.61,83
2023-09-06 13:37:00,2107,325.0485,324.91,325.03,325.14,324.91,82
2023-09-06 13:38:00,923,325.2726,325.265,325.265,325.265,325.265,68
2023-09-06 13:39:00,1331,325.4619,325.44,325.61,325.61,325.3736,59
2023-09-06 13:40:00,1853,325.7127,325.73,325.86,325.86,325.65,92
2023-09-06 13:41:00,2115,325.8761,325.81,325.9,325.9,325.81,106
2023-09-06 13:42:00,874,326.1283,326.16,326.2175,326.2175,326.16,45
2023-09-06 13:43:00,2230,326.1913,326.28,326.25,326.29,326.08,59
2023-09-06 13:44:00,1942,326.4819,326.4,326.57,326.57,326.4,61
2023-09-06 13:46:00,1602,326.8122,326.87,326.893,326.893,326.705,47
2023-09-06 13:47:00,3983,326.5868,326.66,326.23,326.67,326.23,86
2023-09-06 13:48:00,1815,326.5384,326.45,326.8,326.8,326.45,53
2023-09-06 13:49:00,1311,326.892,326.96,326.92,326.96,326.85,48
2023-09-06 13:50:00,534,327.0669,327.0022,327.0022,327.0022,327.0022,28
2023-09-06 13:51:00,12035,327.0411,327.075,327.2,327.21,326.9,198
2023-09-06 13:52:00,1152,327.1701,327.19,327.1028,327.28,327.1028,72
2023-09-06 13:53:00,1935,327.2961,327.16,327.296,327.33,327.16,69
2023-09-06 13:54:00,756,327.3582,327.42,327.42,327.42,327.42,39
2023-09-06 13:55:00,1255,327.3023,327.28,327.26,327.3887,327.26,46
2023-09-06 13:56:00,2839,327.3234,327.26,327.39,327.39,327.26,57
2023-09-06 13:57:00,3323,327.6311,327.43,327.68,327.735,327.385,95
2023-09-06 13:58:00,684,327.6989,327.72,327.69,327.72,327.69,26
2023-09-06 13:59:00,3133,327.5821,327.69,327.52,327.69,327.5016,107
2023-09-06 14:00:00,6768,326.7432,327.5,326.745,327.5,326.39,180
2023-09-06 14:01:00,873,326.8577,326.88,326.9522,326.9522,326.88,44
2023-09-06 14:02:00,1638,326.6217,326.73,326.58,326.75,326.51,48
2023-09-06 14:03:00,3117,326.6732,326.68,326.58,326.6873,326.47,88
2023-09-06 14:04:00,788,326.5374,326.56,326.47,326.56,326.47,37
2023-09-06 14:05:00,2142,326.5958,326.56,326.65,326.67,326.545,97
2023-09-06 14:06:00,1912,326.54,326.57,326.54,326.57,326.425,61
2023-09-06 14:07:00,2739,326.8504,326.68,326.95,326.99,326.68,99
2023-09-06 14:08:00,1635,326.8308,326.92,326.73,326.92,326.73,60
2023-09-06 14:09:00,1699,326.6464,326.8425,326.61,326.8425,326.525,61
2023-09-06 14:10:00,6662,326.4028,326.45,326.16,326.5718,326.15,120
2023-09-06 14:11:00,7616,326.3444,326.31,326.47,326.55,326.25,111
2023-09-06 14:12:00,2096,326.3297,326.42,326.26,326.42,326.25,62
2023-09-06 14:13:00,9814,326.2706,326.27,326.365,326.365,326.19,59
2023-09-06 14:14:00,10477,326.3679,326.41,326.3212,326.41,326.06,77
2023-09-06 14:15:00,3144,326.1305,326.23,326.05,326.32,325.972,98
2023-09-06 14:16:00,5746,326.1716,326.1,326.405,326.405,325.99,166
2023-09-06 14:17:00,826,326.4821,326.55,326.55,326.55,326.55,40
2023-09-06 14:18:00,788,326.6015,326.645,326.645,326.645,326.645,39
2023-09-06 14:19:00,1777,326.6973,326.64,326.89,326.89,326.64,70
2023-09-06 14:20:00,4197,327.0298,327.03,326.91,327.22,326.91,80
2023-09-06 14:21:00,1007,326.8354,326.765,326.89,326.89,326.765,41
2023-09-06 14:22:00,690,326.7339,326.795,326.785,326.795,326.69,26
2023-09-06 14:23:00,1396,326.8576,326.74,326.86,326.9,326.74,61
2023-09-06 14:24:00,344,326.7904,326.805,326.79,326.805,326.79,23
2023-09-06 14:25:00,1694,326.874,326.85,326.905,326.91,326.83,53
2023-09-06 14:26:00,3816,326.7962,326.88,326.5636,326.935,326.5636,127
2023-09-06 14:27:00,1449,326.6723,326.66,326.74,326.74,326.64,53
2023-09-06 14:28:00,1076,326.6014,326.635,326.53,326.635,326.53,49
2023-09-06 14:29:00,818,326.5266,326.51,326.605,326.605,326.51,26
2023-09-06 14:30:00,1754,326.6731,326.605,326.82,326.82,326.53,77
2023-09-06 14:31:00,907,326.7734,326.82,326.7875,326.82,326.7875,36
2023-09-06 14:32:00,2283,326.6138,326.78,326.43,326.78,326.43,89
2023-09-06 14:33:00,567,326.3989,326.3,326.44,326.44,326.3,27
2023-09-06 14:34:00,848,326.4085,326.35,326.36,326.44,326.35,33
2023-09-06 14:35:00,1082,326.5423,326.585,326.58,326.615,326.58,78
2023-09-06 14:36:00,1427,326.4213,326.42,326.435,326.435,326.42,60
2023-09-06 14:37:00,1011,326.5321,326.44,326.535,326.54,326.44,52
2023-09-06 14:38:00,833,326.5861,326.64,326.555,326.64,326.555,57
