t,v,vw,o,c,h,l,n
2023-05-01 13:30:00,2512,8.8796,8.88,8.88,8.88,8.88,17
2023-05-01 13:31:00,1819,8.7734,8.74,8.81,8.81,8.74,19
2023-05-01 13:32:00,136,8.8564,8.89,8.89,8.89,8.89,5
2023-05-01 13:33:00,121,8.8042,8.79,8.79,8.79,8.79,4
2023-05-01 13:37:00,508,8.8682,8.86,8.88,8.88,8.86,9
2023-05-01 13:40:00,1585,8.9425,8.92,8.95,8.95,8.92,33
2023-05-01 13:43:00,212,8.9702,8.96,8.96,8.96,8.96,7
2023-05-01 13:45:00,202,8.9499,8.96,8.96,8.96,8.96,5
2023-05-01 13:46:00,4968,9.0037,8.98,9.08,9.08,8.98,65
2023-05-01 13:48:00,2056,9.0989,9.065,9.1399,9.14,9.065,23
2023-05-01 13:49:00,1742,9.0866,9.12,9.055,9.12,9.055,41
2023-05-01 13:51:00,120,9.0342,9.03,9.03,9.03,9.03,3
2023-05-01 13:52:00,715,9.0857,9.08,9.11,9.11,9.08,21
2023-05-01 13:53:00,182,9.1,9.1,9.1,9.1,9.1,2
2023-05-01 13:54:00,936,9.0879,9.13,9.07,9.13,9.07,24
2023-05-01 13:55:00,416,9.0412,9.04,9.03,9.04,9.03,10
2023-05-01 13:56:00,469,9.062,9.08,9.05,9.08,9.05,9
2023-05-01 13:57:00,118,9.0792,9.08,9.08,9.08,9.08,4
2023-05-01 13:58:00,100,9.06,9.06,9.06,9.06,9.06,1
2023-05-01 14:01:00,142,9.0437,9.045,9.045,9.045,9.045,7
2023-05-01 14:02:00,102,9.045,9.045,9.045,9.045,9.045,1
2023-05-01 14:03:00,5064,9.0911,9.04,9.17,9.17,9.03,78
2023-05-01 14:04:00,141,9.18,9.18,9.18,9.18,9.18,3
2023-05-01 14:05:00,1090,9.1996,9.18,9.23,9.23,9.18,16
2023-05-01 14:06:00,107,9.2487,9.25,9.25,9.25,9.25,2
2023-05-01 14:07:00,9877,9.2492,9.25,9.29,9.29,9.23,147
2023-05-01 14:08:00,2370,9.3028,9.3,9.31,9.3176,9.29,44
2023-05-01 14:09:00,1911,9.3252,9.31,9.32,9.34,9.31,28
2023-05-01 14:10:00,3388,9.2899,9.3,9.28,9.31,9.26,51
2023-05-01 14:11:00,1190,9.2941,9.27,9.31,9.31,9.27,25
2023-05-01 14:12:00,2408,9.3221,9.33,9.33,9.33,9.3004,38
2023-05-01 14:13:00,325,9.3415,9.335,9.35,9.35,9.335,8
2023-05-01 14:15:00,237,9.3453,9.345,9.345,9.345,9.345,6
2023-05-01 14:17:00,1871,9.3759,9.36,9.39,9.4,9.36,38
2023-05-01 14:18:00,2940,9.3664,9.37,9.36,9.39,9.35,58
2023-05-01 14:20:00,230,9.3697,9.38,9.36,9.38,9.36,6
2023-05-01 14:21:00,1592,9.332,9.36,9.31,9.36,9.31,33
2023-05-01 14:22:00,351,9.2915,9.2914,9.2914,9.2914,9.2914,2
2023-05-01 14:23:00,1430,9.2917,9.315,9.27,9.315,9.27,34
2023-05-01 14:24:00,456,9.2531,9.25,9.24,9.25,9.24,19
2023-05-01 14:25:00,261,9.23,9.23,9.23,9.23,9.23,11
2023-05-01 14:26:00,2175,9.259,9.24,9.28,9.28,9.24,43
2023-05-01 14:27:00,2697,9.3035,9.29,9.3,9.31,9.29,35
2023-05-01 14:28:00,430,9.2884,9.28,9.28,9.28,9.28,14
2023-05-01 14:29:00,401,9.2702,9.27,9.27,9.27,9.27,14
2023-05-01 14:30:00,105,9.2798,9.28,9.28,9.28,9.28,4
2023-05-01 14:33:00,100,9.29,9.29,9.29,9.29,9.29,1
2023-05-01 14:34:00,981,9.2924,9.29,9.29,9.3,9.29,18
2023-05-01 14:35:00,1080,9.2994,9.3,9.285,9.31,9.285,26
2023-05-01 14:36:00,523,9.2789,9.28,9.275,9.28,9.275,7
2023-05-01 14:37:00,846,9.2581,9.26,9.255,9.26,9.255,17
2023-05-01 14:38:00,319,9.27,9.26,9.28,9.28,9.26,7
2023-05-01 14:39:00,804,9.2562,9.26,9.26,9.26,9.25,11
2023-05-01 14:40:00,1301,9.2462,9.255,9.255,9.255,9.24,11
2023-05-01 14:41:00,370,9.2474,9.2446,9.255,9.255,9.2446,2
2023-05-01 14:43:00,3144,9.2718,9.27,9.28,9.28,9.265,71
2023-05-01 14:44:00,111,9.3007,9.3,9.3,9.3,9.3,6
2023-05-01 14:45:00,1809,9.2951,9.3,9.3025,9.3025,9.29,35
2023-05-01 14:46:00,436,9.2887,9.28,9.305,9.305,9.28,12
2023-05-01 14:47:00,1877,9.318,9.31,9.32,9.32,9.31,28
2023-05-01 14:48:00,1433,9.3199,9.33,9.32,9.33,9.31,27
2023-05-01 14:49:00,188,9.3223,9.32,9.32,9.32,9.32,4
2023-05-01 14:51:00,633,9.324,9.33,9.32,9.33,9.32,23
2023-05-01 14:53:00,110,9.325,9.325,9.325,9.325,9.325,2
2023-05-01 14:54:00,670,9.3116,9.31,9.32,9.32,9.31,19
2023-05-01 14:57:00,156,9.33,9.33,9.33,9.33,9.33,3
2023-05-01 14:58:00,231,9.3356,9.33,9.33,9.33,9.33,15
2023-05-01 15:00:00,103,9.34,9.34,9.34,9.34,9.34,3
2023-05-01 15:02:00,2717,9.3349,9.32,9.35,9.35,9.32,64
2023-05-01 15:04:00,1010,9.3406,9.35,9.33,9.35,9.33,21
2023-05-01 15:05:00,258,9.345,9.345,9.345,9.345,9.345,9
2023-05-01 15:06:00,1344,9.3262,9.33,9.32,9.33,9.32,39
2023-05-01 15:08:00,1152,9.3002,9.32,9.29,9.32,9.28,20
2023-05-01 15:09:00,351,9.2633,9.26,9.26,9.26,9.26,15
2023-05-01 15:12:00,915,9.2798,9.28,9.28,9.28,9.28,27
2023-05-01 15:13:00,1526,9.2682,9.28,9.26,9.28,9.26,36
2023-05-01 15:14:00,318,9.2617,9.26,9.265,9.265,9.26,9
2023-05-01 15:15:00,873,9.2701,9.27,9.27,9.27,9.27,26
2023-05-01 15:16:00,3257,9.2769,9.27,9.28,9.28,9.27,34
2023-05-01 15:17:00,1807,9.2978,9.28,9.32,9.32,9.28,48
2023-05-01 15:20:00,340,9.34,9.34,9.34,9.34,9.34,13
2023-05-01 15:21:00,2219,9.3356,9.36,9.32,9.36,9.32,50
2023-05-01 15:22:00,186,9.3027,9.305,9.305,9.305,9.305,11
2023-05-01 15:23:00,1446,9.2857,9.28,9.27,9.29,9.27,21
2023-05-01 15:25:00,467,9.2316,9.23,9.23,9.23,9.23,20
2023-05-01 15:28:00,438,9.2128,9.21,9.22,9.22,9.21,30
2023-05-01 15:29:00,883,9.2316,9.2125,9.24,9.24,9.2125,18
2023-05-01 15:33:00,2181,9.2333,9.23,9.24,9.24,9.23,47
2023-05-01 15:34:00,1265,9.2552,9.24,9.26,9.26,9.24,28
2023-05-01 15:35:00,681,9.2704,9.27,9.27,9.27,9.27,12
2023-05-01 15:36:00,1043,9.2622,9.26,9.27,9.27,9.26,19
2023-05-01 15:39:00,317,9.2811,9.2785,9.285,9.285,9.2785,9
2023-05-01 15:40:00,644,9.28,9.28,9.28,9.28,9.28,22
2023-05-01 15:41:00,566,9.2936,9.29,9.2985,9.2985,9.29,20
2023-05-01 15:42:00,108,9.2901,9.29,9.29,9.29,9.29,3
2023-05-01 15:43:00,1464,9.2713,9.28,9.28,9.28,9.26,29
2023-05-01 15:45:00,157,9.29,9.29,9.29,9.29,9.29,9
2023-05-01 15:46:00,167,9.2923,9.29,9.29,9.29,9.29,4
2023-05-01 15:47:00,481,9.2993,9.3,9.3,9.3,9.3,18
2023-05-01 15:48:00,482,9.3018,9.3,9.31,9.31,9.3,21
2023-05-01 15:49:00,948,9.3173,9.31,9.32,9.32,9.31,29
2023-05-01 15:50:00,157,9.329,9.3285,9.3285,9.3285,9.3285,3
2023-05-01 15:51:00,287,9.3246,9.32,9.3285,9.3285,9.32,9
2023-05-01 15:52:00,277,9.318,9.32,9.32,9.32,9.32,13
2023-05-01 15:54:00,2517,9.326,9.33,9.32,9.33,9.32,44
2023-05-01 15:56:00,858,9.3109,9.31,9.32,9.32,9.31,31
2023-05-01 15:58:00,435,9.3031,9.3,9.3,9.3,9.3,21
2023-05-01 15:59:00,437,9.3152,9.32,9.32,9.32,9.32,17
2023-05-01 16:04:00,1248,9.3263,9.32,9.335,9.335,9.32,22
2023-05-01 16:05:00,1834,9.3241,9.33,9.33,9.34,9.32,38
2023-05-01 16:06:00,650,9.3123,9.31,9.3185,9.3185,9.31,12
2023-05-01 16:07:00,389,9.3108,9.31,9.31,9.31,9.31,12
2023-05-01 16:08:00,2677,9.3124,9.32,9.3,9.32,9.3,48
2023-05-01 16:09:00,1077,9.2834,9.29,9.29,9.29,9.27,21
2023-05-01 16:11:00,514,9.2691,9.27,9.27,9.27,9.27,16
2023-05-01 16:12:00,202,9.2698,9.27,9.27,9.27,9.27,6
