t,v,vw,o,c,h,l,n
2024-02-29 13:30:00,823,551.391,550.0,551.65,551.65,550.0,45
2024-02-29 13:35:00,278,554.4491,554.51,554.51,554.51,554.51,12
2024-02-29 13:43:00,910,555.7485,555.75,555.75,555.75,555.75,10
2024-02-29 13:50:00,108,556.9256,556.9425,556.9425,556.9425,556.9425,4
2024-02-29 13:55:00,129,556.1867,556.22,556.22,556.22,556.22,9
2024-02-29 13:59:00,155,556.7582,556.97,556.97,556.97,556.97,8
2024-02-29 14:08:00,220,556.1211,556.1,556.1,556.1,556.1,5
2024-02-29 14:10:00,416,556.0014,556.0,556.0,556.0,556.0,7
2024-02-29 14:22:00,160,556.1456,556.25,556.25,556.25,556.25,4
2024-02-29 14:27:00,693,555.6468,555.83,555.8,555.83,555.8,38
2024-02-29 14:30:00,56403,554.63,554.89,554.33,555.725,553.23,1191
2024-02-29 14:31:00,18900,556.1867,554.31,557.46,557.9,554.31,410
2024-02-29 14:32:00,33589,557.6412,557.46,556.635,558.54,556.57,704
2024-02-29 14:33:00,17556,556.9847,555.9377,556.495,557.97,555.9377,479
2024-02-29 14:34:00,8563,557.1639,556.62,556.9725,557.89,556.62,296
2024-02-29 14:35:00,8644,557.038,556.785,556.975,557.57,556.66,295
2024-02-29 14:36:00,38984,556.1257,557.155,556.15,557.31,556.0,581
2024-02-29 14:37:00,6619,556.1827,556.14,556.32,556.48,556.0,227
2024-02-29 14:38:00,7091,556.4697,556.15,556.43,556.7,556.15,244
2024-02-29 14:39:00,25244,556.0455,556.4,556.18,556.4,556.0,472
2024-02-29 14:40:00,11753,556.5902,556.36,557.15,557.2,556.36,334
2024-02-29 14:41:00,7857,557.4876,557.215,557.82,557.82,557.075,241
2024-02-29 14:42:00,16806,557.5057,558.0,557.04,558.29,556.98,357
2024-02-29 14:43:00,10624,557.214,557.39,557.15,557.49,556.69,338
2024-02-29 14:44:00,5921,557.049,556.93,557.0,557.35,556.9,258
2024-02-29 14:45:00,8666,556.8245,556.98,556.76,557.14,556.42,403
2024-02-29 14:46:00,5288,556.1985,556.21,556.215,556.425,556.0,271
2024-02-29 14:47:00,5792,556.5273,556.47,556.65,556.75,556.315,206
2024-02-29 14:48:00,8206,556.582,556.5,556.97,556.97,556.2586,267
2024-02-29 14:49:00,6053,556.7567,556.73,556.42,557.06,556.38,211
2024-02-29 14:50:00,16118,556.235,556.08,556.48,556.51,556.0,418
2024-02-29 14:51:00,3195,556.5558,556.63,556.67,556.84,556.2967,95
2024-02-29 14:52:00,14156,556.8203,556.84,556.79,557.045,556.61,315
2024-02-29 14:53:00,8993,557.1533,556.845,557.315,557.415,556.825,299
2024-02-29 14:54:00,1543,557.2407,557.246,557.08,557.3,557.08,87
2024-02-29 14:55:00,8737,557.5583,557.295,557.565,557.83,557.29,278
2024-02-29 14:56:00,2734,557.4767,557.57,557.475,557.575,557.32,130
2024-02-29 14:57:00,3850,557.2141,557.29,557.16,557.42,556.94,142
2024-02-29 14:58:00,7699,556.6941,556.9,556.365,557.06,556.28,207
2024-02-29 14:59:00,9451,556.4564,556.37,556.525,556.66,556.01,303
2024-02-29 15:00:00,17445,556.3449,556.6,556.14,556.87,556.0,465
2024-02-29 15:01:00,3414,556.2085,556.21,556.0201,556.4,556.0201,164
2024-02-29 15:02:00,6380,556.2575,556.205,556.386,556.5,556.0,218
2024-02-29 15:03:00,1873,556.3919,556.35,556.5,556.5,556.34,117
2024-02-29 15:04:00,4952,556.5309,556.38,556.44,556.66,556.38,189
2024-02-29 15:05:00,6683,556.602,556.65,556.67,556.68,556.49,178
2024-02-29 15:06:00,4042,556.7175,556.5,556.98,556.98,556.41,172
2024-02-29 15:07:00,6822,556.9361,556.925,556.385,557.25,556.385,234
2024-02-29 15:08:00,6116,556.1802,556.28,556.47,556.47,556.0,258
2024-02-29 15:09:00,5194,556.6774,556.52,557.0244,557.0499,556.52,120
2024-02-29 15:10:00,29460,556.0366,556.63,556.01,556.63,556.0,601
2024-02-29 15:11:00,47812,556.0217,556.0,556.0,556.315,556.0,436
2024-02-29 15:12:00,16910,556.0692,556.03,556.21,556.38,556.0,195
2024-02-29 15:13:00,32884,555.8489,556.15,555.06,556.21,554.85,566
2024-02-29 15:14:00,7200,555.2086,555.1044,555.18,555.5074,554.95,206
2024-02-29 15:15:00,8011,555.508,555.14,556.235,556.235,555.1,244
2024-02-29 15:16:00,4073,556.348,556.38,556.32,556.57,556.18,113
2024-02-29 15:17:00,3830,556.4361,556.34,556.65,556.65,556.285,166
2024-02-29 15:18:00,4680,557.2243,556.84,557.67,557.67,556.825,202
2024-02-29 15:19:00,5496,557.6254,557.44,557.825,557.86,557.44,219
2024-02-29 15:20:00,8058,558.0671,557.84,558.4299,558.4299,557.83,315
2024-02-29 15:21:00,8262,558.4504,558.405,558.665,558.78,558.07,256
2024-02-29 15:22:00,17079,559.07,558.83,559.23,559.3,558.83,460
2024-02-29 15:23:00,14651,558.5998,559.23,558.23,559.28,557.97,335
2024-02-29 15:24:00,11969,557.8574,558.19,557.36,558.2,557.36,386
2024-02-29 15:25:00,3670,557.7458,557.52,558.0,558.0,557.37,147
2024-02-29 15:26:00,8839,557.8689,558.0083,557.5,558.09,557.48,301
2024-02-29 15:27:00,6761,557.6908,557.46,557.71,557.82,557.32,200
2024-02-29 15:28:00,2060,557.6751,557.61,557.63,557.94,557.501,145
2024-02-29 15:29:00,1937,557.5848,557.34,557.66,557.665,557.34,142
2024-02-29 15:30:00,8680,558.1938,557.86,558.31,558.555,557.845,358
2024-02-29 15:31:00,3050,558.3816,558.45,558.49,558.53,558.25,167
2024-02-29 15:32:00,3927,558.7091,558.7723,558.675,558.8914,558.675,195
2024-02-29 15:33:00,6037,558.9716,558.57,559.2084,559.24,558.57,192
2024-02-29 15:34:00,8570,559.5047,559.2196,559.75,559.78,559.2196,296
2024-02-29 15:35:00,3811,559.5339,559.8,559.39,559.8,559.39,172
2024-02-29 15:36:00,10100,559.8242,559.72,559.35,560.13,559.35,429
2024-02-29 15:37:00,3138,559.5311,559.42,559.73,559.73,559.21,167
2024-02-29 15:38:00,5944,559.6253,559.74,559.825,559.87,559.25,265
