t,v,vw,o,c,h,l,n
2023-12-04 10:37:00,120,75.2867,75.29,75.29,75.29,75.29,3
2023-12-04 12:48:00,195,75.0,75.0,75.0,75.0,75.0,1
2023-12-04 13:20:00,195,75.1,75.1,75.1,75.1,75.1,1
2023-12-04 13:50:00,141,74.9,74.9,74.9,74.9,74.9,1
2023-12-04 14:28:00,100,74.51,74.51,74.51,74.51,74.51,1
2023-12-04 14:29:00,700,74.304,74.34,74.26,74.34,74.26,7
2023-12-04 14:30:00,55234,74.5835,74.58,74.66,74.7,74.49,221
2023-12-04 14:31:00,11155,74.666,74.67,74.64,74.7,74.63,215
2023-12-04 14:32:00,5679,74.675,74.67,74.69,74.72,74.63,105
2023-12-04 14:33:00,14498,74.6244,74.7,74.69,74.7,74.59,233
2023-12-04 14:34:00,6664,74.6742,74.69,74.68,74.7,74.65,101
2023-12-04 14:35:00,7526,74.7246,74.69,74.7,74.75,74.69,123
2023-12-04 14:36:00,15763,74.7405,74.73,74.71,74.77,74.71,210
2023-12-04 14:37:00,8511,74.7444,74.7,74.8,74.8,74.7,132
2023-12-04 14:38:00,4637,74.787,74.8,74.77,74.82,74.77,69
2023-12-04 14:39:00,19228,74.7859,74.79,74.84,74.87,74.735,258
2023-12-04 14:40:00,5208,74.8333,74.845,74.82,74.86,74.81,99
2023-12-04 14:41:00,6205,74.8491,74.81,74.94,74.94,74.8,114
2023-12-04 14:42:00,6023,74.9626,74.95,74.95,74.98,74.94,117
2023-12-04 14:43:00,6518,74.9917,74.94,75.04,75.06,74.93,125
2023-12-04 14:44:00,2492,75.0962,75.065,75.12,75.12,75.065,57
2023-12-04 14:45:00,7580,75.1324,75.13,75.15,75.15,75.12,154
2023-12-04 14:46:00,4135,75.2373,75.15,75.31,75.31,75.15,147
2023-12-04 14:47:00,4550,75.3834,75.34,75.41,75.4219,75.34,104
2023-12-04 14:48:00,8893,75.3974,75.405,75.4,75.42,75.38,153
2023-12-04 14:49:00,2423,75.4003,75.41,75.39,75.425,75.38,86
2023-12-04 14:50:00,14253,75.3714,75.395,75.41,75.445,75.31,259
2023-12-04 14:51:00,3546,75.3455,75.4,75.31,75.4,75.31,90
2023-12-04 14:52:00,25176,75.2526,75.315,75.24,75.315,75.22,151
2023-12-04 14:53:00,4750,75.2208,75.21,75.21,75.24,75.21,126
2023-12-04 14:54:00,7163,75.1663,75.21,75.12,75.21,75.11,105
2023-12-04 14:55:00,1959,75.0831,75.11,75.06,75.11,75.06,65
2023-12-04 14:56:00,5523,75.0599,75.05,75.05,75.09,75.05,104
2023-12-04 14:57:00,2180,74.9927,75.04,74.955,75.04,74.95,69
2023-12-04 14:58:00,4122,75.0258,74.98,75.06,75.08,74.98,108
2023-12-04 14:59:00,2406,75.0412,75.05,75.03,75.05,75.03,58
2023-12-04 15:00:00,10456,75.0316,75.04,75.01,75.07,75.0,192
2023-12-04 15:01:00,6289,74.9643,75.01,74.93,75.01,74.93,87
2023-12-04 15:02:00,932,74.9054,74.91,74.89,74.91,74.89,33
2023-12-04 15:03:00,9059,74.8961,74.88,74.8342,74.93,74.8342,182
2023-12-04 15:04:00,2155,74.8432,74.84,74.85,74.85,74.83,53
2023-12-04 15:05:00,4715,74.8337,74.86,74.84,74.86,74.82,126
2023-12-04 15:06:00,2010,74.9192,74.88,74.945,74.945,74.88,62
2023-12-04 15:07:00,6821,74.9576,74.94,74.96,74.98,74.94,101
2023-12-04 15:08:00,2948,74.9831,74.96,74.97,75.0,74.96,71
2023-12-04 15:09:00,2407,74.9854,74.977,74.995,75.0,74.97,54
2023-12-04 15:10:00,3197,74.9939,74.99,74.98,75.01,74.98,58
2023-12-04 15:11:00,2723,74.9701,74.97,74.97,74.97,74.96,75
2023-12-04 15:12:00,10061,74.9459,74.965,74.93,74.965,74.93,146
2023-12-04 15:13:00,4195,74.9429,74.94,74.93,74.96,74.93,82
2023-12-04 15:14:00,5052,74.9288,74.93,74.96,74.97,74.8867,106
2023-12-04 15:15:00,7214,74.9844,74.9897,74.97,74.99,74.97,59
2023-12-04 15:16:00,4596,75.0176,74.96,75.045,75.065,74.96,117
2023-12-04 15:17:00,6824,75.0602,75.05,75.07,75.08,75.04,112
2023-12-04 15:18:00,10419,75.062,75.075,75.07,75.08,75.05,110
2023-12-04 15:19:00,2170,75.0873,75.07,75.095,75.1,75.07,62
2023-12-04 15:20:00,1045,75.1111,75.101,75.11,75.13,75.101,40
2023-12-04 15:21:00,2693,75.1619,75.12,75.2,75.2,75.12,81
2023-12-04 15:22:00,4416,75.2074,75.19,75.215,75.22,75.19,88
2023-12-04 15:23:00,7154,75.194,75.21,75.18,75.21,75.18,112
2023-12-04 15:24:00,3484,75.2168,75.18,75.21,75.24,75.18,74
2023-12-04 15:25:00,3312,75.2361,75.225,75.26,75.26,75.225,75
2023-12-04 15:26:00,2262,75.2642,75.25,75.271,75.29,75.25,56
2023-12-04 15:27:00,6340,75.2857,75.29,75.28,75.3,75.28,97
2023-12-04 15:28:00,6818,75.2765,75.28,75.28,75.29,75.2645,110
2023-12-04 15:29:00,1551,75.2951,75.27,75.3,75.31,75.27,58
2023-12-04 15:30:00,10731,75.3523,75.34,75.37,75.37,75.34,121
2023-12-04 15:31:00,3727,75.4064,75.37,75.445,75.445,75.37,77
2023-12-04 15:32:00,8650,75.4644,75.46,75.46,75.48,75.46,144
2023-12-04 15:33:00,6051,75.4742,75.46,75.5,75.5,75.45,109
2023-12-04 15:34:00,3791,75.5034,75.505,75.51,75.52,75.49,59
2023-12-04 15:35:00,5623,75.5114,75.51,75.51,75.52,75.51,90
2023-12-04 15:36:00,5134,75.497,75.51,75.48,75.51,75.48,97
2023-12-04 15:37:00,3750,75.4839,75.49,75.47,75.51,75.47,88
2023-12-04 15:38:00,4644,75.4854,75.48,75.51,75.51,75.46,91
2023-12-04 15:39:00,1663,75.5269,75.52,75.54,75.54,75.51,51
