t,v,vw,o,c,h,l,n
2023-08-07 12:00:00,300,4.0496,4.0496,4.0496,4.0496,4.0496,1
2023-08-07 13:30:00,17911,4.0409,4.04,4.07,4.07,4.04,27
2023-08-07 13:31:00,907,4.0479,4.05,4.045,4.05,4.045,12
2023-08-07 13:32:00,5899,4.0475,4.04,4.05,4.06,4.04,43
2023-08-07 13:33:00,6683,4.0583,4.055,4.055,4.06,4.05,17
2023-08-07 13:34:00,173,4.0529,4.0518,4.0518,4.0518,4.0518,4
2023-08-07 13:36:00,291,4.0533,4.055,4.05,4.055,4.05,8
2023-08-07 13:37:00,12508,4.0504,4.059,4.05,4.06,4.045,49
2023-08-07 13:40:00,197,4.0553,4.055,4.055,4.055,4.055,6
2023-08-07 13:41:00,212,4.0548,4.055,4.055,4.055,4.055,4
2023-08-07 13:45:00,603,4.0547,4.055,4.0587,4.0587,4.0518,6
2023-08-07 13:46:00,160,4.055,4.055,4.055,4.055,4.055,2
2023-08-07 13:47:00,4126,4.0499,4.05,4.045,4.05,4.045,33
2023-08-07 13:49:00,388,4.045,4.045,4.045,4.045,4.045,5
2023-08-07 13:50:00,6086,4.0399,4.04,4.038,4.04,4.035,22
2023-08-07 13:51:00,674,4.0305,4.03,4.03,4.03,4.03,10
2023-08-07 13:52:00,274,4.0367,4.035,4.035,4.035,4.035,7
2023-08-07 13:54:00,22104,4.0395,4.03,4.04,4.04,4.03,10
2023-08-07 13:56:00,354,4.037,4.04,4.04,4.04,4.04,9
2023-08-07 13:57:00,391,4.0322,4.031,4.031,4.031,4.031,10
2023-08-07 13:58:00,2979,4.0296,4.035,4.025,4.035,4.025,35
2023-08-07 13:59:00,230,4.025,4.025,4.025,4.025,4.025,5
2023-08-07 14:00:00,154,4.0268,4.028,4.028,4.028,4.028,5
2023-08-07 14:01:00,107702,4.0199,4.02,4.0199,4.025,4.01,61
2023-08-07 14:02:00,18735,4.0206,4.01,4.02,4.03,4.01,88
2023-08-07 14:03:00,1640,4.0216,4.0223,4.025,4.025,4.02,9
2023-08-07 14:04:00,1035,4.0249,4.025,4.025,4.025,4.025,6
2023-08-07 14:05:00,535,4.025,4.025,4.025,4.025,4.025,7
2023-08-07 14:07:00,469,4.025,4.025,4.025,4.025,4.025,8
2023-08-07 14:08:00,2372,4.026,4.0285,4.025,4.03,4.025,17
2023-08-07 14:09:00,1215,4.0254,4.025,4.025,4.03,4.025,8
2023-08-07 14:10:00,131,4.025,4.025,4.025,4.025,4.025,3
2023-08-07 14:11:00,300,4.0233,4.025,4.025,4.025,4.02,3
2023-08-07 14:12:00,10502,4.0148,4.025,4.005,4.025,4.005,81
2023-08-07 14:13:00,6732,3.9995,4.0,3.991,4.0,3.99,36
2023-08-07 14:14:00,243,3.9942,3.995,3.995,3.995,3.995,5
2023-08-07 14:17:00,328,3.9984,3.9999,3.9979,3.9999,3.9979,5
2023-08-07 14:18:00,10152,4.0001,3.995,4.01,4.01,3.995,56
2023-08-07 14:19:00,14731,4.016,4.01,4.015,4.02,4.0,104
2023-08-07 14:20:00,322,4.0114,4.0111,4.0111,4.0111,4.0111,3
2023-08-07 14:21:00,900,4.0144,4.015,4.01,4.015,4.01,3
2023-08-07 14:23:00,1247,4.0142,4.015,4.01,4.015,4.01,8
2023-08-07 14:24:00,1189,4.0133,4.015,4.015,4.015,4.01,11
2023-08-07 14:25:00,1015,4.014,4.015,4.0101,4.015,4.0101,20
2023-08-07 14:26:00,1146,4.0161,4.015,4.015,4.02,4.015,20
2023-08-07 14:27:00,503,4.015,4.015,4.015,4.015,4.015,6
