t,v,vw,o,c,h,l,n
2024-01-04 14:29:00,372,233.9705,233.92,234.01,234.01,233.92,3
2024-01-04 14:30:00,20634,233.9534,233.99,233.48,233.99,233.48,116
2024-01-04 14:31:00,1318,233.5241,233.41,233.53,233.53,233.41,42
2024-01-04 14:32:00,887,233.6668,233.62,233.59,233.62,233.59,52
2024-01-04 14:33:00,3892,234.1992,233.81,234.07,234.5,233.81,159
2024-01-04 14:34:00,1107,234.1661,234.175,234.17,234.175,234.17,55
2024-01-04 14:35:00,586,234.0935,234.218,233.96,234.218,233.94,28
2024-01-04 14:36:00,2316,233.8577,234.115,233.68,234.115,233.68,105
2024-01-04 14:37:00,2108,234.0645,233.91,234.09,234.13,233.91,69
2024-01-04 14:38:00,1485,234.5661,234.49,234.66,234.695,234.49,83
2024-01-04 14:39:00,1644,234.624,234.66,234.64,234.66,234.56,68
2024-01-04 14:40:00,873,234.5628,234.54,234.67,234.67,234.54,46
2024-01-04 14:41:00,2787,234.9097,234.67,235.0,235.0,234.67,121
2024-01-04 14:42:00,1668,235.0257,234.965,235.0391,235.06,234.965,55
2024-01-04 14:43:00,3507,235.2355,235.095,235.33,235.35,235.04,101
2024-01-04 14:44:00,2032,235.157,235.33,235.15,235.33,235.15,78
2024-01-04 14:45:00,2082,234.9363,234.96,234.71,235.02,234.71,97
2024-01-04 14:46:00,710,234.5256,234.55,234.405,234.55,234.405,43
2024-01-04 14:47:00,2946,234.4124,234.48,234.4,234.53,234.24,122
2024-01-04 14:48:00,968,234.2442,234.17,234.26,234.26,234.17,42
2024-01-04 14:49:00,1149,234.4401,234.37,234.45,234.57,234.37,32
2024-01-04 14:50:00,741,234.5448,234.455,234.625,234.625,234.455,23
2024-01-04 14:51:00,679,234.4177,234.455,234.4,234.455,234.4,24
2024-01-04 14:52:00,1029,234.315,234.32,234.25,234.38,234.25,44
2024-01-04 14:53:00,920,234.2681,234.364,234.17,234.364,234.17,34
2024-01-04 14:54:00,2436,234.0372,234.11,234.04,234.11,233.945,95
2024-01-04 14:55:00,504,233.9261,233.88,233.92,233.92,233.88,31
2024-01-04 14:56:00,1203,233.9693,233.875,233.98,233.98,233.875,47
2024-01-04 14:58:00,1784,233.8175,233.875,233.815,233.875,233.735,46
2024-01-04 14:59:00,590,233.6561,233.64,233.64,233.67,233.64,30
2024-01-04 15:00:00,2571,233.6202,233.61,233.74,233.74,233.56,102
2024-01-04 15:01:00,1148,233.9204,233.79,234.1,234.1,233.79,61
2024-01-04 15:02:00,3816,234.0433,233.99,234.045,234.045,233.99,40
2024-01-04 15:03:00,1766,233.9926,233.98,234.055,234.055,233.98,31
2024-01-04 15:04:00,3177,234.115,234.12,234.143,234.19,234.01,128
2024-01-04 15:05:00,1098,234.0596,234.105,234.01,234.105,234.01,65
2024-01-04 15:06:00,2651,234.0447,234.02,234.04,234.09,234.01,83
2024-01-04 15:07:00,1128,234.1082,234.12,234.095,234.12,234.095,66
2024-01-04 15:08:00,499,234.087,234.13,234.13,234.13,234.13,39
2024-01-04 15:09:00,6159,234.2517,234.18,234.29,234.29,234.16,126
2024-01-04 15:10:00,2110,234.1933,234.28,234.21,234.28,234.13,76
2024-01-04 15:11:00,2531,234.0857,234.08,234.055,234.13,234.03,105
2024-01-04 15:12:00,4854,234.1307,234.03,234.26,234.26,234.03,97
2024-01-04 15:13:00,4029,234.2256,234.25,234.29,234.29,234.17,141
2024-01-04 15:14:00,1716,234.3362,234.33,234.37,234.37,234.29,64
2024-01-04 15:15:00,1001,234.403,234.455,234.41,234.46,234.395,44
2024-01-04 15:16:00,2274,234.199,234.3,234.12,234.3,234.12,75
2024-01-04 15:17:00,3763,234.2911,234.19,234.32,234.355,234.19,77
2024-01-04 15:18:00,2510,234.3932,234.37,234.48,234.48,234.31,107
2024-01-04 15:19:00,948,234.4876,234.54,234.49,234.54,234.49,57
2024-01-04 15:20:00,1421,234.5911,234.56,234.64,234.64,234.56,73
2024-01-04 15:21:00,1344,234.5043,234.54,234.45,234.54,234.44,40
2024-01-04 15:22:00,1315,234.349,234.375,234.29,234.375,234.27,46
2024-01-04 15:23:00,3339,234.3063,234.265,234.3,234.33,234.265,76
2024-01-04 15:24:00,3727,234.1567,234.23,234.2,234.2334,234.11,110
2024-01-04 15:25:00,919,234.1342,234.17,234.09,234.17,234.09,33
2024-01-04 15:26:00,1487,234.1938,234.1512,234.21,234.21,234.125,83
2024-01-04 15:27:00,2139,234.2924,234.24,234.295,234.32,234.24,59
2024-01-04 15:28:00,1808,234.3061,234.32,234.255,234.35,234.19,74
2024-01-04 15:31:00,2099,233.8943,233.92,233.88,233.945,233.88,92
2024-01-04 15:32:00,391,233.9247,233.9573,233.9573,233.9573,233.9573,28
2024-01-04 15:33:00,2088,234.0183,233.97,234.0391,234.06,233.97,78
2024-01-04 15:34:00,7003,234.0613,234.07,234.0412,234.08,234.0412,102
2024-01-04 15:35:00,420,234.0562,234.05,234.11,234.11,234.05,26
2024-01-04 15:37:00,2014,234.0432,234.13,234.0,234.13,233.97,86
2024-01-04 15:38:00,1842,233.9699,233.925,233.935,233.97,233.925,64
2024-01-04 15:39:00,1107,233.8875,233.85,233.875,233.875,233.85,58
2024-01-04 15:40:00,914,233.8941,233.9,233.8998,233.9,233.8998,34
