t,v,vw,o,c,h,l,n
2024-02-29 09:05:00,600,5.9,5.9,5.9,5.9,5.9,1
2024-02-29 09:11:00,500,5.9,5.9,5.9,5.9,5.9,1
2024-02-29 09:16:00,1600,5.89,5.89,5.89,5.89,5.89,2
2024-02-29 09:37:00,1600,5.86,5.86,5.86,5.86,5.86,2
2024-02-29 09:54:00,500,5.89,5.89,5.89,5.89,5.89,1
2024-02-29 10:19:00,500,5.91,5.91,5.91,5.91,5.91,1
2024-02-29 10:32:00,159,5.91,5.91,5.91,5.91,5.91,1
2024-02-29 10:37:00,500,5.9,5.9,5.9,5.9,5.9,1
2024-02-29 11:17:00,500,5.91,5.91,5.91,5.91,5.91,1
2024-02-29 13:24:00,4800,5.89,5.89,5.89,5.89,5.89,7
2024-02-29 13:30:00,500,5.91,5.91,5.91,5.91,5.91,2
2024-02-29 13:34:00,300,5.91,5.91,5.91,5.91,5.91,1
2024-02-29 13:37:00,502,5.92,5.92,5.92,5.92,5.92,2
2024-02-29 13:42:00,100,5.94,5.94,5.94,5.94,5.94,1
2024-02-29 13:43:00,500,5.94,5.94,5.94,5.94,5.94,1
2024-02-29 13:57:00,818,5.94,5.94,5.94,5.94,5.94,2
2024-02-29 14:00:00,300,5.95,5.95,5.95,5.95,5.95,2
2024-02-29 14:15:00,4500,5.95,5.95,5.95,5.95,5.95,1
2024-02-29 14:23:00,900,5.95,5.95,5.95,5.95,5.95,1
2024-02-29 14:30:00,33493,5.9328,5.93,5.935,5.94,5.93,59
2024-02-29 14:31:00,2818,5.9336,5.93,5.94,5.94,5.93,12
2024-02-29 14:32:00,804,5.94,5.94,5.94,5.94,5.94,4
2024-02-29 14:34:00,36842,5.9327,5.935,5.94,5.94,5.93,47
2024-02-29 14:37:00,117,5.9349,5.935,5.935,5.935,5.935,6
2024-02-29 14:38:00,3147,5.9391,5.94,5.935,5.94,5.935,18
2024-02-29 14:39:00,25564,5.9384,5.94,5.94,5.94,5.934,25
2024-02-29 14:40:00,5174,5.9385,5.935,5.94,5.94,5.935,24
2024-02-29 14:41:00,33510,5.9397,5.94,5.94,5.94,5.935,58
2024-02-29 14:42:00,28144,5.94,5.94,5.94,5.94,5.94,17
2024-02-29 14:44:00,6099,5.9399,5.94,5.9398,5.94,5.9398,15
2024-02-29 14:45:00,23385,5.9401,5.935,5.9401,5.945,5.93,64
2024-02-29 14:46:00,23124,5.9466,5.94,5.945,5.95,5.94,54
2024-02-29 14:47:00,87518,5.9445,5.945,5.9413,5.95,5.94,137
2024-02-29 14:48:00,425,5.9407,5.94,5.94,5.94,5.94,11
