t,v,vw,o,c,h,l,n
2024-05-03 08:03:00,277,64.2004,64.51,63.81,64.51,63.81,3
2024-05-03 08:21:00,553,64.3194,64.14,64.14,64.14,64.14,9
2024-05-03 08:22:00,200,64.14,64.14,64.14,64.14,64.14,2
2024-05-03 10:55:00,155,64.6194,64.63,64.63,64.63,64.63,2
2024-05-03 11:41:00,127,65.1059,65.1,65.1,65.1,65.1,2
2024-05-03 11:53:00,1104,64.8909,64.9,64.89,64.9,64.89,7
2024-05-03 11:56:00,850,64.9888,64.96,64.97,65.0,64.96,6
2024-05-03 12:07:00,100,65.794,65.794,65.794,65.794,65.794,1
2024-05-03 12:14:00,500,64.8813,64.88,64.88,64.88,64.88,3
2024-05-03 12:30:00,652,65.8942,65.42,65.98,65.98,65.42,10
2024-05-03 12:31:00,710,65.9817,65.96,65.9997,65.9997,65.96,4
2024-05-03 12:35:00,100,65.5,65.5,65.5,65.5,65.5,1
2024-05-03 12:45:00,4431,65.6591,65.52,65.6,65.75,65.5,11
2024-05-03 12:48:00,1640,65.5018,65.5,65.5,65.5,65.5,3
2024-05-03 13:08:00,450,65.51,65.51,65.51,65.51,65.51,2
2024-05-03 13:12:00,500,65.5,65.5,65.5,65.5,65.5,1
2024-05-03 13:18:00,185,65.2574,65.23,65.23,65.23,65.23,3
2024-05-03 13:25:00,1502,65.4,65.4,65.4,65.4,65.4,2
2024-05-03 13:30:00,43508,65.385,65.38,65.46,65.53,65.26,208
2024-05-03 13:31:00,9289,65.3536,65.43,65.23,65.5,65.23,111
2024-05-03 13:32:00,9223,65.2166,65.25,65.11,65.32,65.1,128
2024-05-03 13:33:00,10530,64.9091,65.12,64.77,65.12,64.77,136
2024-05-03 13:34:00,11767,64.7798,64.78,64.71,64.82,64.71,108
2024-05-03 13:35:00,14201,64.677,64.68,64.6506,64.73,64.64,126
2024-05-03 13:36:00,17374,64.7947,64.66,64.78,64.86,64.66,204
2024-05-03 13:37:00,8018,64.7051,64.79,64.69,64.79,64.66,101
2024-05-03 13:38:00,6804,64.7535,64.72,64.75,64.81,64.68,102
2024-05-03 13:39:00,6074,64.7907,64.75,64.77,64.83,64.75,74
2024-05-03 13:40:00,11599,64.8451,64.77,64.89,64.91,64.77,118
2024-05-03 13:41:00,25945,64.9701,64.85,65.02,65.05,64.85,228
2024-05-03 13:42:00,14839,65.1008,65.06,65.15,65.155,65.04,187
2024-05-03 13:43:00,9582,65.1145,65.14,65.05,65.16,65.02,74
2024-05-03 13:44:00,23945,65.0184,65.03,65.01,65.0852,64.95,245
2024-05-03 13:45:00,30243,64.812,64.99,64.73,65.0,64.68,346
2024-05-03 13:46:00,10556,64.7339,64.72,64.81,64.83,64.66,123
2024-05-03 13:47:00,4021,64.7318,64.75,64.7344,64.78,64.7,65
2024-05-03 13:48:00,7123,64.7613,64.7,64.76,64.83,64.7,101
2024-05-03 13:49:00,6469,64.82,64.75,64.85,64.87,64.75,55
2024-05-03 13:50:00,3654,64.824,64.87,64.83,64.9,64.7914,43
2024-05-03 13:51:00,9641,64.9273,64.861,64.94,64.99,64.76,62
2024-05-03 13:52:00,1697,64.9727,64.95,64.98,65.0,64.95,39
2024-05-03 13:53:00,3235,65.038,64.97,65.12,65.12,64.97,61
2024-05-03 13:54:00,6581,65.1243,65.1,65.15,65.19,65.09,78
2024-05-03 13:55:00,8281,65.1458,65.17,65.1497,65.18,65.1,101
2024-05-03 13:56:00,9712,65.1352,65.14,65.07,65.19,65.07,99
2024-05-03 13:57:00,3787,65.1092,65.1,65.06,65.17,65.06,69
2024-05-03 13:58:00,3325,65.0691,65.08,65.08,65.08,65.04,42
2024-05-03 13:59:00,5118,64.9578,65.07,64.89,65.07,64.89,75
2024-05-03 14:00:00,30595,65.1629,64.93,65.03,65.36,64.9,536
2024-05-03 14:01:00,9483,64.8949,65.03,64.78,65.03,64.78,117
2024-05-03 14:02:00,5096,64.8792,64.77,64.81,64.94,64.77,93
2024-05-03 14:03:00,4185,64.773,64.82,64.81,64.82,64.74,50
2024-05-03 14:04:00,3915,64.8114,64.87,64.76,64.88,64.73,33
2024-05-03 14:05:00,2922,64.7793,64.76,64.82,64.85,64.7599,30
2024-05-03 14:06:00,5312,64.8725,64.81,64.845,64.93,64.81,46
2024-05-03 14:07:00,4848,64.7872,64.81,64.74,64.8543,64.73,49
2024-05-03 14:08:00,4628,64.7445,64.74,64.72,64.78,64.7,61
2024-05-03 14:09:00,5227,64.6895,64.7,64.7,64.71,64.64,69
2024-05-03 14:10:00,1263,64.743,64.73,64.78,64.78,64.7,28
2024-05-03 14:11:00,5411,64.6508,64.72,64.6,64.72,64.6,39
2024-05-03 14:12:00,8250,64.5388,64.56,64.49,64.58,64.48,87
2024-05-03 14:13:00,4656,64.47,64.485,64.45,64.51,64.43,75
2024-05-03 14:14:00,7468,64.4294,64.42,64.43,64.48,64.39,84
2024-05-03 14:15:00,1562,64.4851,64.5,64.47,64.51,64.47,43
2024-05-03 14:16:00,4604,64.4943,64.47,64.51,64.58,64.44,70
2024-05-03 14:17:00,3837,64.5136,64.52,64.545,64.545,64.5,31
2024-05-03 14:18:00,1874,64.5418,64.575,64.49,64.575,64.49,34
2024-05-03 14:19:00,3010,64.4549,64.47,64.445,64.47,64.42,65
2024-05-03 14:20:00,4107,64.3911,64.426,64.41,64.426,64.37,53
2024-05-03 14:21:00,3035,64.4113,64.42,64.43,64.43,64.38,52
