t,v,vw,o,c,h,l,n
2023-12-27 12:00:00,100,80.74,80.74,80.74,80.74,80.74,1
2023-12-27 14:30:00,37010,80.657,80.71,80.32,80.87,80.2915,170
2023-12-27 14:31:00,2391,80.3766,80.32,80.39,80.39,80.32,60
2023-12-27 14:32:00,1655,80.4417,80.375,80.48,80.53,80.375,38
2023-12-27 14:33:00,7134,80.4586,80.5,80.51,80.51,80.37,94
2023-12-27 14:34:00,2934,80.5082,80.49,80.49,80.53,80.49,62
2023-12-27 14:35:00,2827,80.3572,80.3748,80.35,80.41,80.3,68
2023-12-27 14:36:00,907,80.3762,80.3797,80.3844,80.3844,80.37,32
2023-12-27 14:37:00,5490,80.3611,80.36,80.33,80.39,80.33,101
2023-12-27 14:38:00,3642,80.4871,80.41,80.55,80.55,80.41,68
2023-12-27 14:39:00,1671,80.6336,80.54,80.6,80.6,80.5027,42
2023-12-27 14:40:00,3164,80.5386,80.66,80.4973,80.66,80.4973,47
2023-12-27 14:41:00,5431,80.5476,80.5499,80.48,80.61,80.48,72
2023-12-27 14:42:00,2435,80.5146,80.5012,80.4919,80.545,80.4919,58
2023-12-27 14:43:00,14031,80.3902,80.52,80.39,80.52,80.37,109
2023-12-27 14:44:00,5513,80.3832,80.38,80.45,80.46,80.33,92
2023-12-27 14:45:00,1808,80.4802,80.47,80.49,80.5,80.46,40
2023-12-27 14:46:00,1969,80.5537,80.525,80.59,80.59,80.525,60
2023-12-27 14:47:00,2767,80.5809,80.61,80.53,80.62,80.53,76
2023-12-27 14:48:00,3331,80.5479,80.53,80.55,80.58,80.5187,53
2023-12-27 14:49:00,2841,80.5589,80.5357,80.555,80.5753,80.5357,58
2023-12-27 14:50:00,3913,80.6108,80.56,80.62,80.645,80.56,57
2023-12-27 14:51:00,933,80.6567,80.64,80.65,80.67,80.64,34
2023-12-27 14:52:00,1421,80.6701,80.65,80.68,80.7,80.65,39
2023-12-27 14:53:00,855,80.7107,80.71,80.73,80.73,80.71,31
2023-12-27 14:54:00,2393,80.7033,80.72,80.71,80.72,80.69,70
2023-12-27 14:55:00,1693,80.7363,80.76,80.73,80.76,80.73,53
2023-12-27 14:56:00,3517,80.7451,80.73,80.75,80.754,80.725,78
2023-12-27 14:57:00,3905,80.6805,80.73,80.66,80.73,80.66,76
2023-12-27 14:58:00,8705,80.6486,80.64,80.64,80.66,80.62,94
2023-12-27 14:59:00,1269,80.6583,80.65,80.66,80.67,80.65,41
2023-12-27 15:00:00,3526,80.6076,80.66,80.56,80.66,80.55,94
2023-12-27 15:01:00,2193,80.5696,80.55,80.58,80.58,80.55,57
2023-12-27 15:02:00,5410,80.5324,80.57,80.5,80.57,80.5,106
2023-12-27 15:03:00,5189,80.5256,80.5,80.55,80.55,80.5,99
2023-12-27 15:04:00,5876,80.5318,80.56,80.53,80.56,80.51,95
2023-12-27 15:05:00,1816,80.5087,80.51,80.53,80.53,80.49,61
2023-12-27 15:06:00,4628,80.5713,80.5451,80.6,80.61,80.53,101
2023-12-27 15:07:00,1521,80.6183,80.6,80.63,80.63,80.6,53
2023-12-27 15:08:00,1335,80.65,80.6367,80.655,80.66,80.6367,62
2023-12-27 15:09:00,1183,80.6825,80.68,80.69,80.69,80.68,45
2023-12-27 15:10:00,2138,80.6582,80.67,80.64,80.67,80.64,75
2023-12-27 15:11:00,1936,80.6707,80.66,80.655,80.68,80.65,63
2023-12-27 15:12:00,6288,80.6156,80.63,80.6,80.64,80.59,109
2023-12-27 15:13:00,1844,80.6024,80.61,80.59,80.61,80.56,48
2023-12-27 15:14:00,2263,80.5232,80.58,80.48,80.58,80.48,68
2023-12-27 15:15:00,2336,80.506,80.5,80.54,80.54,80.49,76
2023-12-27 15:16:00,1277,80.5654,80.565,80.59,80.59,80.55,51
2023-12-27 15:17:00,2094,80.5908,80.6,80.6097,80.61,80.57,64
2023-12-27 15:18:00,3279,80.6167,80.62,80.59,80.63,80.59,85
2023-12-27 15:19:00,1506,80.5682,80.58,80.57,80.58,80.55,49
2023-12-27 15:20:00,891,80.5561,80.55,80.5596,80.5596,80.55,24
2023-12-27 15:21:00,1244,80.5912,80.57,80.62,80.62,80.57,42
2023-12-27 15:22:00,1782,80.6506,80.63,80.68,80.68,80.62,44
2023-12-27 15:23:00,2016,80.7185,80.68,80.75,80.75,80.68,59
2023-12-27 15:24:00,4059,80.7389,80.78,80.72,80.78,80.715,91
2023-12-27 15:25:00,2446,80.6965,80.72,80.69,80.72,80.6899,62
2023-12-27 15:26:00,3275,80.7068,80.69,80.68,80.72,80.68,86
2023-12-27 15:27:00,1380,80.6745,80.7,80.66,80.7,80.66,35
2023-12-27 15:28:00,1192,80.6571,80.6661,80.65,80.68,80.65,46
2023-12-27 15:29:00,1680,80.6156,80.6044,80.63,80.63,80.6044,26
2023-12-27 15:30:00,4506,80.6355,80.63,80.635,80.65,80.615,111
2023-12-27 15:31:00,4890,80.6336,80.64,80.63,80.65,80.62,92
2023-12-27 15:32:00,9454,80.6486,80.625,80.695,80.695,80.625,118
2023-12-27 15:33:00,5763,80.7186,80.7125,80.74,80.74,80.71,85
2023-12-27 15:34:00,2703,80.7103,80.72,80.7,80.74,80.7,66
2023-12-27 15:35:00,3579,80.686,80.7,80.69,80.705,80.6695,99
2023-12-27 15:36:00,994,80.6888,80.6801,80.69,80.7,80.6801,43
2023-12-27 15:37:00,3260,80.6783,80.685,80.645,80.7,80.645,81
2023-12-27 15:38:00,1673,80.6555,80.64,80.66,80.66,80.64,35
2023-12-27 15:39:00,2221,80.6759,80.6711,80.69,80.7,80.66,54
2023-12-27 15:40:00,4435,80.7066,80.7,80.72,80.72,80.6988,97
2023-12-27 15:41:00,8027,80.7307,80.71,80.73,80.76,80.71,118
2023-12-27 15:42:00,2438,80.7324,80.74,80.72,80.74,80.72,70
2023-12-27 15:43:00,7347,80.7083,80.71,80.715,80.715,80.6976,83
2023-12-27 15:44:00,3162,80.7307,80.72,80.74,80.75,80.72,79
2023-12-27 15:45:00,4012,80.7463,80.74,80.765,80.77,80.74,78
2023-12-27 15:46:00,4126,80.7313,80.76,80.7,80.77,80.7,112
2023-12-27 15:47:00,2151,80.6695,80.67,80.67,80.68,80.66,57
2023-12-27 15:48:00,5456,80.6201,80.66,80.62,80.66,80.6,102
2023-12-27 15:49:00,1890,80.5978,80.6,80.6,80.6,80.59,74
2023-12-27 15:50:00,2463,80.5951,80.59,80.58,80.61,80.58,79
2023-12-27 15:51:00,3733,80.5757,80.59,80.59,80.59,80.565,111
2023-12-27 15:52:00,2070,80.5983,80.585,80.62,80.62,80.585,42
2023-12-27 15:53:00,1646,80.6157,80.62,80.62,80.62,80.6,41
2023-12-27 15:54:00,1627,80.6355,80.63,80.67,80.67,80.63,64
2023-12-27 15:55:00,6847,80.6725,80.68,80.68,80.6899,80.665,69
2023-12-27 15:56:00,1970,80.6699,80.6771,80.6685,80.6771,80.6685,28
2023-12-27 15:57:00,2838,80.6519,80.66,80.65,80.66,80.64,94
2023-12-27 15:58:00,3085,80.6275,80.6417,80.63,80.645,80.615,76
2023-12-27 15:59:00,5232,80.6363,80.64,80.63,80.65,80.625,90
2023-12-27 16:00:00,2237,80.6111,80.6289,80.605,80.6289,80.6,47
2023-12-27 16:01:00,3481,80.6285,80.61,80.64,80.64,80.61,76
2023-12-27 16:02:00,2514,80.667,80.6452,80.65,80.685,80.6452,78
2023-12-27 16:03:00,2801,80.6522,80.65,80.63,80.66,80.63,60
