t,v,vw,o,c,h,l,n
2023-07-20 08:36:00,689,12.95,12.95,12.95,12.95,12.95,2
2023-07-20 08:50:00,399,12.9899,12.98,12.97,12.98,12.97,5
2023-07-20 08:51:00,300,12.9533,12.96,12.95,12.96,12.95,2
2023-07-20 13:30:00,26862,12.8193,12.83,12.81,12.84,12.8,96
2023-07-20 13:31:00,3408,12.832,12.83,12.82,12.8425,12.82,23
2023-07-20 13:32:00,6735,12.8215,12.8,12.83,12.84,12.79,56
2023-07-20 13:33:00,3477,12.8265,12.83,12.82,12.83,12.81,29
2023-07-20 13:34:00,415,12.8232,12.82,12.82,12.82,12.82,14
2023-07-20 13:35:00,1667,12.8098,12.81,12.79,12.82,12.79,24
2023-07-20 13:36:00,14823,12.7949,12.79,12.81,12.81,12.79,104
2023-07-20 13:37:00,8036,12.7962,12.8,12.8,12.805,12.79,50
2023-07-20 13:38:00,2248,12.7994,12.8047,12.795,12.8047,12.79,9
2023-07-20 13:39:00,4133,12.7913,12.8,12.79,12.8,12.79,36
2023-07-20 13:40:00,9917,12.7686,12.77,12.77,12.77,12.76,38
2023-07-20 13:41:00,6399,12.7976,12.77,12.8,12.815,12.77,38
2023-07-20 13:42:00,3920,12.8071,12.8048,12.81,12.81,12.8048,17
2023-07-20 13:43:00,6620,12.8254,12.8,12.82,12.83,12.8,45
2023-07-20 13:44:00,225,12.8102,12.81,12.81,12.81,12.81,8
2023-07-20 13:45:00,2680,12.8222,12.81,12.845,12.845,12.81,37
2023-07-20 13:46:00,7944,12.8497,12.84,12.85,12.85,12.84,41
2023-07-20 13:47:00,10979,12.8401,12.84,12.84,12.85,12.835,76
2023-07-20 13:48:00,2035,12.829,12.83,12.83,12.83,12.82,28
2023-07-20 13:49:00,5136,12.8301,12.835,12.83,12.84,12.82,39
2023-07-20 13:50:00,1973,12.829,12.835,12.825,12.84,12.82,24
2023-07-20 13:51:00,2946,12.8145,12.815,12.83,12.83,12.81,19
2023-07-20 13:52:00,867,12.8283,12.825,12.835,12.835,12.82,15
2023-07-20 13:53:00,877,12.8403,12.84,12.835,12.85,12.835,14
2023-07-20 13:54:00,145,12.83,12.83,12.83,12.83,12.83,4
2023-07-20 13:55:00,5979,12.8472,12.84,12.8447,12.855,12.84,45
2023-07-20 13:56:00,8580,12.839,12.84,12.835,12.845,12.835,20
2023-07-20 13:57:00,10730,12.8531,12.84,12.84,12.86,12.84,51
2023-07-20 13:58:00,6430,12.8433,12.835,12.85,12.85,12.835,33
2023-07-20 13:59:00,975,12.8429,12.85,12.845,12.85,12.84,18
2023-07-20 14:00:00,7196,12.8364,12.85,12.8385,12.85,12.83,28
2023-07-20 14:01:00,972,12.8405,12.84,12.845,12.845,12.8399,11
2023-07-20 14:02:00,7578,12.8556,12.8499,12.85,12.86,12.8499,23
2023-07-20 14:03:00,8928,12.8406,12.845,12.83,12.849,12.83,36
2023-07-20 14:04:00,11993,12.8163,12.825,12.82,12.825,12.81,80
2023-07-20 14:05:00,4479,12.8116,12.82,12.815,12.82,12.805,35
2023-07-20 14:06:00,1359,12.8059,12.81,12.8,12.81,12.8,6
2023-07-20 14:07:00,839,12.7837,12.79,12.78,12.79,12.78,9
2023-07-20 14:08:00,4007,12.7803,12.78,12.785,12.785,12.78,25
2023-07-20 14:09:00,1431,12.7793,12.78,12.77,12.78,12.77,11
2023-07-20 14:10:00,10329,12.7578,12.77,12.74,12.77,12.74,41
2023-07-20 14:11:00,23065,12.7331,12.73,12.76,12.76,12.72,109
2023-07-20 14:12:00,3239,12.7601,12.765,12.76,12.765,12.755,26
2023-07-20 14:13:00,1443,12.7588,12.76,12.75,12.765,12.75,21
2023-07-20 14:14:00,787,12.7514,12.75,12.745,12.75,12.745,13
2023-07-20 14:15:00,4970,12.77,12.77,12.77,12.775,12.77,37
2023-07-20 14:16:00,1403,12.7793,12.77,12.78,12.78,12.77,10
2023-07-20 14:17:00,191,12.785,12.785,12.785,12.785,12.785,2
2023-07-20 14:18:00,13153,12.7824,12.79,12.78,12.795,12.775,32
2023-07-20 14:19:00,4729,12.7965,12.79,12.8,12.805,12.79,39
2023-07-20 14:20:00,3760,12.8041,12.81,12.79,12.81,12.79,30
2023-07-20 14:21:00,1315,12.7843,12.79,12.775,12.79,12.775,16
2023-07-20 14:22:00,795,12.7781,12.78,12.78,12.78,12.771,10
2023-07-20 14:23:00,2951,12.7802,12.78,12.78,12.785,12.78,30
2023-07-20 14:24:00,2167,12.7849,12.785,12.785,12.785,12.785,5
2023-07-20 14:25:00,5508,12.7786,12.785,12.77,12.785,12.77,44
2023-07-20 14:26:00,686,12.7609,12.77,12.75,12.77,12.75,11
2023-07-20 14:27:00,1219,12.748,12.75,12.75,12.75,12.7401,21
2023-07-20 14:28:00,445,12.7523,12.75,12.76,12.76,12.75,6
2023-07-20 14:29:00,7849,12.7463,12.755,12.745,12.755,12.74,52
2023-07-20 14:30:00,2055,12.7392,12.74,12.74,12.74,12.735,21
2023-07-20 14:31:00,9112,12.7173,12.74,12.715,12.74,12.71,35
2023-07-20 14:32:00,2188,12.7212,12.715,12.7201,12.73,12.715,23
2023-07-20 14:33:00,3021,12.7292,12.73,12.715,12.74,12.715,28
2023-07-20 14:34:00,3891,12.7203,12.72,12.72,12.725,12.72,28
2023-07-20 14:35:00,4744,12.7138,12.71,12.71,12.725,12.71,46
