t,v,vw,o,c,h,l,n
2023-07-12 13:30:00,8012,91.9217,91.93,91.69,91.93,91.69,17
2023-07-12 13:31:00,1078,91.5655,91.64,91.51,91.64,91.49,34
2023-07-12 13:32:00,4029,91.4139,91.325,91.33,91.48,91.325,76
2023-07-12 13:33:00,683,91.3252,91.38,91.265,91.38,91.265,18
2023-07-12 13:34:00,3496,91.3849,91.33,91.42,91.42,91.33,46
2023-07-12 13:35:00,1132,91.3917,91.4025,91.315,91.4025,91.315,24
2023-07-12 13:36:00,4467,91.4564,91.38,91.49,91.49,91.375,86
2023-07-12 13:37:00,2461,91.4769,91.515,91.49,91.515,91.45,49
2023-07-12 13:38:00,1638,91.5369,91.45,91.62,91.62,91.43,42
2023-07-12 13:39:00,3319,91.5358,91.57,91.5175,91.57,91.45,59
2023-07-12 13:40:00,545,91.393,91.41,91.37,91.41,91.37,21
2023-07-12 13:41:00,887,91.3485,91.37,91.29,91.37,91.23,24
2023-07-12 13:42:00,140,91.238,91.215,91.215,91.215,91.215,4
2023-07-12 13:43:00,545,91.2447,91.34,91.214,91.34,91.214,9
2023-07-12 13:44:00,2315,91.3429,91.35,91.35,91.35,91.326,45
2023-07-12 13:45:00,8248,91.2575,91.31,91.29,91.31,91.24,64
2023-07-12 13:46:00,3291,91.3432,91.275,91.45,91.45,91.27,59
2023-07-12 13:47:00,241,91.3921,91.385,91.385,91.385,91.385,17
2023-07-12 13:48:00,1548,91.4751,91.44,91.49,91.5,91.44,39
2023-07-12 13:49:00,9121,91.5516,91.48,91.61,91.62,91.44,177
2023-07-12 13:50:00,7703,91.6278,91.63,91.56,91.7,91.55,147
2023-07-12 13:51:00,2673,91.5882,91.565,91.645,91.645,91.565,50
2023-07-12 13:52:00,625,91.5634,91.57,91.55,91.57,91.55,28
2023-07-12 13:53:00,7590,91.538,91.5825,91.49,91.6,91.48,172
2023-07-12 13:54:00,4426,91.5163,91.52,91.52,91.55,91.5,84
2023-07-12 13:55:00,766,91.4161,91.42,91.41,91.42,91.38,25
2023-07-12 13:56:00,1763,91.4047,91.38,91.39,91.42,91.36,43
2023-07-12 13:57:00,1191,91.3573,91.35,91.4,91.4,91.35,24
2023-07-12 13:58:00,1439,91.3592,91.34,91.38,91.385,91.34,36
2023-07-12 13:59:00,143,91.4257,91.43,91.43,91.43,91.43,11
2023-07-12 14:00:00,2076,91.3875,91.36,91.44,91.44,91.36,56
2023-07-12 14:01:00,321,91.4356,91.435,91.435,91.435,91.435,21
