t,v,vw,o,c,h,l,n
2023-06-26 09:18:00,200,0.9923,1.01,0.9745,1.01,0.9745,2
2023-06-26 11:01:00,2000,1.0,1.0,1.0,1.0,1.0,1
2023-06-26 11:15:00,400,1.0,0.9999,1.0,1.0,0.9999,4
2023-06-26 12:00:00,4403,1.0034,1.01,1.01,1.01,1.0,7
2023-06-26 12:13:00,1062,1.0,1.0,1.0,1.0,1.0,4
2023-06-26 12:16:00,1000,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 12:17:00,1000,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 12:18:00,1000,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 12:30:00,587,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 12:31:00,470,1.0057,1.0,1.01,1.01,1.0,3
2023-06-26 12:32:00,250,1.01,1.01,1.01,1.01,1.01,1
2023-06-26 12:49:00,200,1.0,1.0,1.0,1.0,1.0,1
2023-06-26 12:50:00,1800,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 12:53:00,2000,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 12:54:00,1000,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 13:03:00,713,0.99,0.99,0.99,0.99,0.99,1
2023-06-26 13:05:00,100,1.0,1.0,1.0,1.0,1.0,1
2023-06-26 13:25:00,225,0.9908,0.9909,0.9909,0.9909,0.9909,3
2023-06-26 13:26:00,1100,1.0009,1.0,1.01,1.01,1.0,4
2023-06-26 13:30:00,25277,1.0052,1.01,0.9901,1.01,0.9901,23
2023-06-26 13:31:00,3210,0.9955,0.9975,0.995,0.9975,0.9902,4
2023-06-26 13:32:00,41579,0.9978,0.9999,1.0,1.0,0.995,14
2023-06-26 13:33:00,2422,1.0094,1.0079,1.0095,1.0095,1.0079,2
2023-06-26 13:34:00,2000,1.0005,1.0001,1.0009,1.0009,1.0001,2
2023-06-26 13:35:00,6725,1.0001,1.005,0.9951,1.005,0.9951,15
2023-06-26 13:37:00,4262,0.9953,0.995,0.9999,0.9999,0.995,3
2023-06-26 13:38:00,950,0.9976,0.9967,1.0,1.0,0.9967,2
2023-06-26 13:39:00,350,0.9929,0.9999,0.9901,0.9999,0.9901,2
2023-06-26 13:41:00,24004,0.9901,0.9902,0.9901,0.9902,0.9901,68
2023-06-26 13:42:00,2250,0.9951,0.9902,1.0,1.0,0.9902,3
2023-06-26 13:43:00,27056,0.9902,0.9901,0.990298,0.9903,0.9901,9
2023-06-26 13:44:00,31645,0.9905,0.9908,0.9901,0.9908,0.9901,14
2023-06-26 13:45:00,2129,0.9903,0.9901,0.9901,0.9901,0.9901,8
2023-06-26 13:46:00,18337,0.9901,0.9901,0.99,0.9901,0.99,13
2023-06-26 13:47:00,10062,0.9938,0.993501,0.9969,0.9969,0.993501,3
2023-06-26 13:48:00,28606,0.9904,0.990101,0.9969,0.9969,0.99,10
2023-06-26 13:49:00,31275,0.9905,0.99,0.9969,0.9969,0.99,20
2023-06-26 13:50:00,15132,0.9968,0.9968,0.9968,0.9968,0.9968,7
2023-06-26 13:51:00,16036,0.9914,0.99345,0.992848,0.9939,0.99,19
2023-06-26 13:52:00,63335,0.9878,0.99,0.9755,0.99,0.9755,59
2023-06-26 13:53:00,37781,0.9681,0.976,0.979799,0.98,0.96,21
2023-06-26 13:54:00,6210,0.9709,0.969951,0.9798,0.9799,0.969951,19
2023-06-26 13:55:00,1868,0.9748,0.97,0.9799,0.9799,0.97,7
2023-06-26 13:56:00,29780,0.9687,0.9799,0.963169,0.9799,0.962,17
2023-06-26 13:57:00,17025,0.9737,0.9799,0.9714,0.9799,0.9631,13
2023-06-26 13:58:00,50233,0.9575,0.9798,0.95,0.9798,0.95,58
2023-06-26 13:59:00,12845,0.9651,0.968,0.9636,0.968,0.95,18
2023-06-26 14:00:00,3103,0.955,0.955,0.955,0.955,0.955,7
2023-06-26 14:01:00,8545,0.955,0.955,0.9599,0.9599,0.9533,12
2023-06-26 14:02:00,1416,0.9579,0.9599,0.9566,0.9599,0.9566,6
2023-06-26 14:03:00,3500,0.9546,0.9546,0.9545,0.9546,0.9545,9
2023-06-26 14:04:00,15407,0.9517,0.9501,0.952,0.9546,0.95,20
2023-06-26 14:05:00,26472,0.9508,0.9501,0.9501,0.952,0.9501,11
2023-06-26 14:06:00,21227,0.9523,0.952,0.9547,0.9547,0.950244,40
2023-06-26 14:07:00,16834,0.9544,0.9547,0.9547,0.9547,0.9541,19
2023-06-26 14:08:00,7209,0.9539,0.9547,0.9519,0.9547,0.9519,35
2023-06-26 14:09:00,5012,0.9524,0.9524,0.9524,0.9524,0.9524,4
2023-06-26 14:10:00,7024,0.9509,0.9503,0.9525,0.9525,0.9503,7
2023-06-26 14:11:00,27115,0.9504,0.9503,0.95,0.954,0.95,47
2023-06-26 14:12:00,72943,0.9405,0.9502,0.93345,0.9502,0.925,276
2023-06-26 14:13:00,21467,0.933,0.93,0.9302,0.9398,0.927,44
2023-06-26 14:14:00,2302,0.9354,0.9302,0.9397,0.9397,0.9302,9
2023-06-26 14:16:00,38938,0.9364,0.9345,0.954,0.954,0.9345,67
2023-06-26 14:17:00,18371,0.9468,0.9575,0.94025,0.9576,0.94025,35
2023-06-26 14:18:00,4663,0.9428,0.9449,0.9403,0.945,0.9355,11
