t,v,vw,o,c,h,l,n
2024-04-01 08:15:00,180,0.5603,0.5603,0.5603,0.5603,0.5603,1
2024-04-01 12:58:00,2000,0.6,0.6,0.6,0.6,0.6,1
2024-04-01 13:30:00,10373,0.5907,0.5907,0.5907,0.5907,0.5907,12
2024-04-01 13:31:00,1446,0.5893,0.594999,0.58,0.594999,0.58,9
2024-04-01 13:33:00,100,0.5878,0.58775,0.58775,0.58775,0.58775,1
2024-04-01 13:34:00,5258,0.5806,0.5801,0.5775,0.5875,0.5775,18
2024-04-01 13:35:00,500,0.5762,0.5754,0.5775,0.5775,0.5754,5
2024-04-01 13:36:00,675,0.5765,0.5754,0.5775,0.5775,0.5754,9
2024-04-01 13:37:00,4398,0.5765,0.5764,0.5775,0.5775,0.5764,8
2024-04-01 13:38:00,7001,0.5759,0.58,0.575645,0.58,0.5755,8
2024-04-01 13:39:00,300,0.5754,0.5754,0.5754,0.5754,0.5754,1
2024-04-01 13:41:00,125,0.5928,0.5952,0.5952,0.5952,0.5952,3
2024-04-01 13:46:00,670,0.5938,0.594,0.594,0.594,0.594,2
2024-04-01 13:49:00,100,0.5756,0.5756,0.5756,0.5756,0.5756,1
2024-04-01 13:51:00,100,0.5756,0.5756,0.5756,0.5756,0.5756,1
2024-04-01 13:53:00,100,0.5756,0.5756,0.5756,0.5756,0.5756,1
2024-04-01 13:55:00,100,0.5756,0.5756,0.5756,0.5756,0.5756,1
2024-04-01 13:56:00,5785,0.5757,0.5755,0.5767,0.5772,0.5755,21
2024-04-01 13:59:00,105,0.5893,0.589,0.589,0.589,0.589,2
2024-04-01 14:07:00,145,0.5831,0.58,0.58,0.58,0.58,3
2024-04-01 14:09:00,100,0.58,0.58,0.58,0.58,0.58,1
2024-04-01 14:12:00,103,0.5803,0.58,0.58,0.58,0.58,2
2024-04-01 14:14:00,100,0.58,0.58,0.58,0.58,0.58,1
2024-04-01 14:15:00,701,0.5861,0.585,0.5889,0.5889,0.585,5
2024-04-01 14:16:00,300,0.5866,0.5899,0.58,0.5899,0.58,2
2024-04-01 14:17:00,554,0.5891,0.589,0.589,0.589,0.589,2
2024-04-01 14:18:00,227,0.5827,0.58,0.58,0.58,0.58,5
2024-04-01 14:20:00,1305,0.5863,0.58693,0.58,0.589,0.58,6
2024-04-01 14:21:00,500,0.58,0.58,0.58,0.58,0.58,1
2024-04-01 14:22:00,800,0.5831,0.585,0.58,0.585,0.58,3
2024-04-01 14:23:00,10854,0.5748,0.58,0.57,0.58,0.57,32
2024-04-01 14:26:00,100,0.5613,0.5613,0.5613,0.5613,0.5613,1
2024-04-01 14:27:00,100,0.5627,0.5627,0.5627,0.5627,0.5627,1
2024-04-01 14:29:00,100,0.5627,0.5627,0.5627,0.5627,0.5627,1
2024-04-01 14:32:00,479,0.5676,0.5712,0.5712,0.5712,0.5712,6
2024-04-01 14:33:00,200,0.58,0.58,0.58,0.58,0.58,1
2024-04-01 14:34:00,425,0.5627,0.562675,0.562675,0.562675,0.562675,3
2024-04-01 14:35:00,5400,0.5627,0.5625,0.575,0.575,0.5625,7
2024-04-01 14:36:00,145,0.5652,0.5625,0.5625,0.5625,0.5625,2
2024-04-01 14:37:00,100,0.5625,0.5625,0.5625,0.5625,0.5625,1
2024-04-01 14:39:00,135,0.5648,0.5625,0.5625,0.5625,0.5625,2
2024-04-01 14:41:00,221,0.5668,0.57125,0.5625,0.57125,0.5625,4
2024-04-01 14:44:00,179,0.5676,0.5625,0.5625,0.5625,0.5625,3
2024-04-01 14:47:00,300,0.5681,0.568,0.568,0.5684,0.568,3
2024-04-01 14:48:00,143,0.5697,0.568,0.568,0.568,0.568,2
2024-04-01 14:49:00,1300,0.5681,0.5681,0.5684,0.5684,0.568,4
2024-04-01 14:50:00,100,0.5685,0.5685,0.5685,0.5685,0.5685,1
2024-04-01 14:51:00,342,0.569,0.5685,0.568,0.5685,0.568,5
2024-04-01 14:52:00,1700,0.5751,0.5685,0.568,0.58,0.568,5
2024-04-01 14:57:00,1824,0.579,0.5799,0.5799,0.5799,0.5799,6
2024-04-01 14:58:00,100,0.5622,0.5622,0.5622,0.5622,0.5622,1
2024-04-01 15:04:00,1143,0.5729,0.574951,0.5799,0.5799,0.5622,6
2024-04-01 15:05:00,1800,0.5721,0.5626,0.5787,0.58,0.5626,8
2024-04-01 15:06:00,100,0.58,0.58,0.58,0.58,0.58,1
2024-04-01 15:10:00,5463,0.5634,0.563,0.5626,0.5795,0.5626,6
2024-04-01 15:11:00,3450,0.5789,0.5799,0.5627,0.5799,0.5627,4
2024-04-01 15:23:00,200,0.5665,0.5621,0.57095,0.57095,0.5621,2
2024-04-01 15:26:00,100,0.5622,0.5622,0.5622,0.5622,0.5622,1
2024-04-01 15:28:00,181,0.5701,0.5622,0.5622,0.5622,0.5622,2
2024-04-01 15:34:00,100,0.571,0.57095,0.57095,0.57095,0.57095,1
2024-04-01 15:35:00,200,0.5665,0.562,0.571,0.571,0.562,2
2024-04-01 15:38:00,100,0.563,0.563,0.563,0.563,0.563,1
2024-04-01 15:41:00,100,0.562,0.562,0.562,0.562,0.562,1
2024-04-01 15:43:00,225,0.5712,0.562,0.5789,0.5789,0.562,4
2024-04-01 15:44:00,119,0.5657,0.563,0.563,0.563,0.563,2
2024-04-01 15:46:00,200,0.5709,0.5709,0.5709,0.5709,0.5709,1
2024-04-01 15:47:00,120,0.5621,0.5621,0.5621,0.5621,0.5621,2
2024-04-01 15:50:00,100,0.562,0.562,0.562,0.562,0.562,1
2024-04-01 15:53:00,156,0.5659,0.563,0.563,0.563,0.563,2
2024-04-01 15:56:00,200,0.562,0.562,0.562,0.562,0.562,2
2024-04-01 15:59:00,110,0.5628,0.562,0.562,0.562,0.562,2
2024-04-01 16:03:00,100,0.562,0.562,0.562,0.562,0.562,1
2024-04-01 16:05:00,100,0.571,0.57095,0.57095,0.57095,0.57095,1
2024-04-01 16:06:00,100,0.562,0.562,0.562,0.562,0.562,1
2024-04-01 16:12:00,100,0.562,0.562,0.562,0.562,0.562,1
2024-04-01 16:17:00,5264,0.5792,0.5789,0.56155,0.5799,0.56155,21
2024-04-01 16:20:00,613,0.5692,0.5705,0.5705,0.5705,0.5705,6
2024-04-01 16:21:00,600,0.5757,0.5784,0.5784,0.5784,0.5784,3
2024-04-01 16:23:00,103,0.5621,0.5621,0.5621,0.5621,0.5621,2
2024-04-01 16:24:00,500,0.5784,0.5784,0.5784,0.5784,0.5784,1
2024-04-01 16:25:00,209,0.5706,0.5621,0.5799,0.5799,0.5621,4
2024-04-01 16:28:00,100,0.5621,0.5621,0.5621,0.5621,0.5621,1
2024-04-01 16:30:00,904,0.5705,0.5705,0.5705,0.5705,0.563,11
2024-04-01 16:31:00,600,0.5715,0.5705,0.5751,0.5751,0.5705,5
2024-04-01 16:32:00,1977,0.572,0.5727,0.5705,0.5727,0.5705,14
2024-04-01 16:36:00,400,0.5646,0.561139,0.5749,0.5749,0.561139,2
2024-04-01 16:37:00,100,0.5621,0.5621,0.5621,0.5621,0.5621,1
2024-04-01 16:41:00,109,0.5626,0.5615,0.5615,0.5615,0.5615,2
2024-04-01 16:44:00,103,0.562,0.5616,0.5616,0.5616,0.5616,2
2024-04-01 16:47:00,225,0.5655,0.5616,0.568,0.568,0.5616,3
2024-04-01 16:48:00,913,0.5711,0.57,0.5714,0.5714,0.57,5
2024-04-01 16:49:00,104,0.5749,0.5749,0.5749,0.5749,0.5749,4
2024-04-01 16:57:00,200,0.5688,0.5749,0.5626,0.5749,0.5626,2
2024-04-01 16:58:00,400,0.568,0.56795,0.56795,0.56795,0.56795,1
2024-04-01 17:01:00,129,0.5637,0.5626,0.5626,0.5626,0.5626,2
2024-04-01 17:02:00,1000,0.5611,0.5611,0.5611,0.5611,0.5611,1
2024-04-01 17:06:00,200,0.568,0.562,0.574,0.574,0.562,2
2024-04-01 17:07:00,1049,0.5624,0.562,0.563926,0.563926,0.5612,11
2024-04-01 17:09:00,100,0.5739,0.5739,0.5739,0.5739,0.5739,1
2024-04-01 17:11:00,271,0.5617,0.5613,0.5613,0.5613,0.5613,4
2024-04-01 17:12:00,120,0.571,0.571,0.571,0.571,0.571,3
2024-04-01 17:13:00,500,0.5709,0.5709,0.5709,0.5709,0.5709,2
2024-04-01 17:15:00,108,0.562,0.5613,0.5613,0.5613,0.5613,2
2024-04-01 17:16:00,100,0.5685,0.5685,0.5685,0.5685,0.5685,1
2024-04-01 17:18:00,2900,0.5707,0.571,0.571,0.571,0.571,3
2024-04-01 17:21:00,533,0.5611,0.561,0.561,0.5615,0.561,5
2024-04-01 17:22:00,250,0.561,0.561,0.561,0.561,0.561,6
2024-04-01 17:23:00,516,0.5675,0.5655,0.5655,0.5688,0.5655,4
2024-04-01 17:25:00,350,0.56,0.56,0.5601,0.5601,0.56,3
2024-04-01 17:26:00,100,0.5683,0.56825,0.56825,0.56825,0.56825,1
2024-04-01 17:29:00,105,0.56,0.56,0.56,0.56,0.56,1
2024-04-01 17:30:00,609,0.5699,0.5709,0.5709,0.5709,0.5709,6
2024-04-01 17:32:00,700,0.5687,0.5609,0.5655,0.5709,0.5609,3
2024-04-01 17:33:00,272,0.5705,0.571,0.571,0.571,0.571,2
