t,v,vw,o,c,h,l,n
2023-05-01 13:30:00,3922,40.4077,40.41,40.41,40.41,40.41,15
2023-05-01 13:32:00,228,40.3346,40.31,40.365,40.365,40.31,7
2023-05-01 13:33:00,510,40.368,40.3675,40.365,40.37,40.365,9
2023-05-01 13:34:00,706,40.3697,40.375,40.3522,40.375,40.3522,8
2023-05-01 13:35:00,4594,40.4788,40.375,40.505,40.55,40.375,55
2023-05-01 13:36:00,342,40.4715,40.4655,40.4655,40.4655,40.4655,6
2023-05-01 13:37:00,2682,40.5254,40.5,40.52,40.59,40.5,44
2023-05-01 13:38:00,2113,40.6016,40.59,40.59,40.61,40.58,29
2023-05-01 13:39:00,331,40.687,40.62,40.675,40.675,40.62,11
2023-05-01 13:40:00,4037,40.7351,40.68,40.7,40.75,40.68,46
2023-05-01 13:41:00,164,40.7357,40.76,40.76,40.76,40.76,13
2023-05-01 13:42:00,2696,40.6526,40.67,40.63,40.67,40.63,43
2023-05-01 13:43:00,2393,40.6274,40.65,40.6,40.65,40.6,36
2023-05-01 13:44:00,421,40.598,40.6,40.6,40.6,40.6,7
2023-05-01 13:46:00,643,40.6033,40.6,40.6,40.605,40.6,5
2023-05-01 13:47:00,1910,40.6477,40.659,40.605,40.659,40.605,9
2023-05-01 13:48:00,237,40.6578,40.66,40.66,40.66,40.66,6
2023-05-01 13:49:00,816,40.6089,40.6086,40.6086,40.6086,40.6086,3
2023-05-01 13:50:00,975,40.6615,40.66,40.66,40.66,40.66,15
2023-05-01 13:51:00,878,40.679,40.66,40.685,40.7,40.66,17
2023-05-01 13:52:00,1108,40.6817,40.685,40.685,40.685,40.68,11
2023-05-01 13:53:00,3628,40.6601,40.665,40.64,40.68,40.64,49
2023-05-01 13:55:00,5837,40.6319,40.64,40.57,40.665,40.57,92
2023-05-01 13:56:00,633,40.5496,40.56,40.54,40.56,40.54,8
2023-05-01 13:58:00,825,40.5024,40.52,40.5,40.52,40.5,6
2023-05-01 13:59:00,1202,40.5396,40.53,40.555,40.555,40.53,32
2023-05-01 14:00:00,2393,40.5036,40.52,40.49,40.58,40.48,41
2023-05-01 14:01:00,5278,40.48,40.485,40.46,40.485,40.46,5
2023-05-01 14:02:00,1267,40.5392,40.53,40.565,40.565,40.52,34
2023-05-01 14:03:00,947,40.6025,40.575,40.605,40.62,40.575,17
2023-05-01 14:05:00,1097,40.633,40.655,40.625,40.655,40.61,21
2023-05-01 14:06:00,1098,40.5995,40.62,40.59,40.62,40.59,23
2023-05-01 14:09:00,1016,40.5692,40.535,40.605,40.605,40.535,38
2023-05-01 14:10:00,744,40.6292,40.61,40.635,40.64,40.61,22
2023-05-01 14:11:00,601,40.65,40.65,40.65,40.65,40.65,7
2023-05-01 14:13:00,559,40.655,40.655,40.635,40.69,40.635,10
2023-05-01 14:14:00,3719,40.6663,40.6321,40.685,40.705,40.6321,27
2023-05-01 14:15:00,1387,40.7291,40.71,40.75,40.75,40.705,38
2023-05-01 14:16:00,2445,40.786,40.7789,40.808,40.82,40.75,39
2023-05-01 14:19:00,512,40.8242,40.82,40.845,40.845,40.82,17
2023-05-01 14:20:00,909,40.7998,40.8,40.795,40.8,40.795,20
2023-05-01 14:21:00,2034,40.7861,40.795,40.77,40.81,40.76,28
2023-05-01 14:22:00,1010,40.7666,40.77,40.77,40.77,40.755,40
2023-05-01 14:23:00,1635,40.7655,40.77,40.76,40.77,40.75,38
2023-05-01 14:26:00,599,40.7381,40.7382,40.7382,40.7382,40.7382,6
2023-05-01 14:27:00,695,40.7377,40.74,40.735,40.74,40.735,19
2023-05-01 14:28:00,373,40.7377,40.7495,40.735,40.7495,40.735,11
2023-05-01 14:29:00,435,40.7351,40.735,40.735,40.735,40.735,16
2023-05-01 14:30:00,2611,40.7528,40.75,40.75,40.76,40.75,48
2023-05-01 14:31:00,444,40.751,40.75,40.75,40.75,40.75,9
2023-05-01 14:32:00,2225,40.7627,40.76,40.77,40.77,40.76,43
2023-05-01 14:35:00,1540,40.7765,40.77,40.785,40.785,40.77,37
2023-05-01 14:36:00,315,40.7855,40.785,40.785,40.785,40.785,12
2023-05-01 14:37:00,1694,40.8027,40.79,40.81,40.81,40.79,22
2023-05-01 14:38:00,2414,40.8547,40.83,40.87,40.87,40.83,33
2023-05-01 14:39:00,2771,40.8297,40.83,40.82,40.8549,40.81,58
2023-05-01 14:40:00,817,40.7888,40.79,40.795,40.795,40.79,22
2023-05-01 14:41:00,1489,40.7854,40.785,40.78,40.79,40.78,30
2023-05-01 14:42:00,3788,40.7978,40.78,40.8,40.82,40.78,80
2023-05-01 14:44:00,3454,40.884,40.87,40.91,40.91,40.87,36
2023-05-01 14:45:00,129,40.911,40.91,40.91,40.91,40.91,6
2023-05-01 14:46:00,439,40.9125,40.94,40.94,40.94,40.94,10
2023-05-01 14:47:00,236,40.9487,40.96,40.94,40.96,40.94,4
2023-05-01 14:49:00,241,40.9402,40.94,40.94,40.94,40.94,8
2023-05-01 14:50:00,1597,40.9328,40.92,40.92,40.95,40.92,42
2023-05-01 14:51:00,2444,40.8925,40.89,40.9,40.92,40.87,37
2023-05-01 14:53:00,1108,40.8806,40.895,40.875,40.895,40.86,31
2023-05-01 14:54:00,967,40.836,40.83,40.83,40.83,40.83,21
2023-05-01 14:55:00,1281,40.7877,40.8,40.7875,40.8,40.7875,16
2023-05-01 14:56:00,403,40.7736,40.77,40.77,40.77,40.77,10
2023-05-01 14:57:00,1146,40.7688,40.77,40.77,40.7779,40.77,30
2023-05-01 14:58:00,3929,40.8005,40.79,40.845,40.845,40.78,64
2023-05-01 14:59:00,428,40.827,40.82,40.81,40.84,40.81,19
2023-05-01 15:01:00,147,40.8146,40.8143,40.8143,40.8143,40.8143,3
2023-05-01 15:02:00,1168,40.7802,40.8,40.76,40.8,40.76,31
2023-05-01 15:03:00,492,40.7099,40.73,40.69,40.73,40.69,16
2023-05-01 15:04:00,3600,40.6562,40.71,40.63,40.71,40.63,33
2023-05-01 15:05:00,413,40.6274,40.63,40.63,40.63,40.63,12
2023-05-01 15:06:00,3738,40.619,40.63,40.61,40.63,40.54,63
2023-05-01 15:08:00,4263,40.6064,40.61,40.58,40.64,40.58,56
2023-05-01 15:09:00,306,40.5602,40.56,40.56,40.56,40.56,8
2023-05-01 15:12:00,620,40.5331,40.5475,40.53,40.5475,40.53,15
2023-05-01 15:13:00,3945,40.5031,40.51,40.475,40.51,40.475,29
2023-05-01 15:14:00,3490,40.5123,40.49,40.54,40.54,40.49,74
2023-05-01 15:15:00,6008,40.494,40.495,40.495,40.5,40.47,26
2023-05-01 15:16:00,649,40.5068,40.495,40.5,40.53,40.495,11
2023-05-01 15:17:00,1643,40.5235,40.53,40.5,40.54,40.5,29
2023-05-01 15:18:00,1880,40.4683,40.46,40.47,40.47,40.46,27
2023-05-01 15:19:00,129,40.4697,40.47,40.47,40.47,40.47,2
2023-05-01 15:20:00,1217,40.4731,40.46,40.47,40.48,40.46,23
2023-05-01 15:21:00,1762,40.4934,40.5,40.49,40.5,40.48,30
2023-05-01 15:22:00,829,40.4928,40.49,40.5,40.5,40.49,10
2023-05-01 15:23:00,4238,40.4858,40.52,40.47,40.52,40.46,71
2023-05-01 15:24:00,338,40.4829,40.485,40.48,40.485,40.48,11
2023-05-01 15:25:00,1082,40.4684,40.4651,40.475,40.475,40.4651,28
2023-05-01 15:26:00,2355,40.4766,40.455,40.48,40.48,40.455,36
2023-05-01 15:27:00,540,40.5039,40.5,40.5,40.5,40.5,14
2023-05-01 15:28:00,1433,40.4823,40.49,40.5,40.5,40.465,32
2023-05-01 15:29:00,580,40.4947,40.495,40.495,40.495,40.495,7
2023-05-01 15:30:00,688,40.4996,40.5,40.5,40.5,40.5,13
2023-05-01 15:31:00,2658,40.5301,40.5,40.55,40.55,40.5,47
2023-05-01 15:32:00,661,40.5106,40.53,40.51,40.53,40.51,14
2023-05-01 15:33:00,372,40.4976,40.5,40.5,40.5,40.5,10
2023-05-01 15:34:00,115,40.5007,40.5,40.5,40.5,40.5,2
2023-05-01 15:36:00,683,40.4909,40.49,40.49,40.49,40.49,12
2023-05-01 15:37:00,341,40.4919,40.49,40.49,40.49,40.49,16
2023-05-01 15:38:00,420,40.4805,40.49,40.47,40.49,40.47,6
2023-05-01 15:39:00,696,40.5151,40.52,40.52,40.52,40.505,23
2023-05-01 15:40:00,1900,40.5269,40.52,40.54,40.54,40.52,34
2023-05-01 15:41:00,772,40.5159,40.51,40.52,40.52,40.51,16
2023-05-01 15:42:00,2396,40.5131,40.5,40.52,40.52,40.5,45
2023-05-01 15:43:00,303,40.5232,40.53,40.53,40.53,40.53,11
2023-05-01 15:44:00,103,40.5103,40.51,40.51,40.51,40.51,2
2023-05-01 15:45:00,1241,40.5481,40.55,40.54,40.55,40.54,30
2023-05-01 15:46:00,670,40.5249,40.52,40.5499,40.5499,40.52,10
2023-05-01 15:47:00,1974,40.5298,40.52,40.54,40.54,40.52,38
2023-05-01 15:48:00,4457,40.5216,40.51,40.53,40.53,40.5,65
2023-05-01 15:49:00,390,40.5408,40.54,40.54,40.54,40.54,22
2023-05-01 15:50:00,641,40.5395,40.535,40.535,40.54,40.535,12
2023-05-01 15:51:00,461,40.5637,40.56,40.57,40.57,40.56,14
2023-05-01 15:52:00,383,40.5499,40.5452,40.5452,40.5452,40.5452,6
2023-05-01 15:53:00,578,40.5757,40.57,40.58,40.58,40.57,19
2023-05-01 15:54:00,2387,40.5797,40.574,40.585,40.59,40.57,42
2023-05-01 15:55:00,303,40.6067,40.6,40.6,40.6,40.6,6
2023-05-01 15:56:00,220,40.5927,40.6,40.58,40.6,40.58,3
2023-05-01 15:57:00,143,40.5987,40.595,40.595,40.595,40.595,6
2023-05-01 15:58:00,2644,40.6318,40.62,40.66,40.66,40.61,42
2023-05-01 15:59:00,334,40.6731,40.675,40.675,40.675,40.675,5
2023-05-01 16:01:00,307,40.6836,40.675,40.675,40.675,40.675,6
2023-05-01 16:03:00,7736,40.693,40.6986,40.71,40.71,40.675,70
2023-05-01 16:05:00,327,40.7099,40.71,40.71,40.71,40.71,7
2023-05-01 16:06:00,1853,40.6987,40.69,40.7,40.71,40.69,62
2023-05-01 16:07:00,356,40.701,40.7,40.7012,40.7012,40.7,5
2023-05-01 16:08:00,360,40.6957,40.695,40.695,40.695,40.695,4
2023-05-01 16:09:00,4513,40.7284,40.71,40.75,40.75,40.71,91
2023-05-01 16:11:00,1281,40.7509,40.75,40.76,40.76,40.75,28
2023-05-01 16:12:00,3775,40.7478,40.75,40.75,40.75,40.745,62
2023-05-01 16:13:00,1574,40.7104,40.73,40.69,40.73,40.69,40
2023-05-01 16:14:00,165,40.6945,40.6966,40.6966,40.6966,40.6966,5
2023-05-01 16:15:00,3138,40.7108,40.7,40.73,40.73,40.6915,59
2023-05-01 16:16:00,240,40.7499,40.75,40.75,40.75,40.75,10
2023-05-01 16:18:00,166,40.7457,40.745,40.745,40.745,40.745,5
2023-05-01 16:19:00,280,40.7483,40.745,40.745,40.745,40.745,14
2023-05-01 16:20:00,343,40.7456,40.7424,40.745,40.745,40.7424,9
2023-05-01 16:22:00,2661,40.7792,40.76,40.8,40.83,40.7472,52
2023-05-01 16:25:00,103,40.8002,40.8,40.8,40.8,40.8,3
2023-05-01 16:26:00,220,40.8018,40.8,40.8,40.8,40.8,3
2023-05-01 16:27:00,1300,40.8329,40.83,40.86,40.86,40.83,28
2023-05-01 16:29:00,102,40.8113,40.811,40.811,40.811,40.811,3
2023-05-01 16:30:00,1914,40.845,40.83,40.87,40.87,40.83,37
2023-05-01 16:31:00,795,40.8895,40.87,40.91,40.91,40.87,23
2023-05-01 16:32:00,1524,40.9046,40.91,40.88,40.935,40.88,43
2023-05-01 16:35:00,725,40.8827,40.88,40.9,40.9,40.88,8
2023-05-01 16:36:00,206,40.8806,40.88,40.88,40.88,40.88,4
2023-05-01 16:37:00,1025,40.8782,40.88,40.88,40.88,40.8732,8
2023-05-01 16:38:00,329,40.8786,40.88,40.88,40.88,40.88,5
2023-05-01 16:39:00,1990,40.9088,40.9,40.94,40.94,40.89,46
2023-05-01 16:40:00,610,40.9366,40.93,40.935,40.95,40.93,7
2023-05-01 16:42:00,140,40.9364,40.935,40.935,40.935,40.935,4
2023-05-01 16:43:00,307,40.9351,40.935,40.935,40.935,40.935,6
2023-05-01 16:44:00,2103,40.9222,40.935,40.915,40.95,40.91,46
2023-05-01 16:45:00,1385,40.8974,40.91,40.89,40.91,40.89,46
2023-05-01 16:46:00,491,40.8813,40.89,40.88,40.89,40.88,17
2023-05-01 16:47:00,812,40.836,40.855,40.81,40.855,40.81,33
2023-05-01 16:48:00,267,40.7939,40.8087,40.8087,40.8087,40.8087,11
2023-05-01 16:49:00,672,40.7579,40.7686,40.75,40.7725,40.75,18
2023-05-01 16:50:00,1838,40.7791,40.78,40.78,40.78,40.78,35
2023-05-01 16:51:00,2192,40.7942,40.775,40.8,40.8,40.775,32
2023-05-01 16:52:00,203,40.7899,40.79,40.79,40.79,40.79,3
2023-05-01 16:53:00,1155,40.775,40.78,40.76,40.78,40.76,37
2023-05-01 16:54:00,373,40.7346,40.75,40.72,40.75,40.72,8
2023-05-01 16:55:00,983,40.6758,40.68,40.7,40.7,40.67,18
2023-05-01 16:56:00,559,40.6737,40.65,40.65,40.65,40.65,11
2023-05-01 16:57:00,205,40.6105,40.59,40.59,40.59,40.59,4
2023-05-01 16:58:00,2900,40.6403,40.59,40.66,40.66,40.59,37
2023-05-01 16:59:00,381,40.6507,40.655,40.655,40.655,40.655,25
2023-05-01 17:00:00,393,40.6297,40.63,40.63,40.63,40.63,14
2023-05-01 17:01:00,201,40.6119,40.61,40.61,40.61,40.61,7
2023-05-01 17:03:00,911,40.6046,40.61,40.6,40.61,40.6,25
2023-05-01 17:06:00,1390,40.6092,40.61,40.5856,40.61,40.5856,37
2023-05-01 17:07:00,121,40.5748,40.57,40.57,40.57,40.57,5
2023-05-01 17:08:00,121,40.584,40.585,40.585,40.585,40.585,4
2023-05-01 17:09:00,726,40.5658,40.57,40.56,40.57,40.56,23
2023-05-01 17:10:00,489,40.5528,40.54,40.56,40.56,40.54,11
2023-05-01 17:11:00,372,40.5424,40.54,40.54,40.54,40.54,13
2023-05-01 17:12:00,1236,40.5305,40.531,40.53,40.531,40.53,13
2023-05-01 17:13:00,732,40.5356,40.55,40.53,40.55,40.53,14
2023-05-01 17:14:00,2362,40.5407,40.55,40.53,40.55,40.52,49
2023-05-01 17:15:00,1861,40.5023,40.51,40.505,40.51,40.495,31
