t,v,vw,o,c,h,l,n
2023-06-12 12:00:00,153,221.6703,221.9,221.9,221.9,221.9,19
2023-06-12 12:10:00,200,221.875,221.75,222.0,222.0,221.75,2
2023-06-12 13:26:00,244,220.8341,220.64,220.64,220.64,220.64,13
2023-06-12 13:28:00,422,220.6423,220.63,220.63,220.63,220.63,8
2023-06-12 13:30:00,25614,220.1981,220.17,220.28,220.55,220.095,299
2023-06-12 13:31:00,11327,219.9222,220.28,219.58,220.28,219.55,222
2023-06-12 13:32:00,13521,219.1432,219.27,219.615,219.64,218.9,169
2023-06-12 13:33:00,5328,219.4145,219.625,218.936,219.81,218.936,102
2023-06-12 13:34:00,16161,218.0716,218.8,218.27,218.8,217.71,355
2023-06-12 13:35:00,7672,218.0625,218.1394,217.96,218.21,217.7916,103
2023-06-12 13:36:00,5931,218.0107,218.3433,217.665,218.5,217.58,112
2023-06-12 13:37:00,13380,217.3184,217.52,217.19,217.79,217.1,202
2023-06-12 13:38:00,8813,217.2958,217.27,217.36,217.53,217.1,190
2023-06-12 13:39:00,2744,217.7159,217.53,217.8,217.81,217.53,91
2023-06-12 13:40:00,4439,217.7365,217.5919,217.63,217.97,217.58,132
2023-06-12 13:41:00,5603,217.5293,217.5,217.87,217.87,217.37,123
2023-06-12 13:42:00,9706,218.0194,217.99,218.06,218.35,217.8504,173
2023-06-12 13:43:00,10294,218.0229,217.92,218.0,218.2399,217.83,180
2023-06-12 13:44:00,22773,217.9884,218.0,217.865,218.24,217.8,377
2023-06-12 13:45:00,12347,217.6607,218.0,217.72,218.0,217.51,214
2023-06-12 13:46:00,11880,217.7065,217.68,217.915,217.915,217.6,206
2023-06-12 13:47:00,7835,217.8338,217.97,218.295,218.365,217.62,164
2023-06-12 13:48:00,7302,217.9909,218.32,217.95,218.32,217.9,110
2023-06-12 13:49:00,11692,218.2889,217.81,218.49,218.74,217.73,180
2023-06-12 13:50:00,9925,218.3795,218.41,218.59,218.59,218.14,113
2023-06-12 13:51:00,10104,218.8621,218.5,219.17,219.2,218.5,173
2023-06-12 13:52:00,4378,219.096,218.8361,219.32,219.33,218.8361,93
2023-06-12 13:53:00,5307,219.3142,219.25,219.51,219.7,219.1849,89
2023-06-12 13:54:00,1683,219.8399,219.69,219.66,219.97,219.66,66
2023-06-12 13:55:00,9449,219.8116,219.91,219.85,220.0,219.61,140
2023-06-12 13:56:00,2438,219.4453,219.56,219.45,219.56,219.35,84
2023-06-12 13:57:00,5286,219.4657,219.39,219.395,219.69,219.2586,73
2023-06-12 13:58:00,3984,219.2776,219.305,219.08,219.47,219.08,104
2023-06-12 13:59:00,4169,219.2531,219.22,219.49,219.51,219.0946,89
2023-06-12 14:00:00,9359,219.8198,219.49,219.985,220.02,219.49,171
2023-06-12 14:01:00,4206,219.7041,219.99,219.73,219.99,219.53,116
2023-06-12 14:02:00,5405,220.0344,219.8,220.04,220.2,219.8,110
2023-06-12 14:03:00,3067,219.6595,219.92,219.56,219.92,219.47,82
2023-06-12 14:04:00,3798,219.417,219.47,219.375,219.55,219.37,105
2023-06-12 14:05:00,21586,218.9846,219.21,218.71,219.38,218.5707,192
2023-06-12 14:06:00,7544,218.9124,218.78,219.11,219.13,218.75,161
2023-06-12 14:07:00,6087,219.2967,219.13,219.23,219.46,219.11,141
2023-06-12 14:08:00,5041,219.1912,219.2,219.33,219.46,219.115,125
2023-06-12 14:09:00,2651,219.2792,219.2851,219.62,219.62,219.06,83
2023-06-12 14:10:00,1927,219.603,219.7247,219.48,219.7247,219.43,48
2023-06-12 14:11:00,2679,219.8059,219.46,219.9147,219.93,219.46,61
2023-06-12 14:12:00,3034,219.7311,219.78,219.845,219.845,219.55,105
2023-06-12 14:13:00,4305,220.1334,219.79,220.24,220.35,219.79,98
2023-06-12 14:14:00,5737,220.3186,220.195,220.34,220.37,220.195,139
2023-06-12 14:15:00,3431,220.3589,220.39,220.21,220.4151,220.21,69
2023-06-12 14:16:00,2744,220.1814,220.25,220.16,220.25,220.16,86
2023-06-12 14:17:00,3290,220.1395,220.0501,220.0748,220.21,220.05,66
2023-06-12 14:18:00,2466,220.0758,220.145,220.15,220.15,219.9786,79
2023-06-12 14:19:00,2821,220.3701,219.97,220.47,220.57,219.97,73
2023-06-12 14:20:00,3670,220.452,220.44,220.515,220.53,220.345,80
2023-06-12 14:21:00,4053,220.4608,220.47,220.54,220.54,220.37,88
2023-06-12 14:22:00,2257,220.231,220.39,220.03,220.39,219.92,86
2023-06-12 14:23:00,4413,219.7828,219.855,219.935,220.0,219.59,132
2023-06-12 14:24:00,686,219.8963,219.87,219.87,219.87,219.87,33
2023-06-12 14:25:00,4634,219.6844,219.67,219.76,219.85,219.47,123
2023-06-12 14:26:00,2280,219.2173,219.4963,219.16,219.4963,219.03,74
2023-06-12 14:27:00,5830,219.2495,219.19,219.3467,219.45,219.11,157
2023-06-12 14:28:00,1606,219.4821,219.43,219.52,219.55,219.4,54
2023-06-12 14:29:00,791,219.5534,219.573,219.58,219.58,219.573,30
2023-06-12 14:30:00,7305,219.4916,219.5,219.44,219.53,219.425,157
2023-06-12 14:31:00,3237,219.6893,219.54,219.88,219.88,219.54,117
2023-06-12 14:32:00,4918,219.5398,219.8149,219.0,219.8149,219.0,87
2023-06-12 14:33:00,7698,219.2093,219.0,219.36,219.47,218.98,184
2023-06-12 14:34:00,1761,219.2245,219.455,219.09,219.455,219.09,52
2023-06-12 14:35:00,6641,218.9455,219.0,218.92,219.05,218.6964,145
2023-06-12 14:36:00,8933,218.804,219.035,218.62,219.035,218.49,168
2023-06-12 14:37:00,5832,218.5316,218.45,218.593,218.71,218.39,128
2023-06-12 14:38:00,4931,218.5499,218.53,218.6893,218.71,218.3901,117
2023-06-12 14:39:00,13957,218.6573,218.7832,218.685,218.7832,218.595,64
2023-06-12 14:40:00,3484,218.7989,218.7,218.866,218.8696,218.68,86
2023-06-12 14:41:00,2088,218.6936,218.74,218.624,218.74,218.6149,48
2023-06-12 14:42:00,3638,218.9201,218.59,219.0,219.13,218.59,113
2023-06-12 14:43:00,2760,218.85,218.81,218.77,218.91,218.75,88
2023-06-12 14:44:00,3757,218.7445,218.77,218.85,218.85,218.55,96
2023-06-12 14:45:00,2773,219.0047,218.8825,219.18,219.18,218.7701,80
2023-06-12 14:46:00,1679,219.1292,219.14,219.03,219.26,218.99,49
2023-06-12 14:47:00,2928,219.0292,219.068,218.88,219.14,218.88,63
2023-06-12 14:48:00,6507,219.1935,218.87,219.52,219.615,218.815,136
2023-06-12 14:49:00,2977,219.4644,219.49,219.45,219.58,219.2267,69
2023-06-12 14:50:00,1003,219.1978,219.23,219.1353,219.23,219.08,41
2023-06-12 14:51:00,1515,219.0997,219.12,219.088,219.155,219.04,43
2023-06-12 14:52:00,11636,219.2295,219.07,219.285,219.4,219.07,249
2023-06-12 14:53:00,1780,219.2778,219.28,219.2,219.37,219.18,29
2023-06-12 14:54:00,5933,219.1549,219.19,219.07,219.27,219.06,118
2023-06-12 14:55:00,3460,219.217,219.1,219.265,219.28,219.1,70
2023-06-12 14:56:00,1861,219.2684,219.315,219.26,219.315,219.24,38
2023-06-12 14:57:00,4796,219.408,219.26,219.56,219.56,219.2,94
2023-06-12 14:58:00,2819,219.5041,219.53,219.51,219.6,219.41,86
2023-06-12 14:59:00,3307,219.353,219.51,219.185,219.54,219.145,73
2023-06-12 15:00:00,3075,219.3105,219.22,219.42,219.44,219.205,66
2023-06-12 15:01:00,5028,219.5795,219.5,219.595,219.7,219.46,111
2023-06-12 15:02:00,6386,219.7277,219.575,219.79,219.93,219.575,105
2023-06-12 15:03:00,5264,219.6998,219.83,219.43,219.84,219.43,98
2023-06-12 15:04:00,986,219.4784,219.54,219.41,219.55,219.41,49
2023-06-12 15:05:00,3768,219.5316,219.47,219.37,219.67,219.37,72
2023-06-12 15:06:00,6010,219.4593,219.42,219.38,219.555,219.27,86
2023-06-12 15:07:00,1435,219.5104,219.54,219.56,219.56,219.52,46
2023-06-12 15:08:00,11339,219.6213,219.6051,219.88,219.88,219.565,138
2023-06-12 15:09:00,2157,219.6661,219.8,219.62,219.8,219.6,76
2023-06-12 15:10:00,1789,219.7278,219.82,219.64,219.82,219.64,51
2023-06-12 15:11:00,2593,219.8079,219.63,219.905,219.91,219.63,87
2023-06-12 15:12:00,1865,219.8418,219.905,219.66,219.905,219.66,46
2023-06-12 15:13:00,8343,219.7445,219.8,219.63,219.81,219.62,176
2023-06-12 15:14:00,1779,219.5855,219.66,219.54,219.66,219.52,44
2023-06-12 15:15:00,5350,219.5217,219.585,219.44,219.64,219.37,112
2023-06-12 15:16:00,2660,219.4798,219.44,219.39,219.54,219.39,65
2023-06-12 15:17:00,4093,219.48,219.4,219.49,219.51,219.35,68
2023-06-12 15:18:00,1927,219.4134,219.5,219.35,219.5,219.33,46
2023-06-12 15:19:00,1934,219.4228,219.35,219.43,219.48,219.35,62
2023-06-12 15:20:00,3190,219.2845,219.28,219.268,219.31,219.205,71
2023-06-12 15:21:00,4989,219.347,219.32,219.35,219.48,219.21,113
2023-06-12 15:22:00,904,219.2607,219.27,219.25,219.27,219.24,37
2023-06-12 15:23:00,11242,219.2569,219.25,219.23,219.3,219.18,148
2023-06-12 15:24:00,8991,219.0245,219.25,218.75,219.26,218.75,174
2023-06-12 15:25:00,4892,218.8258,218.7988,218.92,218.92,218.75,86
2023-06-12 15:26:00,2011,218.8769,218.94,218.9483,218.9483,218.83,42
2023-06-12 15:27:00,3319,218.8463,218.91,218.8555,218.92,218.81,83
2023-06-12 15:28:00,1789,218.8102,218.835,218.69,218.87,218.69,30
2023-06-12 15:29:00,12103,218.7493,218.69,218.88,219.0,218.54,200
2023-06-12 15:30:00,714,218.7552,218.78,218.78,218.78,218.78,36
2023-06-12 15:31:00,4428,218.6196,218.6,218.72,218.72,218.55,73
2023-06-12 15:32:00,4739,218.5564,218.665,218.465,218.77,218.45,128
2023-06-12 15:33:00,5769,218.4981,218.64,218.49,218.64,218.39,120
2023-06-12 15:34:00,2144,218.5839,218.49,218.68,218.68,218.49,55
2023-06-12 15:35:00,11200,218.5433,218.68,218.53,218.68,218.38,181
2023-06-12 15:36:00,7233,218.5092,218.54,218.5,218.6,218.42,142
2023-06-12 15:37:00,1447,218.4632,218.475,218.445,218.48,218.445,52
2023-06-12 15:38:00,4748,218.4244,218.37,218.535,218.59,218.32,95
2023-06-12 15:39:00,1545,218.618,218.6,218.61,218.7,218.545,40
2023-06-12 15:40:00,2069,218.7897,218.73,218.725,218.84,218.725,54
2023-06-12 15:41:00,1540,218.5683,218.62,218.565,218.62,218.4835,51
2023-06-12 15:42:00,1035,218.533,218.4701,218.575,218.58,218.4701,20
2023-06-12 15:43:00,1126,218.586,218.5,218.52,218.6599,218.5,25
2023-06-12 15:44:00,4555,218.4692,218.44,218.46,218.5088,218.43,79
2023-06-12 15:45:00,765,218.4664,218.455,218.45,218.46,218.45,17
2023-06-12 15:46:00,500,218.4472,218.46,218.445,218.46,218.445,33
2023-06-12 15:47:00,2306,218.5048,218.44,218.575,218.59,218.425,88
2023-06-12 15:48:00,1462,218.6696,218.585,218.88,218.88,218.585,57
2023-06-12 15:49:00,1149,218.7471,218.91,218.745,218.91,218.7,35
2023-06-12 15:50:00,196,218.7307,218.72,218.72,218.72,218.72,16
2023-06-12 15:51:00,1316,218.874,218.785,218.9283,218.93,218.785,54
2023-06-12 15:52:00,1259,218.7653,218.845,218.7,218.845,218.7,49
2023-06-12 15:53:00,2290,218.7697,218.755,218.88,218.88,218.74,55
2023-06-12 15:54:00,2198,218.8172,218.69,218.785,218.88,218.69,48
2023-06-12 15:55:00,1690,218.8503,218.87,218.825,218.89,218.77,42
2023-06-12 15:56:00,2846,218.8117,218.8125,218.97,218.97,218.73,60
2023-06-12 15:57:00,2288,218.9848,218.88,219.1768,219.1768,218.88,57
2023-06-12 15:58:00,1127,219.1032,219.14,219.1275,219.16,219.11,31
2023-06-12 15:59:00,680,219.0852,219.065,219.07,219.12,219.065,28
2023-06-12 16:00:00,3141,219.0642,219.07,219.1,219.18,219.01,64
2023-06-12 16:01:00,661,219.022,219.0143,219.0143,219.0143,219.0143,11
2023-06-12 16:02:00,396,219.1334,219.21,219.08,219.21,219.08,18
2023-06-12 16:03:00,3967,219.0458,219.145,219.01,219.145,219.01,79
2023-06-12 16:04:00,1058,218.9878,218.995,218.995,219.015,218.92,26
2023-06-12 16:05:00,3560,219.0299,219.06,219.005,219.07,218.995,67
2023-06-12 16:06:00,1434,219.0716,219.07,219.05,219.14,219.01,55
2023-06-12 16:07:00,389,219.0855,219.12,219.12,219.12,219.12,17
2023-06-12 16:08:00,1585,219.0633,219.14,219.035,219.14,219.02,51
2023-06-12 16:09:00,1490,218.9926,218.97,219.0,219.015,218.97,44
2023-06-12 16:10:00,643,218.9975,218.975,219.0,219.015,218.975,27
2023-06-12 16:11:00,8731,219.0292,219.0175,219.18,219.23,218.91,224
2023-06-12 16:12:00,1091,219.2813,219.23,219.2698,219.33,219.23,33
2023-06-12 16:13:00,898,219.3481,219.325,219.35,219.428,219.256,18
2023-06-12 16:14:00,2966,219.5121,219.43,219.39,219.6,219.39,108
2023-06-12 16:16:00,697,219.3655,219.3583,219.415,219.415,219.3583,17
2023-06-12 16:17:00,792,219.3626,219.34,219.345,219.345,219.34,36
