t,v,vw,o,c,h,l,n
2023-06-02 11:36:00,479,45.0654,44.99,44.99,44.99,44.99,9
2023-06-02 11:48:00,201,45.2,45.2,45.2,45.2,45.2,3
2023-06-02 12:12:00,150,45.5211,45.5211,45.5211,45.5211,45.5211,1
2023-06-02 13:29:00,341,45.3747,45.37,45.39,45.39,45.37,5
2023-06-02 13:30:00,14885,45.4417,45.43,45.55,45.55,45.43,54
2023-06-02 13:31:00,550,45.5814,45.59,45.62,45.62,45.59,18
2023-06-02 13:32:00,2918,45.6244,45.61,45.62,45.66,45.6,39
2023-06-02 13:33:00,2722,45.4159,45.6,45.38,45.6,45.3756,33
2023-06-02 13:34:00,1079,45.3334,45.3706,45.21,45.3706,45.21,14
2023-06-02 13:35:00,937,45.3502,45.33,45.3887,45.3887,45.31,19
2023-06-02 13:36:00,2424,45.3576,45.3301,45.37,45.39,45.3301,28
2023-06-02 13:37:00,443,45.446,45.41,45.435,45.435,45.41,23
2023-06-02 13:38:00,1062,45.5042,45.46,45.5,45.535,45.46,32
2023-06-02 13:39:00,787,45.4673,45.47,45.48,45.48,45.465,19
2023-06-02 13:40:00,1356,45.4731,45.5,45.46,45.5,45.46,19
2023-06-02 13:41:00,608,45.5269,45.5,45.55,45.55,45.49,13
2023-06-02 13:42:00,6497,45.572,45.56,45.57,45.61,45.56,48
2023-06-02 13:43:00,1026,45.5804,45.6044,45.56,45.61,45.56,33
2023-06-02 13:44:00,593,45.5337,45.53,45.515,45.53,45.515,21
2023-06-02 13:45:00,1332,45.4971,45.49,45.46,45.51,45.46,33
2023-06-02 13:46:00,2280,45.5155,45.49,45.47,45.55,45.47,55
2023-06-02 13:47:00,2196,45.4987,45.43,45.55,45.55,45.43,55
2023-06-02 13:48:00,3284,45.6182,45.6,45.66,45.66,45.57,50
2023-06-02 13:49:00,2652,45.6064,45.64,45.615,45.64,45.555,56
2023-06-02 13:50:00,1459,45.6508,45.6,45.72,45.72,45.6,36
2023-06-02 13:51:00,1200,45.6599,45.705,45.61,45.705,45.61,34
2023-06-02 13:52:00,1725,45.6281,45.6,45.67,45.67,45.59,27
2023-06-02 13:53:00,1211,45.6393,45.66,45.66,45.66,45.62,37
2023-06-02 13:54:00,2606,45.5925,45.635,45.575,45.64,45.54,54
2023-06-02 13:55:00,2964,45.5529,45.55,45.59,45.6,45.53,51
2023-06-02 13:56:00,972,45.6079,45.575,45.6399,45.6399,45.575,26
2023-06-02 13:57:00,1738,45.6402,45.6669,45.61,45.675,45.61,26
2023-06-02 13:58:00,1117,45.5955,45.59,45.6089,45.6089,45.585,25
2023-06-02 13:59:00,1818,45.5842,45.62,45.55,45.62,45.55,40
2023-06-02 14:00:00,1228,45.5257,45.54,45.53,45.54,45.5,38
2023-06-02 14:01:00,4012,45.4849,45.47,45.49,45.52,45.47,34
2023-06-02 14:02:00,2408,45.5194,45.49,45.545,45.56,45.49,37
2023-06-02 14:03:00,1030,45.6042,45.58,45.63,45.63,45.58,26
2023-06-02 14:04:00,2722,45.5944,45.61,45.63,45.63,45.58,54
2023-06-02 14:05:00,1880,45.6555,45.68,45.67,45.68,45.64,50
2023-06-02 14:06:00,1007,45.6608,45.65,45.69,45.69,45.65,25
