t,v,vw,o,c,h,l,n
2023-10-24 11:06:00,38.55,12.306,12.304,12.304,12.304,12.304,3
2023-10-24 12:30:00,5.0,13.108,13.108,13.108,13.108,13.108,1
2023-10-24 12:31:00,6.2,13.126,13.126,13.126,13.126,13.126,1
2023-10-24 13:32:00,50.0,12.6,12.6,12.6,12.6,12.6,1
2023-10-24 13:33:00,87.55,12.766,12.604,12.89,12.89,12.6,3
2023-10-24 13:34:00,100.0,12.796,12.89,12.702,12.89,12.702,2
2023-10-24 13:35:00,50.0,12.802,12.8,12.802,12.802,12.8,2
2023-10-24 13:36:00,100.0,12.746,12.602,12.89,12.89,12.602,2
2023-10-24 13:37:00,100.15,12.944,13.0,12.89,13.0,12.89,5
2023-10-24 13:50:00,10.0,12.8,12.8,12.8,12.8,12.8,1
2023-10-24 13:51:00,15.5,12.8,12.8,12.8,12.8,12.8,3
2023-10-24 14:02:00,8.55,12.7,12.7,12.7,12.7,12.7,3
2023-10-24 14:05:00,50.0,12.888,12.888,12.888,12.888,12.888,1
2023-10-24 14:06:00,100.0,12.712,12.714,12.71,12.714,12.71,2
2023-10-24 14:07:00,60.35,12.688,13.092,12.604,13.092,12.604,3
2023-10-24 14:08:00,100.0,12.604,12.602,12.604,12.604,12.602,4
2023-10-24 14:09:00,247.65,12.796,12.89,12.714,12.89,12.604,3
2023-10-24 14:14:00,79.6,12.6,12.602,12.6,12.602,12.6,9
2023-10-24 14:32:00,128.2,12.41,12.41,12.41,12.41,12.41,2
2023-10-24 14:35:00,16.5,12.426,12.412,12.412,12.412,12.412,2
2023-10-24 14:36:00,250.0,12.414,12.414,12.414,12.414,12.414,1
2023-10-24 14:40:00,5.0,12.412,12.412,12.412,12.412,12.412,1
2023-10-24 14:42:00,444.2,12.41,12.42,12.402,12.42,12.402,22
2023-10-24 14:43:00,8.85,12.42,12.42,12.42,12.42,12.42,1
2023-10-24 14:44:00,416.3,12.29,12.402,12.228,12.402,12.04,27
2023-10-24 14:45:00,70.0,12.04,12.05,12.024,12.146,12.024,9
2023-10-24 14:46:00,41.9,12.024,12.01,12.0,12.01,12.0,7
2023-10-24 14:47:00,162.2,12.25,12.25,12.25,12.25,12.25,2
2023-10-24 14:50:00,52.5,12.4,12.4,12.4,12.4,12.4,2
2023-10-24 14:52:00,28.95,12.4,12.4,12.3943,12.4,12.3943,6
2023-10-24 14:59:00,114.4,12.634,12.1046,12.708,12.708,12.1046,11
2023-10-24 15:03:00,100.25,12.148,12.14,12.2,12.2,12.13,19
2023-10-24 15:04:00,7.2,12.12,12.12,12.12,12.12,12.12,2
2023-10-24 15:08:00,20.0,12.81,12.81,12.81,12.81,12.81,1
2023-10-24 15:28:00,20.0,12.94,12.94,12.94,12.94,12.94,1
2023-10-24 15:31:00,25.35,12.6,12.6,12.6,12.6,12.6,1
2023-10-24 15:35:00,50.1,12.602,12.6,12.618,12.618,12.6,3
2023-10-24 15:37:00,5.0,12.6,12.6,12.6,12.6,12.6,1
2023-10-24 15:38:00,47.7,12.32,12.32,12.32,12.32,12.32,2
2023-10-24 15:42:00,25.0,12.32,12.32,12.32,12.32,12.32,1
2023-10-24 15:43:00,56.95,12.33,12.34,12.32,12.34,12.32,8
2023-10-24 15:58:00,5.0,12.322,12.322,12.322,12.322,12.322,1
2023-10-24 16:24:00,5.0,12.564,12.564,12.564,12.564,12.564,1
2023-10-24 16:42:00,35.5,12.36,12.36,12.36,12.36,12.36,2
2023-10-24 16:43:00,5.0,12.36,12.36,12.36,12.36,12.36,1
2023-10-24 17:10:00,284.25,12.4,12.4,12.4,12.4,12.4,2
2023-10-24 17:11:00,125.2,12.374,12.4,12.322,12.4,12.322,19
2023-10-24 17:12:00,72.0,12.264,12.304,12.226,12.304,12.226,11
2023-10-24 17:26:00,15.15,12.3,12.3,12.3,12.3,12.3,1
2023-10-24 17:33:00,25.1,12.214,12.222,12.2,12.222,12.2,4
2023-10-24 18:39:00,28.1,12.264,12.398,12.24,12.398,12.24,3
2023-10-24 18:42:00,39.5,12.564,12.564,12.564,12.564,12.564,1
2023-10-24 18:55:00,25.2,12.406,12.408,12.408,12.408,12.408,3
2023-10-24 19:08:00,7.5,12.2,12.2,12.2,12.2,12.2,1
2023-10-24 19:29:00,25.05,12.562,12.562,12.562,12.562,12.562,2
2023-10-24 19:32:00,25.05,12.562,12.562,12.562,12.562,12.562,2
2023-10-24 19:35:00,15.05,12.56,12.562,12.562,12.562,12.562,2
2023-10-24 19:36:00,15.0,12.562,12.562,12.562,12.562,12.562,1
2023-10-24 19:53:00,25.05,12.56,12.56,12.56,12.56,12.56,2
2023-10-24 20:46:00,5.0,12.598,12.598,12.598,12.598,12.598,1
2023-10-24 21:09:00,17.5,12.4,12.4,12.4,12.4,12.4,1
2023-10-24 21:42:00,7.5,12.4,12.4,12.4,12.4,12.4,1
2023-10-25 09:27:00,5.0,12.92,12.92,12.92,12.92,12.92,1
2023-10-25 11:59:00,6.7,12.74,12.74,12.74,12.74,12.74,3
2023-10-25 12:00:00,46.35,12.606,12.026,12.748,12.748,12.026,7
2023-10-25 12:02:00,10.6,12.746,12.748,12.748,12.748,12.748,4
2023-10-25 12:04:00,5.2,12.754,12.748,12.748,12.748,12.748,2
2023-10-25 12:05:00,9.5,12.748,12.748,12.748,12.748,12.748,1
2023-10-25 13:30:00,17.5,12.522,12.522,12.522,12.522,12.522,1
2023-10-25 13:37:00,5.0,12.4,12.4,12.4,12.4,12.4,1
2023-10-25 14:08:00,10.0,12.4,12.4,12.4,12.4,12.4,3
2023-10-25 14:18:00,5.0,12.344,12.344,12.344,12.344,12.344,1
2023-10-25 14:38:00,7.5,12.28,12.2801,12.2801,12.2801,12.2801,1
2023-10-25 15:09:00,26.25,12.252,12.25,12.25,12.25,12.25,10
2023-10-25 15:15:00,269.85,12.02,12.25,12.0,12.25,12.0,30
2023-10-25 15:17:00,246.65,11.782,11.806,11.78,11.806,11.758,14
2023-10-25 15:24:00,35.0,11.804,11.804,11.804,11.804,11.804,1
2023-10-25 15:26:00,5.0,12.344,12.344,12.344,12.344,12.344,1
2023-10-25 15:29:00,750.0,11.802,11.802,11.802,11.802,11.802,10
2023-10-25 15:31:00,465.1,11.814,11.814,11.812,11.814,11.812,17
2023-10-25 15:32:00,25.3,11.808,11.808,11.808,11.808,11.8052,4
2023-10-25 15:34:00,10.65,11.84,11.842,11.842,11.842,11.842,3
2023-10-25 15:35:00,10.1,11.854,11.864,11.842,11.864,11.842,3
2023-10-25 15:38:00,50.0,12.0,12.0,12.0,12.0,12.0,1
2023-10-25 15:39:00,5.6,11.91,11.91,11.91,11.91,11.91,1
2023-10-25 15:42:00,310.0,11.822,11.822,11.822,11.822,11.822,2
2023-10-25 15:43:00,5.0,12.0,12.0,12.0,12.0,12.0,1
2023-10-25 15:48:00,5.0,11.998,11.998,11.998,11.998,11.998,1
2023-10-25 15:51:00,95.05,12.0,12.0,12.0,12.0,12.0,10
2023-10-25 15:53:00,5.0,11.86,11.86,11.86,11.86,11.86,1
2023-10-25 15:58:00,5.0,12.344,12.344,12.344,12.344,12.344,1
2023-10-25 16:18:00,25.0,12.2,12.2,12.2,12.2,12.2,1
2023-10-25 16:37:00,5.0,12.342,12.342,12.342,12.342,12.342,1
2023-10-25 16:44:00,5.0,12.198,12.198,12.198,12.198,12.198,1
2023-10-25 16:49:00,15.0,11.87,11.87,11.87,11.87,11.87,1
2023-10-25 16:54:00,25.0,12.196,12.18,12.2,12.2,12.18,2
2023-10-25 17:09:00,5.0,12.106,12.106,12.106,12.106,12.106,1
2023-10-25 17:36:00,100.0,12.342,12.342,12.342,12.342,12.342,1
2023-10-25 17:54:00,8.15,12.198,12.198,12.198,12.198,12.198,2
2023-10-25 18:20:00,16.6,11.92,11.92,11.92,11.92,11.92,3
2023-10-25 18:21:00,344.85,11.848,11.91,11.736,11.91,11.736,48
2023-10-25 18:23:00,160.0,11.624,11.612,11.8,11.8,11.612,2
2023-10-25 18:24:00,24.8,11.798,11.8,11.8,11.8,11.8,7
2023-10-25 18:25:00,469.2,11.618,11.7383,11.6,11.7383,11.6,18
2023-10-25 18:26:00,37.75,11.598,11.598,11.598,11.598,11.598,1
2023-10-25 18:27:00,429.5,11.608,11.6,11.98,11.98,11.6,11
2023-10-25 18:30:00,10.0,11.832,11.832,11.832,11.832,11.832,1
2023-10-25 18:52:00,15.5,11.602,11.602,11.602,11.602,11.602,2
2023-10-25 18:53:00,5.0,12.0,12.0,12.0,12.0,12.0,1
2023-10-25 19:12:00,5.0,12.0,12.0,12.0,12.0,12.0,1
2023-10-25 19:15:00,50.0,11.938,11.922,12.0,12.0,11.922,2
2023-10-25 19:18:00,23.6,11.83,11.801,11.801,11.801,11.801,3
2023-10-25 19:19:00,21.6,11.8,11.8,11.8,11.8,11.8,5
2023-10-25 19:55:00,20.0,11.95,12.0,12.0,12.0,12.0,8
2023-10-25 21:09:00,5.0,11.61,11.61,11.61,11.61,11.61,1
2023-10-25 21:12:00,255.0,12.0,12.0,12.0,12.0,12.0,4
2023-10-25 21:14:00,11.9,12.19,12.19,12.19,12.19,12.19,3
2023-10-25 22:24:00,93.3,12.048,12.2,11.978,12.2,11.978,4
2023-10-25 22:46:00,6.2,12.19,12.19,12.19,12.19,12.19,1
2023-10-26 13:30:00,27.3,12.2,12.2,12.2,12.2,12.2,1
2023-10-26 13:47:00,98.0,12.35,12.35,12.35,12.35,12.35,1
2023-10-26 13:51:00,8.45,12.012,12.004,12.004,12.004,12.004,2
2023-10-26 13:56:00,123.1,12.094,12.004,12.38,12.38,12.002,12
2023-10-26 13:57:00,15.0,12.2,12.2,12.2,12.2,12.2,1
2023-10-26 13:59:00,62.5,12.166,12.166,12.166,12.166,12.166,1
2023-10-26 14:02:00,5.75,12.2,12.2,12.2,12.2,12.2,1
2023-10-26 14:51:00,42.8,12.086,12.1,12.002,12.1,12.002,3
2023-10-26 14:52:00,37.4,12.018,12.014,12.026,12.026,12.014,9
2023-10-26 15:11:00,200.0,11.91,12.014,11.8,12.014,11.8,29
2023-10-26 15:21:00,80.35,11.968,12.0,11.914,12.0,11.912,10
2023-10-26 15:28:00,555.0,12.318,12.16,12.4,12.4,12.16,30
2023-10-26 15:29:00,50.0,12.172,12.172,12.172,12.172,12.172,1
2023-10-26 15:33:00,510.9,12.074,12.0,12.312,12.312,12.0,3
2023-10-26 15:53:00,175.0,12.398,12.398,12.398,12.398,12.398,1
2023-10-26 15:58:00,5.0,12.336,12.336,12.336,12.336,12.336,1
2023-10-26 16:01:00,28.3,12.336,12.34,12.336,12.34,12.336,6
2023-10-26 16:09:00,175.0,12.398,12.4,12.4,12.4,12.4,2
2023-10-26 16:10:00,25.0,12.4,12.4,12.4,12.4,12.4,1
2023-10-26 16:12:00,15.15,12.4,12.4,12.4,12.4,12.4,2
2023-10-26 16:19:00,19.15,12.4,12.4,12.4,12.4,12.4,4
2023-10-26 16:24:00,10.0,12.5,12.5,12.5,12.5,12.5,1
2023-10-26 16:25:00,25.05,12.498,12.498,12.498,12.498,12.498,2
2023-10-26 16:37:00,50.0,12.5,12.5,12.5,12.5,12.5,1
2023-10-26 16:38:00,25.0,12.498,12.498,12.498,12.498,12.498,2
2023-10-26 16:46:00,16.45,12.45,12.47,12.47,12.47,12.47,3
2023-10-26 16:50:00,30.0,12.408,12.404,12.402,12.404,12.402,7
2023-10-26 16:52:00,20.0,12.456,12.456,12.456,12.456,12.456,1
2023-10-26 16:54:00,5.0,12.458,12.458,12.458,12.458,12.458,1
2023-10-26 17:12:00,30.0,12.402,12.402,12.4,12.402,12.4,4
2023-10-26 17:16:00,5.0,12.458,12.458,12.458,12.458,12.458,1
2023-10-26 17:22:00,215.0,12.238,12.4,11.914,12.4,11.914,22
2023-10-26 18:17:00,169.45,12.0,12.0,12.0,12.0,12.0,6
2023-10-26 18:36:00,100.0,11.922,12.0,11.914,12.0,11.914,5
2023-10-26 18:53:00,5.0,12.158,12.158,12.158,12.158,12.158,1
2023-10-26 19:25:00,13.7,11.952,11.946,11.946,11.946,11.946,3
2023-10-26 19:52:00,153.05,12.21,12.208,12.208,12.208,12.208,4
2023-10-26 19:53:00,28.35,12.218,12.218,12.218,12.218,12.218,3
2023-10-26 19:57:00,10.3,12.26,12.26,12.26,12.26,12.26,1
2023-10-26 19:58:00,100.05,11.92,11.92,11.92,11.92,11.92,9
2023-10-26 20:49:00,80.5,12.0,12.0,12.0,12.0,12.0,1
2023-10-27 13:32:00,7.85,11.82,11.82,11.82,11.82,11.82,3
2023-10-27 13:35:00,10.0,12.0,12.0,12.0,12.0,12.0,1
2023-10-27 13:44:00,31.95,11.96,12.0,11.82,12.0,11.82,4
2023-10-27 13:56:00,50.0,12.0,12.0,12.0,12.0,12.0,2
2023-10-27 14:14:00,8.05,12.228,12.228,12.228,12.228,12.228,1
2023-10-27 14:15:00,55.3,12.228,12.228,12.228,12.228,12.228,9
2023-10-27 14:20:00,49.0,12.124,12.002,12.298,12.298,12.002,4
2023-10-27 14:22:00,19.5,11.824,11.824,11.824,11.824,11.824,1
2023-10-27 14:23:00,5.0,12.3,12.3,12.3,12.3,12.3,1
2023-10-27 14:27:00,15.1,11.9,11.9,11.9,11.9,11.9,3
2023-10-27 14:28:00,39.9,11.82,11.822,11.82,11.822,11.82,4
2023-10-27 14:38:00,25.45,11.828,11.822,11.822,11.822,11.822,2
2023-10-27 15:00:00,50.0,11.868,12.28,11.822,12.28,11.822,2
