t,v,vw,o,c,h,l,n
2023-05-01 12:46:00,600,5.1,5.1,5.1,5.1,5.1,1
2023-05-01 13:30:00,38333,5.098,5.1,5.15,5.15,5.08,46
2023-05-01 13:31:00,10219,5.1695,5.16,5.1999,5.1999,5.145,22
2023-05-01 13:32:00,15926,5.2024,5.19,5.21,5.22,5.19,65
2023-05-01 13:33:00,2625,5.2372,5.1969,5.2699,5.2699,5.1969,16
2023-05-01 13:34:00,1507,5.2457,5.2456,5.23,5.27,5.23,8
2023-05-01 13:35:00,1480,5.215,5.26,5.2,5.26,5.197,31
2023-05-01 13:36:00,1700,5.2075,5.2,5.2138,5.22,5.2,6
2023-05-01 13:37:00,1005,5.1801,5.195,5.17,5.195,5.17,4
2023-05-01 13:38:00,125,5.192,5.19,5.19,5.19,5.19,2
2023-05-01 13:39:00,985,5.19,5.19,5.19,5.19,5.19,12
2023-05-01 13:40:00,2305,5.2176,5.215,5.22,5.22,5.215,13
2023-05-01 13:41:00,655,5.2167,5.22,5.21,5.22,5.21,15
2023-05-01 13:43:00,275,5.211,5.21,5.21,5.21,5.21,6
2023-05-01 13:45:00,959,5.2101,5.21,5.21,5.21,5.21,20
2023-05-01 13:46:00,300,5.2143,5.2199,5.205,5.2199,5.205,4
2023-05-01 13:47:00,1905,5.1956,5.2099,5.18,5.21,5.18,33
2023-05-01 13:48:00,2253,5.1971,5.19,5.2,5.2,5.19,41
2023-05-01 13:49:00,1287,5.1968,5.1901,5.2,5.2,5.1901,13
2023-05-01 13:51:00,201,5.195,5.195,5.195,5.195,5.195,2
2023-05-01 13:52:00,1497,5.1905,5.19,5.19,5.19,5.19,19
2023-05-01 13:53:00,2248,5.1795,5.1899,5.17,5.1899,5.17,23
2023-05-01 13:54:00,700,5.167,5.16,5.16,5.16,5.16,3
2023-05-01 13:55:00,160,5.1736,5.1727,5.1727,5.1727,5.1727,3
2023-05-01 13:57:00,2661,5.1613,5.16,5.17,5.17,5.16,37
2023-05-01 13:58:00,311,5.1797,5.1899,5.16,5.1899,5.16,4
2023-05-01 14:00:00,1332,5.1648,5.16,5.16,5.17,5.16,22
2023-05-01 14:01:00,4495,5.1447,5.16,5.12,5.16,5.12,70
2023-05-01 14:02:00,9022,5.1201,5.12,5.12,5.13,5.12,19
2023-05-01 14:03:00,1483,5.1082,5.11,5.09,5.11,5.09,26
2023-05-01 14:04:00,672,5.1084,5.1099,5.1099,5.1099,5.1099,15
2023-05-01 14:05:00,3473,5.096,5.095,5.0999,5.1,5.09,44
2023-05-01 14:06:00,2344,5.1083,5.095,5.1098,5.1098,5.095,9
2023-05-01 14:08:00,1805,5.0939,5.105,5.09,5.105,5.09,21
2023-05-01 14:09:00,582,5.0901,5.09,5.09,5.09,5.09,15
2023-05-01 14:10:00,433,5.0777,5.08,5.07,5.08,5.07,14
2023-05-01 14:11:00,237,5.0737,5.075,5.075,5.075,5.075,6
2023-05-01 14:12:00,3199,5.0982,5.08,5.135,5.135,5.08,62
2023-05-01 14:13:00,224,5.1377,5.135,5.135,5.135,5.135,10
2023-05-01 14:14:00,131,5.136,5.135,5.135,5.135,5.135,4
2023-05-01 14:15:00,429,5.1306,5.14,5.14,5.14,5.14,12
2023-05-01 14:16:00,3492,5.1485,5.15,5.14,5.155,5.14,62
2023-05-01 14:17:00,1824,5.1256,5.13,5.121,5.13,5.121,7
2023-05-01 14:19:00,308,5.13,5.13,5.13,5.13,5.13,5
2023-05-01 14:20:00,324,5.1316,5.135,5.135,5.135,5.135,10
2023-05-01 14:21:00,2124,5.1194,5.125,5.11,5.125,5.11,22
2023-05-01 14:22:00,3922,5.0995,5.1,5.1,5.1,5.09,41
2023-05-01 14:26:00,600,5.1038,5.1,5.1,5.105,5.1,6
2023-05-01 14:27:00,648,5.1079,5.11,5.105,5.11,5.105,7
2023-05-01 14:28:00,1960,5.1065,5.1,5.11,5.11,5.1,42
2023-05-01 14:29:00,461,5.11,5.11,5.11,5.11,5.11,17
2023-05-01 14:31:00,224,5.1001,5.1,5.1,5.1,5.1,11
2023-05-01 14:32:00,847,5.0904,5.09,5.09,5.09,5.09,13
2023-05-01 14:34:00,970,5.1048,5.1048,5.11,5.11,5.1,14
2023-05-01 14:35:00,600,5.0917,5.09,5.09,5.1,5.09,5
2023-05-01 14:37:00,1492,5.1104,5.105,5.11,5.11,5.105,36
2023-05-01 14:39:00,101,5.115,5.115,5.115,5.115,5.115,2
2023-05-01 14:40:00,2030,5.1255,5.12,5.14,5.14,5.12,39
2023-05-01 14:41:00,2390,5.1294,5.135,5.125,5.1361,5.125,33
2023-05-01 14:42:00,486,5.13,5.13,5.13,5.13,5.13,12
2023-05-01 14:43:00,838,5.14,5.14,5.14,5.14,5.14,12
