t,v,vw,o,c,h,l,n
2023-05-01 12:00:00,29588,10.7574,10.6102,10.6102,10.6102,10.6102,4
2023-05-01 12:09:00,1000,10.63,10.63,10.63,10.63,10.63,1
2023-05-01 12:40:00,100,10.6301,10.6301,10.6301,10.6301,10.6301,1
2023-05-01 12:41:00,100,10.6301,10.6301,10.6301,10.6301,10.6301,1
2023-05-01 12:51:00,100,10.6301,10.6301,10.6301,10.6301,10.6301,1
2023-05-01 12:53:00,100,10.6301,10.6301,10.6301,10.6301,10.6301,1
2023-05-01 13:10:00,1301,10.6922,10.6,10.7,10.7,10.6,5
2023-05-01 13:28:00,101,10.7396,10.74,10.74,10.74,10.74,2
2023-05-01 13:30:00,48622,10.7332,10.74,10.73,10.74,10.68,87
2023-05-01 13:31:00,4020,10.7342,10.73,10.735,10.75,10.725,60
2023-05-01 13:32:00,4390,10.7382,10.735,10.75,10.75,10.734,62
2023-05-01 13:33:00,3976,10.7712,10.76,10.785,10.785,10.76,62
2023-05-01 13:34:00,2992,10.7896,10.785,10.785,10.79,10.785,55
2023-05-01 13:35:00,6915,10.7944,10.795,10.7807,10.8,10.78,82
2023-05-01 13:36:00,1336,10.7903,10.785,10.7904,10.7904,10.785,46
2023-05-01 13:37:00,7121,10.8083,10.81,10.8099,10.815,10.8001,54
2023-05-01 13:38:00,2006,10.8129,10.81,10.815,10.82,10.805,39
2023-05-01 13:39:00,6589,10.8184,10.82,10.8162,10.825,10.81,55
2023-05-01 13:40:00,5582,10.8153,10.82,10.805,10.82,10.805,78
2023-05-01 13:41:00,7690,10.8094,10.81,10.8037,10.82,10.8037,98
2023-05-01 13:42:00,7329,10.8219,10.81,10.84,10.84,10.81,80
2023-05-01 13:43:00,9898,10.831,10.835,10.835,10.84,10.82,66
2023-05-01 13:44:00,2023,10.8342,10.835,10.835,10.835,10.83,28
2023-05-01 13:45:00,18173,10.8392,10.835,10.835,10.845,10.835,152
2023-05-01 13:46:00,11158,10.8498,10.835,10.855,10.86,10.835,132
2023-05-01 13:47:00,2912,10.8586,10.86,10.8593,10.865,10.855,52
2023-05-01 13:48:00,4281,10.8474,10.85,10.8447,10.85,10.8447,67
2023-05-01 13:49:00,11211,10.8617,10.845,10.875,10.875,10.845,103
2023-05-01 13:50:00,8024,10.8654,10.875,10.865,10.875,10.855,73
2023-05-01 13:51:00,4229,10.8596,10.865,10.855,10.865,10.855,51
2023-05-01 13:52:00,7607,10.8682,10.855,10.86,10.875,10.855,88
2023-05-01 13:53:00,7331,10.8389,10.86,10.835,10.8601,10.825,82
2023-05-01 13:54:00,10197,10.8408,10.84,10.8401,10.8492,10.84,66
2023-05-01 13:55:00,3378,10.8298,10.835,10.82,10.84,10.82,73
2023-05-01 13:56:00,2569,10.8224,10.825,10.82,10.825,10.82,32
2023-05-01 13:57:00,3136,10.8264,10.82,10.83,10.83,10.82,56
2023-05-01 13:58:00,3251,10.8405,10.84,10.84,10.845,10.84,59
2023-05-01 13:59:00,4293,10.8424,10.85,10.84,10.85,10.84,50
2023-05-01 14:00:00,1002,10.8258,10.83,10.8201,10.835,10.815,29
2023-05-01 14:01:00,9444,10.8142,10.82,10.82,10.82,10.81,57
2023-05-01 14:02:00,8785,10.824,10.83,10.825,10.84,10.815,104
2023-05-01 14:03:00,3984,10.8125,10.825,10.8,10.825,10.795,55
2023-05-01 14:04:00,9299,10.8002,10.8,10.805,10.808,10.7937,87
2023-05-01 14:05:00,14397,10.8167,10.81,10.82,10.83,10.81,113
2023-05-01 14:06:00,1778,10.8176,10.82,10.81,10.82,10.81,24
2023-05-01 14:07:00,8494,10.807,10.815,10.815,10.8175,10.795,128
2023-05-01 14:08:00,9513,10.8173,10.8199,10.82,10.82,10.805,73
2023-05-01 14:09:00,4046,10.8246,10.82,10.825,10.83,10.82,36
2023-05-01 14:10:00,6970,10.8246,10.83,10.825,10.83,10.82,60
2023-05-01 14:11:00,4489,10.8225,10.8275,10.83,10.83,10.82,43
2023-05-01 14:12:00,3593,10.8324,10.83,10.84,10.84,10.83,60
2023-05-01 14:13:00,17628,10.8407,10.84,10.8304,10.85,10.83,105
2023-05-01 14:14:00,2768,10.838,10.83,10.84,10.84,10.83,56
2023-05-01 14:15:00,14326,10.851,10.845,10.86,10.86,10.845,56
2023-05-01 14:16:00,6112,10.856,10.8509,10.865,10.865,10.8509,56
2023-05-01 14:17:00,13911,10.8691,10.86,10.875,10.875,10.86,125
2023-05-01 14:18:00,13484,10.8791,10.875,10.885,10.89,10.87,111
2023-05-01 14:19:00,10882,10.8771,10.88,10.865,10.885,10.865,96
2023-05-01 14:20:00,3040,10.8569,10.86,10.85,10.865,10.85,37
2023-05-01 14:21:00,9694,10.841,10.85,10.83,10.85,10.83,93
2023-05-01 14:22:00,2005,10.8306,10.835,10.835,10.835,10.83,41
2023-05-01 14:23:00,1946,10.8382,10.835,10.8368,10.84,10.835,31
2023-05-01 14:24:00,7360,10.8355,10.835,10.84,10.845,10.83,69
2023-05-01 14:25:00,11676,10.8367,10.844,10.835,10.844,10.8307,63
2023-05-01 14:26:00,7506,10.8444,10.84,10.8592,10.86,10.835,80
2023-05-01 14:27:00,4203,10.8525,10.86,10.845,10.86,10.845,55
2023-05-01 14:28:00,3866,10.8472,10.85,10.84,10.85,10.84,49
2023-05-01 14:29:00,9372,10.8312,10.84,10.825,10.84,10.825,70
2023-05-01 14:30:00,6300,10.8308,10.825,10.825,10.84,10.8242,77
2023-05-01 14:31:00,2665,10.8216,10.825,10.815,10.825,10.815,36
2023-05-01 14:32:00,4536,10.8078,10.81,10.81,10.81,10.805,36
2023-05-01 14:33:00,4055,10.8097,10.8,10.815,10.815,10.8,59
2023-05-01 14:34:00,3536,10.8211,10.82,10.83,10.83,10.816,53
