t,v,vw,o,c,h,l,n
2023-07-20 12:02:00,1028,233.2955,233.3,233.31,233.32,233.29,30
2023-07-20 12:09:00,735,233.7603,233.82,233.83,233.83,233.82,10
2023-07-20 12:54:00,302,233.06,233.06,233.06,233.06,233.06,3
2023-07-20 13:25:00,270,232.2726,232.14,232.14,232.14,232.14,13
2023-07-20 13:29:00,1439,233.6801,233.51,233.7,233.7,233.51,15
2023-07-20 13:30:00,56218,233.8162,233.81,234.035,234.23,233.12,240
2023-07-20 13:31:00,4979,234.1069,233.975,234.2523,234.375,233.915,122
2023-07-20 13:32:00,6840,234.0271,234.265,233.81,234.265,233.81,214
2023-07-20 13:33:00,5598,234.1416,233.87,234.34,234.484,233.845,172
2023-07-20 13:34:00,8388,234.3275,234.37,234.38,234.42,234.21,242
2023-07-20 13:35:00,5560,234.7059,234.5,234.8,234.87,234.5,201
2023-07-20 13:36:00,16869,235.0147,234.805,235.39,235.39,234.74,455
2023-07-20 13:37:00,5873,235.204,235.34,235.11,235.385,235.02,195
2023-07-20 13:38:00,2486,235.3081,235.28,235.36,235.38,235.225,82
2023-07-20 13:39:00,6946,235.1646,235.215,235.255,235.3,234.9762,115
2023-07-20 13:40:00,2359,235.1182,235.235,235.07,235.235,234.98,72
2023-07-20 13:41:00,7500,235.3228,235.17,235.295,235.605,235.165,153
2023-07-20 13:42:00,7153,235.4154,235.26,235.41,235.56,235.2298,132
2023-07-20 13:43:00,2557,235.4308,235.555,235.5,235.57,235.3042,75
2023-07-20 13:44:00,6163,235.5275,235.44,235.55,235.695,235.3,186
2023-07-20 13:45:00,9010,235.6515,235.595,235.78,235.79,235.502,177
2023-07-20 13:46:00,8622,235.9246,235.82,235.95,236.0,235.78,255
2023-07-20 13:47:00,10053,235.7883,235.9,235.725,235.9,235.595,146
2023-07-20 13:48:00,6375,235.8144,235.73,235.755,235.94,235.73,96
2023-07-20 13:49:00,9319,235.7112,235.835,235.75,235.835,235.61,148
2023-07-20 13:50:00,10418,235.8228,235.75,235.97,235.985,235.75,217
2023-07-20 13:51:00,6643,235.7874,235.975,235.84,235.975,235.58,203
2023-07-20 13:52:00,1612,235.6694,235.66,235.71,235.715,235.66,46
2023-07-20 13:53:00,2977,235.4501,235.6,235.42,235.6,235.2801,85
2023-07-20 13:54:00,3355,235.4202,235.47,235.3815,235.47,235.3815,48
2023-07-20 13:55:00,4701,235.4258,235.455,235.26,235.55,235.19,151
2023-07-20 13:56:00,4703,235.2976,235.2,235.305,235.37,235.2,144
2023-07-20 13:57:00,2272,235.3929,235.31,235.5,235.575,235.26,60
2023-07-20 13:58:00,1809,235.572,235.6,235.635,235.635,235.53,71
2023-07-20 13:59:00,1394,235.6141,235.55,235.705,235.705,235.515,49
2023-07-20 14:00:00,4332,235.7113,235.55,235.75,235.825,235.55,122
2023-07-20 14:01:00,6239,235.8016,235.81,235.84,235.85,235.67,148
2023-07-20 14:02:00,8459,235.7492,235.76,235.805,235.91,235.625,235
2023-07-20 14:03:00,2765,235.8932,235.82,235.87,235.98,235.82,62
2023-07-20 14:04:00,4961,235.8967,235.96,235.805,235.96,235.805,145
2023-07-20 14:05:00,5095,235.8367,235.795,235.835,235.88,235.765,203
2023-07-20 14:06:00,5762,235.6358,235.89,235.57,235.89,235.49,178
2023-07-20 14:07:00,1726,235.7058,235.7,235.72,235.7232,235.7,80
2023-07-20 14:08:00,2823,235.6167,235.7196,235.57,235.7196,235.52,101
2023-07-20 14:09:00,6781,235.562,235.5,235.62,235.65,235.45,248
2023-07-20 14:10:00,5403,235.7767,235.62,235.77,235.82,235.62,155
2023-07-20 14:11:00,1484,235.7224,235.72,235.71,235.73,235.71,70
2023-07-20 14:12:00,3299,235.7828,235.73,235.78,235.87,235.68,121
2023-07-20 14:13:00,3674,235.7317,235.77,235.69,235.78,235.67,125
2023-07-20 14:14:00,3380,235.6996,235.57,235.8564,235.8564,235.47,142
2023-07-20 14:15:00,10368,235.9112,235.775,235.92,236.0,235.775,199
2023-07-20 14:16:00,4463,235.9441,235.91,235.905,235.99,235.89,110
2023-07-20 14:17:00,10060,236.1129,235.9,236.32,236.32,235.885,204
2023-07-20 14:18:00,4427,236.2426,236.29,236.13,236.29,236.125,120
2023-07-20 14:19:00,991,236.3061,236.25,236.39,236.39,236.25,36
2023-07-20 14:20:00,3435,236.3338,236.3899,236.41,236.445,236.25,104
2023-07-20 14:21:00,1996,236.2472,236.27,236.18,236.32,236.17,73
2023-07-20 14:22:00,4229,236.315,236.16,236.2911,236.42,236.16,118
2023-07-20 14:23:00,3309,236.2956,236.27,236.28,236.36,236.25,113
2023-07-20 14:24:00,1622,236.1735,236.335,236.13,236.335,236.13,70
