t,v,vw,o,c,h,l,n
2023-06-02 08:00:00,244,1.1936,1.19,1.19,1.19,1.19,3
2023-06-02 08:50:00,100,1.24,1.24,1.24,1.24,1.24,1
2023-06-02 10:18:00,100,1.25,1.25,1.25,1.25,1.25,1
2023-06-02 10:37:00,3110,1.24,1.24,1.24,1.24,1.24,4
2023-06-02 12:00:00,109,1.2295,1.23,1.23,1.23,1.23,5
2023-06-02 12:09:00,200,1.22,1.22,1.22,1.22,1.22,1
2023-06-02 12:51:00,399,1.23,1.23,1.23,1.23,1.23,2
2023-06-02 13:25:00,277,1.2072,1.22,1.2,1.22,1.2,2
2023-06-02 13:30:00,28494,1.2278,1.23,1.22,1.23,1.21,68
2023-06-02 13:31:00,1830,1.2319,1.23,1.235,1.235,1.23,16
2023-06-02 13:32:00,5600,1.2394,1.235,1.235,1.2399,1.235,8
2023-06-02 13:33:00,950,1.2311,1.235,1.23,1.235,1.23,6
2023-06-02 13:34:00,3697,1.2289,1.235,1.225,1.235,1.225,17
2023-06-02 13:35:00,10714,1.2302,1.23,1.235,1.235,1.23,23
2023-06-02 13:36:00,183,1.2378,1.24,1.24,1.24,1.24,4
2023-06-02 13:37:00,1567,1.2372,1.235,1.235,1.24,1.235,9
2023-06-02 13:38:00,2504,1.2382,1.24,1.235,1.24,1.235,20
2023-06-02 13:39:00,10380,1.2294,1.235,1.225,1.235,1.22,44
2023-06-02 13:40:00,1802,1.2207,1.22,1.225,1.225,1.22,10
2023-06-02 13:41:00,645,1.2227,1.225,1.225,1.225,1.22,7
2023-06-02 13:42:00,127,1.225,1.225,1.225,1.225,1.225,3
2023-06-02 13:43:00,12165,1.2283,1.2289,1.2281,1.23,1.225,5
2023-06-02 13:45:00,914,1.23,1.23,1.23,1.23,1.23,7
2023-06-02 13:46:00,227,1.23,1.23,1.23,1.23,1.23,2
2023-06-02 13:47:00,3073,1.2263,1.23,1.225,1.23,1.225,9
2023-06-02 13:48:00,4490,1.2261,1.225,1.23,1.23,1.225,6
2023-06-02 13:49:00,600,1.2283,1.23,1.23,1.23,1.22,5
2023-06-02 13:50:00,3723,1.2315,1.23,1.235,1.235,1.23,12
2023-06-02 13:51:00,3659,1.2351,1.24,1.235,1.24,1.235,12
2023-06-02 13:52:00,1444,1.2355,1.235,1.235,1.24,1.235,10
2023-06-02 13:53:00,1202,1.2349,1.235,1.235,1.235,1.235,9
2023-06-02 13:54:00,754,1.238,1.24,1.24,1.24,1.2325,7
2023-06-02 13:55:00,541,1.2372,1.24,1.24,1.24,1.2325,5
2023-06-02 13:56:00,10315,1.2333,1.24,1.24,1.24,1.23,27
2023-06-02 13:57:00,3426,1.2349,1.235,1.235,1.235,1.2325,7
2023-06-02 13:58:00,1592,1.2327,1.235,1.2312,1.235,1.2312,8
2023-06-02 13:59:00,258,1.2399,1.24,1.24,1.24,1.24,5
2023-06-02 14:00:00,427,1.235,1.235,1.235,1.235,1.235,6
2023-06-02 14:01:00,1543,1.2386,1.235,1.24,1.24,1.235,16
2023-06-02 14:02:00,800,1.2388,1.235,1.24,1.24,1.235,5
2023-06-02 14:03:00,626,1.2389,1.235,1.2394,1.24,1.235,5
2023-06-02 14:04:00,531,1.2397,1.24,1.24,1.24,1.24,6
2023-06-02 14:05:00,3700,1.2359,1.24,1.235,1.24,1.235,5
2023-06-02 14:06:00,21114,1.2407,1.2325,1.245,1.245,1.2325,61
2023-06-02 14:07:00,3193,1.2451,1.245,1.245,1.245,1.245,10
2023-06-02 14:08:00,21671,1.2401,1.245,1.235,1.245,1.235,40
2023-06-02 14:09:00,251,1.235,1.235,1.235,1.235,1.235,4
2023-06-02 14:10:00,3719,1.2393,1.2309,1.2397,1.2397,1.2309,3
2023-06-02 14:11:00,136,1.235,1.235,1.235,1.235,1.235,3
2023-06-02 14:12:00,1200,1.2308,1.23,1.235,1.235,1.23,3
2023-06-02 14:13:00,1100,1.235,1.235,1.235,1.235,1.235,3
2023-06-02 14:14:00,51141,1.2313,1.235,1.22,1.235,1.22,91
2023-06-02 14:15:00,1682,1.2212,1.225,1.225,1.225,1.22,13
2023-06-02 14:16:00,943,1.2276,1.225,1.225,1.23,1.225,10
2023-06-02 14:17:00,150,1.225,1.225,1.225,1.225,1.225,5
2023-06-02 14:18:00,74621,1.2213,1.225,1.229,1.23,1.215,110
2023-06-02 14:20:00,100,1.23,1.23,1.23,1.23,1.23,1
2023-06-02 14:22:00,1400,1.2246,1.225,1.225,1.225,1.2222,6
2023-06-02 14:23:00,525,1.2279,1.225,1.23,1.23,1.225,28
2023-06-02 14:24:00,1149,1.2222,1.225,1.2214,1.225,1.2214,5
2023-06-02 14:25:00,848,1.2221,1.225,1.225,1.225,1.225,7
2023-06-02 14:26:00,249,1.225,1.225,1.225,1.225,1.225,4
2023-06-02 14:27:00,1386,1.2279,1.225,1.2292,1.2292,1.225,8
2023-06-02 14:28:00,255,1.2259,1.225,1.225,1.225,1.225,5
2023-06-02 14:29:00,3078,1.2225,1.229,1.225,1.229,1.22,10
2023-06-02 14:30:00,602,1.2233,1.22,1.225,1.225,1.22,6
2023-06-02 14:31:00,1043,1.2226,1.225,1.225,1.225,1.22,9
2023-06-02 14:32:00,834,1.2254,1.225,1.225,1.225,1.225,9
2023-06-02 14:33:00,700,1.225,1.22,1.23,1.23,1.22,3
2023-06-02 14:34:00,1504,1.2207,1.225,1.22,1.225,1.22,8
2023-06-02 14:35:00,804,1.2246,1.225,1.225,1.225,1.2214,6
2023-06-02 14:36:00,3200,1.228,1.225,1.225,1.23,1.2218,6
2023-06-02 14:37:00,1100,1.2259,1.225,1.225,1.23,1.22,8
2023-06-02 14:38:00,603,1.2233,1.225,1.225,1.225,1.22,6
2023-06-02 14:39:00,900,1.2272,1.23,1.22,1.23,1.22,5
2023-06-02 14:40:00,5600,1.2251,1.225,1.225,1.23,1.225,7
2023-06-02 14:41:00,3610,1.2257,1.225,1.225,1.23,1.22,13
2023-06-02 14:42:00,415,1.225,1.225,1.225,1.225,1.225,5
2023-06-02 14:43:00,1131,1.2269,1.225,1.225,1.23,1.225,11
2023-06-02 14:44:00,768,1.2247,1.225,1.22,1.225,1.22,11
2023-06-02 14:45:00,926,1.2271,1.225,1.225,1.23,1.225,8
2023-06-02 14:46:00,800,1.2263,1.225,1.23,1.23,1.22,5
2023-06-02 14:47:00,2515,1.2258,1.225,1.225,1.23,1.225,8
2023-06-02 14:48:00,400,1.2225,1.225,1.22,1.225,1.22,3
2023-06-02 14:49:00,816,1.2268,1.225,1.23,1.23,1.225,4
2023-06-02 14:50:00,500,1.225,1.225,1.225,1.225,1.225,3
2023-06-02 14:51:00,1100,1.2248,1.225,1.225,1.23,1.22,7
2023-06-02 14:52:00,701,1.2257,1.225,1.23,1.23,1.225,5
2023-06-02 14:53:00,1200,1.2263,1.225,1.225,1.23,1.22,7
2023-06-02 14:54:00,400,1.2213,1.225,1.22,1.225,1.22,2
2023-06-02 14:55:00,776,1.2281,1.23,1.225,1.23,1.225,6
2023-06-02 14:56:00,400,1.2237,1.225,1.225,1.225,1.22,3
2023-06-02 14:57:00,1216,1.2284,1.225,1.23,1.23,1.225,7
2023-06-02 14:58:00,400,1.225,1.23,1.22,1.23,1.22,3
2023-06-02 14:59:00,800,1.2281,1.23,1.225,1.23,1.225,3
2023-06-02 15:00:00,1700,1.2265,1.225,1.23,1.23,1.22,5
2023-06-02 15:01:00,400,1.2263,1.23,1.225,1.23,1.225,2
2023-06-02 15:03:00,2800,1.2291,1.225,1.2299,1.23,1.225,14
2023-06-02 15:04:00,615,1.2259,1.225,1.23,1.23,1.22,5
2023-06-02 15:05:00,800,1.2275,1.23,1.22,1.23,1.22,4
2023-06-02 15:06:00,500,1.227,1.23,1.225,1.23,1.225,2
2023-06-02 15:07:00,1137,1.2281,1.23,1.23,1.23,1.22,7
2023-06-02 15:08:00,400,1.2237,1.225,1.22,1.225,1.22,2
2023-06-02 15:09:00,1400,1.23,1.23,1.23,1.23,1.23,3
2023-06-02 15:10:00,564,1.2263,1.225,1.23,1.23,1.225,5
2023-06-02 15:11:00,10752,1.2225,1.23,1.2201,1.23,1.2201,12
2023-06-02 15:12:00,4176,1.2263,1.23,1.225,1.23,1.225,6
2023-06-02 15:13:00,4282,1.2298,1.2291,1.23,1.23,1.2291,13
2023-06-02 15:14:00,1547,1.2288,1.23,1.23,1.23,1.225,10
2023-06-02 15:15:00,800,1.2275,1.225,1.23,1.23,1.225,3
2023-06-02 15:16:00,7118,1.2295,1.225,1.23,1.23,1.225,19
2023-06-02 15:17:00,1200,1.2294,1.23,1.23,1.23,1.2225,6
2023-06-02 15:18:00,301,1.2233,1.225,1.22,1.225,1.22,3
2023-06-02 15:19:00,1928,1.2261,1.23,1.23,1.23,1.2201,5
2023-06-02 15:20:00,465,1.2252,1.23,1.22,1.23,1.22,11
2023-06-02 15:21:00,900,1.2283,1.23,1.225,1.23,1.225,3
2023-06-02 15:22:00,640,1.2281,1.225,1.23,1.23,1.225,4
2023-06-02 15:23:00,392,1.2262,1.225,1.225,1.225,1.225,7
2023-06-02 15:24:00,1700,1.2271,1.225,1.225,1.23,1.22,9
2023-06-02 15:25:00,300,1.225,1.225,1.225,1.225,1.225,1
2023-06-02 15:26:00,439,1.2252,1.225,1.225,1.225,1.225,12
2023-06-02 15:27:00,915,1.2272,1.23,1.225,1.23,1.225,4
2023-06-02 15:28:00,670,1.225,1.225,1.225,1.225,1.225,15
2023-06-02 15:29:00,817,1.2269,1.23,1.22,1.23,1.22,5
2023-06-02 15:30:00,1004,1.2225,1.22,1.225,1.225,1.22,9
2023-06-02 15:31:00,750,1.2257,1.23,1.22,1.23,1.22,47
2023-06-02 15:32:00,261,1.225,1.225,1.225,1.225,1.225,44
2023-06-02 15:33:00,1041,1.225,1.225,1.225,1.225,1.225,46
2023-06-02 15:34:00,493,1.222,1.22,1.225,1.225,1.22,46
2023-06-02 15:35:00,5829,1.2259,1.225,1.23,1.23,1.22,48
2023-06-02 15:36:00,600,1.2283,1.225,1.23,1.23,1.225,2
2023-06-02 15:37:00,300,1.2267,1.225,1.23,1.23,1.225,2
2023-06-02 15:38:00,609,1.2235,1.225,1.22,1.225,1.22,7
2023-06-02 15:39:00,615,1.2284,1.23,1.225,1.23,1.225,4
2023-06-02 15:40:00,180,1.23,1.23,1.23,1.23,1.23,2
2023-06-02 15:41:00,1037,1.2276,1.23,1.225,1.23,1.22,7
2023-06-02 15:42:00,775,1.2243,1.22,1.23,1.23,1.22,5
2023-06-02 15:43:00,400,1.2225,1.22,1.225,1.225,1.22,2
2023-06-02 15:44:00,1564,1.229,1.23,1.22,1.23,1.22,7
2023-06-02 15:45:00,970,1.2257,1.225,1.225,1.23,1.22,6
2023-06-02 15:46:00,600,1.225,1.23,1.225,1.23,1.22,5
2023-06-02 15:47:00,749,1.2253,1.22,1.225,1.23,1.22,6
2023-06-02 15:48:00,901,1.2256,1.225,1.23,1.23,1.22,6
2023-06-02 15:49:00,2610,1.2288,1.2299,1.23,1.23,1.22,9
2023-06-02 15:50:00,208,1.2204,1.22,1.22,1.22,1.22,2
2023-06-02 15:51:00,1190,1.2264,1.22,1.23,1.23,1.22,20
2023-06-02 15:52:00,707,1.2226,1.22,1.225,1.225,1.22,5
2023-06-02 15:53:00,600,1.23,1.23,1.23,1.23,1.23,2
2023-06-02 15:54:00,638,1.2229,1.22,1.225,1.225,1.22,5
2023-06-02 15:55:00,1674,1.2232,1.2219,1.2222,1.23,1.22,8
2023-06-02 15:56:00,811,1.2256,1.23,1.22,1.23,1.22,4
2023-06-02 15:57:00,416,1.2264,1.23,1.225,1.23,1.225,4
2023-06-02 15:58:00,701,1.2229,1.22,1.225,1.225,1.22,5
2023-06-02 15:59:00,1412,1.2296,1.23,1.23,1.23,1.225,11
2023-06-02 16:00:00,1287,1.2273,1.23,1.23,1.23,1.22,6
2023-06-02 16:01:00,700,1.2243,1.225,1.22,1.23,1.22,3
2023-06-02 16:02:00,410,1.2251,1.225,1.225,1.225,1.225,5
2023-06-02 16:03:00,1000,1.2255,1.23,1.225,1.23,1.22,5
2023-06-02 16:04:00,300,1.22,1.22,1.22,1.22,1.22,2
2023-06-02 16:05:00,810,1.2281,1.225,1.23,1.23,1.225,5
2023-06-02 16:06:00,502,1.222,1.22,1.225,1.225,1.22,4
2023-06-02 16:07:00,1070,1.2273,1.225,1.23,1.23,1.225,3
2023-06-02 16:08:00,714,1.2237,1.22,1.23,1.23,1.22,5
2023-06-02 16:09:00,1205,1.2251,1.22,1.23,1.23,1.22,5
2023-06-02 16:10:00,630,1.228,1.225,1.23,1.23,1.225,3
2023-06-02 16:12:00,1141,1.2261,1.23,1.225,1.23,1.22,6
2023-06-02 16:13:00,1527,1.222,1.221,1.2215,1.23,1.221,5
2023-06-02 16:14:00,1300,1.2265,1.23,1.23,1.23,1.22,5
2023-06-02 16:15:00,560,1.2238,1.23,1.22,1.23,1.22,5
2023-06-02 16:16:00,416,1.2264,1.225,1.23,1.23,1.225,4
2023-06-02 16:17:00,3100,1.226,1.2225,1.23,1.23,1.2225,6
2023-06-02 16:18:00,428,1.2247,1.2225,1.23,1.23,1.2225,3
2023-06-02 16:19:00,400,1.23,1.23,1.23,1.23,1.23,1
2023-06-02 16:20:00,15829,1.2305,1.2225,1.23,1.235,1.2225,29
2023-06-02 16:21:00,899,1.24,1.2399,1.24,1.24,1.2399,6
2023-06-02 16:23:00,103,1.2399,1.24,1.24,1.24,1.24,3
2023-06-02 16:24:00,529,1.24,1.24,1.24,1.24,1.24,4
2023-06-02 16:25:00,115,1.2357,1.235,1.235,1.235,1.235,2
2023-06-02 16:26:00,6810,1.2326,1.2317,1.24,1.24,1.2317,5
2023-06-02 16:27:00,1300,1.2323,1.2317,1.235,1.235,1.2317,4
2023-06-02 16:28:00,400,1.235,1.235,1.235,1.235,1.235,2
2023-06-02 16:29:00,3800,1.2399,1.2399,1.24,1.24,1.2399,6
2023-06-02 16:30:00,1150,1.2378,1.23,1.235,1.24,1.23,7
2023-06-02 16:31:00,8534,1.2395,1.24,1.235,1.24,1.23,28
2023-06-02 16:32:00,1269,1.2331,1.2319,1.235,1.2384,1.23,7
2023-06-02 16:33:00,300,1.24,1.24,1.24,1.24,1.24,1
2023-06-02 16:34:00,9051,1.2315,1.24,1.235,1.24,1.23,8
2023-06-02 16:35:00,49316,1.2303,1.24,1.24,1.24,1.23,9
2023-06-02 16:36:00,710,1.2365,1.24,1.24,1.24,1.23,5
2023-06-02 16:37:00,3022,1.2381,1.235,1.235,1.24,1.2325,15
2023-06-02 16:38:00,1200,1.2392,1.235,1.24,1.24,1.235,9
2023-06-02 16:39:00,2310,1.2391,1.24,1.24,1.24,1.2325,17
2023-06-02 16:40:00,1602,1.2398,1.239,1.2399,1.2399,1.239,5
2023-06-02 16:41:00,623,1.2368,1.235,1.24,1.24,1.23,4
2023-06-02 16:42:00,3610,1.2352,1.24,1.2325,1.24,1.23,6
2023-06-02 16:43:00,1014,1.2391,1.24,1.2391,1.24,1.235,5
2023-06-02 16:44:00,625,1.2376,1.24,1.24,1.24,1.235,4
2023-06-02 16:45:00,913,1.24,1.24,1.24,1.24,1.24,5
2023-06-02 16:46:00,2723,1.2394,1.235,1.24,1.24,1.2325,13
2023-06-02 16:47:00,1822,1.24,1.24,1.24,1.24,1.24,7
2023-06-02 16:48:00,1880,1.2392,1.24,1.235,1.24,1.235,9
2023-06-02 16:49:00,21458,1.2343,1.24,1.235,1.24,1.2302,58
2023-06-02 16:50:00,17972,1.2377,1.235,1.2317,1.24,1.2317,50
2023-06-02 16:51:00,549,1.235,1.235,1.235,1.235,1.235,39
2023-06-02 16:52:00,535,1.235,1.235,1.235,1.235,1.235,38
2023-06-02 16:53:00,942,1.2371,1.235,1.235,1.24,1.235,23
2023-06-02 16:54:00,1281,1.2376,1.235,1.2395,1.2395,1.235,10
2023-06-02 16:55:00,1150,1.2387,1.235,1.24,1.24,1.235,4
2023-06-02 16:56:00,915,1.235,1.235,1.235,1.235,1.235,6
2023-06-02 16:57:00,358,1.2357,1.235,1.235,1.235,1.235,5
2023-06-02 16:58:00,1100,1.2364,1.235,1.235,1.24,1.23,6
2023-06-02 16:59:00,440,1.2366,1.24,1.235,1.24,1.235,10
2023-06-02 17:00:00,610,1.2375,1.235,1.24,1.24,1.235,3
2023-06-02 17:01:00,321,1.2303,1.23,1.23,1.23,1.23,2
2023-06-02 17:02:00,600,1.2366,1.235,1.2398,1.2398,1.235,3
2023-06-02 17:03:00,802,1.2368,1.235,1.2399,1.2399,1.23,4
2023-06-02 17:04:00,700,1.2357,1.235,1.235,1.24,1.235,11
2023-06-02 17:05:00,511,1.235,1.235,1.235,1.235,1.235,3
2023-06-02 17:06:00,1499,1.234,1.235,1.235,1.235,1.23,6
2023-06-02 17:07:00,1340,1.232,1.2301,1.235,1.235,1.23,10
2023-06-02 17:09:00,829,1.235,1.235,1.235,1.235,1.235,6
2023-06-02 17:10:00,100,1.235,1.235,1.235,1.235,1.235,1
2023-06-02 17:11:00,407,1.235,1.235,1.235,1.235,1.235,11
2023-06-02 17:12:00,700,1.2343,1.235,1.23,1.235,1.23,3
2023-06-02 17:13:00,407,1.235,1.235,1.235,1.235,1.235,17
2023-06-02 17:14:00,810,1.2343,1.235,1.235,1.235,1.23,10
2023-06-02 17:15:00,200,1.2375,1.24,1.235,1.24,1.235,2
2023-06-02 17:16:00,300,1.235,1.235,1.235,1.235,1.235,1
2023-06-02 17:17:00,1000,1.237,1.24,1.23,1.24,1.23,6
2023-06-02 17:18:00,600,1.2371,1.24,1.235,1.24,1.235,4
2023-06-02 17:19:00,741,1.236,1.23,1.24,1.24,1.23,4
2023-06-02 17:20:00,300,1.235,1.235,1.235,1.235,1.235,1
2023-06-02 17:21:00,515,1.234,1.24,1.23,1.24,1.23,3
2023-06-02 17:22:00,685,1.2379,1.235,1.24,1.24,1.235,2
2023-06-02 17:23:00,1041,1.2347,1.24,1.235,1.24,1.23,6
2023-06-02 17:24:00,10843,1.2402,1.235,1.245,1.245,1.235,35
2023-06-02 17:25:00,516,1.245,1.245,1.245,1.245,1.245,4
2023-06-02 17:26:00,334,1.2465,1.25,1.25,1.25,1.25,7
2023-06-02 17:27:00,335,1.2454,1.245,1.245,1.245,1.245,4
2023-06-02 17:28:00,633,1.245,1.245,1.245,1.245,1.245,8
2023-06-02 17:29:00,652,1.2425,1.245,1.2416,1.245,1.2416,6
2023-06-02 17:30:00,659,1.2482,1.245,1.25,1.25,1.245,7
2023-06-02 17:31:00,250,1.2482,1.25,1.25,1.25,1.25,3
2023-06-02 17:32:00,5950,1.242,1.2419,1.2416,1.245,1.2416,4
2023-06-02 17:33:00,600,1.2483,1.245,1.25,1.25,1.245,3
2023-06-02 17:34:00,401,1.25,1.25,1.25,1.25,1.25,3
2023-06-02 17:35:00,1001,1.2416,1.2416,1.2416,1.2416,1.2416,2
2023-06-02 17:36:00,920,1.2441,1.241,1.25,1.25,1.241,4
2023-06-02 17:37:00,375,1.2484,1.25,1.25,1.25,1.25,2
2023-06-02 17:38:00,400,1.25,1.25,1.25,1.25,1.25,2
2023-06-02 17:39:00,300,1.25,1.25,1.25,1.25,1.25,2
2023-06-02 17:40:00,3541,1.2411,1.2401,1.25,1.25,1.2401,3
2023-06-02 17:41:00,100,1.25,1.25,1.25,1.25,1.25,1
2023-06-02 17:42:00,560,1.2486,1.245,1.25,1.25,1.245,4
2023-06-02 17:43:00,47604,1.2537,1.25,1.26,1.26,1.25,40
2023-06-02 17:44:00,4286,1.254,1.26,1.26,1.26,1.2501,11
2023-06-02 17:45:00,4539,1.258,1.25,1.25,1.26,1.25,6
2023-06-02 17:46:00,300,1.255,1.255,1.255,1.255,1.255,2
2023-06-02 17:47:00,1206,1.26,1.26,1.26,1.26,1.26,6
2023-06-02 17:48:00,116,1.26,1.26,1.26,1.26,1.26,3
2023-06-02 17:49:00,2981,1.2511,1.255,1.26,1.26,1.2501,7
2023-06-02 17:50:00,704,1.2586,1.255,1.26,1.26,1.255,9
2023-06-02 17:52:00,843,1.26,1.26,1.26,1.26,1.26,5
2023-06-02 17:53:00,304,1.2599,1.26,1.26,1.26,1.26,5
2023-06-02 17:54:00,330,1.26,1.26,1.26,1.26,1.26,5
2023-06-02 17:55:00,2140,1.254,1.26,1.2501,1.26,1.2501,8
2023-06-02 17:56:00,862,1.2577,1.26,1.255,1.26,1.255,7
2023-06-02 17:58:00,562,1.26,1.26,1.26,1.26,1.26,7
2023-06-02 17:59:00,716,1.2558,1.255,1.255,1.255,1.255,5
2023-06-02 18:00:00,500,1.259,1.255,1.26,1.26,1.255,2
2023-06-02 18:01:00,1000,1.257,1.255,1.255,1.26,1.255,4
2023-06-02 18:02:00,100,1.26,1.26,1.26,1.26,1.26,1
2023-06-02 18:03:00,685,1.2594,1.26,1.26,1.26,1.26,4
2023-06-02 18:04:00,425,1.26,1.26,1.26,1.26,1.26,4
2023-06-02 18:05:00,1500,1.255,1.255,1.2571,1.2571,1.2501,3
2023-06-02 18:06:00,1400,1.2586,1.26,1.26,1.26,1.255,4
2023-06-02 18:07:00,5125,1.254,1.25,1.255,1.255,1.25,39
2023-06-02 18:08:00,11051,1.2506,1.255,1.255,1.255,1.2501,11
2023-06-02 18:09:00,785,1.2547,1.255,1.255,1.255,1.255,27
2023-06-02 18:10:00,10987,1.2524,1.255,1.255,1.255,1.25,30
2023-06-02 18:11:00,31505,1.2483,1.255,1.245,1.255,1.2416,56
2023-06-02 18:12:00,1127,1.242,1.245,1.2416,1.245,1.2416,6
2023-06-02 18:13:00,1436,1.245,1.245,1.245,1.245,1.245,6
2023-06-02 18:14:00,1940,1.2437,1.245,1.245,1.245,1.24,13
2023-06-02 18:15:00,1328,1.241,1.2412,1.24,1.245,1.24,8
2023-06-02 18:17:00,538,1.2413,1.245,1.24,1.245,1.24,7
2023-06-02 18:18:00,2828,1.2436,1.245,1.241,1.245,1.241,7
2023-06-02 18:19:00,4334,1.2402,1.24,1.245,1.245,1.24,8
2023-06-02 18:20:00,2130,1.2476,1.24,1.245,1.25,1.24,9
2023-06-02 18:21:00,700,1.2421,1.245,1.245,1.245,1.24,5
2023-06-02 18:22:00,976,1.2409,1.24,1.245,1.245,1.24,9
2023-06-02 18:23:00,609,1.2417,1.245,1.24,1.245,1.24,4
2023-06-02 18:24:00,100,1.245,1.245,1.245,1.245,1.245,1
2023-06-02 18:25:00,3301,1.2405,1.24,1.24,1.245,1.24,10
2023-06-02 18:26:00,4901,1.24,1.24,1.24,1.24,1.24,6
2023-06-02 18:27:00,770,1.2416,1.245,1.24,1.245,1.24,11
2023-06-02 18:28:00,241,1.245,1.245,1.245,1.245,1.245,8
2023-06-02 18:30:00,639,1.2411,1.245,1.24,1.245,1.24,7
2023-06-02 18:31:00,1840,1.2447,1.245,1.245,1.245,1.24,9
2023-06-02 18:32:00,730,1.2416,1.24,1.245,1.245,1.24,8
2023-06-02 18:33:00,141,1.245,1.245,1.245,1.245,1.245,5
2023-06-02 18:34:00,1229,1.2434,1.24,1.25,1.25,1.24,9
2023-06-02 18:36:00,300,1.2433,1.245,1.24,1.245,1.24,3
2023-06-02 18:37:00,800,1.245,1.245,1.245,1.245,1.245,5
2023-06-02 18:38:00,201,1.245,1.245,1.245,1.245,1.245,3
