t,v,vw,o,c,h,l,n
2023-06-12 11:01:00,153,164.4574,164.3,164.3,164.3,164.3,5
2023-06-12 12:00:00,231,164.501,164.5,164.65,164.65,164.5,7
2023-06-12 12:10:00,669,163.5444,163.54,163.54,163.54,163.54,2
2023-06-12 12:20:00,365,163.5773,163.54,163.54,163.54,163.54,6
2023-06-12 13:30:00,38348,163.3314,163.45,162.98,163.6,162.84,319
2023-06-12 13:31:00,3458,163.1502,163.085,163.31,163.38,163.085,45
2023-06-12 13:32:00,7625,163.2519,163.3,163.49,163.56,163.15,119
2023-06-12 13:33:00,5503,163.623,163.57,163.69,163.7999,163.42,62
2023-06-12 13:34:00,12678,163.4871,163.63,163.35,163.67,163.35,191
2023-06-12 13:35:00,3454,163.5352,163.34,163.64,163.64,163.34,63
2023-06-12 13:36:00,8889,163.5855,163.565,163.375,163.74,163.375,153
2023-06-12 13:37:00,3481,163.4427,163.36,163.42,163.51,163.36,41
2023-06-12 13:38:00,991,163.617,163.4646,163.575,163.73,163.4646,27
2023-06-12 13:39:00,5056,163.571,163.575,163.57,163.64,163.46,76
2023-06-12 13:40:00,4776,163.8095,163.53,164.0,164.0,163.53,86
2023-06-12 13:41:00,3113,163.9721,163.94,163.92,164.02,163.9,87
2023-06-12 13:42:00,3719,163.931,163.845,164.135,164.135,163.73,85
2023-06-12 13:43:00,6369,164.012,164.06,164.0,164.06,164.0,95
2023-06-12 13:44:00,7170,163.8392,164.0,163.64,164.03,163.63,103
2023-06-12 13:45:00,1548,163.6973,163.64,163.64,163.73,163.64,31
2023-06-12 13:46:00,5211,163.6182,163.755,163.435,163.92,163.4,112
2023-06-12 13:47:00,2236,163.537,163.435,163.69,163.69,163.43,45
2023-06-12 13:48:00,1634,163.5738,163.69,163.595,163.69,163.52,53
2023-06-12 13:49:00,4531,163.5713,163.52,163.575,163.6481,163.4829,58
2023-06-12 13:50:00,4770,163.4516,163.57,163.405,163.57,163.28,106
2023-06-12 13:51:00,1247,163.3815,163.3317,163.41,163.47,163.33,31
2023-06-12 13:52:00,5987,163.366,163.34,163.345,163.4,163.33,122
2023-06-12 13:53:00,8065,163.3967,163.28,163.515,163.52,163.26,129
2023-06-12 13:54:00,4343,163.4869,163.52,163.535,163.56,163.4,83
