t,v,vw,o,c,h,l,n
2023-06-20 11:00:00,550,36.0093,36.01,36.0,36.01,36.0,9
2023-06-20 13:30:00,8856,36.1624,36.16,36.18,36.215,36.12,38
2023-06-20 13:31:00,2515,36.0538,36.09,36.03,36.09,36.0,44
2023-06-20 13:32:00,2973,36.1208,36.11,36.125,36.16,36.08,66
2023-06-20 13:33:00,7417,36.1117,36.08,36.17,36.17,36.07,86
2023-06-20 13:34:00,2535,36.0889,36.125,36.125,36.125,36.06,43
2023-06-20 13:35:00,1112,36.1793,36.15,36.17,36.19,36.15,24
2023-06-20 13:36:00,2805,36.1329,36.17,36.13,36.17,36.11,53
2023-06-20 13:37:00,1053,36.0585,36.07,36.03,36.07,36.03,41
2023-06-20 13:38:00,2265,36.0694,36.05,36.09,36.1,36.048,35
2023-06-20 13:39:00,3190,35.9934,36.0,35.93,36.02,35.93,75
2023-06-20 13:40:00,2496,35.9489,35.91,35.95,35.96,35.91,33
2023-06-20 13:41:00,848,35.9325,35.93,35.97,35.97,35.9077,19
2023-06-20 13:42:00,4368,36.0217,35.99,36.02,36.035,35.99,63
2023-06-20 13:43:00,15437,36.0003,36.03,36.0,36.03,35.96,131
2023-06-20 13:44:00,1314,36.0094,36.0,36.02,36.02,36.0,19
2023-06-20 13:45:00,7004,35.9844,36.015,35.96,36.015,35.96,80
2023-06-20 13:46:00,3936,35.9548,35.955,35.97,35.97,35.94,50
2023-06-20 13:47:00,4527,35.9431,35.945,35.94,35.97,35.92,64
2023-06-20 13:48:00,1097,35.94,35.955,35.95,35.955,35.93,29
2023-06-20 13:49:00,5680,35.987,35.95,36.085,36.11,35.95,57
2023-06-20 13:50:00,3388,36.0701,36.09,36.07,36.09,36.06,48
2023-06-20 13:51:00,3163,36.0642,36.09,36.04,36.09,36.035,54
2023-06-20 13:52:00,2997,36.13,36.04,36.2,36.22,36.04,46
2023-06-20 13:53:00,2027,36.1949,36.22,36.21,36.22,36.19,52
2023-06-20 13:54:00,3031,36.2286,36.25,36.21,36.25,36.21,70
2023-06-20 13:55:00,472,36.2325,36.22,36.224,36.25,36.22,18
2023-06-20 13:56:00,1952,36.2015,36.2,36.195,36.2256,36.19,34
2023-06-20 13:57:00,898,36.2592,36.26,36.2506,36.28,36.25,15
2023-06-20 13:58:00,5763,36.2869,36.275,36.245,36.35,36.245,91
2023-06-20 13:59:00,337,36.2517,36.242,36.2593,36.2593,36.242,12
2023-06-20 14:00:00,2470,36.2214,36.24,36.21,36.24,36.19,55
2023-06-20 14:01:00,2608,36.2229,36.22,36.23,36.24,36.21,50
2023-06-20 14:02:00,2227,36.2105,36.21,36.23,36.23,36.19,35
2023-06-20 14:03:00,1216,36.218,36.21,36.24,36.24,36.21,29
2023-06-20 14:04:00,1571,36.264,36.225,36.28,36.28,36.225,24
2023-06-20 14:05:00,917,36.2805,36.27,36.3,36.3,36.27,22
2023-06-20 14:06:00,4435,36.2984,36.3,36.3,36.31,36.28,85
2023-06-20 14:07:00,6082,36.2933,36.3,36.25,36.32,36.25,75
2023-06-20 14:08:00,1550,36.2392,36.24,36.2299,36.2799,36.225,24
2023-06-20 14:09:00,153,36.2586,36.255,36.255,36.255,36.255,6
2023-06-20 14:10:00,964,36.2595,36.26,36.25,36.27,36.25,28
2023-06-20 14:11:00,3209,36.1906,36.24,36.15,36.24,36.15,59
2023-06-20 14:12:00,5985,36.1741,36.15,36.1717,36.19,36.15,81
2023-06-20 14:13:00,5428,36.1923,36.18,36.22,36.22,36.18,77
2023-06-20 14:14:00,3218,36.2111,36.22,36.18,36.23,36.18,59
2023-06-20 14:15:00,1131,36.2054,36.19,36.21,36.21,36.19,43
2023-06-20 14:16:00,2420,36.1944,36.2,36.18,36.2,36.18,46
2023-06-20 14:17:00,845,36.1387,36.16,36.125,36.16,36.11,30
2023-06-20 14:18:00,2919,36.1375,36.12,36.13,36.16,36.12,73
2023-06-20 14:19:00,1473,36.1289,36.13,36.115,36.13,36.115,34
2023-06-20 14:20:00,1801,36.0791,36.1,36.055,36.1,36.055,26
2023-06-20 14:21:00,2454,36.0149,36.02,36.0,36.03,36.0,50
2023-06-20 14:22:00,2514,36.0411,36.01,36.05,36.05,36.01,45
2023-06-20 14:23:00,1165,36.0652,36.06,36.0675,36.07,36.06,25
2023-06-20 14:24:00,2665,36.095,36.09,36.12,36.12,36.08,56
2023-06-20 14:25:00,5197,36.129,36.12,36.125,36.17,36.12,86
2023-06-20 14:26:00,3574,36.1197,36.11,36.1233,36.13,36.11,59
2023-06-20 14:27:00,4274,36.2002,36.125,36.26,36.26,36.125,85
2023-06-20 14:28:00,1651,36.2076,36.22,36.196,36.22,36.196,32
2023-06-20 14:29:00,2900,36.2419,36.22,36.27,36.27,36.22,55
2023-06-20 14:30:00,5472,36.2693,36.28,36.26,36.29,36.25,76
2023-06-20 14:31:00,3674,36.2592,36.275,36.24,36.28,36.24,77
2023-06-20 14:32:00,2945,36.3076,36.25,36.33,36.3303,36.25,59
2023-06-20 14:33:00,394,36.335,36.34,36.34,36.34,36.34,15
2023-06-20 14:34:00,1294,36.2837,36.295,36.27,36.295,36.27,25
2023-06-20 14:35:00,4315,36.2216,36.24,36.23,36.24,36.2,59
2023-06-20 14:36:00,25211,36.1644,36.25,36.15,36.25,36.15,146
2023-06-20 14:37:00,1795,36.1392,36.1412,36.12,36.15,36.12,32
2023-06-20 14:38:00,2128,36.0656,36.1,36.0,36.1,36.0,37
2023-06-20 14:39:00,5741,36.0722,36.06,36.07,36.08,36.05,50
2023-06-20 14:40:00,999,36.1221,36.1,36.13,36.14,36.1,27
2023-06-20 14:41:00,877,36.1758,36.18,36.205,36.205,36.16,14
