t,v,vw,o,c,h,l,n
2023-11-17 11:48:00,300,4.29,4.29,4.29,4.29,4.29,1
2023-11-17 13:00:00,2011,4.4,4.4,4.4,4.4,4.4,4
2023-11-17 13:01:00,575,4.3954,4.3992,4.3992,4.3992,4.3992,2
2023-11-17 13:19:00,200,4.4,4.4,4.4,4.4,4.4,1
2023-11-17 13:22:00,100,4.38,4.38,4.38,4.38,4.38,1
2023-11-17 13:54:00,290,4.39,4.39,4.39,4.39,4.39,1
2023-11-17 14:04:00,674,4.3385,4.33,4.33,4.33,4.33,3
2023-11-17 14:05:00,262,4.3415,4.33,4.33,4.33,4.33,2
2023-11-17 14:10:00,100,4.33,4.33,4.33,4.33,4.33,1
2023-11-17 14:29:00,405,4.286,4.28,4.28,4.28,4.28,3
2023-11-17 14:30:00,56717,4.3762,4.38,4.3,4.38,4.3,22
2023-11-17 14:31:00,2634,4.2996,4.3,4.29,4.3,4.29,15
2023-11-17 14:32:00,4485,4.3008,4.3,4.31,4.31,4.29,55
2023-11-17 14:33:00,753,4.3115,4.31,4.32,4.32,4.31,9
2023-11-17 14:34:00,5569,4.3108,4.31,4.315,4.315,4.3099,27
2023-11-17 14:35:00,789,4.3163,4.31,4.31,4.32,4.31,16
2023-11-17 14:36:00,4520,4.3106,4.31,4.31,4.32,4.31,39
2023-11-17 14:37:00,5468,4.3141,4.3112,4.32,4.32,4.31,51
2023-11-17 14:38:00,14302,4.3066,4.32,4.285,4.32,4.285,127
2023-11-17 14:39:00,5271,4.2899,4.285,4.29,4.29,4.285,24
2023-11-17 14:40:00,12132,4.3007,4.3,4.29,4.32,4.29,132
2023-11-17 14:41:00,22384,4.294,4.29,4.29,4.3,4.29,201
2023-11-17 14:42:00,528,4.289,4.29,4.285,4.29,4.285,10
2023-11-17 14:43:00,354,4.2833,4.285,4.2801,4.285,4.2801,5
2023-11-17 14:44:00,6951,4.2839,4.285,4.28,4.29,4.28,62
2023-11-17 14:45:00,6190,4.2788,4.285,4.26,4.3,4.26,56
2023-11-17 14:46:00,7999,4.27,4.27,4.275,4.28,4.2627,51
2023-11-17 14:47:00,1455,4.2734,4.275,4.28,4.28,4.27,13
2023-11-17 14:48:00,3828,4.2705,4.28,4.27,4.28,4.27,48
2023-11-17 14:49:00,330,4.2765,4.275,4.28,4.28,4.275,5
2023-11-17 14:50:00,1920,4.2703,4.27,4.27,4.27,4.27,17
2023-11-17 14:51:00,1742,4.2712,4.275,4.27,4.275,4.27,26
2023-11-17 14:52:00,3695,4.2691,4.265,4.275,4.275,4.265,34
2023-11-17 14:53:00,1743,4.2694,4.27,4.265,4.27,4.265,26
2023-11-17 14:54:00,13659,4.2686,4.26,4.27,4.2799,4.26,75
2023-11-17 14:55:00,9064,4.2848,4.28,4.28,4.29,4.275,34
2023-11-17 14:56:00,2462,4.2895,4.285,4.29,4.29,4.285,25
2023-11-17 14:57:00,7516,4.299,4.295,4.295,4.3,4.29,79
2023-11-17 14:58:00,394,4.292,4.29,4.29,4.29,4.29,11
2023-11-17 14:59:00,2459,4.2862,4.29,4.2816,4.29,4.28,29
2023-11-17 15:00:00,2936,4.2903,4.29,4.29,4.295,4.29,37
2023-11-17 15:01:00,5147,4.2998,4.298,4.3,4.3,4.298,70
2023-11-17 15:02:00,2978,4.2987,4.295,4.295,4.3,4.295,14
2023-11-17 15:03:00,1948,4.2892,4.295,4.285,4.295,4.28,29
2023-11-17 15:04:00,459,4.2828,4.29,4.28,4.29,4.28,5
2023-11-17 15:05:00,20162,4.2969,4.29,4.29,4.3,4.285,247
2023-11-17 15:06:00,1102,4.2861,4.285,4.2864,4.29,4.285,5
2023-11-17 15:07:00,7959,4.2947,4.285,4.285,4.305,4.285,83
2023-11-17 15:08:00,10006,4.2951,4.28,4.305,4.31,4.28,98
2023-11-17 15:09:00,2157,4.3008,4.3016,4.295,4.305,4.29,25
2023-11-17 15:10:00,2992,4.2994,4.29,4.305,4.305,4.29,43
2023-11-17 15:11:00,2655,4.3015,4.3,4.3,4.305,4.3,22
2023-11-17 15:12:00,3562,4.3012,4.305,4.295,4.305,4.295,29
2023-11-17 15:13:00,31864,4.2994,4.295,4.305,4.31,4.295,178
2023-11-17 15:14:00,1623,4.2979,4.305,4.2925,4.305,4.29,25
2023-11-17 15:15:00,9886,4.301,4.295,4.3,4.305,4.295,73
2023-11-17 15:16:00,29462,4.319,4.305,4.32,4.34,4.3,239
2023-11-17 15:17:00,1566,4.3298,4.33,4.335,4.335,4.33,16
2023-11-17 15:18:00,6653,4.3451,4.34,4.35,4.36,4.34,62
2023-11-17 15:19:00,3475,4.335,4.34,4.33,4.34,4.33,51
2023-11-17 15:20:00,16392,4.3193,4.325,4.3,4.33,4.29,112
2023-11-17 15:21:00,2430,4.2759,4.29,4.27,4.29,4.27,47
2023-11-17 15:22:00,18829,4.257,4.26,4.25,4.26,4.24,145
2023-11-17 15:23:00,4238,4.2548,4.25,4.25,4.26,4.25,27
2023-11-17 15:24:00,4892,4.2349,4.24,4.23,4.24,4.23,27
2023-11-17 15:25:00,7073,4.2177,4.23,4.205,4.23,4.2,74
2023-11-17 15:26:00,3569,4.2091,4.205,4.22,4.22,4.2,45
2023-11-17 15:27:00,1518,4.2074,4.21,4.2017,4.21,4.2017,23
2023-11-17 15:28:00,1403,4.2008,4.2,4.205,4.205,4.2,15
2023-11-17 15:29:00,4245,4.2052,4.2,4.2045,4.21,4.2,34
2023-11-17 15:30:00,8323,4.2102,4.21,4.214,4.214,4.2095,102
2023-11-17 15:31:00,4503,4.2199,4.22,4.21,4.225,4.21,37
2023-11-17 15:32:00,9211,4.2024,4.21,4.21,4.21,4.2,48
2023-11-17 15:33:00,4222,4.2046,4.21,4.1982,4.21,4.1982,58
2023-11-17 15:34:00,4648,4.1997,4.2,4.2,4.2,4.19,64
2023-11-17 15:35:00,4244,4.2089,4.205,4.21,4.215,4.205,41
2023-11-17 15:36:00,5709,4.202,4.21,4.205,4.215,4.1989,88
