t,v,vw,o,c,h,l,n
2024-03-08 13:43:00,300,79.1867,79.18,79.19,79.19,79.18,2
2024-03-08 13:46:00,631,79.6916,79.58,79.8,79.8,79.58,9
2024-03-08 14:30:00,26701,79.3619,79.36,79.145,79.505,79.045,33
2024-03-08 14:31:00,1418,79.3459,79.14,79.39,79.465,79.14,29
2024-03-08 14:32:00,603,79.3413,79.39,79.27,79.48,79.185,14
2024-03-08 14:33:00,888,79.5291,79.575,79.555,79.575,79.315,20
2024-03-08 14:34:00,915,79.5993,79.81,79.62,79.81,79.62,13
2024-03-08 14:35:00,532,79.5838,79.62,79.51,79.62,79.51,18
2024-03-08 14:36:00,443,79.6818,79.7139,79.59,79.745,79.59,22
2024-03-08 14:37:00,363,79.6697,79.735,79.655,79.735,79.655,16
2024-03-08 14:38:00,1000,79.7105,79.72,79.76,79.76,79.685,32
2024-03-08 14:39:00,1161,79.8103,79.83,79.78,79.83,79.765,25
2024-03-08 14:41:00,2176,79.8216,79.92,79.81,79.92,79.79,73
2024-03-08 14:42:00,311,79.806,79.76,79.76,79.76,79.76,28
2024-03-08 14:43:00,865,79.8325,79.803,79.825,79.88,79.803,27
2024-03-08 14:44:00,1451,79.7566,79.76,79.74,79.8,79.72,41
2024-03-08 14:45:00,1729,79.7613,79.755,79.75,79.82,79.75,38
2024-03-08 14:46:00,844,79.8619,79.83,79.92,79.92,79.83,29
2024-03-08 14:47:00,2742,79.9688,79.92,79.915,80.0,79.915,57
2024-03-08 14:48:00,142,79.8983,79.905,79.905,79.905,79.905,6
2024-03-08 14:49:00,1744,79.8222,79.885,79.78,79.885,79.78,69
2024-03-08 14:50:00,6200,79.7802,79.74,79.78,79.81,79.74,74
2024-03-08 14:51:00,1220,79.6634,79.69,79.61,79.69,79.6,26
2024-03-08 14:52:00,1432,79.6922,79.65,79.71,79.72,79.65,45
2024-03-08 14:53:00,3059,79.7272,79.72,79.76,79.79,79.695,66
2024-03-08 14:54:00,1255,79.7437,79.75,79.75,79.75,79.715,35
2024-03-08 14:55:00,2232,79.6609,79.7,79.635,79.7026,79.6,31
2024-03-08 14:56:00,1849,79.4552,79.59,79.4,79.59,79.4,37
2024-03-08 14:57:00,3116,79.3361,79.39,79.32,79.3975,79.32,23
2024-03-08 14:58:00,1860,79.4367,79.395,79.45,79.45,79.395,53
2024-03-08 14:59:00,2684,79.4613,79.45,79.465,79.5,79.45,28
2024-03-08 15:00:00,958,79.4543,79.465,79.41,79.48,79.41,21
2024-03-08 15:01:00,5769,79.3973,79.41,79.385,79.43,79.36,113
2024-03-08 15:02:00,420,79.425,79.415,79.42,79.42,79.415,23
2024-03-08 15:03:00,821,79.4401,79.425,79.47,79.47,79.425,27
2024-03-08 15:04:00,332,79.4193,79.41,79.41,79.41,79.41,21
2024-03-08 15:05:00,4080,79.3432,79.41,79.26,79.41,79.26,69
2024-03-08 15:06:00,1134,79.2675,79.24,79.26,79.285,79.24,39
2024-03-08 15:07:00,3065,79.2292,79.23,79.23,79.2604,79.2,62
2024-03-08 15:08:00,3116,79.162,79.205,79.155,79.205,79.13,62
2024-03-08 15:09:00,714,79.1458,79.11,79.12,79.17,79.11,21
2024-03-08 15:10:00,4459,79.0161,79.12,78.95,79.12,78.95,78
2024-03-08 15:11:00,1847,78.8911,78.94,78.865,78.94,78.82,49
2024-03-08 15:12:00,2902,78.9015,78.82,78.95,78.98,78.82,66
2024-03-08 15:13:00,1965,78.9788,78.9,79.01,79.01,78.9,37
2024-03-08 15:14:00,12737,79.0834,79.01,79.165,79.18,79.0,145
2024-03-08 15:15:00,1832,79.1652,79.165,79.22,79.22,79.1111,35
2024-03-08 15:16:00,3081,79.1672,79.2,79.21,79.21,79.14,52
2024-03-08 15:17:00,1393,79.2252,79.21,79.24,79.24,79.21,32
2024-03-08 15:18:00,7137,79.264,79.24,79.27,79.32,79.23,83
2024-03-08 15:19:00,3105,79.2749,79.31,79.2,79.33,79.2,54
2024-03-08 15:20:00,1491,79.172,79.21,79.145,79.22,79.1225,44
2024-03-08 15:21:00,5456,79.1834,79.145,79.17,79.217,79.145,60
2024-03-08 15:22:00,1546,79.112,79.15,79.11,79.15,79.08,32
2024-03-08 15:23:00,1067,79.0322,79.1,78.97,79.1,78.97,36
2024-03-08 15:24:00,3440,79.0214,78.995,79.005,79.04,78.995,38
