t,v,vw,o,c,h,l,n
2024-05-13 12:42:00,500.0,6.57,6.57,6.57,6.57,6.57,1
2024-05-13 13:00:00,301.0,6.5701,6.57,6.57,6.57,6.57,3
2024-05-13 13:11:00,224.0,6.58,6.58,6.58,6.58,6.58,1
2024-05-13 13:23:00,105.0,6.59,6.59,6.59,6.59,6.59,1
2024-05-13 13:29:00,220.0,6.55,6.55,6.55,6.55,6.55,4
2024-05-13 13:30:00,50598.0,6.5546,6.55,6.5534,6.58,6.55,71
2024-05-13 13:31:00,66678.0,6.5499,6.56,6.52,6.57,6.52,197
2024-05-13 13:32:00,20665.0,6.5003,6.51,6.485,6.5199,6.48,100
2024-05-13 13:33:00,28642.0,6.4932,6.49,6.49,6.5,6.485,132
2024-05-13 13:34:00,37885.0,6.4878,6.495,6.49,6.495,6.475,228
2024-05-13 13:35:00,8975.0,6.5008,6.5,6.5,6.51,6.5,57
2024-05-13 13:36:00,8510.0,6.4928,6.5,6.49,6.5,6.49,67
2024-05-13 13:37:00,23707.0,6.4897,6.48,6.49,6.495,6.48,127
2024-05-13 13:38:00,17831.0,6.4992,6.5,6.505,6.51,6.4901,77
2024-05-13 13:39:00,8953.0,6.5097,6.51,6.505,6.51,6.505,25
2024-05-13 13:40:00,11731.0,6.5127,6.5,6.52,6.52,6.5,40
2024-05-13 13:41:00,28762.0,6.5227,6.52,6.5399,6.5399,6.51,68
2024-05-13 13:42:00,7855.0,6.534,6.53,6.54,6.54,6.53,31
2024-05-13 13:43:00,29357.0,6.539,6.5344,6.54,6.55,6.5344,53
2024-05-13 13:44:00,11210.0,6.5346,6.53,6.53,6.54,6.53,41
2024-05-13 13:45:00,69938.0,6.55,6.535,6.5697,6.57,6.53,185
2024-05-13 13:46:00,15581.0,6.5795,6.57,6.575,6.59,6.57,45
2024-05-13 13:47:00,19724.0,6.5776,6.58,6.57,6.59,6.57,58
2024-05-13 13:48:00,27270.0,6.5613,6.57,6.56,6.57,6.551,34
2024-05-13 13:49:00,27755.0,6.5599,6.56,6.56,6.565,6.5558,40
2024-05-13 13:50:00,29748.0,6.5485,6.555,6.54,6.57,6.54,76
2024-05-13 13:51:00,27759.0,6.5486,6.54,6.555,6.555,6.54,59
2024-05-13 13:52:00,2889.0,6.5599,6.56,6.56,6.56,6.56,9
2024-05-13 13:53:00,17838.0,6.5567,6.56,6.5633,6.565,6.55,52
2024-05-13 13:54:00,8546.0,6.5629,6.57,6.5501,6.57,6.5501,35
2024-05-13 13:55:00,7066.0,6.5624,6.56,6.565,6.565,6.56,11
2024-05-13 13:56:00,14794.0,6.5579,6.56,6.56,6.56,6.555,65
2024-05-13 13:57:00,20375.0,6.5609,6.555,6.56,6.57,6.555,51
2024-05-13 13:58:00,23219.0,6.5619,6.56,6.56,6.5684,6.555,41
2024-05-13 13:59:00,37277.0,6.5501,6.56,6.54,6.56,6.54,96
