t,v,vw,o,c,h,l,n
2023-10-02 08:15:00,160,19.55,19.55,19.55,19.55,19.55,2
2023-10-02 12:00:00,741,19.5272,19.529,19.53,19.53,19.529,12
2023-10-02 12:06:00,400,19.49,19.49,19.49,19.49,19.49,1
2023-10-02 12:09:00,295,19.4814,19.48,19.48,19.48,19.48,3
2023-10-02 12:24:00,213,19.4701,19.47,19.47,19.47,19.47,7
2023-10-02 13:26:00,535,19.48,19.48,19.48,19.48,19.48,9
2023-10-02 13:30:00,72761,19.4984,19.5,19.49,19.5,19.47,262
2023-10-02 13:31:00,2982,19.4817,19.49,19.48,19.49,19.475,35
2023-10-02 13:32:00,9355,19.4881,19.485,19.49,19.49,19.485,54
2023-10-02 13:33:00,43013,19.5034,19.485,19.505,19.52,19.485,97
2023-10-02 13:34:00,5576,19.485,19.5,19.48,19.5,19.48,57
2023-10-02 13:35:00,2975,19.4885,19.4884,19.49,19.49,19.48,41
2023-10-02 13:36:00,3337,19.4701,19.48,19.46,19.48,19.46,57
2023-10-02 13:37:00,9009,19.4509,19.465,19.435,19.4692,19.435,109
2023-10-02 13:38:00,1140,19.4291,19.435,19.42,19.435,19.42,36
2023-10-02 13:39:00,10127,19.4248,19.425,19.4197,19.43,19.4197,83
2023-10-02 13:40:00,17738,19.4111,19.4193,19.412,19.42,19.4,113
2023-10-02 13:41:00,6538,19.4196,19.42,19.42,19.43,19.415,62
2023-10-02 13:42:00,9814,19.4102,19.41,19.41,19.4199,19.405,74
2023-10-02 13:43:00,1723,19.4057,19.405,19.405,19.41,19.405,19
2023-10-02 13:44:00,37215,19.3955,19.4,19.3863,19.41,19.375,161
2023-10-02 13:45:00,3548,19.3709,19.385,19.365,19.385,19.36,55
2023-10-02 13:46:00,14006,19.3625,19.365,19.366,19.37,19.355,118
2023-10-02 13:47:00,7482,19.3736,19.37,19.38,19.39,19.3662,56
2023-10-02 13:48:00,22785,19.3793,19.38,19.37,19.385,19.37,82
2023-10-02 13:49:00,6158,19.3721,19.375,19.37,19.375,19.37,56
2023-10-02 13:50:00,4963,19.372,19.375,19.365,19.38,19.365,55
2023-10-02 13:51:00,6178,19.3591,19.36,19.35,19.36,19.35,68
2023-10-02 13:52:00,9173,19.3414,19.35,19.33,19.35,19.33,88
2023-10-02 13:53:00,44090,19.3297,19.325,19.325,19.33,19.32,50
2023-10-02 13:54:00,5153,19.3375,19.3274,19.35,19.35,19.3274,55
2023-10-02 13:55:00,7137,19.3261,19.34,19.315,19.345,19.31,82
2023-10-02 13:56:00,9262,19.306,19.3161,19.31,19.3161,19.3,78
2023-10-02 13:57:00,3757,19.2983,19.3,19.29,19.3,19.29,56
2023-10-02 13:58:00,10080,19.3059,19.3,19.31,19.32,19.295,55
2023-10-02 13:59:00,4422,19.307,19.315,19.29,19.315,19.29,64
2023-10-02 14:00:00,9749,19.2962,19.28,19.3266,19.3299,19.28,85
2023-10-02 14:01:00,5504,19.3305,19.33,19.34,19.34,19.325,60
2023-10-02 14:02:00,10665,19.3369,19.335,19.33,19.34,19.33,87
2023-10-02 14:03:00,4635,19.3152,19.3236,19.32,19.33,19.31,44
2023-10-02 14:04:00,4300,19.2882,19.315,19.28,19.315,19.28,30
2023-10-02 14:05:00,3552,19.2741,19.285,19.27,19.285,19.27,67
2023-10-02 14:06:00,13271,19.2701,19.27,19.2659,19.2794,19.26,68
2023-10-02 14:07:00,15172,19.2517,19.26,19.255,19.26,19.25,71
2023-10-02 14:08:00,24153,19.2518,19.25,19.25,19.2591,19.24,121
2023-10-02 14:09:00,10949,19.2438,19.24,19.2492,19.25,19.24,29
2023-10-02 14:10:00,7012,19.2558,19.25,19.255,19.26,19.25,67
2023-10-02 14:11:00,3858,19.2629,19.26,19.27,19.27,19.26,33
2023-10-02 14:12:00,21235,19.2741,19.265,19.255,19.28,19.25,72
2023-10-02 14:13:00,3475,19.25,19.255,19.2499,19.255,19.245,44
2023-10-02 14:14:00,16518,19.2507,19.245,19.25,19.255,19.245,92
2023-10-02 14:15:00,2333,19.2555,19.2589,19.255,19.26,19.25,38
2023-10-02 14:16:00,7133,19.2509,19.2569,19.2555,19.26,19.245,83
2023-10-02 14:17:00,14228,19.26,19.26,19.26,19.27,19.255,110
2023-10-02 14:18:00,6455,19.2634,19.26,19.27,19.27,19.26,44
2023-10-02 14:19:00,11907,19.2573,19.26,19.25,19.26,19.25,90
2023-10-02 14:20:00,4829,19.252,19.25,19.255,19.26,19.25,34
2023-10-02 14:21:00,3179,19.2513,19.255,19.25,19.255,19.25,36
2023-10-02 14:22:00,3013,19.2475,19.25,19.245,19.25,19.245,50
2023-10-02 14:23:00,6512,19.2498,19.25,19.255,19.2595,19.24,46
2023-10-02 14:24:00,664,19.2587,19.26,19.2599,19.26,19.255,15
2023-10-02 14:25:00,683,19.2569,19.2529,19.2599,19.2599,19.2529,19
2023-10-02 14:26:00,13120,19.245,19.2559,19.235,19.2559,19.235,119
2023-10-02 14:27:00,6616,19.2288,19.235,19.22,19.235,19.22,75
2023-10-02 14:28:00,3239,19.2249,19.225,19.225,19.23,19.22,38
2023-10-02 14:29:00,11695,19.2199,19.22,19.21,19.23,19.21,94
2023-10-02 14:30:00,12398,19.2066,19.215,19.205,19.215,19.2,88
2023-10-02 14:31:00,60442,19.1972,19.2,19.17,19.2,19.17,207
2023-10-02 14:32:00,36920,19.1843,19.175,19.18,19.195,19.175,156
2023-10-02 14:33:00,1832,19.1765,19.175,19.1778,19.1778,19.175,17
2023-10-02 14:34:00,3809,19.1689,19.17,19.17,19.17,19.16,53
2023-10-02 14:35:00,1231,19.1663,19.17,19.165,19.17,19.165,19
2023-10-02 14:36:00,1375,19.1671,19.1658,19.17,19.17,19.1658,29
2023-10-02 14:37:00,19933,19.1692,19.1609,19.1641,19.175,19.16,127
2023-10-02 14:38:00,22942,19.1488,19.165,19.125,19.165,19.125,153
2023-10-02 14:39:00,5782,19.1249,19.125,19.1239,19.1272,19.1217,29
2023-10-02 14:40:00,9003,19.13,19.1249,19.135,19.1399,19.1249,67
2023-10-02 14:41:00,22248,19.1395,19.14,19.15,19.15,19.13,175
2023-10-02 14:42:00,13209,19.1385,19.14,19.14,19.1499,19.13,97
2023-10-02 14:43:00,5444,19.1291,19.135,19.1239,19.135,19.12,62
2023-10-02 14:44:00,23421,19.1415,19.13,19.175,19.18,19.13,109
2023-10-02 14:45:00,13128,19.1877,19.18,19.1901,19.2,19.18,103
2023-10-02 14:46:00,32806,19.1937,19.19,19.1948,19.21,19.185,255
2023-10-02 14:47:00,10317,19.2022,19.195,19.205,19.21,19.19,68
2023-10-02 14:48:00,10861,19.1884,19.2,19.16,19.205,19.16,119
2023-10-02 14:49:00,4811,19.1575,19.16,19.15,19.16,19.15,27
2023-10-02 14:50:00,12629,19.1633,19.1501,19.165,19.17,19.1501,66
2023-10-02 14:51:00,17005,19.1709,19.17,19.175,19.18,19.165,107
2023-10-02 14:52:00,5448,19.1766,19.18,19.175,19.18,19.172,59
2023-10-02 14:53:00,17221,19.1656,19.175,19.155,19.1799,19.15,125
2023-10-02 14:54:00,14495,19.1629,19.155,19.1792,19.18,19.15,86
2023-10-02 14:55:00,5097,19.1748,19.17,19.18,19.18,19.17,28
2023-10-02 14:56:00,4671,19.1742,19.18,19.18,19.18,19.1701,27
2023-10-02 14:57:00,5377,19.1704,19.17,19.16,19.18,19.16,72
2023-10-02 14:58:00,9468,19.16,19.16,19.1601,19.17,19.155,84
2023-10-02 14:59:00,9015,19.1731,19.17,19.1738,19.18,19.17,65
2023-10-02 15:00:00,4325,19.1859,19.17,19.195,19.195,19.17,41
2023-10-02 15:01:00,31930,19.1913,19.2,19.185,19.2,19.185,136
