t,v,vw,o,c,h,l,n
2024-02-21 09:23:00,110,14.1991,14.2,14.2,14.2,14.2,2
2024-02-21 11:50:00,100,14.15,14.15,14.15,14.15,14.15,1
2024-02-21 12:00:00,200,14.191,14.2,14.2,14.2,14.2,2
2024-02-21 12:10:00,998,14.0604,14.06,14.06,14.06,14.06,6
2024-02-21 12:11:00,918,14.0489,14.05,14.05,14.05,14.04,13
2024-02-21 12:13:00,985,14.0039,14.01,14.0,14.01,14.0,11
2024-02-21 12:14:00,14085,13.999,14.0,13.98,14.0,13.96,10
2024-02-21 12:16:00,240,13.96,13.96,13.96,13.96,13.96,6
2024-02-21 12:17:00,6874,13.9119,13.92,13.92,13.92,13.91,60
2024-02-21 12:18:00,2800,13.9289,13.92,13.95,13.95,13.92,44
2024-02-21 12:19:00,200,13.935,13.93,13.94,13.94,13.93,2
2024-02-21 12:21:00,300,13.9367,13.94,13.93,13.94,13.93,4
2024-02-21 12:22:00,950,13.9263,13.93,13.94,13.94,13.93,16
2024-02-21 12:24:00,550,13.95,13.95,13.95,13.95,13.95,10
2024-02-21 12:25:00,6716,13.9306,13.94,13.93,13.94,13.93,61
2024-02-21 12:26:00,6532,13.9372,13.93,13.94,13.94,13.93,27
2024-02-21 12:32:00,550,13.9844,14.02,14.02,14.02,14.02,12
2024-02-21 12:48:00,100,13.95,13.95,13.95,13.95,13.95,1
2024-02-21 12:55:00,9524,13.9409,13.96,13.94,13.96,13.94,48
2024-02-21 12:56:00,3600,13.95,13.95,13.95,13.95,13.95,3
2024-02-21 12:57:00,244,13.95,13.95,13.95,13.95,13.95,2
2024-02-21 12:59:00,100,13.96,13.96,13.96,13.96,13.96,1
2024-02-21 13:00:00,1016,13.964,13.96,13.98,13.98,13.95,9
2024-02-21 13:01:00,350,13.99,13.99,13.99,13.99,13.99,6
2024-02-21 13:02:00,232,14.1156,13.98,13.98,13.98,13.98,4
2024-02-21 13:07:00,200,13.95,13.95,13.95,13.95,13.95,1
2024-02-21 13:11:00,9931,13.9498,13.95,13.95,13.95,13.95,21
2024-02-21 13:14:00,100,13.94,13.94,13.94,13.94,13.94,1
2024-02-21 13:22:00,250,13.9,13.9,13.9,13.9,13.9,3
2024-02-21 13:23:00,213,13.8558,13.84,13.84,13.84,13.84,8
2024-02-21 14:14:00,349,13.9029,13.9,13.91,13.91,13.9,5
2024-02-21 14:15:00,120,13.91,13.91,13.91,13.91,13.91,1
2024-02-21 14:24:00,250,13.9021,13.9,13.9,13.9,13.9,6
2024-02-21 14:30:00,54619,13.868,13.9,13.86,13.9,13.7761,118
2024-02-21 14:31:00,4686,13.9199,13.86,13.94,13.98,13.86,57
2024-02-21 14:32:00,4686,13.8824,13.94,13.89,13.94,13.82,45
2024-02-21 14:33:00,1157,13.868,13.85,13.875,13.875,13.84,25
2024-02-21 14:34:00,1380,13.901,13.8857,13.93,13.93,13.8842,17
2024-02-21 14:35:00,4626,13.9181,13.95,13.84,13.96,13.84,56
2024-02-21 14:36:00,8435,13.842,13.85,13.8801,13.8801,13.8,50
2024-02-21 14:37:00,3367,13.8833,13.9,13.87,13.91,13.86,27
2024-02-21 14:38:00,8943,13.8657,13.87,13.91,13.91,13.84,84
2024-02-21 14:39:00,8537,13.8885,13.92,13.87,13.92,13.86,80
2024-02-21 14:40:00,5143,13.8956,13.87,13.8986,13.91,13.87,66
2024-02-21 14:41:00,16149,13.894,13.88,13.9,13.92,13.88,168
2024-02-21 14:42:00,4727,13.8845,13.9,13.87,13.91,13.86,81
2024-02-21 14:43:00,11861,13.8516,13.8635,13.84,13.8635,13.84,76
2024-02-21 14:44:00,3023,13.8355,13.83,13.83,13.84,13.825,58
2024-02-21 14:45:00,12172,13.8103,13.84,13.815,13.84,13.8,137
2024-02-21 14:46:00,6892,13.8408,13.8194,13.85,13.86,13.8125,69
2024-02-21 14:47:00,3619,13.8498,13.845,13.84,13.85,13.84,31
2024-02-21 14:48:00,2513,13.8578,13.84,13.875,13.875,13.84,36
2024-02-21 14:49:00,3548,13.9044,13.88,13.91,13.92,13.88,48
2024-02-21 14:50:00,4132,13.9279,13.9,13.94,13.945,13.9,45
2024-02-21 14:51:00,11205,13.961,13.93,13.975,13.99,13.9163,135
2024-02-21 14:52:00,21974,13.9984,13.9792,14.0,14.01,13.9792,75
2024-02-21 14:53:00,4529,14.0027,14.01,13.99,14.01,13.99,46
2024-02-21 14:54:00,7107,13.9561,13.99,13.94,13.99,13.92,96
2024-02-21 14:55:00,1528,13.9037,13.93,13.89,13.93,13.89,28
2024-02-21 14:56:00,4015,13.8645,13.88,13.86,13.88,13.85,52
2024-02-21 14:57:00,5144,13.8811,13.84,13.8799,13.8799,13.84,48
2024-02-21 14:58:00,4017,13.8635,13.87,13.875,13.875,13.85,51
2024-02-21 14:59:00,3250,13.8629,13.87,13.86,13.87,13.86,50
2024-02-21 15:00:00,12434,13.8426,13.86,13.87,13.87,13.83,145
2024-02-21 15:01:00,5083,13.8405,13.86,13.84,13.86,13.83,84
2024-02-21 15:02:00,2423,13.8509,13.84,13.86,13.86,13.835,62
2024-02-21 15:03:00,3863,13.8446,13.855,13.84,13.855,13.8325,52
2024-02-21 15:04:00,11361,13.8579,13.85,13.835,13.87,13.835,134
2024-02-21 15:05:00,11018,13.7917,13.83,13.76,13.83,13.76,141
2024-02-21 15:06:00,7640,13.7723,13.76,13.7685,13.7895,13.755,89
2024-02-21 15:07:00,12002,13.7717,13.768,13.7892,13.79,13.76,74
2024-02-21 15:08:00,7043,13.8073,13.78,13.835,13.835,13.78,84
2024-02-21 15:09:00,8894,13.8375,13.84,13.83,13.85,13.82,81
2024-02-21 15:10:00,5661,13.8179,13.84,13.79,13.84,13.79,77
2024-02-21 15:11:00,3514,13.8122,13.8,13.82,13.82,13.8,75
2024-02-21 15:12:00,3998,13.817,13.825,13.82,13.83,13.8,49
2024-02-21 15:13:00,4303,13.8358,13.83,13.8419,13.845,13.82,70
2024-02-21 15:14:00,1903,13.8306,13.84,13.83,13.84,13.82,26
2024-02-21 15:15:00,3909,13.8216,13.81,13.83,13.83,13.81,63
2024-02-21 15:16:00,3201,13.8436,13.83,13.8299,13.855,13.8299,41
2024-02-21 15:17:00,4287,13.8379,13.83,13.86,13.86,13.83,42
2024-02-21 15:18:00,7357,13.8339,13.8589,13.8,13.86,13.8,105
2024-02-21 15:19:00,5056,13.8184,13.8025,13.81,13.82,13.8025,48
2024-02-21 15:20:00,30726,13.7819,13.81,13.7925,13.81,13.77,288
2024-02-21 15:21:00,32027,13.7472,13.79,13.74,13.7987,13.72,237
2024-02-21 15:22:00,6273,13.7396,13.7325,13.735,13.745,13.73,64
2024-02-21 15:23:00,38929,13.7031,13.7325,13.72,13.735,13.69,313
2024-02-21 15:24:00,12465,13.7122,13.72,13.7197,13.72,13.7,84
2024-02-21 15:25:00,20737,13.6932,13.7175,13.7,13.7175,13.68,201
2024-02-21 15:26:00,6388,13.7007,13.71,13.7,13.71,13.69,57
2024-02-21 15:27:00,4282,13.685,13.69,13.69,13.69,13.67,62
2024-02-21 15:28:00,64425,13.6963,13.695,13.72,13.725,13.695,82
2024-02-21 15:29:00,11348,13.7129,13.71,13.735,13.7368,13.705,46
2024-02-21 15:30:00,7891,13.752,13.74,13.74,13.765,13.74,109
2024-02-21 15:31:00,3582,13.7373,13.74,13.74,13.74,13.73,57
2024-02-21 15:32:00,5803,13.753,13.75,13.75,13.765,13.745,77
2024-02-21 15:33:00,3814,13.7353,13.75,13.73,13.75,13.73,58
2024-02-21 15:34:00,3740,13.7212,13.734,13.71,13.734,13.71,54
2024-02-21 15:35:00,5824,13.7096,13.71,13.725,13.73,13.69,87
2024-02-21 15:36:00,5428,13.7089,13.72,13.7,13.72,13.7,50
2024-02-21 15:37:00,3827,13.7153,13.7,13.73,13.74,13.69,38
2024-02-21 15:38:00,3595,13.7188,13.725,13.715,13.725,13.715,33
2024-02-21 15:39:00,2387,13.7018,13.705,13.7,13.705,13.7,33
2024-02-21 15:40:00,5097,13.7243,13.7,13.74,13.74,13.7,70
2024-02-21 15:41:00,2628,13.7391,13.74,13.735,13.74,13.735,44
2024-02-21 15:42:00,12617,13.7325,13.735,13.7499,13.75,13.72,149
2024-02-21 15:43:00,4237,13.7372,13.745,13.7325,13.745,13.725,54
2024-02-21 15:44:00,4350,13.7272,13.73,13.735,13.7388,13.7201,44
2024-02-21 15:45:00,2207,13.7289,13.74,13.71,13.745,13.71,45
2024-02-21 15:46:00,4159,13.716,13.71,13.73,13.73,13.71,58
2024-02-21 15:47:00,4545,13.7252,13.72,13.74,13.74,13.715,68
2024-02-21 15:48:00,1490,13.7409,13.74,13.74,13.75,13.74,20
2024-02-21 15:49:00,3946,13.7363,13.74,13.72,13.745,13.72,46
2024-02-21 15:50:00,1774,13.7173,13.715,13.715,13.72,13.71,29
2024-02-21 15:51:00,3617,13.7174,13.72,13.71,13.7281,13.71,45
2024-02-21 15:52:00,7983,13.7485,13.72,13.76,13.77,13.72,101
2024-02-21 15:53:00,7272,13.7396,13.76,13.74,13.76,13.73,73
2024-02-21 15:54:00,3971,13.7354,13.745,13.73,13.745,13.73,52
2024-02-21 15:55:00,3331,13.7299,13.725,13.74,13.74,13.715,50
2024-02-21 15:56:00,2949,13.7366,13.745,13.72,13.745,13.72,35
2024-02-21 15:57:00,9086,13.7392,13.73,13.755,13.755,13.73,92
2024-02-21 15:58:00,17909,13.772,13.755,13.765,13.7799,13.755,83
