t,v,vw,o,c,h,l,n
2024-01-29 09:03:00,101,868.7518,868.75,868.75,868.75,868.75,2
2024-01-29 09:10:00,666,868.2108,868.1,868.3,868.3,868.1,22
2024-01-29 09:17:00,121,866.3031,866.28,866.28,866.28,866.28,3
2024-01-29 09:25:00,758,867.5487,867.59,867.6,867.6,867.59,21
2024-01-29 11:25:00,800,865.4251,865.32,865.32,865.32,865.32,30
2024-01-29 11:56:00,204,865.7892,865.8,865.8,865.8,865.8,7
2024-01-29 12:07:00,281,867.1268,867.13,867.13,867.13,867.13,4
2024-01-29 13:00:00,510,867.1838,867.48,866.96,867.48,866.96,30
2024-01-29 13:01:00,139,865.4896,865.581,865.581,865.581,865.581,7
2024-01-29 13:05:00,308,866.4829,866.24,866.24,866.24,866.24,5
2024-01-29 13:06:00,170,865.824,865.8,865.8,865.8,865.8,4
2024-01-29 13:12:00,701,866.0997,866.1,866.1,866.1,866.1,10
2024-01-29 13:32:00,105,867.5648,867.58,867.58,867.58,867.58,3
2024-01-29 13:51:00,212,867.5627,867.58,867.58,867.58,867.58,4
2024-01-29 13:52:00,130,867.5385,867.58,867.58,867.58,867.58,3
2024-01-29 14:13:00,116,865.7307,865.79,865.79,865.79,865.79,2
2024-01-29 14:27:00,1195,866.5192,866.4,866.73,866.73,866.4,39
2024-01-29 14:28:00,525,866.9001,867.0,867.0,867.0,867.0,15
2024-01-29 14:30:00,23294,867.6627,867.58,868.22,868.4,867.0,601
2024-01-29 14:31:00,6436,868.4587,868.335,868.67,868.99,867.84,217
2024-01-29 14:32:00,2412,868.7712,868.96,868.54,868.96,868.54,153
2024-01-29 14:33:00,4535,869.2623,868.985,868.95,869.74,868.95,182
2024-01-29 14:34:00,3866,869.67,869.46,869.65,869.97,869.46,151
2024-01-29 14:35:00,9738,870.0736,869.775,870.05,870.5752,869.775,348
2024-01-29 14:36:00,3071,870.1742,869.97,870.11,870.3,869.955,177
2024-01-29 14:37:00,3708,870.2348,870.23,870.13,870.3528,870.07,169
2024-01-29 14:38:00,4009,870.3254,870.31,870.17,870.84,870.17,194
2024-01-29 14:39:00,2613,870.7438,870.61,870.72,870.735,870.61,80
2024-01-29 14:40:00,11234,870.0119,870.32,870.83,870.83,869.81,333
2024-01-29 14:41:00,6633,871.9564,871.4762,872.497,872.52,871.4762,210
2024-01-29 14:42:00,4598,871.8554,872.16,871.33,872.29,871.31,183
2024-01-29 14:43:00,4541,870.6396,870.93,870.415,870.93,870.415,104
2024-01-29 14:44:00,3832,870.1842,870.64,870.005,870.64,870.005,124
