t,v,vw,o,c,h,l,n
2023-08-21 13:03:00,500,5.8,5.8,5.8,5.8,5.8,1
2023-08-21 13:30:00,7537,5.7628,5.76,5.86,5.86,5.76,20
2023-08-21 13:31:00,1110,5.7659,5.76,5.76,5.8,5.76,17
2023-08-21 13:32:00,512,5.7853,5.78,5.77,5.78,5.77,11
2023-08-21 13:33:00,1900,5.8006,5.8,5.81,5.82,5.79,18
2023-08-21 13:34:00,337,5.7864,5.78,5.78,5.78,5.78,14
2023-08-21 13:35:00,7720,5.8002,5.78,5.84,5.84,5.78,52
2023-08-21 13:36:00,8595,5.8462,5.8499,5.85,5.85,5.83,37
2023-08-21 13:37:00,7349,5.9027,5.8436,5.945,5.945,5.8436,55
2023-08-21 13:38:00,8430,5.9251,5.95,5.91,5.96,5.9,71
2023-08-21 13:40:00,842,5.8898,5.9,5.87,5.9,5.87,18
2023-08-21 13:41:00,1122,5.8405,5.86,5.84,5.86,5.83,26
2023-08-21 13:42:00,799,5.8535,5.85,5.855,5.86,5.85,19
2023-08-21 13:43:00,233,5.8765,5.88,5.88,5.88,5.88,4
2023-08-21 13:44:00,5448,5.8725,5.86,5.88,5.89,5.8596,57
2023-08-21 13:45:00,919,5.8896,5.89,5.905,5.905,5.89,14
2023-08-21 13:47:00,900,5.9154,5.905,5.93,5.93,5.905,8
2023-08-21 13:48:00,1125,5.9183,5.925,5.91,5.925,5.91,17
2023-08-21 13:49:00,1389,5.8927,5.905,5.89,5.905,5.88,13
2023-08-21 13:51:00,430,5.8574,5.86,5.855,5.86,5.855,19
2023-08-21 13:52:00,351,5.8612,5.855,5.87,5.87,5.855,6
2023-08-21 13:53:00,3573,5.8463,5.8476,5.86,5.87,5.84,24
2023-08-21 13:54:00,6784,5.8701,5.87,5.87,5.88,5.87,70
2023-08-21 13:55:00,830,5.8847,5.88,5.89,5.89,5.88,14
2023-08-21 13:56:00,763,5.9027,5.9,5.91,5.91,5.9,18
2023-08-21 13:57:00,260,5.9123,5.91,5.91,5.91,5.91,3
2023-08-21 13:58:00,322,5.9166,5.915,5.915,5.92,5.915,5
2023-08-21 13:59:00,3174,5.9107,5.92,5.91,5.92,5.91,31
2023-08-21 14:00:00,1358,5.8906,5.9,5.87,5.9,5.87,31
2023-08-21 14:01:00,7434,5.8567,5.86,5.865,5.87,5.85,26
2023-08-21 14:02:00,3332,5.8559,5.8651,5.85,5.88,5.85,41
2023-08-21 14:03:00,2259,5.8426,5.845,5.845,5.85,5.84,34
2023-08-21 14:04:00,7369,5.8637,5.842,5.8698,5.88,5.84,46
2023-08-21 14:05:00,1819,5.8737,5.87,5.86,5.88,5.8573,12
2023-08-21 14:06:00,2594,5.8853,5.875,5.9,5.9,5.87,30
2023-08-21 14:07:00,9177,5.9018,5.8999,5.89,5.91,5.89,63
2023-08-21 14:08:00,2704,5.8928,5.8823,5.89,5.91,5.8823,30
2023-08-21 14:09:00,19947,5.8864,5.885,5.895,5.9,5.8801,41
2023-08-21 14:10:00,590,5.8976,5.9,5.9,5.9,5.9,8
2023-08-21 14:11:00,4659,5.883,5.8989,5.8747,5.8989,5.87,78
2023-08-21 14:12:00,352,5.8657,5.8615,5.8615,5.8615,5.8615,7
2023-08-21 14:13:00,238,5.868,5.8695,5.8695,5.8695,5.8695,8
2023-08-21 14:14:00,1995,5.8641,5.87,5.86,5.87,5.86,27
2023-08-21 14:15:00,1827,5.8517,5.855,5.8582,5.8594,5.85,24
2023-08-21 14:17:00,2970,5.8408,5.84,5.85,5.85,5.83,51
2023-08-21 14:18:00,507,5.8527,5.8527,5.852,5.855,5.852,7
2023-08-21 14:19:00,792,5.8526,5.8529,5.8501,5.8529,5.8501,12
2023-08-21 14:20:00,730,5.8606,5.86,5.865,5.865,5.86,19
2023-08-21 14:21:00,583,5.8624,5.8615,5.8615,5.8615,5.8615,9
2023-08-21 14:22:00,1355,5.871,5.8691,5.875,5.875,5.8691,22
2023-08-21 14:23:00,1107,5.8784,5.88,5.88,5.88,5.875,23
2023-08-21 14:24:00,560,5.8776,5.88,5.875,5.88,5.875,13
2023-08-21 14:25:00,2767,5.8686,5.875,5.87,5.875,5.86,43
2023-08-21 14:26:00,1119,5.8503,5.852,5.85,5.852,5.85,18
2023-08-21 14:27:00,424,5.8425,5.8406,5.845,5.845,5.8406,8
2023-08-21 14:29:00,738,5.8393,5.84,5.835,5.84,5.835,20
2023-08-21 14:30:00,700,5.8393,5.835,5.84,5.84,5.835,3
2023-08-21 14:31:00,789,5.8406,5.84,5.845,5.845,5.84,14
2023-08-21 14:32:00,2791,5.8625,5.85,5.87,5.87,5.85,31
2023-08-21 14:33:00,255,5.8776,5.88,5.88,5.88,5.88,8
2023-08-21 14:34:00,439,5.8682,5.8628,5.8628,5.8628,5.8628,4
2023-08-21 14:35:00,526,5.8741,5.88,5.88,5.88,5.88,9
2023-08-21 14:36:00,328,5.8724,5.87,5.8719,5.8719,5.87,5
2023-08-21 14:37:00,1689,5.8776,5.87,5.88,5.88,5.87,26
2023-08-21 14:38:00,996,5.889,5.88,5.89,5.89,5.88,17
2023-08-21 14:39:00,407,5.8911,5.9,5.89,5.9,5.89,7
2023-08-21 14:40:00,4805,5.882,5.89,5.87,5.9,5.87,40
2023-08-21 14:41:00,4542,5.8687,5.865,5.865,5.87,5.86,14
2023-08-21 14:42:00,1451,5.8597,5.865,5.855,5.865,5.855,28
2023-08-21 14:43:00,119,5.855,5.855,5.855,5.855,5.855,3
2023-08-21 14:44:00,1995,5.8594,5.86,5.86,5.86,5.86,26
2023-08-21 14:45:00,450,5.87,5.87,5.87,5.87,5.87,6
2023-08-21 14:46:00,964,5.8815,5.88,5.89,5.89,5.88,21
2023-08-21 14:48:00,805,5.9141,5.91,5.9203,5.9203,5.91,25
2023-08-21 14:49:00,576,5.9276,5.93,5.925,5.93,5.925,14
2023-08-21 14:50:00,1644,5.9202,5.92,5.92,5.92,5.92,28
