t,v,vw,o,c,h,l,n
2024-05-20 11:00:00,100,1.05,1.05,1.05,1.05,1.05,1
2024-05-20 11:13:00,200,1.05,1.05,1.05,1.05,1.05,1
2024-05-20 12:00:00,501,1.0582,1.06,1.06,1.06,1.06,5
2024-05-20 12:05:00,100,1.06,1.06,1.06,1.06,1.06,1
2024-05-20 12:53:00,100,1.05,1.05,1.05,1.05,1.05,1
2024-05-20 13:06:00,200,1.05,1.05,1.05,1.05,1.05,1
2024-05-20 13:20:00,1000,1.057,1.05,1.06,1.06,1.05,3
2024-05-20 13:22:00,768,1.06,1.06,1.06,1.06,1.06,1
2024-05-20 13:25:00,2307,1.0352,1.03,1.03,1.04,1.03,11
2024-05-20 13:29:00,201,1.04,1.04,1.04,1.04,1.04,1
2024-05-20 13:30:00,59830,1.0238,1.03,1.02,1.04,1.01,144
2024-05-20 13:31:00,6617,1.0197,1.01,1.02,1.02,1.01,16
2024-05-20 13:32:00,1061,1.0152,1.0152,1.0152,1.0152,1.0152,4
2024-05-20 13:33:00,6518,1.02,1.02,1.02,1.02,1.02,17
2024-05-20 13:34:00,2528,1.03,1.03,1.0299,1.03,1.0299,15
2024-05-20 13:37:00,166,1.0384,1.039,1.039,1.039,1.039,4
2024-05-20 13:38:00,386,1.04,1.04,1.04,1.04,1.04,5
2024-05-20 13:39:00,1111,1.0312,1.0303,1.04,1.04,1.0303,4
2024-05-20 13:40:00,400,1.0363,1.035,1.035,1.04,1.035,8
2024-05-20 13:41:00,327,1.039,1.04,1.04,1.04,1.04,4
2024-05-20 13:43:00,1100,1.0394,1.04,1.0399,1.04,1.0399,5
2024-05-20 13:44:00,200,1.04,1.04,1.04,1.04,1.04,2
2024-05-20 13:45:00,225,1.04,1.04,1.04,1.04,1.04,3
2024-05-20 13:46:00,100,1.035,1.035,1.035,1.035,1.035,1
2024-05-20 13:47:00,216,1.0352,1.04,1.04,1.04,1.04,6
2024-05-20 13:48:00,101,1.035,1.035,1.035,1.035,1.035,2
2024-05-20 13:49:00,100,1.04,1.04,1.04,1.04,1.04,1
2024-05-20 13:50:00,3205,1.0326,1.0324,1.04,1.04,1.0324,2
2024-05-20 13:51:00,403,1.035,1.035,1.035,1.035,1.035,7
2024-05-20 13:52:00,300,1.035,1.035,1.035,1.035,1.035,3
2024-05-20 13:53:00,201,1.0345,1.035,1.035,1.035,1.035,3
2024-05-20 13:54:00,2802,1.0322,1.035,1.035,1.035,1.032,4
2024-05-20 13:56:00,111,1.0346,1.035,1.035,1.035,1.035,3
2024-05-20 13:57:00,777,1.0314,1.03,1.035,1.035,1.03,5
2024-05-20 13:58:00,1001,1.0382,1.035,1.035,1.04,1.035,8
2024-05-20 14:00:00,172,1.0355,1.035,1.035,1.035,1.035,3
2024-05-20 14:02:00,151,1.0353,1.035,1.035,1.035,1.035,4
2024-05-20 14:04:00,635,1.0394,1.0396,1.0396,1.0396,1.0396,6
2024-05-20 14:05:00,247,1.0375,1.035,1.0393,1.0393,1.035,4
2024-05-20 14:06:00,103,1.0351,1.035,1.035,1.035,1.035,2
2024-05-20 14:07:00,1045,1.0331,1.0332,1.0332,1.0332,1.0332,4
2024-05-20 14:09:00,821,1.0315,1.0311,1.035,1.035,1.03,9
2024-05-20 14:11:00,1018,1.0329,1.03,1.04,1.04,1.03,7
2024-05-20 14:12:00,337,1.0357,1.035,1.035,1.035,1.035,5
2024-05-20 14:13:00,701,1.0312,1.03,1.03,1.03,1.03,8
2024-05-20 14:14:00,104,1.035,1.035,1.035,1.035,1.035,3
2024-05-20 14:16:00,130,1.03,1.03,1.03,1.03,1.03,3
2024-05-20 14:17:00,1263,1.0342,1.035,1.03,1.035,1.03,5
2024-05-20 14:18:00,101,1.03,1.03,1.03,1.03,1.03,2
2024-05-20 14:19:00,26151,1.0235,1.03,1.025,1.0301,1.02,70
2024-05-20 14:20:00,100,1.03,1.03,1.03,1.03,1.03,1
2024-05-20 14:22:00,10691,1.0274,1.0205,1.035,1.035,1.02,58
2024-05-20 14:24:00,100,1.04,1.04,1.04,1.04,1.04,1
2024-05-20 14:26:00,1201,1.0354,1.035,1.04,1.04,1.035,2
2024-05-20 14:27:00,254,1.0343,1.035,1.035,1.035,1.035,8
2024-05-20 14:28:00,102,1.0399,1.04,1.04,1.04,1.04,3
2024-05-20 14:29:00,253,1.0301,1.035,1.035,1.035,1.035,3
2024-05-20 14:30:00,902,1.0348,1.035,1.035,1.035,1.035,21
2024-05-20 14:32:00,1000,1.035,1.035,1.035,1.035,1.035,1
2024-05-20 14:34:00,435,1.0354,1.035,1.035,1.035,1.035,5
2024-05-20 14:35:00,200,1.0326,1.035,1.035,1.035,1.035,3
2024-05-20 14:38:00,405,1.035,1.035,1.035,1.035,1.035,5
2024-05-20 14:40:00,103,1.0351,1.035,1.035,1.035,1.035,2
2024-05-20 14:46:00,1993,1.0312,1.035,1.03,1.035,1.03,17
2024-05-20 14:49:00,230,1.0311,1.03,1.03,1.03,1.03,3
2024-05-20 14:50:00,101,1.03,1.03,1.03,1.03,1.03,2
2024-05-20 14:52:00,2179,1.035,1.035,1.035,1.035,1.035,9
2024-05-20 14:53:00,13805,1.0383,1.035,1.035,1.04,1.03,14
2024-05-20 14:54:00,118,1.035,1.035,1.035,1.035,1.035,2
2024-05-20 14:55:00,213,1.035,1.035,1.035,1.035,1.035,4
2024-05-20 14:56:00,200,1.035,1.035,1.035,1.035,1.035,2
2024-05-20 14:58:00,100,1.035,1.035,1.035,1.035,1.035,1
2024-05-20 14:59:00,401,1.035,1.035,1.035,1.035,1.035,3
2024-05-20 15:01:00,200,1.035,1.035,1.035,1.035,1.035,1
2024-05-20 15:02:00,1500,1.0359,1.035,1.04,1.04,1.035,6
2024-05-20 15:03:00,251,1.0354,1.035,1.035,1.035,1.035,4
2024-05-20 15:04:00,200,1.035,1.035,1.035,1.035,1.035,1
2024-05-20 15:05:00,401,1.035,1.035,1.035,1.035,1.035,3
2024-05-20 15:06:00,257,1.035,1.035,1.035,1.035,1.035,3
2024-05-20 15:08:00,101,1.035,1.035,1.035,1.035,1.035,2
2024-05-20 15:09:00,101,1.035,1.035,1.035,1.035,1.035,2
2024-05-20 15:10:00,1000,1.0393,1.0393,1.0393,1.0393,1.0393,1
2024-05-20 15:11:00,830,1.0394,1.035,1.04,1.04,1.035,11
2024-05-20 15:12:00,600,1.04,1.04,1.04,1.04,1.04,5
2024-05-20 15:14:00,5427,1.0404,1.04,1.04,1.045,1.04,30
2024-05-20 15:15:00,1011,1.0493,1.0493,1.0493,1.0493,1.0493,4
2024-05-20 15:16:00,255,1.045,1.045,1.045,1.045,1.045,2
2024-05-20 15:19:00,926,1.0489,1.045,1.05,1.05,1.045,8
2024-05-20 15:21:00,1105,1.043,1.0428,1.045,1.045,1.0428,3
2024-05-20 15:22:00,201,1.0475,1.045,1.05,1.05,1.045,3
2024-05-20 15:23:00,1218,1.0448,1.045,1.045,1.045,1.045,15
2024-05-20 15:26:00,474,1.045,1.045,1.045,1.045,1.045,2
2024-05-20 15:30:00,1203,1.045,1.045,1.045,1.045,1.045,11
2024-05-20 15:31:00,8122,1.05,1.05,1.05,1.05,1.05,6
2024-05-20 15:32:00,525,1.0439,1.05,1.04,1.05,1.04,8
2024-05-20 15:33:00,200,1.0444,1.04,1.04,1.04,1.04,2
2024-05-20 15:35:00,862,1.0459,1.046,1.046,1.046,1.046,3
2024-05-20 15:40:00,220,1.0406,1.04,1.04,1.04,1.04,4
2024-05-20 15:41:00,101,1.04,1.04,1.04,1.04,1.04,2
2024-05-20 15:42:00,200,1.04,1.04,1.04,1.04,1.04,5
2024-05-20 15:45:00,128,1.0422,1.04,1.04,1.04,1.04,2
2024-05-20 15:48:00,300,1.04,1.04,1.04,1.04,1.04,7
2024-05-20 15:51:00,400,1.0422,1.0422,1.0422,1.0422,1.0422,1
2024-05-20 15:52:00,308,1.04,1.04,1.04,1.04,1.04,5
2024-05-20 15:53:00,3315,1.0497,1.05,1.045,1.05,1.045,7
2024-05-20 15:54:00,410,1.045,1.045,1.045,1.045,1.045,4
2024-05-20 15:55:00,123,1.0413,1.0413,1.0413,1.0413,1.0413,2
2024-05-20 15:56:00,1532,1.043,1.04,1.04,1.045,1.04,18
2024-05-20 15:57:00,208,1.0428,1.04,1.045,1.045,1.04,3
2024-05-20 15:59:00,112,1.0406,1.0401,1.0401,1.0401,1.0401,4
2024-05-20 16:04:00,100,1.04,1.04,1.04,1.04,1.04,1
2024-05-20 16:07:00,8805,1.0401,1.0401,1.04,1.0401,1.04,5
2024-05-20 16:08:00,255,1.0401,1.04,1.04,1.04,1.04,4
2024-05-20 16:12:00,100,1.045,1.045,1.045,1.045,1.045,1
