t,v,vw,o,c,h,l,n
2023-08-07 11:29:00,224,4.2755,4.27,4.28,4.28,4.27,3
2023-08-07 12:00:00,1470,4.2757,4.28,4.26,4.28,4.26,9
2023-08-07 12:44:00,400,4.28,4.28,4.28,4.28,4.28,1
2023-08-07 12:58:00,100,4.266,4.266,4.266,4.266,4.266,1
2023-08-07 13:18:00,115,4.2696,4.27,4.27,4.27,4.27,4
2023-08-07 13:25:00,100,4.26,4.26,4.26,4.26,4.26,1
2023-08-07 13:30:00,31034,4.2455,4.25,4.23,4.265,4.23,80
2023-08-07 13:31:00,3596,4.2311,4.23,4.235,4.2396,4.23,24
2023-08-07 13:32:00,2231,4.2382,4.2399,4.2319,4.24,4.2319,8
2023-08-07 13:33:00,629,4.2346,4.2325,4.235,4.24,4.23,14
2023-08-07 13:34:00,232,4.2389,4.24,4.2385,4.24,4.2385,5
2023-08-07 13:35:00,4816,4.2278,4.23,4.2212,4.23,4.22,26
2023-08-07 13:36:00,3430,4.2249,4.22,4.23,4.23,4.22,42
2023-08-07 13:38:00,354,4.2434,4.245,4.24,4.245,4.24,8
2023-08-07 13:39:00,6469,4.2415,4.2417,4.245,4.245,4.24,68
2023-08-07 13:40:00,3573,4.2523,4.2491,4.26,4.26,4.2491,32
2023-08-07 13:41:00,180,4.265,4.265,4.265,4.265,4.265,4
2023-08-07 13:42:00,2616,4.2599,4.265,4.255,4.265,4.255,28
2023-08-07 13:44:00,2622,4.2466,4.2508,4.23,4.2508,4.23,26
2023-08-07 13:45:00,677,4.2357,4.235,4.2324,4.24,4.2324,16
2023-08-07 13:46:00,2795,4.2417,4.24,4.242,4.245,4.24,31
2023-08-07 13:47:00,820,4.2463,4.25,4.245,4.25,4.245,16
2023-08-07 13:48:00,5281,4.243,4.245,4.24,4.245,4.24,50
2023-08-07 13:49:00,3572,4.2411,4.25,4.235,4.25,4.235,41
2023-08-07 13:50:00,5172,4.2376,4.2323,4.255,4.255,4.2315,27
2023-08-07 13:51:00,601,4.2598,4.26,4.26,4.26,4.2596,5
2023-08-07 13:52:00,8995,4.2643,4.26,4.265,4.27,4.26,24
2023-08-07 13:53:00,3164,4.257,4.2675,4.2418,4.2675,4.2418,30
2023-08-07 13:54:00,2081,4.2479,4.2404,4.251,4.251,4.2404,27
2023-08-07 13:55:00,1983,4.2581,4.2584,4.2573,4.26,4.2573,13
2023-08-07 13:57:00,1258,4.2494,4.25,4.245,4.25,4.245,17
2023-08-07 13:58:00,2580,4.2425,4.245,4.25,4.25,4.24,35
2023-08-07 13:59:00,3015,4.2417,4.2488,4.25,4.25,4.2405,11
2023-08-07 14:00:00,1855,4.2442,4.245,4.245,4.245,4.24,23
2023-08-07 14:01:00,4279,4.2345,4.24,4.225,4.245,4.225,53
2023-08-07 14:02:00,6868,4.2246,4.225,4.2229,4.225,4.22,31
2023-08-07 14:03:00,5587,4.2299,4.2218,4.245,4.245,4.2218,42
2023-08-07 14:04:00,518,4.2434,4.245,4.245,4.245,4.245,11
2023-08-07 14:05:00,1504,4.2442,4.25,4.245,4.25,4.2418,12
2023-08-07 14:06:00,5480,4.2405,4.2408,4.2401,4.2408,4.2401,12
2023-08-07 14:07:00,4601,4.2501,4.25,4.25,4.255,4.245,48
2023-08-07 14:08:00,1322,4.2428,4.2405,4.2499,4.25,4.2405,11
2023-08-07 14:09:00,594,4.2482,4.245,4.25,4.25,4.245,12
2023-08-07 14:10:00,244,4.2456,4.245,4.245,4.245,4.245,9
2023-08-07 14:11:00,1373,4.249,4.245,4.25,4.25,4.245,5
2023-08-07 14:12:00,463,4.2489,4.25,4.25,4.25,4.25,13
2023-08-07 14:13:00,1073,4.2465,4.2499,4.245,4.25,4.245,21
2023-08-07 14:14:00,7739,4.2413,4.2406,4.24,4.25,4.24,21
2023-08-07 14:15:00,1243,4.244,4.245,4.245,4.25,4.24,16
2023-08-07 14:16:00,1041,4.2447,4.2404,4.245,4.25,4.2404,15
2023-08-07 14:17:00,2801,4.2485,4.2488,4.25,4.25,4.245,5
2023-08-07 14:18:00,670,4.2454,4.25,4.245,4.25,4.245,7
2023-08-07 14:19:00,8949,4.2475,4.2433,4.2516,4.26,4.24,37
2023-08-07 14:20:00,8150,4.2602,4.26,4.26,4.265,4.26,64
2023-08-07 14:21:00,102,4.255,4.255,4.255,4.255,4.255,3
2023-08-07 14:22:00,1819,4.2524,4.26,4.2514,4.26,4.2514,5
2023-08-07 14:23:00,311,4.2583,4.255,4.26,4.26,4.255,5
2023-08-07 14:24:00,1878,4.2534,4.255,4.26,4.26,4.25,23
2023-08-07 14:25:00,117,4.2593,4.26,4.26,4.26,4.26,2
2023-08-07 14:26:00,2619,4.2521,4.2509,4.26,4.26,4.2509,9
2023-08-07 14:27:00,3412,4.2494,4.255,4.245,4.255,4.245,46
2023-08-07 14:29:00,174,4.246,4.2471,4.2471,4.2471,4.2471,5
2023-08-07 14:30:00,1404,4.2457,4.245,4.245,4.245,4.245,8
2023-08-07 14:31:00,607,4.2487,4.2482,4.25,4.25,4.2482,5
2023-08-07 14:32:00,22313,4.2477,4.245,4.25,4.255,4.24,104
2023-08-07 14:33:00,605,4.2574,4.255,4.2579,4.2579,4.255,3
2023-08-07 14:34:00,409,4.2528,4.2527,4.2527,4.2527,4.2527,3
2023-08-07 14:35:00,1147,4.2526,4.2516,4.2516,4.2516,4.2516,5
2023-08-07 14:37:00,3268,4.2597,4.26,4.26,4.26,4.2579,30
2023-08-07 14:39:00,11704,4.2598,4.2614,4.25,4.27,4.25,65
2023-08-07 14:40:00,154,4.2592,4.2599,4.2599,4.2599,4.2599,6
2023-08-07 14:42:00,2343,4.2505,4.25,4.245,4.255,4.245,36
2023-08-07 14:43:00,486,4.245,4.245,4.245,4.245,4.245,6
2023-08-07 14:44:00,2426,4.242,4.24,4.2483,4.2483,4.24,8
2023-08-07 14:45:00,2124,4.2504,4.245,4.26,4.26,4.243,28
2023-08-07 14:46:00,1652,4.2534,4.2521,4.2545,4.26,4.2521,11
2023-08-07 14:47:00,3618,4.2542,4.255,4.262,4.262,4.2502,29
2023-08-07 14:48:00,2341,4.2605,4.26,4.26,4.2619,4.26,16
2023-08-07 14:49:00,1608,4.2658,4.265,4.2629,4.27,4.2623,14
2023-08-07 14:50:00,2979,4.2603,4.26,4.26,4.2665,4.26,46
2023-08-07 14:51:00,1600,4.2553,4.255,4.26,4.26,4.255,3
2023-08-07 14:54:00,102,4.2531,4.2531,4.2531,4.2531,4.2531,2
2023-08-07 14:55:00,1504,4.2585,4.255,4.259,4.259,4.255,4
2023-08-07 14:56:00,4753,4.2505,4.255,4.25,4.26,4.25,43
2023-08-07 14:58:00,406,4.2462,4.245,4.25,4.25,4.245,4
2023-08-07 14:59:00,14220,4.2455,4.245,4.25,4.255,4.24,97
2023-08-07 15:00:00,7215,4.25,4.251,4.245,4.251,4.245,61
2023-08-07 15:01:00,2046,4.245,4.245,4.245,4.245,4.245,6
2023-08-07 15:02:00,1056,4.2422,4.2418,4.2418,4.2418,4.2418,4
2023-08-07 15:03:00,100,4.25,4.25,4.25,4.25,4.25,1
2023-08-07 15:04:00,4602,4.2452,4.245,4.2461,4.2461,4.245,14
2023-08-07 15:05:00,1001,4.2455,4.25,4.245,4.25,4.245,5
2023-08-07 15:06:00,812,4.245,4.245,4.245,4.245,4.245,10
2023-08-07 15:07:00,544,4.2453,4.245,4.245,4.245,4.245,11
2023-08-07 15:08:00,213,4.2449,4.245,4.245,4.245,4.245,3
2023-08-07 15:09:00,1644,4.2463,4.2401,4.2488,4.25,4.2401,5
2023-08-07 15:10:00,14567,4.2486,4.2493,4.25,4.25,4.24,54
2023-08-07 15:11:00,18451,4.2602,4.255,4.26,4.27,4.255,99
2023-08-07 15:13:00,5169,4.2702,4.27,4.275,4.275,4.27,39
2023-08-07 15:15:00,4088,4.2803,4.28,4.285,4.285,4.28,26
2023-08-07 15:16:00,3161,4.2852,4.285,4.285,4.285,4.285,5
