t,v,vw,o,c,h,l,n
2024-02-13 09:04:00,2520,0.8771,0.8648,0.905,0.905,0.8648,12
2024-02-13 09:05:00,1400,0.9135,0.914,0.915,0.915,0.905,6
2024-02-13 09:27:00,450,0.86,0.86,0.86,0.86,0.86,3
2024-02-13 09:34:00,719,0.84,0.84,0.84,0.84,0.84,9
2024-02-13 10:02:00,2635,0.84,0.84,0.84,0.84,0.84,29
2024-02-13 10:25:00,1200,0.84,0.84,0.84,0.84,0.84,3
2024-02-13 10:53:00,200,0.85,0.85,0.85,0.85,0.85,1
2024-02-13 11:28:00,400,0.88,0.88,0.88,0.88,0.88,2
2024-02-13 11:30:00,825,0.86,0.86,0.86,0.86,0.86,3
2024-02-13 11:31:00,334,0.86,0.86,0.86,0.86,0.86,1
2024-02-13 11:33:00,3000,0.86,0.8599,0.86,0.86,0.8599,2
2024-02-13 11:34:00,1825,0.86,0.86,0.86,0.86,0.86,2
2024-02-13 11:48:00,450,0.86,0.86,0.86,0.86,0.86,2
2024-02-13 11:50:00,400,0.8523,0.85,0.85,0.85,0.85,5
2024-02-13 12:09:00,825,0.87,0.87,0.87,0.87,0.87,2
2024-02-13 12:16:00,498,0.8718,0.91,0.86,0.91,0.86,2
2024-02-13 12:20:00,1100,0.86,0.86,0.86,0.86,0.86,1
2024-02-13 12:45:00,504,0.85,0.85,0.85,0.85,0.85,6
2024-02-13 12:53:00,107,0.8906,0.89,0.89,0.89,0.89,3
2024-02-13 13:00:00,684,0.8598,0.86,0.86,0.86,0.86,6
2024-02-13 13:02:00,3189,0.8585,0.8485,0.8749,0.8749,0.84,21
2024-02-13 13:03:00,868,0.8723,0.8748,0.8748,0.8748,0.8748,6
2024-02-13 13:04:00,101,0.8745,0.8748,0.8748,0.8748,0.8748,2
2024-02-13 13:05:00,449,0.8742,0.8747,0.8747,0.8747,0.8747,2
2024-02-13 13:12:00,10001,0.8462,0.86,0.84,0.86,0.84,13
2024-02-13 13:18:00,1707,0.8938,0.878,0.85,0.9097,0.85,5
2024-02-13 13:19:00,900,0.8411,0.85,0.84,0.85,0.84,2
2024-02-13 13:27:00,1000,0.8758,0.877,0.868,0.8778,0.868,6
2024-02-13 13:33:00,1000,0.877,0.868,0.878,0.878,0.868,5
2024-02-13 13:34:00,904,0.86,0.86,0.86,0.86,0.86,2
2024-02-13 13:37:00,700,0.8601,0.8601,0.8601,0.8601,0.8601,1
2024-02-13 13:39:00,510,0.86,0.86,0.86,0.86,0.86,2
2024-02-13 13:43:00,200,0.873,0.878,0.868,0.878,0.868,2
2024-02-13 13:47:00,1050,0.8729,0.875,0.86,0.875,0.86,3
2024-02-13 13:49:00,1297,0.8484,0.86,0.8401,0.86,0.8401,12
2024-02-13 13:50:00,3417,0.8553,0.84,0.878,0.878,0.84,10
2024-02-13 13:57:00,370,0.8402,0.8402,0.8402,0.8402,0.8402,1
2024-02-13 14:00:00,250,0.8402,0.8402,0.8402,0.8402,0.8402,2
2024-02-13 14:19:00,814,0.8609,0.861,0.861,0.861,0.861,2
2024-02-13 14:24:00,432,0.8401,0.8401,0.8401,0.8401,0.8401,3
2024-02-13 14:25:00,410,0.849,0.849,0.849,0.849,0.849,2
2024-02-13 14:29:00,1000,0.8499,0.8494,0.85,0.85,0.8494,2
2024-02-13 14:30:00,77257,0.8538,0.86,0.8566,0.8678,0.8428,46
2024-02-13 14:31:00,9608,0.8553,0.8601,0.84,0.8704,0.84,18
2024-02-13 14:32:00,411,0.8464,0.843,0.843,0.843,0.843,8
2024-02-13 14:33:00,148,0.8446,0.843,0.843,0.843,0.843,2
2024-02-13 14:34:00,1869,0.8433,0.843,0.843,0.843,0.843,13
2024-02-13 14:35:00,1640,0.8467,0.8485,0.8462,0.8485,0.84425,8
2024-02-13 14:36:00,15017,0.8432,0.8461,0.8434,0.8527,0.8342,67
2024-02-13 14:38:00,406,0.8429,0.83425,0.846,0.846,0.83425,4
2024-02-13 14:39:00,1135,0.8469,0.8346,0.85,0.85,0.8346,11
2024-02-13 14:41:00,352,0.8399,0.84,0.84,0.84,0.84,8
2024-02-13 14:42:00,5775,0.8488,0.8378,0.845051,0.85,0.8378,17
2024-02-13 14:43:00,4300,0.8401,0.84015,0.8401,0.8402,0.8401,4
2024-02-13 14:44:00,9860,0.8386,0.8401,0.83005,0.8402,0.83005,46
2024-02-13 14:45:00,352,0.8366,0.8482,0.83035,0.8482,0.8303,5
2024-02-13 14:46:00,11106,0.8326,0.8305,0.8306,0.84,0.8305,24
2024-02-13 14:47:00,302,0.8305,0.8305,0.8305,0.8305,0.8305,4
2024-02-13 14:48:00,2445,0.8309,0.8302,0.8305,0.8308,0.8302,6
2024-02-13 14:49:00,6612,0.8308,0.8396,0.8302,0.8396,0.8302,61
2024-02-13 14:50:00,1124,0.8302,0.8302,0.8302,0.8302,0.83,19
2024-02-13 14:51:00,10715,0.8302,0.8302,0.8302,0.8303,0.8302,24
2024-02-13 14:52:00,2058,0.8305,0.8302,0.8303,0.8314,0.8302,13
2024-02-13 14:53:00,860,0.836,0.8395,0.8303,0.8395,0.8303,6
2024-02-13 14:54:00,314,0.8303,0.8303,0.8303,0.8303,0.8303,2
