t,v,vw,o,c,h,l,n
2023-06-20 13:30:00,7893,4.5032,4.5,4.5487,4.5487,4.48,23
2023-06-20 13:35:00,500,4.5,4.5,4.5,4.5,4.5,2
2023-06-20 13:38:00,672,4.5159,4.5,4.5388,4.5388,4.5,9
2023-06-20 13:43:00,1256,4.5064,4.5,4.49,4.5093,4.49,5
2023-06-20 13:45:00,222,4.48,4.48,4.48,4.48,4.48,7
2023-06-20 13:56:00,120,4.5008,4.5,4.5,4.5,4.5,2
2023-06-20 14:05:00,472,4.462,4.46,4.45,4.46,4.45,5
2023-06-20 14:06:00,3327,4.4275,4.45,4.4001,4.45,4.4,32
2023-06-20 14:07:00,118,4.4402,4.4376,4.4376,4.4376,4.4376,4
2023-06-20 14:09:00,101,4.4503,4.45,4.45,4.45,4.45,2
2023-06-20 14:11:00,952,4.4637,4.4899,4.44,4.4899,4.44,3
2023-06-20 14:17:00,100,4.44,4.44,4.44,4.44,4.44,1
2023-06-20 14:21:00,120,4.45,4.45,4.45,4.45,4.45,1
2023-06-20 14:24:00,2000,4.44,4.44,4.44,4.44,4.44,1
2023-06-20 14:25:00,4371,4.4962,4.48,4.5,4.5,4.48,13
2023-06-20 14:26:00,1800,4.4848,4.4848,4.4848,4.4848,4.4848,1
2023-06-20 14:30:00,1682,4.495,4.5,4.49,4.5,4.49,18
2023-06-20 14:34:00,458,4.5083,4.5,4.52,4.52,4.5,6
2023-06-20 14:35:00,520,4.5363,4.5361,4.5361,4.5361,4.5361,3
2023-06-20 14:36:00,200,4.5058,4.48,4.5315,4.5315,4.48,2
2023-06-20 14:37:00,165,4.5026,4.5,4.5,4.5,4.5,5
2023-06-20 14:38:00,7803,4.5472,4.52,4.57,4.57,4.52,37
2023-06-20 14:39:00,2210,4.5663,4.55,4.61,4.61,4.55,4
2023-06-20 14:40:00,10986,4.5777,4.61,4.55,4.62,4.55,92
2023-06-20 14:41:00,936,4.6108,4.62,4.62,4.62,4.62,2
2023-06-20 14:42:00,100,4.53,4.53,4.53,4.53,4.53,1
2023-06-20 14:43:00,2000,4.5201,4.5201,4.5201,4.5201,4.5201,2
2023-06-20 14:46:00,884,4.5436,4.54,4.53,4.55,4.53,18
2023-06-20 14:47:00,1700,4.5506,4.54,4.58,4.58,4.54,4
2023-06-20 14:48:00,6910,4.5212,4.52,4.52,4.54,4.52,17
2023-06-20 14:51:00,5815,4.4571,4.47,4.46,4.47,4.43,23
2023-06-20 15:00:00,210,4.5,4.5,4.5,4.5,4.5,3
2023-06-20 15:04:00,530,4.5013,4.5,4.5,4.5,4.5,7
2023-06-20 15:10:00,102,4.5268,4.527,4.527,4.527,4.527,2
2023-06-20 15:11:00,4489,4.5031,4.5,4.5,4.5,4.5,36
2023-06-20 15:12:00,2784,4.5006,4.5,4.5,4.5,4.5,17
2023-06-20 15:13:00,1100,4.5073,4.5,4.54,4.54,4.5,3
2023-06-20 15:14:00,323,4.5707,4.58,4.55,4.58,4.55,3
2023-06-20 15:15:00,12675,4.3983,4.55,4.4,4.55,4.33,48
2023-06-20 15:22:00,500,4.5626,4.6043,4.5,4.6043,4.5,3
2023-06-20 15:27:00,1732,4.5187,4.555,4.59,4.59,4.465,9
2023-06-20 15:31:00,1000,4.5585,4.5585,4.5585,4.5585,4.5585,1
2023-06-20 15:32:00,200,4.55,4.55,4.55,4.55,4.55,2
2023-06-20 15:33:00,6523,4.4449,4.55,4.45,4.559,4.41,24
2023-06-20 15:48:00,128,4.49,4.49,4.49,4.49,4.49,2
2023-06-20 15:58:00,400,4.4975,4.5,4.49,4.5,4.49,2
2023-06-20 16:01:00,400,4.49,4.49,4.49,4.49,4.49,4
2023-06-20 16:13:00,694,4.4914,4.49,4.5,4.5,4.49,7
2023-06-20 16:16:00,1421,4.4238,4.41,4.455,4.455,4.41,6
2023-06-20 16:17:00,1800,4.4977,4.49,4.5,4.5,4.49,8
2023-06-20 16:18:00,704,4.4986,4.49,4.5,4.5,4.49,9
2023-06-20 16:19:00,158,4.5165,4.52,4.52,4.52,4.52,4
2023-06-20 16:20:00,311,4.4919,4.5,4.5,4.5,4.5,6
2023-06-20 16:23:00,263,4.5054,4.505,4.505,4.505,4.505,4
2023-06-20 16:25:00,405,4.5023,4.5,4.5,4.5,4.5,8
2023-06-20 16:36:00,749,4.479,4.485,4.47,4.485,4.47,8
2023-06-20 16:44:00,623,4.502,4.5099,4.47,4.5099,4.47,4
2023-06-20 16:48:00,760,4.4644,4.46,4.47,4.47,4.46,15
2023-06-20 16:51:00,150,4.4559,4.45,4.45,4.45,4.45,3
2023-06-20 16:52:00,378,4.4501,4.45,4.45,4.45,4.45,3
2023-06-20 16:56:00,401,4.47,4.47,4.47,4.47,4.47,2
2023-06-20 16:58:00,706,4.4498,4.45,4.45,4.45,4.45,8
2023-06-20 17:04:00,4600,4.4887,4.4896,4.45,4.4896,4.45,2
