t,v,vw,o,c,h,l,n
2023-11-09 09:00:00,60.36,3.015,3.025,2.9975,3.025,2.9975,2
2023-11-09 09:01:00,80.0,2.9975,2.9975,2.9975,2.9975,2.9975,1
2023-11-09 09:02:00,247.0,3.0475,3.0375,3.1225,3.1225,3.0375,14
2023-11-09 09:03:00,28.0,3.12,3.12,3.1225,3.1225,3.12,6
2023-11-09 09:04:00,199.88,3.155,3.1225,3.12,3.2175,3.12,14
2023-11-09 09:05:00,119.24,3.1025,3.1,3.1025,3.1025,3.1,8
2023-11-09 09:07:00,54.76,3.0475,3.0425,3.0525,3.0525,3.025,4
2023-11-09 09:08:00,40.04,3.1025,3.1,3.1025,3.1025,3.1,3
2023-11-09 09:09:00,143.64,3.015,3.0025,3.0525,3.0525,3.0025,2
2023-11-09 09:10:00,51.4,3.035,3.0425,3.0025,3.0425,3.0025,8
2023-11-09 09:11:00,40.0,3.0275,3.0275,3.0275,3.0275,3.0275,1
2023-11-09 09:17:00,572.2,3.0975,3.0425,3.135,3.135,3.0425,11
2023-11-09 09:18:00,60.0,3.12,3.12,3.1075,3.12,3.1075,4
2023-11-09 09:20:00,20.68,3.0275,3.0263,3.0263,3.0263,3.0263,6
2023-11-09 09:21:00,14.04,3.1,3.1,3.1,3.1,3.1,4
2023-11-09 09:24:00,126.4,3.1,3.0975,3.1,3.1,3.0975,5
2023-11-09 09:26:00,189.24,3.105,3.0975,3.0225,3.1225,3.0225,11
2023-11-09 09:27:00,69.84,3.0125,3.0225,3.0025,3.0275,3.0025,4
2023-11-09 09:31:00,17.08,3.0275,3.0263,3.0263,3.0263,3.0263,4
2023-11-09 09:36:00,282.2,3.115,3.0725,3.1225,3.1225,3.0725,34
2023-11-09 09:37:00,148.68,3.12,3.105,3.105,3.1225,3.105,3
2023-11-09 09:38:00,241.2,3.1375,3.09,3.1825,3.1825,3.09,30
2023-11-09 09:40:00,10.84,3.1975,3.1975,3.1975,3.1975,3.1975,2
2023-11-09 09:41:00,66.16,3.1575,3.1575,3.155,3.1575,3.155,7
2023-11-09 09:46:00,7.16,3.15,3.1475,3.1475,3.1475,3.1475,3
2023-11-09 09:47:00,120.04,3.1825,3.1575,3.1975,3.1975,3.1575,9
2023-11-09 09:49:00,35.76,3.195,3.195,3.19,3.1975,3.19,3
2023-11-09 09:53:00,12.0,3.1,3.1,3.1,3.1,3.1,1
2023-11-09 09:54:00,395.72,3.1675,3.0975,3.1,3.195,3.0975,7
2023-11-09 09:57:00,42.76,3.0875,3.0975,3.0825,3.0975,3.0825,5
2023-11-09 10:01:00,10.28,3.1425,3.1425,3.1425,3.1425,3.1425,1
2023-11-09 10:03:00,34.0,3.1675,3.1625,3.1775,3.1775,3.1625,10
2023-11-09 10:04:00,4.4,3.1775,3.1775,3.1775,3.1775,3.1775,2
2023-11-09 10:06:00,29.16,3.1925,3.1925,3.195,3.195,3.1925,7
2023-11-09 10:07:00,98.2,3.1475,3.1875,3.1225,3.1925,3.1225,10
2023-11-09 10:08:00,90.56,3.155,3.12,3.195,3.195,3.12,9
2023-11-09 10:09:00,16.0,3.15,3.15,3.15,3.15,3.15,3
2023-11-09 10:10:00,8.0,3.195,3.195,3.195,3.195,3.195,2
2023-11-09 10:11:00,64.28,3.12,3.1175,3.125,3.125,3.1075,6
2023-11-09 10:12:00,75.8,3.08,3.0825,3.08,3.0825,3.08,5
2023-11-09 10:14:00,144.72,3.045,3.045,3.0375,3.045,3.0375,7
2023-11-09 10:15:00,126.36,3.04,3.04,3.04,3.04,3.04,1
2023-11-09 10:22:00,40.0,3.0425,3.0425,3.0425,3.0425,3.0425,1
2023-11-09 10:23:00,32.36,3.13,3.13,3.13,3.13,3.13,2
2023-11-09 10:27:00,11.92,3.0975,3.0975,3.0975,3.0975,3.0975,2
2023-11-09 10:28:00,129.76,3.1175,3.0975,3.13,3.13,3.0975,5
2023-11-09 10:31:00,81.84,3.12,3.0975,3.1475,3.1475,3.0975,7
2023-11-09 10:32:00,120.6,3.1725,3.1475,3.1875,3.1875,3.1475,9
2023-11-09 10:33:00,127.12,3.1875,3.1875,3.19,3.1925,3.1875,8
2023-11-09 10:34:00,42.92,3.195,3.195,3.1875,3.1975,3.1875,8
2023-11-09 10:36:00,154.64,3.18,3.17,3.1675,3.18,3.1675,6
