t,v,vw,o,c,h,l,n
2023-08-29 11:00:00,562,861.1614,861.08,861.08,861.08,861.08,22
2023-08-29 11:01:00,595,861.0621,861.08,861.08,861.08,861.08,7
2023-08-29 13:03:00,148,860.9807,861.0,861.0,861.0,861.0,5
2023-08-29 13:30:00,20988,858.4935,858.4,859.365,859.46,857.59,396
2023-08-29 13:31:00,5950,857.3367,858.02,857.765,858.375,856.72,204
2023-08-29 13:32:00,6166,857.2434,857.09,857.0,858.2258,856.47,221
2023-08-29 13:33:00,5742,857.3879,856.99,857.43,858.5,856.5267,259
2023-08-29 13:34:00,3204,857.9655,857.91,858.25,858.9999,857.23,108
2023-08-29 13:35:00,15213,858.5159,857.86,858.2225,859.5,857.755,408
2023-08-29 13:36:00,2149,857.7966,858.21,857.75,858.21,857.56,148
2023-08-29 13:37:00,2800,857.8357,857.66,857.725,858.215,857.66,118
2023-08-29 13:38:00,4814,857.1952,857.705,857.465,857.73,856.4199,177
2023-08-29 13:39:00,2820,857.1188,856.765,856.87,857.56,856.74,176
2023-08-29 13:40:00,4760,857.2516,856.795,858.075,858.075,856.795,229
2023-08-29 13:41:00,13372,858.6799,858.205,859.18,860.115,857.7501,293
2023-08-29 13:42:00,11964,859.9976,859.425,860.94,861.29,859.01,315
2023-08-29 13:43:00,13242,861.6078,860.95,862.15,862.9099,860.82,290
2023-08-29 13:44:00,8492,861.3883,862.16,860.895,862.35,860.655,193
2023-08-29 13:45:00,6085,862.0215,861.9999,862.74,862.835,860.95,211
2023-08-29 13:46:00,5807,863.7371,862.7,864.33,864.33,862.7,203
2023-08-29 13:47:00,5244,864.6217,864.085,864.75,865.0,864.085,248
2023-08-29 13:48:00,6593,864.1747,864.7,864.1746,864.87,863.67,177
2023-08-29 13:49:00,871,864.786,865.0,864.67,865.0,864.67,112
2023-08-29 13:50:00,6760,864.6106,865.0,864.155,865.19,863.88,173
2023-08-29 13:51:00,7062,863.97,864.1725,864.335,864.57,863.63,215
2023-08-29 13:52:00,2056,864.8047,864.5856,865.05,865.05,864.3565,103
2023-08-29 13:53:00,4336,864.916,864.675,864.965,865.25,864.675,147
2023-08-29 13:54:00,2164,864.5444,864.515,864.51,864.8,864.39,106
2023-08-29 13:55:00,1764,864.6058,864.625,864.805,864.805,864.29,88
2023-08-29 13:56:00,16178,864.0202,865.0,863.41,865.385,863.18,401
2023-08-29 13:57:00,2579,863.5175,863.42,863.655,863.8973,863.0,122
2023-08-29 13:58:00,1036,863.7605,863.99,863.6575,863.99,863.6575,101
2023-08-29 13:59:00,908,863.4401,863.73,863.26,863.73,863.26,92
2023-08-29 14:00:00,8190,864.816,863.26,865.37,865.75,863.26,446
2023-08-29 14:01:00,8384,865.9532,865.7,865.0,866.53,865.0,362
2023-08-29 14:02:00,3909,866.4653,865.125,866.68,866.78,865.125,191
2023-08-29 14:03:00,6834,866.9196,866.35,866.8818,867.7199,866.35,139
2023-08-29 14:04:00,7616,867.4584,866.65,868.25,868.25,866.65,269
2023-08-29 14:05:00,9217,868.3339,868.65,868.32,868.65,867.94,356
2023-08-29 14:06:00,5785,868.1346,868.94,867.74,869.11,867.35,220
2023-08-29 14:07:00,6948,867.7643,867.38,868.115,868.42,867.135,225
2023-08-29 14:08:00,3029,867.8268,867.845,868.0,868.12,867.36,159
2023-08-29 14:09:00,2798,868.3267,867.61,868.52,868.52,867.61,164
2023-08-29 14:10:00,3530,867.4921,868.04,867.28,868.04,866.61,199
2023-08-29 14:11:00,3555,867.8775,867.48,867.995,868.39,867.48,169
2023-08-29 14:12:00,871,867.4821,867.09,867.8,867.8,867.09,92
2023-08-29 14:13:00,1567,868.0191,867.99,868.07,868.3374,867.82,133
2023-08-29 14:14:00,9163,869.3329,868.65,869.38,870.03,868.3019,422
2023-08-29 14:15:00,4807,871.0132,869.95,871.83,871.83,869.95,273
2023-08-29 14:16:00,6387,871.4333,871.34,871.59,871.81,870.92,333
2023-08-29 14:17:00,6043,871.624,871.59,872.1,872.19,870.9,326
2023-08-29 14:18:00,6787,871.9157,872.3,871.245,872.5,871.245,248
2023-08-29 14:19:00,6712,871.5275,871.78,871.68,871.78,871.1,190
2023-08-29 14:20:00,4720,872.0148,871.91,871.9,872.34,871.67,222
2023-08-29 14:21:00,3455,872.6695,872.3,872.99,873.17,872.24,157
2023-08-29 14:22:00,2388,873.0553,873.05,873.3,873.3,872.63,127
2023-08-29 14:23:00,4453,873.3696,873.3,873.4,873.6056,873.045,158
2023-08-29 14:24:00,4892,873.7636,873.85,873.37,873.95,873.37,225
2023-08-29 14:25:00,3858,873.0713,873.31,872.575,873.505,872.44,222
2023-08-29 14:26:00,1693,873.326,873.01,873.44,873.44,873.01,108
2023-08-29 14:27:00,3832,873.5981,873.62,874.0,874.0,873.0282,180
2023-08-29 14:28:00,3611,874.4643,874.165,874.61,874.68,874.165,160
2023-08-29 14:29:00,4843,875.1105,874.695,875.61,875.71,874.49,183
2023-08-29 14:30:00,6048,875.7128,875.6,875.39,876.19,875.175,253
2023-08-29 14:31:00,11276,876.1591,875.6601,876.25,876.37,875.6601,323
2023-08-29 14:32:00,9032,876.2173,876.01,876.5,876.5,875.92,250
2023-08-29 14:33:00,3689,876.5449,876.525,876.38,876.6562,876.38,185
2023-08-29 14:34:00,3898,876.9358,876.35,877.405,877.405,876.35,209
2023-08-29 14:35:00,1840,877.4377,877.7008,877.69,877.7008,877.03,142
2023-08-29 14:36:00,3265,877.8701,877.7,878.23,878.23,877.61,162
2023-08-29 14:37:00,10522,877.0107,877.8,876.285,878.06,876.22,424
2023-08-29 14:38:00,2494,876.8708,876.195,877.7699,877.7699,876.195,134
2023-08-29 14:39:00,5370,877.2229,877.58,876.64,877.77,876.4801,218
2023-08-29 14:40:00,6978,877.399,877.105,877.35,878.0,876.77,291
2023-08-29 14:41:00,3126,877.5862,877.4,877.95,877.95,877.294,152
2023-08-29 14:42:00,6119,877.656,877.96,877.67,878.01,877.29,272
2023-08-29 14:43:00,16337,878.7791,878.4,879.82,879.85,878.05,473
2023-08-29 14:44:00,10251,879.4315,879.31,879.58,879.84,879.15,399
2023-08-29 14:45:00,30395,878.9642,879.98,879.14,880.19,878.02,448
2023-08-29 14:46:00,8818,879.2632,879.035,879.58,879.81,878.77,235
2023-08-29 14:47:00,15092,878.6666,879.61,878.15,879.61,878.15,387
2023-08-29 14:48:00,847,877.7868,877.815,877.21,877.815,877.21,75
2023-08-29 14:49:00,4800,878.6916,877.39,879.93,879.93,877.39,221
2023-08-29 14:50:00,5692,879.4585,879.23,880.16,880.16,879.01,194
2023-08-29 14:51:00,6142,880.4667,880.2,880.72,881.34,880.0,221
2023-08-29 14:52:00,8537,880.8524,880.765,880.94,881.2,880.61,315
2023-08-29 14:53:00,7466,880.3179,880.8,879.725,880.99,879.65,204
2023-08-29 14:54:00,4898,880.244,879.74,880.6199,880.6199,879.74,148
2023-08-29 14:55:00,6297,879.3021,879.83,879.0295,879.83,878.73,193
2023-08-29 14:56:00,4210,878.9916,879.3226,879.225,879.52,878.55,156
2023-08-29 14:57:00,13505,879.1461,879.225,878.92,879.53,878.81,305
2023-08-29 14:58:00,13876,877.2224,878.405,877.0,878.405,876.91,406
2023-08-29 14:59:00,2333,877.1724,877.22,877.265,877.27,876.92,131
