t,v,vw,o,c,h,l,n
2023-12-27 14:30:00,5085,38.7413,38.73,38.74,38.93,38.73,11
2023-12-27 14:31:00,165,38.7223,38.71,38.71,38.71,38.71,6
2023-12-27 14:32:00,4206,38.6556,38.785,38.675,38.785,38.6,54
2023-12-27 14:33:00,278,38.6948,38.71,38.71,38.71,38.71,6
2023-12-27 14:34:00,527,38.6506,38.655,38.65,38.655,38.65,12
2023-12-27 14:35:00,1157,38.6668,38.67,38.64,38.68,38.635,28
2023-12-27 14:36:00,632,38.6935,38.69,38.685,38.69,38.685,15
2023-12-27 14:37:00,1207,38.755,38.72,38.77,38.77,38.72,29
2023-12-27 14:38:00,1865,38.7898,38.77,38.81,38.81,38.77,33
2023-12-27 14:39:00,1034,38.8098,38.7903,38.79,38.82,38.79,30
2023-12-27 14:40:00,448,38.7738,38.78,38.775,38.78,38.775,10
2023-12-27 14:41:00,1221,38.7642,38.8,38.76,38.8,38.75,19
2023-12-27 14:42:00,511,38.7743,38.78,38.77,38.78,38.77,17
2023-12-27 14:43:00,716,38.7743,38.77,38.78,38.78,38.75,12
2023-12-27 14:44:00,2164,38.814,38.8,38.85,38.85,38.8,39
2023-12-27 14:45:00,3988,38.8801,38.87,38.815,38.905,38.815,37
2023-12-27 14:46:00,330,38.836,38.83,38.84,38.84,38.83,10
2023-12-27 14:47:00,303,38.8634,38.86,38.88,38.88,38.86,16
2023-12-27 14:48:00,633,38.8604,38.86,38.85,38.86,38.85,29
2023-12-27 14:49:00,703,38.8596,38.87,38.86,38.88,38.85,12
2023-12-27 14:50:00,500,38.86,38.86,38.86,38.86,38.86,12
2023-12-27 14:51:00,923,38.8728,38.88,38.865,38.88,38.86,29
2023-12-27 14:52:00,1707,38.9093,38.89,38.905,38.92,38.89,37
2023-12-27 14:53:00,279,38.9102,38.91,38.91,38.91,38.91,6
2023-12-27 14:54:00,1565,38.9373,38.93,38.94,38.94,38.93,30
2023-12-27 14:55:00,776,38.9411,38.95,38.94,38.95,38.94,15
2023-12-27 14:56:00,818,38.9387,38.94,38.93,38.94,38.93,19
2023-12-27 14:57:00,15690,38.9487,38.935,38.95,38.95,38.93,69
2023-12-27 14:58:00,39255,38.9508,38.945,38.95,38.98,38.94,116
2023-12-27 14:59:00,1718,38.9497,38.955,38.95,38.955,38.95,17
2023-12-27 15:00:00,3569,38.9521,38.96,38.95,38.96,38.95,38
2023-12-27 15:01:00,3806,38.9511,38.95,38.94,38.955,38.94,45
2023-12-27 15:02:00,4269,38.9266,38.94,38.9025,38.95,38.9025,112
2023-12-27 15:03:00,1044,38.9145,38.9,38.92,38.92,38.89,31
2023-12-27 15:04:00,400,38.9208,38.92,38.92,38.92,38.92,10
2023-12-27 15:05:00,1824,38.8835,38.89,38.88,38.89,38.87,29
2023-12-27 15:06:00,723,38.88,38.88,38.88,38.88,38.88,14
2023-12-27 15:07:00,2091,38.8755,38.87,38.89,38.89,38.86,46
2023-12-27 15:08:00,1697,38.9265,38.9,38.95,38.95,38.9,47
2023-12-27 15:09:00,1015,38.9309,38.95,38.93,38.95,38.93,18
2023-12-27 15:10:00,654,38.9379,38.93,38.94,38.94,38.93,12
2023-12-27 15:11:00,1049,38.9309,38.95,38.92,38.95,38.92,19
2023-12-27 15:12:00,272,38.9274,38.93,38.92,38.93,38.92,8
