t,v,vw,o,c,h,l,n
2024-02-21 09:06:00,1000,2.767,2.76,2.77,2.77,2.76,4
2024-02-21 09:18:00,700,2.73,2.73,2.73,2.73,2.73,1
2024-02-21 12:06:00,100,2.71,2.71,2.71,2.71,2.71,1
2024-02-21 12:07:00,167,2.71,2.71,2.71,2.71,2.71,2
2024-02-21 12:09:00,608,2.71,2.71,2.71,2.71,2.71,2
2024-02-21 12:46:00,500,2.71,2.71,2.71,2.71,2.71,1
2024-02-21 13:00:00,689,2.7208,2.72,2.72,2.72,2.72,11
2024-02-21 13:03:00,3577,2.709,2.71,2.7,2.71,2.7,4
2024-02-21 13:07:00,1000,2.7,2.7,2.7,2.7,2.7,2
2024-02-21 13:21:00,1357,2.7,2.7,2.7,2.7,2.7,7
2024-02-21 13:51:00,237,2.7,2.7,2.7,2.7,2.7,2
2024-02-21 13:52:00,103,2.7,2.7,2.7,2.7,2.7,2
2024-02-21 14:26:00,100,2.71,2.71,2.71,2.71,2.71,1
2024-02-21 14:30:00,262624,2.6648,2.68,2.655,2.68,2.65,262
2024-02-21 14:31:00,36621,2.6639,2.655,2.68,2.68,2.655,53
2024-02-21 14:32:00,17995,2.6833,2.69,2.69,2.69,2.68,64
2024-02-21 14:33:00,21222,2.6856,2.69,2.68,2.69,2.68,92
2024-02-21 14:34:00,23231,2.6882,2.685,2.695,2.695,2.68,24
2024-02-21 14:35:00,43770,2.6973,2.69,2.6997,2.6997,2.69,40
2024-02-21 14:36:00,3757,2.6956,2.698,2.7,2.7,2.69,22
2024-02-21 14:37:00,95061,2.7133,2.7,2.72,2.73,2.7,190
2024-02-21 14:38:00,28867,2.7115,2.715,2.715,2.72,2.71,62
2024-02-21 14:39:00,2546,2.7153,2.715,2.715,2.72,2.715,24
2024-02-21 14:40:00,1667,2.7113,2.71,2.72,2.72,2.71,13
2024-02-21 14:41:00,5464,2.7145,2.72,2.71,2.72,2.71,23
2024-02-21 14:42:00,7332,2.7091,2.711,2.705,2.711,2.7,34
2024-02-21 14:43:00,2122,2.7031,2.7,2.7,2.7051,2.7,7
2024-02-21 14:44:00,427,2.7072,2.7077,2.7077,2.7077,2.7077,9
2024-02-21 14:45:00,591,2.7025,2.7026,2.7026,2.7026,2.7026,6
2024-02-21 14:46:00,7640,2.7083,2.7057,2.705,2.71,2.701,22
2024-02-21 14:47:00,14928,2.7044,2.701,2.7054,2.71,2.7,37
2024-02-21 14:48:00,745,2.7054,2.705,2.705,2.705,2.705,13
2024-02-21 14:50:00,1077,2.7019,2.705,2.7,2.705,2.7,10
2024-02-21 14:51:00,1773,2.7047,2.704,2.705,2.705,2.704,19
2024-02-21 14:52:00,2789,2.7093,2.71,2.7095,2.71,2.707,12
2024-02-21 14:53:00,15107,2.7154,2.71,2.715,2.72,2.71,47
2024-02-21 14:54:00,11383,2.7106,2.71,2.7099,2.715,2.7013,44
2024-02-21 14:55:00,16889,2.7081,2.7085,2.705,2.7085,2.7,14
2024-02-21 14:56:00,31266,2.7001,2.7,2.7,2.7,2.7,42
2024-02-21 14:57:00,4845,2.6957,2.695,2.6999,2.7,2.695,9
2024-02-21 14:58:00,8820,2.6954,2.695,2.69,2.6987,2.69,21
2024-02-21 14:59:00,429,2.692,2.69,2.695,2.695,2.69,8
2024-02-21 15:00:00,712,2.6921,2.69,2.691,2.691,2.69,12
2024-02-21 15:01:00,8093,2.6897,2.69,2.685,2.69,2.685,33
2024-02-21 15:02:00,1323,2.6844,2.68,2.685,2.685,2.68,19
2024-02-21 15:03:00,7524,2.6904,2.6825,2.6917,2.695,2.6825,24
2024-02-21 15:04:00,4499,2.6941,2.694,2.694,2.694,2.694,6
2024-02-21 15:05:00,33066,2.6908,2.695,2.692,2.695,2.69,87
2024-02-21 15:06:00,4167,2.6902,2.69,2.69,2.69,2.69,16
2024-02-21 15:07:00,1390,2.6839,2.68,2.68,2.685,2.68,12
2024-02-21 15:08:00,5168,2.6897,2.68,2.69,2.69,2.68,13
2024-02-21 15:09:00,1861,2.6878,2.685,2.6825,2.69,2.6825,16
2024-02-21 15:10:00,5101,2.6887,2.685,2.6897,2.6897,2.6825,17
2024-02-21 15:11:00,536,2.6871,2.69,2.6825,2.69,2.6825,5
2024-02-21 15:12:00,1269,2.6846,2.685,2.681,2.685,2.681,7
2024-02-21 15:13:00,17002,2.6894,2.685,2.69,2.69,2.6825,21
2024-02-21 15:14:00,527,2.6836,2.6825,2.6825,2.6825,2.6825,12
2024-02-21 15:15:00,36740,2.6897,2.68,2.6928,2.7,2.68,64
2024-02-21 15:16:00,2511,2.6929,2.7,2.7,2.7,2.695,12
2024-02-21 15:17:00,259,2.6938,2.7,2.7,2.7,2.7,5
2024-02-21 15:18:00,14044,2.6921,2.695,2.69,2.696,2.69,39
2024-02-21 15:19:00,346,2.694,2.6962,2.6962,2.6962,2.6962,6
2024-02-21 15:20:00,20803,2.6901,2.695,2.68,2.7,2.68,65
2024-02-21 15:21:00,2646,2.6853,2.685,2.685,2.686,2.685,17
2024-02-21 15:22:00,4650,2.6803,2.68,2.68,2.6845,2.68,18
2024-02-21 15:23:00,6421,2.6802,2.685,2.68,2.685,2.68,24
2024-02-21 15:24:00,26447,2.6796,2.68,2.67,2.685,2.67,40
2024-02-21 15:25:00,3680,2.6774,2.67,2.6725,2.68,2.67,24
2024-02-21 15:26:00,3558,2.6787,2.68,2.675,2.68,2.675,17
2024-02-21 15:27:00,8185,2.6717,2.675,2.675,2.675,2.67,27
2024-02-21 15:28:00,2923,2.6735,2.6744,2.68,2.68,2.67,13
2024-02-21 15:29:00,7957,2.6754,2.675,2.68,2.68,2.675,12
2024-02-21 15:30:00,12540,2.6786,2.68,2.68,2.68,2.675,24
2024-02-21 15:31:00,612,2.6749,2.675,2.675,2.675,2.675,12
2024-02-21 15:32:00,1396,2.6769,2.675,2.68,2.68,2.675,23
2024-02-21 15:33:00,6912,2.6763,2.675,2.68,2.68,2.67,28
2024-02-21 15:34:00,14405,2.6811,2.674,2.685,2.69,2.674,35
2024-02-21 15:35:00,4645,2.6841,2.685,2.6851,2.6851,2.68,30
2024-02-21 15:36:00,1335,2.6849,2.685,2.685,2.685,2.685,17
2024-02-21 15:37:00,1670,2.685,2.685,2.685,2.685,2.685,14
2024-02-21 15:38:00,6441,2.6836,2.68,2.685,2.686,2.68,20
2024-02-21 15:39:00,2316,2.6815,2.68,2.68,2.685,2.68,8
2024-02-21 15:40:00,1848,2.6813,2.68,2.685,2.685,2.68,12
2024-02-21 15:41:00,5457,2.6855,2.685,2.6825,2.69,2.6818,15
2024-02-21 15:42:00,5419,2.689,2.6844,2.6899,2.69,2.6844,15
2024-02-21 15:43:00,3489,2.6823,2.6825,2.6825,2.69,2.6801,11
2024-02-21 15:44:00,458,2.6844,2.685,2.6825,2.69,2.68,7
2024-02-21 15:45:00,11556,2.6834,2.6825,2.68,2.685,2.68,45
2024-02-21 15:46:00,2761,2.6827,2.685,2.685,2.685,2.68,14
2024-02-21 15:47:00,4564,2.6851,2.68,2.685,2.69,2.68,14
2024-02-21 15:48:00,1364,2.6874,2.685,2.69,2.69,2.6845,11
2024-02-21 15:49:00,27318,2.689,2.685,2.6945,2.695,2.684,51
2024-02-21 15:50:00,1811,2.6934,2.695,2.695,2.695,2.69,9
2024-02-21 15:51:00,13184,2.6942,2.695,2.695,2.695,2.69,17
2024-02-21 15:52:00,5511,2.695,2.695,2.695,2.695,2.695,20
2024-02-21 15:53:00,662,2.6944,2.695,2.695,2.695,2.695,9
2024-02-21 15:54:00,571,2.6949,2.69,2.7,2.7,2.69,9
2024-02-21 15:55:00,3008,2.6918,2.695,2.695,2.7,2.69,12
2024-02-21 15:56:00,1252,2.6916,2.69,2.69,2.695,2.69,15
2024-02-21 15:57:00,568,2.6932,2.695,2.69,2.695,2.69,8
2024-02-21 15:58:00,526,2.6941,2.695,2.695,2.695,2.69,9
