t,v,vw,o,c,h,l,n
2023-07-20 13:05:00,2302.0,3.48,3.48,3.48,3.48,3.48,3
2023-07-20 13:11:00,100.0,3.4897,3.4897,3.4897,3.4897,3.4897,1
2023-07-20 13:24:00,30025.0,3.49,3.49,3.49,3.49,3.49,62
2023-07-20 13:25:00,1000.0,3.49,3.49,3.49,3.49,3.49,2
2023-07-20 13:30:00,6042.0,3.4778,3.48,3.47,3.48,3.47,20
2023-07-20 13:31:00,22848.0,3.4702,3.475,3.465,3.475,3.465,99
2023-07-20 13:32:00,3500.0,3.4686,3.47,3.465,3.47,3.465,23
2023-07-20 13:33:00,25511.0,3.4697,3.465,3.47,3.47,3.465,51
2023-07-20 13:34:00,29979.0,3.4694,3.47,3.465,3.47,3.465,50
2023-07-20 13:35:00,132411.0,3.46,3.465,3.455,3.465,3.455,128
2023-07-20 13:36:00,589776.0,3.4518,3.46,3.45,3.46,3.44,371
2023-07-20 13:37:00,18900.0,3.45,3.45,3.45,3.45,3.45,8
2023-07-20 13:38:00,54877.0,3.4498,3.45,3.45,3.45,3.44,75
2023-07-20 13:39:00,234909.0,3.4502,3.45,3.45,3.455,3.445,124
2023-07-20 13:40:00,2601.0,3.4579,3.455,3.46,3.46,3.455,6
2023-07-20 13:41:00,12915.0,3.4595,3.46,3.455,3.46,3.455,27
2023-07-20 13:42:00,2202.0,3.4573,3.455,3.455,3.46,3.455,8
2023-07-20 13:43:00,6500.0,3.4595,3.455,3.455,3.46,3.455,7
2023-07-20 13:44:00,11114.0,3.4521,3.455,3.4501,3.455,3.45,19
2023-07-20 13:45:00,29359.0,3.4504,3.45,3.455,3.455,3.45,23
2023-07-20 13:46:00,3178.0,3.4502,3.45,3.455,3.455,3.45,22
2023-07-20 13:47:00,400.0,3.455,3.455,3.455,3.455,3.455,2
2023-07-20 13:49:00,65734.0,3.4505,3.455,3.455,3.455,3.45,85
2023-07-20 13:50:00,22466.0,3.4577,3.45,3.455,3.46,3.45,77
2023-07-20 13:51:00,36153.0,3.4521,3.45,3.46,3.46,3.45,37
2023-07-20 13:52:00,4500.0,3.455,3.455,3.455,3.455,3.455,8
2023-07-20 13:53:00,180159.0,3.4598,3.46,3.465,3.465,3.455,121
2023-07-20 13:54:00,1134.0,3.465,3.465,3.465,3.465,3.465,9
2023-07-20 13:56:00,25912.0,3.4646,3.465,3.465,3.47,3.46,86
2023-07-20 13:57:00,6027.0,3.461,3.465,3.46,3.47,3.46,6
2023-07-20 13:58:00,10235.0,3.462,3.46,3.465,3.465,3.46,26
2023-07-20 13:59:00,3800.0,3.4636,3.465,3.46,3.465,3.46,4
2023-07-20 14:00:00,11443.0,3.4649,3.465,3.46,3.465,3.46,11
2023-07-20 14:01:00,114079.0,3.4691,3.465,3.47,3.47,3.465,68
2023-07-20 14:02:00,35816.0,3.4611,3.465,3.465,3.465,3.46,48
2023-07-20 14:03:00,13569.0,3.4681,3.47,3.465,3.47,3.465,36
2023-07-20 14:04:00,1049.0,3.465,3.465,3.465,3.465,3.465,9
2023-07-20 14:05:00,19379.0,3.4627,3.465,3.465,3.465,3.46,54
2023-07-20 14:06:00,3738.0,3.4626,3.465,3.46,3.465,3.46,10
2023-07-20 14:07:00,4151.0,3.465,3.465,3.465,3.465,3.465,11
2023-07-20 14:08:00,3831.0,3.465,3.465,3.465,3.465,3.465,15
2023-07-20 14:09:00,6821.0,3.465,3.465,3.465,3.465,3.465,13
2023-07-20 14:10:00,6925.0,3.465,3.465,3.465,3.465,3.465,12
2023-07-20 14:11:00,4807.0,3.465,3.465,3.465,3.465,3.465,7
2023-07-20 14:12:00,11200.0,3.465,3.465,3.465,3.465,3.46,36
2023-07-20 14:13:00,98072.0,3.4597,3.465,3.455,3.465,3.455,91
2023-07-20 14:14:00,1000.0,3.455,3.455,3.455,3.455,3.455,2
2023-07-20 14:15:00,3250.0,3.4554,3.455,3.455,3.455,3.455,14
2023-07-20 14:16:00,145243.0,3.4597,3.455,3.46,3.465,3.455,126
2023-07-20 14:17:00,3678.0,3.4639,3.46,3.465,3.465,3.46,19
2023-07-20 14:18:00,3070.0,3.4647,3.465,3.465,3.465,3.465,17
2023-07-20 14:19:00,3147.0,3.4642,3.465,3.46,3.465,3.46,14
2023-07-20 14:20:00,54609.0,3.4604,3.46,3.4601,3.465,3.46,22
2023-07-20 14:21:00,15799.0,3.4614,3.465,3.46,3.465,3.46,59
2023-07-20 14:22:00,38388.0,3.4604,3.46,3.465,3.465,3.46,65
2023-07-20 14:23:00,71965.0,3.4602,3.46,3.46,3.465,3.46,139
2023-07-20 14:24:00,75166.0,3.4594,3.46,3.455,3.465,3.455,95
2023-07-20 14:25:00,207314.0,3.4594,3.455,3.465,3.465,3.4501,108
2023-07-20 14:26:00,32491.0,3.4613,3.4607,3.465,3.465,3.46,39
2023-07-20 14:27:00,162108.0,3.4599,3.465,3.455,3.465,3.45,96
2023-07-20 14:28:00,78964.0,3.4494,3.455,3.445,3.455,3.445,135
2023-07-20 14:29:00,2622.0,3.446,3.445,3.45,3.45,3.445,10
2023-07-20 14:30:00,72316.0,3.4492,3.45,3.445,3.45,3.445,20
2023-07-20 14:31:00,400.0,3.445,3.445,3.445,3.445,3.445,1
2023-07-20 14:32:00,36582.0,3.4432,3.445,3.445,3.45,3.44,53
2023-07-20 14:33:00,3551.0,3.4443,3.445,3.44,3.45,3.44,16
2023-07-20 14:34:00,3981.0,3.4449,3.445,3.445,3.445,3.44,23
2023-07-20 14:35:00,150305.0,3.4461,3.445,3.445,3.45,3.445,84
2023-07-20 14:36:00,367421.0,3.4402,3.445,3.435,3.445,3.435,191
2023-07-20 14:37:00,436414.0,3.4398,3.435,3.435,3.445,3.43,194
2023-07-20 14:38:00,3352.0,3.435,3.435,3.435,3.435,3.435,24
2023-07-20 14:39:00,680473.0,3.4398,3.435,3.44,3.445,3.435,162
2023-07-20 14:40:00,257181.0,3.439,3.445,3.43,3.445,3.43,94
2023-07-20 14:41:00,66710.0,3.4356,3.435,3.435,3.44,3.43,68
2023-07-20 14:42:00,15751.0,3.4374,3.44,3.435,3.44,3.435,39
2023-07-20 14:43:00,11980.0,3.4337,3.435,3.435,3.44,3.43,35
2023-07-20 14:44:00,142109.0,3.4355,3.435,3.435,3.44,3.435,58
2023-07-20 14:45:00,14438.0,3.435,3.435,3.435,3.435,3.435,11
2023-07-20 14:46:00,20655.0,3.4367,3.435,3.435,3.4396,3.435,13
2023-07-20 14:47:00,53374.0,3.4343,3.435,3.4301,3.435,3.4301,66
2023-07-20 14:48:00,5790.0,3.4328,3.43,3.435,3.435,3.43,18
2023-07-20 14:49:00,1922.0,3.4311,3.43,3.435,3.435,3.43,12
