t,v,vw,o,c,h,l,n
2023-06-20 13:30:00,29341,79.2892,79.29,79.26,79.36,79.15,147
2023-06-20 13:31:00,1833,79.1961,79.26,79.16,79.26,79.16,61
2023-06-20 13:32:00,2320,79.2783,79.27,79.17,79.33,79.16,88
2023-06-20 13:33:00,3330,79.1823,79.21,79.15,79.23,79.09,96
2023-06-20 13:34:00,2803,79.0439,79.095,79.06,79.095,79.0,98
2023-06-20 13:35:00,4128,79.0925,79.11,79.13,79.14,79.01,101
2023-06-20 13:36:00,2766,79.1348,79.08,79.17,79.19,79.08,89
2023-06-20 13:37:00,2565,79.2134,79.175,79.21,79.24,79.175,79
2023-06-20 13:38:00,3142,79.3944,79.33,79.475,79.475,79.31,83
2023-06-20 13:39:00,5503,79.3335,79.45,79.21,79.475,79.21,192
2023-06-20 13:40:00,2817,79.1515,79.23,79.04,79.23,79.04,80
2023-06-20 13:41:00,2563,78.9843,79.03,78.935,79.03,78.935,71
2023-06-20 13:42:00,5055,79.0224,78.98,79.015,79.11,78.955,138
2023-06-20 13:43:00,5253,79.1772,79.06,79.27,79.27,79.06,93
2023-06-20 13:44:00,2000,79.2281,79.28,79.18,79.28,79.17,80
2023-06-20 13:45:00,5183,79.0833,79.15,79.04,79.15,79.04,147
2023-06-20 13:46:00,2271,78.9634,79.0,79.01,79.01,78.925,71
2023-06-20 13:47:00,3041,78.9832,78.99,78.98,79.04,78.93,66
2023-06-20 13:48:00,8339,79.0231,78.95,79.03,79.075,78.95,184
2023-06-20 13:49:00,5438,79.0434,79.03,79.03,79.07,79.015,119
2023-06-20 13:50:00,3098,79.0549,79.03,79.125,79.125,79.025,66
2023-06-20 13:51:00,2928,79.2141,79.21,79.205,79.263,79.19,65
2023-06-20 13:52:00,1812,79.2259,79.2,79.2553,79.2553,79.1818,30
2023-06-20 13:53:00,5192,79.2638,79.22,79.29,79.295,79.22,111
2023-06-20 13:54:00,4216,79.3506,79.31,79.315,79.4,79.3,109
2023-06-20 13:55:00,2000,79.333,79.34,79.32,79.375,79.26,66
2023-06-20 13:56:00,1179,79.2851,79.285,79.255,79.325,79.255,36
2023-06-20 13:57:00,2945,79.3042,79.295,79.33,79.34,79.25,70
2023-06-20 13:58:00,1309,79.3868,79.39,79.39,79.405,79.38,33
2023-06-20 13:59:00,5079,79.3938,79.395,79.46,79.46,79.36,122
2023-06-20 14:00:00,3113,79.3706,79.42,79.32,79.42,79.32,72
2023-06-20 14:01:00,2234,79.3486,79.31,79.38,79.39,79.31,66
2023-06-20 14:02:00,7378,79.3561,79.4,79.33,79.4,79.32,136
2023-06-20 14:03:00,9279,79.207,79.3328,79.27,79.3328,79.1588,140
2023-06-20 14:04:00,5228,79.3181,79.265,79.37,79.37,79.25,94
2023-06-20 14:05:00,3435,79.4197,79.38,79.44,79.44,79.375,97
2023-06-20 14:06:00,5355,79.4258,79.44,79.41,79.45,79.39,110
2023-06-20 14:07:00,2627,79.4575,79.45,79.46,79.49,79.44,65
2023-06-20 14:08:00,3047,79.4515,79.46,79.46,79.47,79.4204,69
2023-06-20 14:09:00,8188,79.4869,79.44,79.53,79.55,79.43,163
2023-06-20 14:10:00,3115,79.4868,79.51,79.5,79.51,79.46,83
2023-06-20 14:11:00,1575,79.4693,79.495,79.46,79.495,79.45,37
2023-06-20 14:12:00,2450,79.4927,79.48,79.515,79.515,79.47,73
2023-06-20 14:13:00,5806,79.4981,79.51,79.44,79.53,79.43,135
2023-06-20 14:14:00,3757,79.403,79.46,79.34,79.47,79.325,91
2023-06-20 14:15:00,3999,79.3333,79.34,79.3,79.37,79.29,83
2023-06-20 14:16:00,1484,79.3174,79.315,79.3,79.33,79.3,34
2023-06-20 14:17:00,5800,79.2862,79.32,79.25,79.33,79.23,114
2023-06-20 14:18:00,3061,79.2615,79.25,79.28,79.28,79.24,81
2023-06-20 14:19:00,2598,79.2302,79.27,79.2,79.27,79.2,57
2023-06-20 14:20:00,5897,79.209,79.2,79.19,79.245,79.19,126
2023-06-20 14:21:00,7158,79.0988,79.16,79.02,79.17,79.01,142
2023-06-20 14:22:00,7580,79.0178,79.02,79.07,79.085,78.99,118
2023-06-20 14:23:00,1396,79.0574,79.06,79.04,79.075,79.04,48
2023-06-20 14:24:00,1891,78.9658,79.02,78.91,79.02,78.91,62
2023-06-20 14:25:00,3820,78.8773,78.93,78.84,78.94,78.84,98
2023-06-20 14:26:00,6181,78.8206,78.77,78.805,78.87,78.77,113
2023-06-20 14:27:00,2939,78.8688,78.79,78.88,78.9,78.79,70
2023-06-20 14:28:00,2330,78.8531,78.85,78.86,78.87,78.83,56
2023-06-20 14:29:00,4106,78.8172,78.8597,78.85,78.8597,78.78,102
2023-06-20 14:30:00,2917,78.8844,78.855,78.91,78.91,78.855,62
