t,v,vw,o,c,h,l,n
2024-01-22 12:25:00,6457,5.11,5.11,5.11,5.11,5.11,1
2024-01-22 12:30:00,3033,5.11,5.11,5.11,5.11,5.11,2
2024-01-22 12:34:00,1958,5.12,5.12,5.12,5.12,5.12,1
2024-01-22 12:44:00,500,5.11,5.11,5.11,5.11,5.11,1
2024-01-22 13:00:00,10500,5.11,5.11,5.11,5.11,5.11,1
2024-01-22 14:30:00,39315,5.1179,5.11,5.125,5.15,5.11,72
2024-01-22 14:31:00,1872,5.1149,5.1201,5.11,5.1201,5.11,16
2024-01-22 14:32:00,10262,5.1063,5.11,5.1039,5.115,5.1,72
2024-01-22 14:33:00,3362,5.1362,5.12,5.15,5.15,5.12,34
2024-01-22 14:34:00,1577,5.1561,5.155,5.1598,5.1598,5.155,6
2024-01-22 14:35:00,7102,5.1526,5.16,5.145,5.16,5.14,59
2024-01-22 14:36:00,3291,5.154,5.15,5.15,5.16,5.15,22
2024-01-22 14:37:00,10632,5.1598,5.16,5.16,5.16,5.155,44
2024-01-22 14:38:00,24511,5.1605,5.15,5.16,5.17,5.15,118
2024-01-22 14:39:00,500,5.159,5.16,5.155,5.16,5.155,4
2024-01-22 14:40:00,15653,5.17,5.16,5.175,5.175,5.16,58
2024-01-22 14:41:00,249,5.188,5.185,5.19,5.19,5.185,4
2024-01-22 14:42:00,1846,5.1748,5.1819,5.17,5.1819,5.17,29
2024-01-22 14:43:00,3138,5.1619,5.17,5.16,5.17,5.16,25
2024-01-22 14:44:00,4775,5.1579,5.1599,5.155,5.1599,5.155,24
2024-01-22 14:45:00,18358,5.1378,5.15,5.13,5.15,5.125,105
2024-01-22 14:46:00,5951,5.1358,5.135,5.135,5.14,5.135,48
2024-01-22 14:47:00,4960,5.1273,5.13,5.13,5.13,5.12,47
2024-01-22 14:48:00,4163,5.13,5.13,5.13,5.13,5.13,24
2024-01-22 14:49:00,3942,5.1517,5.14,5.155,5.16,5.14,23
2024-01-22 14:50:00,2702,5.1513,5.15,5.145,5.16,5.145,41
2024-01-22 14:51:00,4111,5.1403,5.14,5.135,5.145,5.135,39
2024-01-22 14:52:00,16126,5.1408,5.135,5.15,5.15,5.135,102
2024-01-22 14:53:00,3805,5.1529,5.145,5.16,5.17,5.145,35
2024-01-22 14:54:00,4579,5.1626,5.16,5.17,5.17,5.16,35
2024-01-22 14:55:00,3036,5.1697,5.17,5.17,5.17,5.165,30
2024-01-22 14:56:00,1669,5.1747,5.175,5.175,5.175,5.175,17
2024-01-22 14:57:00,154,5.1798,5.18,5.18,5.18,5.18,13
2024-01-22 14:58:00,4706,5.1707,5.18,5.165,5.18,5.165,32
2024-01-22 15:00:00,5057,5.1746,5.17,5.185,5.185,5.17,42
2024-01-22 15:01:00,5383,5.1822,5.1844,5.175,5.185,5.175,32
2024-01-22 15:02:00,5385,5.1806,5.18,5.18,5.1839,5.175,57
2024-01-22 15:03:00,5358,5.1736,5.18,5.17,5.18,5.17,46
2024-01-22 15:04:00,1109,5.1661,5.165,5.165,5.17,5.165,13
2024-01-22 15:05:00,1720,5.1623,5.16,5.165,5.165,5.16,23
2024-01-22 15:06:00,9226,5.1564,5.165,5.145,5.165,5.14,51
2024-01-22 15:07:00,1338,5.1396,5.14,5.135,5.14,5.135,25
2024-01-22 15:08:00,4419,5.1304,5.135,5.13,5.135,5.13,25
2024-01-22 15:09:00,4967,5.1309,5.13,5.14,5.14,5.13,43
2024-01-22 15:10:00,1340,5.1354,5.135,5.135,5.14,5.135,10
2024-01-22 15:11:00,730,5.1378,5.135,5.135,5.135,5.135,8
2024-01-22 15:12:00,214,5.14,5.14,5.14,5.14,5.14,3
2024-01-22 15:13:00,6349,5.14,5.14,5.14,5.14,5.14,38
2024-01-22 15:14:00,210,5.14,5.14,5.14,5.14,5.14,5
2024-01-22 15:15:00,3063,5.1403,5.14,5.145,5.145,5.14,34
2024-01-22 15:16:00,854,5.1515,5.15,5.155,5.155,5.15,10
2024-01-22 15:17:00,7332,5.1614,5.16,5.1601,5.165,5.16,23
2024-01-22 15:18:00,2370,5.1608,5.16,5.16,5.165,5.16,28
2024-01-22 15:19:00,347,5.1546,5.155,5.155,5.155,5.155,5
2024-01-22 15:20:00,301,5.16,5.16,5.16,5.16,5.16,4
2024-01-22 15:21:00,3593,5.1611,5.16,5.16,5.17,5.16,49
2024-01-22 15:22:00,2656,5.1605,5.1601,5.16,5.165,5.16,14
2024-01-22 15:23:00,4167,5.1571,5.16,5.15,5.16,5.15,35
2024-01-22 15:24:00,2369,5.1511,5.15,5.16,5.16,5.15,20
2024-01-22 15:25:00,3299,5.1632,5.16,5.165,5.165,5.16,18
2024-01-22 15:26:00,3522,5.1692,5.17,5.16,5.17,5.16,12
2024-01-22 15:27:00,2736,5.1602,5.165,5.159,5.165,5.159,26
2024-01-22 15:28:00,11383,5.1514,5.155,5.15,5.155,5.15,50
2024-01-22 15:29:00,3371,5.1418,5.15,5.14,5.15,5.14,24
2024-01-22 15:30:00,1055,5.1332,5.14,5.13,5.14,5.13,14
2024-01-22 15:31:00,111,5.1301,5.13,5.13,5.13,5.13,3
2024-01-22 15:32:00,17748,5.1298,5.13,5.12,5.135,5.12,26
2024-01-22 15:33:00,1267,5.1283,5.12,5.13,5.13,5.12,17
2024-01-22 15:34:00,22617,5.1298,5.125,5.135,5.135,5.125,57
2024-01-22 15:35:00,6697,5.1279,5.13,5.125,5.13,5.12,40
2024-01-22 15:37:00,206,5.1226,5.12,5.125,5.125,5.12,3
2024-01-22 15:38:00,150,5.1247,5.125,5.125,5.125,5.125,3
2024-01-22 15:39:00,572,5.125,5.125,5.125,5.125,5.125,8
2024-01-22 15:40:00,4197,5.1184,5.125,5.11,5.125,5.11,45
2024-01-22 15:41:00,136,5.11,5.11,5.11,5.11,5.11,2
2024-01-22 15:42:00,225,5.1148,5.115,5.115,5.115,5.115,4
2024-01-22 15:43:00,330,5.1184,5.115,5.115,5.115,5.115,6
2024-01-22 15:44:00,7415,5.1082,5.11,5.105,5.115,5.105,54
2024-01-22 15:45:00,8704,5.109,5.11,5.11,5.11,5.1,57
2024-01-22 15:46:00,3555,5.1197,5.12,5.12,5.12,5.115,43
2024-01-22 15:47:00,756,5.1177,5.115,5.12,5.12,5.115,7
2024-01-22 15:48:00,3960,5.1162,5.115,5.115,5.1177,5.11,17
2024-01-22 15:49:00,1430,5.1114,5.1101,5.115,5.115,5.11,13
2024-01-22 15:50:00,708,5.1142,5.115,5.115,5.115,5.11,15
2024-01-22 15:51:00,2447,5.119,5.115,5.12,5.12,5.115,34
2024-01-22 15:52:00,5133,5.1205,5.12,5.125,5.125,5.12,47
2024-01-22 15:53:00,1067,5.1256,5.125,5.125,5.13,5.125,9
2024-01-22 15:54:00,508,5.1226,5.125,5.125,5.125,5.125,10
2024-01-22 15:55:00,316,5.125,5.125,5.125,5.125,5.125,6
2024-01-22 15:56:00,774,5.127,5.13,5.13,5.13,5.125,11
2024-01-22 15:57:00,800,5.1263,5.13,5.125,5.13,5.125,3
2024-01-22 15:58:00,4215,5.1217,5.12,5.125,5.125,5.12,26
2024-01-22 15:59:00,1220,5.1231,5.125,5.125,5.125,5.12,12
2024-01-22 16:00:00,8951,5.1193,5.12,5.115,5.125,5.115,62
2024-01-22 16:01:00,8004,5.1095,5.115,5.105,5.115,5.105,66
2024-01-22 16:02:00,2041,5.1032,5.105,5.105,5.105,5.1,20
2024-01-22 16:03:00,830,5.1094,5.11,5.11,5.11,5.105,13
2024-01-22 16:04:00,425,5.1054,5.105,5.105,5.105,5.105,5
2024-01-22 16:05:00,425,5.1084,5.11,5.11,5.11,5.105,9
2024-01-22 16:06:00,8072,5.1101,5.11,5.115,5.115,5.11,63
2024-01-22 16:07:00,902,5.1128,5.115,5.11,5.115,5.11,9
2024-01-22 16:08:00,472,5.1111,5.115,5.11,5.115,5.11,7
2024-01-22 16:09:00,357,5.1142,5.115,5.115,5.115,5.115,6
2024-01-22 16:10:00,849,5.1148,5.115,5.115,5.115,5.115,11
2024-01-22 16:11:00,763,5.1102,5.11,5.11,5.11,5.11,8
2024-01-22 16:12:00,673,5.1154,5.115,5.115,5.115,5.115,7
2024-01-22 16:13:00,219,5.1148,5.115,5.115,5.115,5.115,5
2024-01-22 16:14:00,1298,5.1196,5.12,5.115,5.12,5.115,19
2024-01-22 16:15:00,1027,5.1195,5.115,5.12,5.12,5.115,21
2024-01-22 16:16:00,5740,5.1207,5.12,5.125,5.125,5.12,49
2024-01-22 16:17:00,683,5.1243,5.125,5.125,5.125,5.125,13
2024-01-22 16:18:00,2725,5.1263,5.13,5.13,5.13,5.125,23
2024-01-22 16:19:00,320,5.1251,5.125,5.125,5.125,5.125,8
2024-01-22 16:20:00,417,5.1275,5.13,5.13,5.13,5.125,9
2024-01-22 16:21:00,484,5.126,5.125,5.125,5.1299,5.125,8
2024-01-22 16:22:00,1595,5.1237,5.125,5.125,5.125,5.12,19
2024-01-22 16:23:00,801,5.1256,5.125,5.13,5.13,5.125,14
2024-01-22 16:24:00,558,5.1273,5.13,5.13,5.13,5.125,11
2024-01-22 16:25:00,1326,5.1291,5.13,5.125,5.13,5.125,7
2024-01-22 16:26:00,113,5.1293,5.13,5.13,5.13,5.13,5
2024-01-22 16:27:00,374,5.1297,5.13,5.13,5.13,5.13,7
2024-01-22 16:29:00,917,5.1272,5.125,5.13,5.13,5.125,10
2024-01-22 16:30:00,4284,5.1316,5.13,5.135,5.14,5.13,52
2024-01-22 16:31:00,823,5.1376,5.135,5.14,5.14,5.135,14
2024-01-22 16:32:00,208,5.1399,5.14,5.14,5.14,5.14,6
2024-01-22 16:33:00,222,5.1397,5.14,5.14,5.14,5.14,9
2024-01-22 16:34:00,2596,5.1338,5.135,5.135,5.135,5.13,26
2024-01-22 16:35:00,9302,5.1294,5.13,5.125,5.135,5.12,59
2024-01-22 16:36:00,995,5.1206,5.12,5.12,5.12,5.12,9
2024-01-22 16:37:00,5955,5.1201,5.12,5.125,5.125,5.12,49
2024-01-22 16:38:00,397,5.125,5.125,5.125,5.125,5.125,2
2024-01-22 16:39:00,656,5.125,5.125,5.125,5.125,5.125,7
2024-01-22 16:40:00,7690,5.1203,5.125,5.125,5.125,5.12,56
2024-01-22 16:41:00,407,5.123,5.125,5.125,5.125,5.125,9
2024-01-22 16:42:00,305,5.125,5.125,5.125,5.125,5.125,6
2024-01-22 16:43:00,231,5.1245,5.125,5.125,5.125,5.125,6
2024-01-22 16:45:00,193,5.1252,5.125,5.125,5.125,5.125,7
2024-01-22 16:46:00,611,5.1268,5.13,5.125,5.13,5.125,9
2024-01-22 16:47:00,610,5.125,5.125,5.125,5.125,5.125,11
2024-01-22 16:49:00,1200,5.1279,5.125,5.13,5.13,5.125,13
2024-01-22 16:50:00,882,5.1258,5.125,5.125,5.125,5.125,17
2024-01-22 16:51:00,1288,5.1266,5.1273,5.1273,5.1273,5.1273,9
2024-01-22 16:52:00,6438,5.1302,5.13,5.135,5.135,5.13,47
2024-01-22 16:53:00,504,5.1341,5.135,5.135,5.135,5.135,5
2024-01-22 16:54:00,203,5.1375,5.14,5.135,5.14,5.135,4
2024-01-22 16:55:00,325,5.135,5.135,5.135,5.135,5.135,8
2024-01-22 16:56:00,149,5.1364,5.135,5.135,5.135,5.135,8
2024-01-22 16:57:00,2794,5.1406,5.14,5.145,5.145,5.14,23
2024-01-22 16:58:00,830,5.145,5.145,5.145,5.145,5.145,13
