t,v,vw,o,c,h,l,n
2023-06-26 13:30:00,6980,256.5102,256.55,255.27,256.55,255.27,26
2023-06-26 13:33:00,435,255.6206,255.72,255.67,255.72,255.56,20
2023-06-26 13:34:00,1103,255.1977,255.3,255.06,255.31,255.02,24
2023-06-26 13:36:00,1114,254.9403,255.025,254.68,255.025,254.68,29
2023-06-26 13:37:00,2084,254.6531,254.79,254.37,254.82,254.37,74
2023-06-26 13:40:00,976,254.1465,254.2,254.08,254.2,254.08,53
2023-06-26 13:41:00,1429,254.3339,254.39,254.48,254.48,254.315,51
2023-06-26 13:42:00,1693,254.6595,254.66,254.695,254.86,254.54,34
2023-06-26 13:43:00,897,254.6251,254.87,254.63,254.87,254.55,26
2023-06-26 13:44:00,2544,254.9,254.9,254.97,254.97,254.79,57
2023-06-26 13:45:00,1506,255.066,254.965,255.015,255.11,254.965,43
2023-06-26 13:46:00,1682,254.946,254.88,254.97,255.09,254.88,57
2023-06-26 13:47:00,349,254.8884,254.97,254.95,254.97,254.75,14
2023-06-26 13:48:00,1213,254.706,254.75,254.685,254.75,254.68,31
2023-06-26 13:49:00,2594,254.5708,254.685,254.47,254.69,254.41,60
2023-06-26 13:50:00,611,254.3656,254.47,254.35,254.47,254.35,29
2023-06-26 13:51:00,846,254.1514,254.19,254.15,254.22,254.15,37
2023-06-26 13:52:00,409,253.964,253.98,253.95,253.98,253.95,21
2023-06-26 13:53:00,733,253.7717,253.92,253.66,253.92,253.66,51
2023-06-26 13:54:00,2453,253.5704,253.59,253.61,253.67,253.42,72
2023-06-26 13:56:00,473,253.5613,253.58,253.525,253.58,253.525,22
2023-06-26 13:57:00,2707,253.3655,253.3163,253.45,253.475,253.3163,43
2023-06-26 13:58:00,1785,253.2001,253.425,253.0,253.425,253.0,66
2023-06-26 13:59:00,1519,253.2371,253.02,253.265,253.3025,253.02,35
2023-06-26 14:00:00,4686,252.9414,253.265,252.815,253.265,252.815,143
2023-06-26 14:01:00,829,252.7563,252.76,252.785,252.785,252.74,28
2023-06-26 14:02:00,619,252.7756,252.785,252.69,252.785,252.69,21
2023-06-26 14:03:00,1453,252.7648,252.71,252.81,252.81,252.6432,30
2023-06-26 14:04:00,1543,252.8031,252.815,252.825,252.825,252.69,40
2023-06-26 14:05:00,1396,252.8768,252.825,253.01,253.01,252.82,48
2023-06-26 14:06:00,1606,253.2641,253.32,253.32,253.33,253.32,52
2023-06-26 14:07:00,372,253.5363,253.64,253.405,253.64,253.405,15
2023-06-26 14:08:00,731,253.4639,253.42,253.435,253.565,253.42,25
2023-06-26 14:09:00,2456,253.3139,253.435,253.26,253.435,253.21,70
2023-06-26 14:10:00,2256,253.3265,253.26,253.36,253.45,253.2,66
2023-06-26 14:11:00,974,253.3644,253.43,253.37,253.43,253.36,31
2023-06-26 14:13:00,1308,253.5056,253.48,253.48,253.52,253.48,44
2023-06-26 14:14:00,1046,253.4265,253.52,253.38,253.52,253.38,39
2023-06-26 14:15:00,1530,253.5486,253.49,253.48,253.66,253.37,37
2023-06-26 14:16:00,306,253.6282,253.58,253.58,253.58,253.58,14
2023-06-26 14:17:00,382,253.7076,253.74,253.74,253.74,253.74,24
2023-06-26 14:18:00,899,253.6896,253.55,253.6525,253.74,253.55,38
2023-06-26 14:19:00,400,253.6944,253.7,253.705,253.705,253.7,20
2023-06-26 14:20:00,1210,253.5936,253.69,253.45,253.69,253.45,36
2023-06-26 14:21:00,421,253.558,253.47,253.56,253.655,253.47,13
2023-06-26 14:22:00,1438,253.6348,253.655,253.63,253.73,253.49,37
2023-06-26 14:23:00,1453,253.7834,253.73,253.78,253.87,253.73,50
2023-06-26 14:26:00,721,253.9178,253.905,253.89,253.905,253.89,12
2023-06-26 14:27:00,454,253.8975,253.88,253.94,253.94,253.8786,14
