t,v,vw,o,c,h,l,n
2023-12-19 10:48:00,100,29.22,29.22,29.22,29.22,29.22,1
2023-12-19 12:49:00,1016,29.3801,29.38,29.38,29.38,29.38,9
2023-12-19 14:30:00,27620,29.2907,29.29,29.26,29.32,29.26,48
2023-12-19 14:31:00,956,29.2949,29.28,29.29,29.29,29.28,29
2023-12-19 14:32:00,1698,29.3618,29.33,29.39,29.39,29.33,41
2023-12-19 14:33:00,391,29.3966,29.4,29.4,29.4,29.4,19
2023-12-19 14:34:00,808,29.3235,29.3,29.345,29.345,29.3,20
2023-12-19 14:35:00,5680,29.3583,29.31,29.41,29.41,29.3,130
2023-12-19 14:36:00,2292,29.3824,29.39,29.38,29.4,29.38,62
2023-12-19 14:37:00,3794,29.4028,29.39,29.425,29.43,29.38,58
2023-12-19 14:38:00,4128,29.4021,29.43,29.34,29.43,29.34,87
2023-12-19 14:39:00,8997,29.3707,29.35,29.41,29.41,29.35,121
2023-12-19 14:40:00,4960,29.4647,29.43,29.49,29.49,29.42,79
2023-12-19 14:41:00,7865,29.4988,29.465,29.53,29.53,29.46,74
2023-12-19 14:42:00,8547,29.5578,29.5489,29.56,29.57,29.54,100
2023-12-19 14:43:00,2362,29.5852,29.57,29.57,29.6,29.57,54
2023-12-19 14:44:00,3494,29.5352,29.57,29.52,29.57,29.52,54
2023-12-19 14:45:00,7837,29.5098,29.51,29.51,29.53,29.49,91
2023-12-19 14:46:00,5881,29.5378,29.51,29.55,29.56,29.51,94
2023-12-19 14:47:00,8972,29.5795,29.57,29.59,29.59,29.57,65
2023-12-19 14:48:00,1613,29.5699,29.58,29.58,29.58,29.57,38
2023-12-19 14:49:00,3868,29.6057,29.59,29.615,29.615,29.59,67
2023-12-19 14:50:00,2906,29.6124,29.61,29.605,29.63,29.6,53
2023-12-19 14:51:00,1623,29.5962,29.61,29.59,29.61,29.58,41
2023-12-19 14:52:00,1709,29.6152,29.59,29.63,29.63,29.59,39
2023-12-19 14:53:00,3752,29.604,29.63,29.57,29.63,29.57,56
2023-12-19 14:54:00,521,29.5779,29.5679,29.5679,29.5679,29.5679,18
2023-12-19 14:55:00,1595,29.5629,29.545,29.58,29.58,29.54,40
2023-12-19 14:56:00,4017,29.5789,29.58,29.58,29.59,29.56,70
2023-12-19 14:57:00,2295,29.5932,29.58,29.585,29.6,29.58,55
2023-12-19 14:58:00,1920,29.5902,29.5885,29.59,29.595,29.5885,38
2023-12-19 14:59:00,910,29.5868,29.58,29.595,29.595,29.58,29
2023-12-19 15:00:00,15059,29.603,29.6,29.58,29.625,29.58,197
2023-12-19 15:01:00,4898,29.5907,29.59,29.61,29.61,29.58,74
2023-12-19 15:02:00,2569,29.6017,29.61,29.6,29.61,29.59,41
2023-12-19 15:03:00,3043,29.5825,29.61,29.58,29.61,29.56,53
2023-12-19 15:04:00,1926,29.5769,29.57,29.585,29.585,29.56,36
2023-12-19 15:05:00,5144,29.5747,29.58,29.59,29.595,29.56,75
2023-12-19 15:06:00,2542,29.5826,29.59,29.58,29.6,29.57,46
2023-12-19 15:07:00,926,29.5933,29.59,29.6,29.6,29.59,31
2023-12-19 15:08:00,6490,29.591,29.6,29.585,29.6,29.57,82
2023-12-19 15:09:00,1332,29.565,29.565,29.58,29.58,29.54,39
2023-12-19 15:10:00,1803,29.5891,29.59,29.575,29.61,29.575,45
2023-12-19 15:11:00,3157,29.5663,29.56,29.58,29.58,29.56,55
2023-12-19 15:12:00,3033,29.5871,29.5785,29.59,29.595,29.5785,52
2023-12-19 15:13:00,2423,29.5722,29.58,29.577,29.58,29.56,42
