t,v,vw,o,c,h,l,n
2023-09-14 08:13:00,1167,0.6968,0.6966,0.6975,0.6975,0.6966,6
2023-09-14 08:18:00,292,0.6879,0.6879,0.6879,0.6879,0.6879,3
2023-09-14 08:23:00,337,0.6785,0.6785,0.6785,0.6785,0.6785,3
2023-09-14 08:27:00,163,0.6785,0.6785,0.6785,0.6785,0.6785,1
2023-09-14 08:37:00,253,0.675,0.675,0.675,0.675,0.675,1
2023-09-14 08:39:00,400,0.675,0.6751,0.675,0.6751,0.675,2
2023-09-14 08:56:00,226,0.675,0.675,0.675,0.675,0.675,2
2023-09-14 09:00:00,1009,0.675,0.675,0.675,0.675,0.675,7
2023-09-14 09:26:00,1045,0.6671,0.669,0.6663,0.669,0.6663,7
2023-09-14 09:28:00,283,0.6662,0.6662,0.6662,0.6662,0.6662,2
2023-09-14 09:34:00,200,0.6712,0.6712,0.6712,0.6712,0.6712,2
2023-09-14 10:11:00,100,0.6712,0.6712,0.6712,0.6712,0.6712,1
2023-09-14 10:12:00,1561,0.6643,0.6643,0.6643,0.6643,0.6643,10
2023-09-14 10:35:00,542,0.6655,0.666,0.665,0.666,0.665,3
2023-09-14 10:37:00,112,0.665,0.665,0.665,0.665,0.665,2
2023-09-14 10:38:00,219,0.6776,0.6776,0.6776,0.6776,0.6776,3
2023-09-14 10:47:00,500,0.6799,0.68,0.6794,0.6811,0.6794,5
2023-09-14 10:54:00,105,0.683,0.683,0.683,0.683,0.683,1
2023-09-14 10:55:00,538,0.679,0.683,0.6705,0.683,0.6705,7
2023-09-14 11:00:00,347,0.6788,0.6788,0.6788,0.6788,0.6788,2
2023-09-14 11:01:00,4480,0.6703,0.6703,0.6703,0.6703,0.6703,7
2023-09-14 11:07:00,232,0.6703,0.6703,0.6703,0.6703,0.6703,3
2023-09-14 11:08:00,1000,0.6703,0.6703,0.6703,0.6703,0.6703,8
2023-09-14 11:39:00,653,0.6749,0.6749,0.6749,0.6749,0.6749,4
2023-09-14 11:52:00,1000,0.6732,0.6749,0.6704,0.6749,0.6704,6
2023-09-14 11:53:00,4860,0.6704,0.6704,0.6704,0.6704,0.6704,2
2023-09-14 11:59:00,760,0.6703,0.6703,0.6703,0.6703,0.6703,5
2023-09-14 12:00:00,37341,0.6721,0.675,0.6704,0.6823,0.6703,69
2023-09-14 12:01:00,3325,0.6706,0.6705,0.6823,0.6823,0.66,26
2023-09-14 12:02:00,1258,0.6817,0.6786,0.69,0.69,0.6786,22
2023-09-14 12:04:00,136,0.68,0.68,0.68,0.68,0.68,3
2023-09-14 12:05:00,205,0.6727,0.6703,0.6703,0.6703,0.6703,3
2023-09-14 12:17:00,304,0.6799,0.6799,0.6799,0.6799,0.6799,2
2023-09-14 12:19:00,25000,0.6791,0.6763,0.6799,0.6799,0.6763,6
2023-09-14 12:23:00,1521,0.6703,0.6703,0.6703,0.6703,0.6703,3
2023-09-14 12:24:00,3500,0.679,0.679,0.679,0.679,0.679,1
2023-09-14 12:26:00,208,0.671,0.671,0.671,0.671,0.671,2
2023-09-14 12:29:00,1100,0.6712,0.68,0.6703,0.68,0.6703,2
2023-09-14 12:33:00,500,0.6703,0.6703,0.6703,0.6703,0.6703,6
2023-09-14 12:35:00,5249,0.6703,0.6703,0.6704,0.6704,0.6703,2
2023-09-14 12:40:00,1011,0.6776,0.6704,0.68,0.68,0.6704,3
2023-09-14 12:48:00,2141,0.68,0.68,0.6799,0.68,0.6799,4
2023-09-14 12:50:00,2500,0.6801,0.6801,0.6801,0.6801,0.6801,1
2023-09-14 12:52:00,382,0.6829,0.6823,0.6823,0.6823,0.6823,5
2023-09-14 12:53:00,267,0.6869,0.6894,0.685,0.6894,0.685,3
2023-09-14 12:58:00,739,0.691,0.6894,0.697,0.697,0.688,10
2023-09-14 12:59:00,4171,0.698,0.698,0.698,0.698,0.698,1
2023-09-14 13:00:00,150,0.698,0.698,0.698,0.698,0.698,1
2023-09-14 13:01:00,560,0.6979,0.6979,0.698,0.698,0.6979,4
2023-09-14 13:02:00,2500,0.698,0.698,0.698,0.698,0.698,1
