t,v,vw,o,c,h,l,n
2023-07-05 11:43:00,150,4.71,4.71,4.71,4.71,4.71,1
2023-07-05 12:00:00,20192,4.8288,4.81,4.71,4.85,4.71,3
2023-07-05 13:30:00,17342,4.555,4.55,4.55,4.68,4.54,69
2023-07-05 13:31:00,41144,4.5567,4.56,4.46,4.57,4.46,152
2023-07-05 13:32:00,29183,4.4173,4.46,4.435,4.46,4.375,90
2023-07-05 13:33:00,1826,4.4452,4.43,4.45,4.45,4.43,17
2023-07-05 13:34:00,4073,4.4668,4.46,4.48,4.48,4.46,43
2023-07-05 13:35:00,37239,4.5095,4.52,4.43,4.54,4.43,219
2023-07-05 13:36:00,14320,4.441,4.445,4.43,4.45,4.43,65
2023-07-05 13:37:00,27175,4.3692,4.42,4.365,4.43,4.34,178
2023-07-05 13:38:00,13084,4.3532,4.36,4.365,4.37,4.34,83
2023-07-05 13:39:00,10224,4.344,4.365,4.31,4.365,4.31,65
2023-07-05 13:40:00,22870,4.2917,4.31,4.2699,4.32,4.26,116
2023-07-05 13:41:00,68319,4.318,4.265,4.31,4.36,4.265,233
2023-07-05 13:42:00,17686,4.3448,4.33,4.38,4.38,4.33,79
2023-07-05 13:43:00,62587,4.3892,4.38,4.41,4.41,4.38,62
2023-07-05 13:44:00,41799,4.395,4.4,4.38,4.41,4.365,122
2023-07-05 13:45:00,23646,4.3455,4.38,4.33,4.38,4.33,86
2023-07-05 13:46:00,43056,4.3373,4.33,4.325,4.35,4.315,127
2023-07-05 13:47:00,11429,4.3469,4.335,4.35,4.36,4.335,66
2023-07-05 13:48:00,21370,4.3529,4.36,4.36,4.36,4.34,136
2023-07-05 13:49:00,16302,4.371,4.3691,4.4,4.4,4.36,61
2023-07-05 13:50:00,4786,4.4114,4.405,4.435,4.435,4.4,29
2023-07-05 13:51:00,22611,4.4471,4.45,4.425,4.455,4.425,52
2023-07-05 13:52:00,17644,4.4312,4.425,4.435,4.44,4.425,46
2023-07-05 13:53:00,15178,4.4084,4.435,4.385,4.435,4.385,98
2023-07-05 13:54:00,1772,4.3803,4.38,4.3801,4.3801,4.38,19
2023-07-05 13:55:00,1727,4.3803,4.38,4.38,4.385,4.38,18
2023-07-05 13:56:00,2540,4.3888,4.385,4.385,4.39,4.385,24
2023-07-05 13:57:00,2933,4.3833,4.385,4.38,4.385,4.38,23
2023-07-05 13:58:00,5797,4.3844,4.38,4.385,4.39,4.38,50
2023-07-05 13:59:00,121,4.385,4.385,4.385,4.385,4.385,4
2023-07-05 14:00:00,5738,4.3888,4.385,4.385,4.39,4.385,48
2023-07-05 14:01:00,3619,4.39,4.3843,4.39,4.39,4.3843,35
2023-07-05 14:02:00,2747,4.3871,4.385,4.385,4.39,4.3801,26
2023-07-05 14:03:00,2492,4.3842,4.385,4.385,4.39,4.3801,19
2023-07-05 14:04:00,10983,4.3898,4.385,4.39,4.39,4.385,75
2023-07-05 14:05:00,17194,4.4108,4.4,4.425,4.43,4.4,104
2023-07-05 14:06:00,4628,4.4326,4.425,4.445,4.445,4.425,45
2023-07-05 14:07:00,10474,4.4481,4.445,4.455,4.46,4.4401,49
2023-07-05 14:08:00,4835,4.4559,4.455,4.455,4.46,4.455,34
2023-07-05 14:09:00,8929,4.4591,4.4594,4.455,4.46,4.455,32
2023-07-05 14:10:00,2809,4.4595,4.455,4.46,4.46,4.455,22
2023-07-05 14:11:00,18800,4.4831,4.47,4.45,4.495,4.45,125
2023-07-05 14:12:00,7203,4.4345,4.44,4.4357,4.445,4.4307,34
2023-07-05 14:13:00,3448,4.4284,4.44,4.42,4.44,4.42,29
2023-07-05 14:14:00,5164,4.4116,4.42,4.405,4.42,4.405,45
2023-07-05 14:15:00,11023,4.4092,4.405,4.41,4.41,4.4,38
2023-07-05 14:16:00,3484,4.4183,4.415,4.42,4.42,4.415,23
2023-07-05 14:17:00,3225,4.4181,4.415,4.42,4.42,4.41,29
2023-07-05 14:18:00,5104,4.4264,4.42,4.44,4.44,4.42,50
2023-07-05 14:19:00,1612,4.4401,4.44,4.44,4.44,4.44,32
2023-07-05 14:20:00,4214,4.4522,4.45,4.46,4.46,4.45,32
2023-07-05 14:21:00,2404,4.4596,4.46,4.46,4.46,4.455,16
2023-07-05 14:22:00,2344,4.4665,4.46,4.465,4.47,4.46,27
2023-07-05 14:23:00,3343,4.4768,4.47,4.485,4.485,4.47,32
2023-07-05 14:24:00,12653,4.4851,4.485,4.49,4.49,4.48,40
2023-07-05 14:25:00,2249,4.4898,4.49,4.485,4.49,4.485,27
2023-07-05 14:26:00,2767,4.4892,4.485,4.49,4.49,4.485,25
2023-07-05 14:27:00,9260,4.4942,4.49,4.4993,4.5,4.485,35
2023-07-05 14:28:00,6804,4.4945,4.495,4.495,4.5,4.49,33
2023-07-05 14:29:00,8140,4.4982,4.495,4.495,4.5,4.495,42
2023-07-05 14:30:00,3107,4.4993,4.495,4.5,4.5,4.495,36
2023-07-05 14:31:00,13151,4.5204,4.51,4.53,4.53,4.51,80
2023-07-05 14:32:00,4529,4.5164,4.525,4.51,4.525,4.51,45
2023-07-05 14:33:00,2261,4.5078,4.51,4.505,4.51,4.505,33
2023-07-05 14:34:00,2303,4.5093,4.505,4.51,4.51,4.505,22
2023-07-05 14:35:00,2962,4.5129,4.51,4.5145,4.515,4.51,23
2023-07-05 14:36:00,4326,4.516,4.515,4.515,4.52,4.51,32
2023-07-05 14:37:00,9062,4.5067,4.515,4.5,4.515,4.495,88
2023-07-05 14:38:00,354,4.4982,4.495,4.4992,4.5,4.495,9
2023-07-05 14:39:00,12670,4.5067,4.5,4.51,4.51,4.495,65
2023-07-05 14:40:00,3089,4.5089,4.51,4.51,4.51,4.505,28
2023-07-05 14:41:00,919,4.5086,4.5075,4.505,4.51,4.505,15
2023-07-05 14:42:00,6320,4.5131,4.51,4.52,4.52,4.51,59
2023-07-05 14:43:00,5177,4.5218,4.515,4.53,4.53,4.515,51
2023-07-05 14:44:00,30467,4.5115,4.525,4.5,4.5299,4.5,137
2023-07-05 14:45:00,3429,4.488,4.5,4.47,4.5,4.47,28
2023-07-05 14:46:00,2992,4.4678,4.47,4.45,4.47,4.45,31
2023-07-05 14:47:00,321,4.4537,4.45,4.45,4.46,4.45,7
2023-07-05 14:48:00,1886,4.4592,4.46,4.46,4.46,4.45,20
2023-07-05 14:49:00,17939,4.4663,4.45,4.48,4.48,4.45,119
2023-07-05 14:50:00,1760,4.4787,4.48,4.48,4.48,4.473,8
2023-07-05 14:51:00,401,4.475,4.4701,4.475,4.475,4.4701,5
2023-07-05 14:52:00,2729,4.4813,4.48,4.485,4.485,4.475,27
2023-07-05 14:53:00,3708,4.487,4.485,4.49,4.49,4.485,29
2023-07-05 14:54:00,1815,4.4894,4.485,4.49,4.49,4.485,19
2023-07-05 14:55:00,3128,4.4899,4.49,4.49,4.49,4.4897,21
2023-07-05 14:56:00,1626,4.4891,4.485,4.49,4.49,4.485,22
2023-07-05 14:57:00,3073,4.4898,4.49,4.49,4.49,4.485,28
2023-07-05 14:58:00,6574,4.4872,4.485,4.49,4.49,4.485,50
2023-07-05 14:59:00,1203,4.4868,4.485,4.485,4.49,4.485,25
2023-07-05 15:00:00,2219,4.4817,4.49,4.4807,4.49,4.48,15
2023-07-05 15:01:00,14149,4.4783,4.4889,4.475,4.4889,4.47,124
2023-07-05 15:02:00,2366,4.4602,4.465,4.46,4.465,4.46,21
2023-07-05 15:03:00,5744,4.4602,4.46,4.464,4.464,4.46,27
