t,v,vw,o,c,h,l,n
2024-01-04 14:02:00,383,7.8167,7.82,7.81,7.82,7.81,2
2024-01-04 14:14:00,117,7.82,7.82,7.82,7.82,7.82,1
2024-01-04 14:15:00,300,7.9,7.9,7.9,7.9,7.9,1
2024-01-04 14:30:00,8435,7.86,7.86,7.86,7.86,7.86,13
2024-01-04 14:32:00,4484,7.8597,7.831,7.84,7.87,7.831,35
2024-01-04 14:33:00,10387,7.7959,7.84,7.78,7.84,7.78,39
2024-01-04 14:34:00,3082,7.7762,7.78,7.77,7.78,7.77,42
2024-01-04 14:36:00,1345,7.7389,7.75,7.74,7.75,7.73,27
2024-01-04 14:37:00,1175,7.7489,7.75,7.755,7.755,7.745,25
2024-01-04 14:38:00,5180,7.7595,7.753,7.755,7.76,7.753,50
2024-01-04 14:39:00,900,7.7487,7.745,7.75,7.75,7.745,23
2024-01-04 14:40:00,1140,7.7318,7.74,7.73,7.74,7.73,18
2024-01-04 14:41:00,524,7.7377,7.74,7.74,7.74,7.74,19
2024-01-04 14:42:00,981,7.7429,7.74,7.745,7.75,7.74,22
2024-01-04 14:43:00,2492,7.7638,7.75,7.77,7.77,7.75,40
2024-01-04 14:45:00,837,7.7691,7.77,7.765,7.77,7.765,10
2024-01-04 14:46:00,244,7.7642,7.77,7.77,7.77,7.77,10
2024-01-04 14:47:00,7483,7.7667,7.7713,7.77,7.772,7.76,26
2024-01-04 14:48:00,658,7.7712,7.77,7.77,7.7722,7.77,16
2024-01-04 14:49:00,408,7.75,7.75,7.75,7.75,7.75,8
2024-01-04 14:50:00,290,7.7508,7.75,7.75,7.75,7.75,6
2024-01-04 14:51:00,2170,7.7503,7.7501,7.7501,7.7501,7.7501,6
2024-01-04 14:52:00,983,7.7633,7.76,7.77,7.77,7.76,20
2024-01-04 14:53:00,254,7.77,7.77,7.77,7.77,7.77,7
2024-01-04 14:55:00,4103,7.7769,7.77,7.79,7.79,7.77,37
2024-01-04 14:56:00,1595,7.7897,7.7892,7.79,7.79,7.7892,14
2024-01-04 14:57:00,2461,7.7876,7.79,7.78,7.79,7.78,24
2024-01-04 14:59:00,956,7.7594,7.76,7.76,7.76,7.76,16
2024-01-04 15:00:00,2334,7.7751,7.765,7.785,7.785,7.765,21
2024-01-04 15:01:00,1000,7.7866,7.79,7.79,7.79,7.785,29
2024-01-04 15:02:00,2003,7.7801,7.78,7.78,7.78,7.78,15
2024-01-04 15:03:00,881,7.7888,7.79,7.79,7.79,7.79,17
2024-01-04 15:04:00,123,7.785,7.785,7.785,7.785,7.785,5
2024-01-04 15:05:00,3204,7.7817,7.79,7.77,7.79,7.77,27
2024-01-04 15:06:00,5346,7.7514,7.76,7.75,7.76,7.75,18
2024-01-04 15:07:00,1124,7.7425,7.7482,7.74,7.75,7.74,14
2024-01-04 15:08:00,8363,7.7384,7.7301,7.7453,7.7453,7.73,21
2024-01-04 15:09:00,976,7.7494,7.7495,7.7495,7.7495,7.7495,3
2024-01-04 15:10:00,243,7.751,7.7463,7.7463,7.7463,7.7463,5
2024-01-04 15:11:00,1190,7.7592,7.75,7.76,7.7687,7.75,22
2024-01-04 15:12:00,424,7.756,7.75,7.755,7.755,7.75,14
2024-01-04 15:13:00,1430,7.75,7.75,7.75,7.75,7.75,14
2024-01-04 15:14:00,500,7.7486,7.745,7.745,7.745,7.745,3
2024-01-04 15:15:00,12140,7.7411,7.75,7.735,7.75,7.73,60
2024-01-04 15:16:00,221,7.7348,7.73,7.74,7.74,7.73,7
2024-01-04 15:17:00,202,7.7376,7.74,7.74,7.74,7.74,8
2024-01-04 15:18:00,7340,7.7427,7.7399,7.75,7.755,7.7399,28
2024-01-04 15:19:00,113,7.7498,7.75,7.75,7.75,7.75,8
2024-01-04 15:20:00,1476,7.745,7.745,7.745,7.745,7.745,8
