t,v,vw,o,c,h,l,n
2024-04-25 08:00:00,5627,12.7484,12.75,12.76,12.76,12.7,71
2024-04-25 08:01:00,2488,12.7594,12.75,12.77,12.77,12.75,32
2024-04-25 08:05:00,1400,12.7641,12.77,12.76,12.77,12.76,15
2024-04-25 08:08:00,500,12.7567,12.76,12.75,12.76,12.75,6
2024-04-25 08:09:00,1250,12.7796,12.78,12.78,12.78,12.78,7
2024-04-25 08:20:00,400,12.776,12.77,12.78,12.78,12.77,4
2024-04-25 08:21:00,100,12.78,12.78,12.78,12.78,12.78,1
2024-04-25 08:22:00,3000,12.78,12.78,12.78,12.78,12.78,16
2024-04-25 08:26:00,300,12.78,12.78,12.78,12.78,12.78,4
2024-04-25 08:28:00,146,12.7807,12.78,12.78,12.78,12.78,3
2024-04-25 08:32:00,380,12.85,12.85,12.85,12.85,12.85,6
2024-04-25 08:33:00,215,12.85,12.85,12.85,12.85,12.85,3
2024-04-25 08:44:00,292,12.7617,12.76,12.76,12.76,12.76,2
2024-04-25 08:47:00,1000,12.7674,12.77,12.76,12.77,12.76,6
2024-04-25 09:06:00,571,12.7705,12.77,12.77,12.77,12.77,8
2024-04-25 09:10:00,2342,12.753,12.76,12.76,12.76,12.75,14
2024-04-25 09:15:00,1991,12.7485,12.75,12.75,12.75,12.75,15
2024-04-25 09:40:00,1766,12.7505,12.75,12.75,12.75,12.75,10
2024-04-25 10:41:00,120,12.75,12.75,12.75,12.75,12.75,1
2024-04-25 10:54:00,500,12.716,12.71,12.71,12.71,12.71,9
2024-04-25 11:00:00,345,12.7246,12.74,12.74,12.74,12.74,8
2024-04-25 11:08:00,350,12.7129,12.71,12.71,12.71,12.71,6
2024-04-25 11:09:00,744,12.7419,12.75,12.75,12.75,12.75,14
2024-04-25 11:11:00,292,12.7086,12.71,12.71,12.71,12.71,5
2024-04-25 11:21:00,580,12.71,12.71,12.71,12.71,12.71,4
2024-04-25 11:59:00,550,12.7325,12.73,12.74,12.74,12.73,7
2024-04-25 12:00:00,2131,12.7426,12.73,12.77,12.77,12.73,12
2024-04-25 12:01:00,499,12.6369,12.66,12.6,12.66,12.6,6
2024-04-25 12:02:00,10986,12.6542,12.7,12.7,12.91,12.6,40
2024-04-25 12:03:00,1169,12.6893,12.71,12.64,12.75,12.64,9
2024-04-25 12:04:00,481,12.6253,12.6,12.64,12.64,12.6,6
2024-04-25 12:05:00,745,12.7214,12.75,12.81,12.81,12.6,8
2024-04-25 12:13:00,958,12.7205,12.72,12.72,12.72,12.72,2
2024-04-25 12:18:00,7374,12.6899,12.72,12.66,12.72,12.66,56
2024-04-25 12:20:00,334,12.6701,12.67,12.67,12.67,12.67,3
2024-04-25 12:24:00,1326,12.6785,12.68,12.68,12.68,12.68,14
2024-04-25 12:34:00,294,12.67,12.67,12.67,12.67,12.67,1
2024-04-25 12:36:00,937,12.6473,12.66,12.64,12.66,12.64,15
2024-04-25 12:43:00,300,12.6433,12.65,12.65,12.65,12.65,4
2024-04-25 12:47:00,100,12.61,12.61,12.61,12.61,12.61,1
2024-04-25 12:48:00,1187,12.61,12.61,12.61,12.61,12.61,7
2024-04-25 12:51:00,9256,12.565,12.57,12.56,12.57,12.56,47
2024-04-25 12:53:00,360,12.5511,12.56,12.56,12.56,12.56,7
2024-04-25 12:57:00,4643,12.5131,12.54,12.55,12.55,12.5,37
2024-04-25 12:58:00,100,12.5,12.5,12.5,12.5,12.5,1
2024-04-25 12:59:00,1141,12.52,12.53,12.53,12.53,12.51,16
2024-04-25 13:00:00,700,12.5136,12.52,12.51,12.52,12.51,7
2024-04-25 13:01:00,2000,12.5105,12.51,12.51,12.51,12.51,18
2024-04-25 13:02:00,939,12.5196,12.51,12.52,12.52,12.51,7
2024-04-25 13:05:00,1051,12.5195,12.52,12.52,12.52,12.52,5
2024-04-25 13:07:00,312,12.5069,12.51,12.5003,12.51,12.5003,4
2024-04-25 13:08:00,3392,12.4997,12.5,12.5,12.5,12.5,33
2024-04-25 13:09:00,1122,12.4853,12.4899,12.4899,12.4899,12.4899,7
2024-04-25 13:11:00,100,12.4502,12.4502,12.4502,12.4502,12.4502,1
2024-04-25 13:12:00,902,12.4915,12.46,12.51,12.51,12.46,14
2024-04-25 13:14:00,923,12.4617,12.4617,12.4617,12.4617,12.4617,2
2024-04-25 13:15:00,508,12.48,12.48,12.48,12.48,12.48,2
2024-04-25 13:16:00,106,12.5177,12.52,12.52,12.52,12.52,2
2024-04-25 13:18:00,691,12.4716,12.48,12.47,12.48,12.47,12
2024-04-25 13:19:00,1673,12.4516,12.4501,12.45,12.47,12.45,7
2024-04-25 13:21:00,1061,12.4536,12.46,12.45,12.46,12.45,12
2024-04-25 13:24:00,855,12.4417,12.46,12.43,12.46,12.43,12
2024-04-25 13:25:00,400,12.47,12.47,12.47,12.47,12.47,7
2024-04-25 13:26:00,5800,12.4256,12.43,12.4015,12.43,12.4015,45
2024-04-25 13:27:00,9981,12.3993,12.41,12.361,12.41,12.361,40
2024-04-25 13:28:00,349,12.3785,12.38,12.38,12.38,12.38,7
2024-04-25 13:30:00,303525,12.4221,12.38,12.405,12.56,12.37,1397
2024-04-25 13:31:00,85238,12.473,12.405,12.55,12.56,12.405,574
2024-04-25 13:32:00,95689,12.4975,12.56,12.49,12.595,12.46,478
2024-04-25 13:33:00,106555,12.4289,12.475,12.415,12.475,12.39,813
2024-04-25 13:34:00,56203,12.4306,12.415,12.46,12.47,12.4076,269
2024-04-25 13:35:00,114114,12.4225,12.47,12.41,12.49,12.395,662
2024-04-25 13:36:00,79039,12.3693,12.4,12.375,12.41,12.345,636
2024-04-25 13:37:00,38087,12.3667,12.37,12.335,12.395,12.325,294
2024-04-25 13:38:00,24634,12.3457,12.335,12.34,12.36,12.325,210
2024-04-25 13:39:00,35187,12.3381,12.34,12.32,12.365,12.31,220
2024-04-25 13:40:00,54195,12.3607,12.3218,12.365,12.375,12.3218,343
2024-04-25 13:41:00,21230,12.3363,12.365,12.31,12.37,12.31,155
2024-04-25 13:42:00,29118,12.3265,12.31,12.34,12.36,12.3,196
2024-04-25 13:43:00,32961,12.3454,12.34,12.32,12.365,12.32,284
2024-04-25 13:44:00,87557,12.3135,12.32,12.325,12.33,12.3,651
2024-04-25 13:45:00,68734,12.2849,12.325,12.28,12.33,12.25,579
2024-04-25 13:46:00,48423,12.2482,12.28,12.25,12.28,12.22,395
2024-04-25 13:47:00,45215,12.2486,12.245,12.24,12.275,12.225,423
2024-04-25 13:48:00,34956,12.236,12.235,12.2228,12.25,12.22,317
2024-04-25 13:49:00,48128,12.2063,12.23,12.225,12.23,12.185,331
2024-04-25 13:50:00,52401,12.2028,12.2223,12.225,12.23,12.18,435
2024-04-25 13:51:00,29817,12.2312,12.225,12.22,12.245,12.2,317
2024-04-25 13:52:00,57112,12.2215,12.2227,12.245,12.245,12.205,383
2024-04-25 13:53:00,11801,12.2241,12.24,12.215,12.24,12.21,103
2024-04-25 13:54:00,39223,12.202,12.21,12.205,12.22,12.18,323
2024-04-25 13:55:00,22363,12.1901,12.2,12.195,12.2,12.18,210
2024-04-25 13:56:00,41349,12.1845,12.19,12.18,12.2,12.17,315
2024-04-25 13:57:00,37285,12.181,12.18,12.215,12.215,12.16,258
2024-04-25 13:58:00,37914,12.2167,12.21,12.235,12.2398,12.205,276
2024-04-25 13:59:00,46231,12.2406,12.24,12.235,12.26,12.23,198
2024-04-25 14:00:00,48326,12.1976,12.235,12.175,12.24,12.1602,337
2024-04-25 14:01:00,27122,12.1748,12.17,12.155,12.2,12.155,236
2024-04-25 14:02:00,28794,12.1606,12.16,12.16,12.17,12.15,207
2024-04-25 14:03:00,27090,12.1557,12.16,12.16,12.17,12.145,232
2024-04-25 14:04:00,27753,12.1707,12.155,12.1583,12.185,12.15,247
2024-04-25 14:05:00,53557,12.1655,12.16,12.175,12.19,12.15,428
2024-04-25 14:06:00,24246,12.1842,12.175,12.175,12.2,12.16,240
2024-04-25 14:07:00,63872,12.1994,12.17,12.215,12.22,12.1645,431
2024-04-25 14:08:00,40115,12.2279,12.215,12.215,12.245,12.205,348
2024-04-25 14:09:00,28332,12.2031,12.2183,12.205,12.2192,12.18,221
2024-04-25 14:10:00,32649,12.2214,12.205,12.24,12.25,12.205,283
2024-04-25 14:11:00,29846,12.2567,12.24,12.26,12.275,12.24,235
2024-04-25 14:12:00,28608,12.2563,12.26,12.2781,12.285,12.245,235
2024-04-25 14:13:00,10037,12.257,12.28,12.245,12.28,12.24,165
2024-04-25 14:14:00,11903,12.248,12.25,12.24,12.26,12.24,129
2024-04-25 14:15:00,27810,12.2441,12.245,12.24,12.26,12.235,271
2024-04-25 14:16:00,60940,12.2314,12.23,12.23,12.245,12.225,400
2024-04-25 14:17:00,54245,12.2496,12.23,12.245,12.265,12.23,424
2024-04-25 14:18:00,19865,12.2325,12.24,12.235,12.24,12.225,166
2024-04-25 14:19:00,66947,12.2181,12.23,12.2086,12.23,12.2,311
2024-04-25 14:20:00,68436,12.2157,12.205,12.2325,12.24,12.2,538
2024-04-25 14:21:00,8966,12.23,12.24,12.225,12.24,12.225,93
2024-04-25 14:22:00,30308,12.2334,12.225,12.225,12.245,12.22,246
2024-04-25 14:23:00,16093,12.2343,12.225,12.235,12.24,12.225,86
2024-04-25 14:24:00,26566,12.2477,12.235,12.255,12.26,12.235,236
2024-04-25 14:25:00,77868,12.2774,12.255,12.29,12.295,12.255,460
2024-04-25 14:26:00,56485,12.3067,12.295,12.315,12.32,12.2947,394
2024-04-25 14:27:00,37515,12.3099,12.31,12.3273,12.33,12.3,304
2024-04-25 14:28:00,27155,12.3169,12.325,12.3,12.335,12.2933,251
2024-04-25 14:29:00,6801,12.2975,12.295,12.295,12.3,12.29,48
2024-04-25 14:30:00,22654,12.2946,12.3,12.275,12.31,12.275,230
2024-04-25 14:31:00,39402,12.29,12.275,12.295,12.305,12.275,314
2024-04-25 14:32:00,42265,12.2924,12.295,12.27,12.305,12.26,279
2024-04-25 14:33:00,11410,12.2684,12.27,12.26,12.28,12.26,111
2024-04-25 14:34:00,14344,12.2533,12.26,12.255,12.26,12.245,115
2024-04-25 14:35:00,18330,12.2665,12.26,12.27,12.275,12.26,171
2024-04-25 14:36:00,51392,12.3028,12.275,12.32,12.32,12.27,396
2024-04-25 14:37:00,6144,12.3164,12.325,12.3067,12.325,12.305,85
2024-04-25 14:38:00,42869,12.3135,12.3,12.315,12.33,12.3,260
2024-04-25 14:39:00,37608,12.2936,12.315,12.28,12.325,12.27,251
2024-04-25 14:40:00,12015,12.2614,12.28,12.245,12.28,12.245,125
2024-04-25 14:41:00,27347,12.2307,12.2409,12.235,12.245,12.225,186
2024-04-25 14:42:00,14343,12.2331,12.235,12.235,12.245,12.225,163
2024-04-25 14:43:00,6948,12.2382,12.24,12.24,12.24,12.235,61
2024-04-25 14:44:00,22791,12.2406,12.24,12.25,12.25,12.235,218
2024-04-25 14:45:00,31529,12.232,12.245,12.225,12.25,12.22,171
2024-04-25 14:46:00,13303,12.2355,12.23,12.245,12.2496,12.23,114
2024-04-25 14:47:00,14517,12.2503,12.245,12.245,12.26,12.245,123
2024-04-25 14:48:00,7757,12.2474,12.248,12.245,12.255,12.24,70
2024-04-25 14:49:00,12196,12.2352,12.245,12.225,12.245,12.22,110
2024-04-25 14:50:00,23976,12.2282,12.225,12.238,12.238,12.215,178
2024-04-25 14:51:00,5010,12.2284,12.235,12.225,12.235,12.225,62
2024-04-25 14:52:00,27263,12.2186,12.22,12.2119,12.22,12.21,169
2024-04-25 14:53:00,10228,12.2094,12.215,12.21,12.215,12.2,94
2024-04-25 14:54:00,7757,12.2041,12.2,12.2,12.21,12.2,63
2024-04-25 14:55:00,114555,12.1953,12.2,12.18,12.205,12.17,357
2024-04-25 14:56:00,7636,12.172,12.17,12.165,12.18,12.165,100
2024-04-25 14:57:00,25904,12.1688,12.165,12.17,12.18,12.16,187
2024-04-25 14:58:00,22331,12.1754,12.17,12.17,12.19,12.165,178
2024-04-25 14:59:00,25388,12.1655,12.17,12.17,12.175,12.155,222
2024-04-25 15:00:00,82459,12.1922,12.17,12.205,12.215,12.165,580
2024-04-25 15:01:00,34647,12.197,12.2,12.205,12.21,12.185,228
2024-04-25 15:02:00,41135,12.2074,12.2,12.21,12.225,12.2,295
2024-04-25 15:03:00,2056,12.2125,12.22,12.21,12.22,12.21,30
2024-04-25 15:04:00,5650,12.2098,12.215,12.205,12.215,12.2,81
2024-04-25 15:05:00,18701,12.207,12.205,12.215,12.215,12.2,88
2024-04-25 15:06:00,2154,12.2139,12.215,12.215,12.2197,12.21,52
2024-04-25 15:07:00,34658,12.2453,12.215,12.265,12.27,12.21,245
2024-04-25 15:08:00,12469,12.2539,12.265,12.255,12.265,12.25,125
2024-04-25 15:09:00,7030,12.2634,12.26,12.275,12.275,12.26,90
2024-04-25 15:10:00,6468,12.281,12.275,12.29,12.29,12.275,81
2024-04-25 15:11:00,10339,12.2816,12.29,12.29,12.29,12.275,106
2024-04-25 15:12:00,5321,12.2744,12.285,12.275,12.285,12.27,87
2024-04-25 15:13:00,1150,12.274,12.275,12.275,12.275,12.27,31
2024-04-25 15:14:00,3228,12.2748,12.275,12.275,12.275,12.2703,29
2024-04-25 15:15:00,8735,12.2709,12.275,12.275,12.28,12.265,92
