t,v,vw,o,c,h,l,n
2023-09-06 13:30:00,24501,117.7838,117.79,117.2251,117.79,117.2251,34
2023-09-06 13:31:00,4792,117.7089,117.59,117.845,118.19,117.21,75
2023-09-06 13:32:00,1005,117.6989,117.875,117.75,117.875,117.58,22
2023-09-06 13:33:00,2960,117.1697,117.47,117.025,117.47,117.02,55
2023-09-06 13:34:00,636,117.0087,117.135,117.05,117.135,116.92,14
2023-09-06 13:35:00,911,117.3317,117.2,117.44,117.57,117.2,32
2023-09-06 13:36:00,297,117.2982,117.3,117.3,117.3,117.3,21
2023-09-06 13:37:00,649,117.4774,117.365,117.34,117.57,117.34,32
2023-09-06 13:38:00,3338,117.314,117.45,117.125,117.45,117.06,77
2023-09-06 13:39:00,616,117.5402,117.41,117.61,117.61,117.41,17
2023-09-06 13:40:00,347,117.7768,117.82,117.81,117.82,117.81,9
2023-09-06 13:41:00,4841,117.9052,117.7,118.07,118.07,117.7,69
2023-09-06 13:42:00,2798,118.0887,118.2,117.91,118.2,117.78,57
2023-09-06 13:43:00,1174,118.0601,118.14,117.95,118.15,117.95,36
2023-09-06 13:44:00,1950,118.0693,117.96,118.2,118.2,117.96,42
2023-09-06 13:45:00,10442,118.3389,118.305,118.5652,118.705,118.18,93
2023-09-06 13:46:00,3786,118.2561,118.52,118.135,118.525,117.99,66
2023-09-06 13:47:00,1478,117.983,118.085,117.74,118.085,117.74,27
2023-09-06 13:48:00,977,117.8768,117.64,118.07,118.07,117.64,23
2023-09-06 13:49:00,2164,118.1173,118.07,118.195,118.21,117.92,51
2023-09-06 13:50:00,731,118.33,118.25,118.36,118.36,118.25,27
2023-09-06 13:52:00,291,118.9196,119.0,118.85,119.0,118.85,17
2023-09-06 13:53:00,1224,118.92,118.82,119.0,119.0,118.82,45
2023-09-06 13:54:00,471,118.8731,118.8,118.825,118.825,118.8,21
2023-09-06 13:55:00,1858,118.9914,118.825,119.13,119.13,118.825,39
2023-09-06 13:56:00,335,119.1899,119.19,119.19,119.19,119.19,24
2023-09-06 13:57:00,684,119.2322,119.215,119.2257,119.2257,119.21,10
