t,v,vw,o,c,h,l,n
2023-11-27 14:30:00,8343,133.9085,133.72,134.0,135.0,133.7,89
2023-11-27 14:31:00,495,133.956,133.81,134.0,134.0,133.81,10
2023-11-27 14:32:00,564,134.0726,133.99,134.13,134.13,133.99,12
2023-11-27 14:33:00,1777,134.1963,134.13,134.11,134.26,134.09,36
2023-11-27 14:34:00,2861,134.3957,134.12,134.63,134.63,134.12,64
2023-11-27 14:35:00,1804,134.8402,134.71,134.91,135.03,134.7,57
2023-11-27 14:36:00,1775,134.7027,134.88,134.59,134.88,134.57,42
2023-11-27 14:37:00,682,134.5673,134.56,134.59,134.59,134.56,27
2023-11-27 14:38:00,2466,134.9063,134.73,134.87,134.98,134.73,50
2023-11-27 14:39:00,3327,134.8654,134.6674,134.81,134.97,134.6674,47
2023-11-27 14:40:00,2175,134.6839,134.625,134.68,134.8,134.54,43
2023-11-27 14:41:00,10051,134.759,134.655,134.81,134.98,134.62,164
2023-11-27 14:42:00,5739,135.0346,134.81,135.1318,135.17,134.74,113
2023-11-27 14:43:00,2957,134.9221,135.2307,134.87,135.2307,134.805,61
2023-11-27 14:44:00,2490,134.6213,134.5864,134.5003,134.74,134.5003,45
2023-11-27 14:45:00,1587,134.8635,134.72,135.0644,135.0644,134.72,45
2023-11-27 14:46:00,4228,135.2397,135.09,135.35,135.37,135.09,81
2023-11-27 14:47:00,6498,135.4411,135.37,135.21,135.59,135.21,130
2023-11-27 14:48:00,2034,135.3799,135.39,135.3,135.48,135.24,57
2023-11-27 14:49:00,4160,135.1804,135.255,135.11,135.27,135.085,81
2023-11-27 14:50:00,1503,135.2291,135.2,135.28,135.29,135.2,30
2023-11-27 14:51:00,1380,135.3056,135.33,135.42,135.42,135.28,54
2023-11-27 14:52:00,1076,135.183,135.41,135.0,135.41,135.0,62
2023-11-27 14:53:00,2001,135.0201,135.0,134.97,135.105,134.97,35
2023-11-27 14:54:00,3317,134.9927,135.0,135.0382,135.04,134.91,63
2023-11-27 14:55:00,1713,134.8942,134.97,134.79,135.03,134.73,36
2023-11-27 14:56:00,2176,134.8031,134.775,134.83,134.85,134.71,47
2023-11-27 14:57:00,1132,134.814,134.8452,134.8,134.87,134.74,24
2023-11-27 14:58:00,2307,134.6532,134.8,134.53,134.8,134.53,84
2023-11-27 14:59:00,535,134.4988,134.53,134.48,134.53,134.445,14
2023-11-27 15:00:00,5790,134.3011,134.06,134.375,134.5,134.0352,138
2023-11-27 15:01:00,1620,134.5625,134.58,134.53,134.6,134.51,37
2023-11-27 15:02:00,1714,134.711,134.63,134.88,134.88,134.63,37
2023-11-27 15:03:00,2189,134.7408,134.84,134.6,134.865,134.6,49
2023-11-27 15:04:00,2871,134.6033,134.595,134.615,134.67,134.54,59
2023-11-27 15:05:00,5819,134.5655,134.595,134.605,134.75,134.44,113
2023-11-27 15:06:00,1353,134.5843,134.52,134.62,134.62,134.52,25
2023-11-27 15:07:00,1512,134.4338,134.55,134.42,134.55,134.42,39
2023-11-27 15:08:00,1916,134.5072,134.345,134.5393,134.61,134.345,47
2023-11-27 15:09:00,864,134.579,134.5301,134.62,134.62,134.53,22
2023-11-27 15:10:00,2171,134.6439,134.55,134.77,134.77,134.55,48
2023-11-27 15:11:00,931,134.6271,134.64,134.58,134.68,134.58,19
2023-11-27 15:12:00,612,134.6392,134.61,134.6,134.61,134.6,20
2023-11-27 15:13:00,1329,134.6431,134.645,134.63,134.66,134.63,35
2023-11-27 15:14:00,2008,134.7125,134.7,134.75,134.755,134.66,67
2023-11-27 15:15:00,1504,134.683,134.75,134.67,134.75,134.63,22
2023-11-27 15:16:00,1037,134.6762,134.7,134.645,134.71,134.645,27
2023-11-27 15:17:00,591,134.5698,134.525,134.59,134.59,134.525,18
2023-11-27 15:18:00,1244,134.5292,134.595,134.47,134.595,134.47,25
2023-11-27 15:19:00,2063,134.5738,134.4839,134.57,134.6,134.4839,59
2023-11-27 15:20:00,1424,134.7228,134.62,134.78,134.81,134.62,58
2023-11-27 15:21:00,1699,134.7857,134.79,134.865,134.865,134.73,31
2023-11-27 15:22:00,859,134.8559,134.89,134.88,134.89,134.8,18
2023-11-27 15:23:00,974,134.8128,134.84,134.79,134.84,134.79,22
2023-11-27 15:24:00,3381,134.6139,134.83,134.58,134.83,134.45,110
2023-11-27 15:25:00,1527,134.6011,134.52,134.64,134.64,134.52,47
2023-11-27 15:26:00,1380,134.6829,134.64,134.72,134.74,134.62,45
2023-11-27 15:27:00,511,134.6949,134.69,134.69,134.69,134.69,28
2023-11-27 15:28:00,2166,134.7811,134.78,134.715,134.83,134.71,56
2023-11-27 15:29:00,602,134.7856,134.75,134.8,134.8,134.75,24
2023-11-27 15:30:00,1876,134.8676,134.815,134.94,134.94,134.815,56
2023-11-27 15:31:00,5724,135.0959,134.98,134.99,135.18,134.98,82
2023-11-27 15:32:00,1308,135.1226,135.1,135.25,135.25,135.07,59
2023-11-27 15:33:00,989,135.2134,135.24,135.18,135.24,135.18,26
2023-11-27 15:34:00,1489,135.2664,135.29,135.24,135.3,135.24,39
2023-11-27 15:35:00,6497,135.3607,135.25,135.43,135.46,135.25,102
2023-11-27 15:36:00,8713,135.4619,135.4,135.545,135.545,135.36,187
2023-11-27 15:37:00,3538,135.5317,135.59,135.54,135.59,135.4625,80
2023-11-27 15:38:00,5835,135.5878,135.5,135.59,135.705,135.49,118
2023-11-27 15:39:00,3115,135.7066,135.64,135.75,135.75,135.64,47
2023-11-27 15:40:00,1436,135.7371,135.73,135.78,135.79,135.67,43
