t,v,vw,o,c,h,l,n
2023-07-20 13:30:00,6707,86.9106,86.91,86.939,86.939,86.895,17
2023-07-20 13:31:00,1563,87.0891,86.98,87.22,87.22,86.98,32
2023-07-20 13:32:00,170,87.1666,87.16,87.16,87.16,87.16,10
2023-07-20 13:33:00,608,87.1969,87.23,87.2155,87.23,87.205,10
2023-07-20 13:34:00,189,87.0874,87.0601,87.0601,87.0601,87.0601,4
2023-07-20 13:36:00,371,87.1432,87.13,87.13,87.13,87.13,15
2023-07-20 13:37:00,594,87.3237,87.32,87.32,87.32,87.32,27
2023-07-20 13:38:00,154,87.3136,87.31,87.31,87.31,87.31,10
2023-07-20 13:39:00,449,87.4098,87.38,87.425,87.43,87.38,21
2023-07-20 13:40:00,131,87.4443,87.455,87.455,87.455,87.455,10
2023-07-20 13:43:00,864,87.3942,87.39,87.39,87.412,87.39,22
2023-07-20 13:44:00,1094,87.3478,87.35,87.4,87.4,87.32,49
2023-07-20 13:45:00,761,87.4036,87.47,87.405,87.47,87.405,8
2023-07-20 13:47:00,265,87.4019,87.37,87.41,87.41,87.37,9
2023-07-20 13:51:00,226,87.1816,87.17,87.17,87.17,87.17,6
2023-07-20 13:54:00,423,87.21,87.21,87.21,87.21,87.21,20
2023-07-20 13:56:00,748,87.1301,87.13,87.08,87.13,87.08,37
2023-07-20 13:57:00,539,87.1414,87.15,87.15,87.15,87.15,27
2023-07-20 13:58:00,206,87.0991,87.08,87.08,87.08,87.08,15
2023-07-20 13:59:00,447,87.1024,87.11,87.11,87.11,87.11,19
2023-07-20 14:00:00,1780,87.1185,87.12,87.0,87.19,87.0,67
2023-07-20 14:01:00,1892,87.0007,87.0,87.0,87.0,87.0,39
2023-07-20 14:02:00,858,87.0854,87.06,87.1,87.1,87.06,43
2023-07-20 14:03:00,1121,87.0918,87.12,87.1,87.12,87.07,27
2023-07-20 14:04:00,240,87.0288,87.04,87.04,87.04,87.04,12
2023-07-20 14:05:00,607,87.0109,86.985,86.985,86.995,86.985,10
2023-07-20 14:06:00,743,86.9722,86.985,86.98,86.99,86.96,20
2023-07-20 14:07:00,303,86.9698,86.975,86.96,86.975,86.96,5
2023-07-20 14:08:00,1378,86.9365,86.96,86.9,86.96,86.9,37
2023-07-20 14:09:00,552,86.9244,86.925,86.91,86.93,86.91,12
2023-07-20 14:10:00,1505,86.925,86.92,86.925,86.94,86.91,34
2023-07-20 14:11:00,2689,86.8606,86.91,86.78,86.91,86.78,55
2023-07-20 14:12:00,2947,86.7702,86.72,86.83,86.83,86.72,85
2023-07-20 14:13:00,489,86.8113,86.8,86.82,86.825,86.8,11
