t,v,vw,o,c,h,l,n
2024-05-13 08:00:00,1071.0,44.3804,44.37,44.36,44.37,44.36,19
2024-05-13 09:00:00,500.0,44.388,44.36,44.5,44.5,44.36,3
2024-05-13 09:36:00,150.0,44.5,44.5,44.5,44.5,44.5,4
2024-05-13 10:30:00,200.0,44.55,44.55,44.55,44.55,44.55,2
2024-05-13 11:11:00,315.0,44.4875,44.49,44.49,44.49,44.49,5
2024-05-13 11:33:00,2901.0,44.7638,44.7,44.88,44.88,44.7,48
2024-05-13 11:37:00,200.0,44.875,44.88,44.88,44.88,44.88,3
2024-05-13 12:00:00,2711.0,44.6168,44.49,44.6,44.7,44.49,33
2024-05-13 12:04:00,227.0,44.4753,44.5,44.45,44.5,44.45,7
2024-05-13 12:27:00,597.0,44.6935,44.7,44.7,44.7,44.7,18
2024-05-13 12:44:00,100.0,44.75,44.75,44.75,44.75,44.75,1
2024-05-13 12:45:00,411.0,44.7134,44.71,44.71,44.71,44.71,18
2024-05-13 12:50:00,3522.0,44.8632,44.75,44.93,44.94,44.75,83
2024-05-13 12:58:00,2558.0,44.8961,44.85,45.0,45.0,44.82,43
2024-05-13 13:16:00,1000.0,44.78,44.78,44.78,44.78,44.78,1
2024-05-13 13:24:00,251.0,44.782,44.78,44.78,44.78,44.78,4
2024-05-13 13:29:00,1312.0,44.7267,44.75,44.7,44.75,44.7,8
2024-05-13 13:30:00,230017.0,44.9072,44.88,44.99,45.06,44.83,652
2024-05-13 13:31:00,25662.0,45.0234,45.0,45.11,45.11,44.94,254
2024-05-13 13:32:00,30332.0,45.0794,45.1019,45.01,45.15,44.99,286
2024-05-13 13:33:00,23454.0,45.0563,45.01,45.065,45.08,45.01,272
2024-05-13 13:34:00,22834.0,45.1068,45.08,45.1,45.14,45.06,290
2024-05-13 13:35:00,31372.0,45.005,45.11,44.97,45.11,44.935,368
2024-05-13 13:36:00,29262.0,44.9355,44.97,44.915,44.98,44.9,415
2024-05-13 13:37:00,22983.0,44.9324,44.92,44.931,44.98,44.89,326
2024-05-13 13:38:00,19964.0,44.9382,44.94,44.955,44.955,44.915,278
2024-05-13 13:39:00,21796.0,44.9763,44.955,45.015,45.02,44.935,260
2024-05-13 13:40:00,26837.0,45.0475,45.015,45.065,45.0833,45.0,304
2024-05-13 13:41:00,25078.0,45.0494,45.065,45.014,45.07,45.0,252
2024-05-13 13:42:00,19656.0,44.9965,45.005,44.97,45.02,44.97,290
2024-05-13 13:43:00,27610.0,44.9286,44.97,44.91,44.975,44.9,391
2024-05-13 13:44:00,20758.0,44.9249,44.9101,44.99,45.0,44.89,282
2024-05-13 13:45:00,13655.0,44.9773,44.985,45.03,45.03,44.95,236
2024-05-13 13:46:00,14148.0,45.0189,45.03,45.0,45.06,44.985,288
2024-05-13 13:47:00,29168.0,45.0136,45.0,45.035,45.035,45.0,245
2024-05-13 13:48:00,53231.0,45.0532,45.03,45.06,45.085,45.02,438
2024-05-13 13:49:00,50820.0,45.0712,45.06,45.08,45.11,45.055,389
2024-05-13 13:50:00,25880.0,45.0702,45.08,45.065,45.099,45.06,270
2024-05-13 13:51:00,16215.0,45.0726,45.061,45.085,45.1,45.06,231
2024-05-13 13:52:00,14874.0,45.0874,45.085,45.085,45.11,45.08,148
2024-05-13 13:53:00,18882.0,45.0976,45.088,45.105,45.12,45.08,237
2024-05-13 13:54:00,23276.0,45.1099,45.11,45.12,45.12,45.1,242
2024-05-13 13:55:00,20072.0,45.1103,45.115,45.1,45.12,45.1,283
2024-05-13 13:56:00,28255.0,45.0793,45.105,45.102,45.11,45.055,317
2024-05-13 13:57:00,59935.0,45.0783,45.1,45.085,45.1,45.06,345
2024-05-13 13:58:00,35772.0,45.0952,45.085,45.11,45.11,45.08,289
2024-05-13 13:59:00,55230.0,45.0946,45.11,45.09,45.11,45.06,409
2024-05-13 14:00:00,39052.0,45.08,45.095,45.105,45.11,45.06,375
2024-05-13 14:01:00,39737.0,45.1093,45.105,45.12,45.13,45.095,335
2024-05-13 14:02:00,42483.0,45.1384,45.1212,45.16,45.16,45.115,316
2024-05-13 14:03:00,33563.0,45.1225,45.165,45.0982,45.175,45.09,307
2024-05-13 14:04:00,25715.0,45.0997,45.095,45.07,45.11,45.07,266
2024-05-13 14:05:00,31469.0,45.1006,45.075,45.12,45.13,45.075,239
2024-05-13 14:06:00,14157.0,45.1178,45.115,45.125,45.13,45.105,147
2024-05-13 14:07:00,14184.0,45.1265,45.13,45.1,45.1479,45.095,195
2024-05-13 14:08:00,21197.0,45.0686,45.1,45.085,45.1,45.055,256
2024-05-13 14:09:00,79794.0,45.0917,45.0976,45.1075,45.11,45.08,177
2024-05-13 14:10:00,31285.0,45.1505,45.1,45.14,45.16,45.1,286
2024-05-13 14:11:00,8751.0,45.15,45.14,45.145,45.16,45.14,137
2024-05-13 14:12:00,10628.0,45.1505,45.16,45.1475,45.16,45.14,127
2024-05-13 14:13:00,12071.0,45.1469,45.1475,45.1483,45.155,45.14,149
2024-05-13 14:14:00,17829.0,45.1346,45.145,45.125,45.15,45.125,243
2024-05-13 14:15:00,18514.0,45.1203,45.125,45.11,45.1282,45.11,176
2024-05-13 14:16:00,63692.0,45.111,45.11,45.17,45.17,45.09,386
2024-05-13 14:17:00,25662.0,45.2005,45.1774,45.23,45.233,45.17,184
2024-05-13 14:18:00,14022.0,45.2221,45.23,45.2101,45.23,45.21,143
2024-05-13 14:19:00,11259.0,45.2021,45.215,45.19,45.22,45.185,150
2024-05-13 14:20:00,10734.0,45.1812,45.19,45.1841,45.19,45.175,142
2024-05-13 14:21:00,13397.0,45.1913,45.1899,45.205,45.21,45.175,205
2024-05-13 14:22:00,5529.0,45.1997,45.207,45.2075,45.21,45.19,94
2024-05-13 14:23:00,18172.0,45.2239,45.205,45.215,45.23,45.205,212
2024-05-13 14:24:00,12650.0,45.2008,45.215,45.215,45.215,45.19,161
2024-05-13 14:25:00,13821.0,45.2211,45.215,45.225,45.235,45.21,136
2024-05-13 14:26:00,12412.0,45.2297,45.24,45.215,45.24,45.215,154
2024-05-13 14:27:00,38378.0,45.2465,45.215,45.2699,45.29,45.215,272
2024-05-13 14:28:00,12191.0,45.2425,45.265,45.23,45.2675,45.225,150
2024-05-13 14:29:00,15650.0,45.2156,45.2299,45.2,45.23,45.2,135
2024-05-13 14:30:00,11339.0,45.1974,45.2,45.21,45.21,45.18,162
2024-05-13 14:31:00,23887.0,45.1802,45.21,45.1757,45.22,45.15,316
2024-05-13 14:32:00,19336.0,45.1979,45.1741,45.185,45.22,45.1686,240
2024-05-13 14:33:00,14713.0,45.1928,45.18,45.195,45.2,45.18,164
2024-05-13 14:34:00,13432.0,45.1762,45.2,45.18,45.2,45.16,150
2024-05-13 14:35:00,16776.0,45.1676,45.1701,45.19,45.19,45.155,162
2024-05-13 14:36:00,17339.0,45.1667,45.18,45.1875,45.19,45.16,137
2024-05-13 14:37:00,20588.0,45.178,45.185,45.1814,45.19,45.16,238
2024-05-13 14:38:00,15558.0,45.202,45.185,45.22,45.23,45.18,165
2024-05-13 14:39:00,12611.0,45.2247,45.22,45.24,45.24,45.215,143
2024-05-13 14:40:00,11797.0,45.2504,45.235,45.27,45.27,45.235,155
2024-05-13 14:41:00,11246.0,45.2624,45.2673,45.26,45.28,45.25,148
2024-05-13 14:42:00,13667.0,45.2559,45.26,45.275,45.28,45.235,182
2024-05-13 14:43:00,8023.0,45.2725,45.27,45.28,45.28,45.27,79
2024-05-13 14:44:00,14047.0,45.2746,45.275,45.29,45.29,45.265,184
2024-05-13 14:45:00,43540.0,45.2922,45.29,45.3,45.3,45.28,294
2024-05-13 14:46:00,25629.0,45.3026,45.295,45.305,45.315,45.29,202
2024-05-13 14:47:00,31570.0,45.299,45.31,45.275,45.315,45.275,322
2024-05-13 14:48:00,22246.0,45.3001,45.275,45.305,45.315,45.275,176
2024-05-13 14:49:00,13826.0,45.289,45.31,45.29,45.31,45.27,162
2024-05-13 14:50:00,28510.0,45.2601,45.28,45.24,45.29,45.23,314
2024-05-13 14:51:00,8723.0,45.2306,45.24,45.235,45.24,45.215,152
2024-05-13 14:52:00,9548.0,45.2398,45.24,45.24,45.25,45.23,131
2024-05-13 14:53:00,9862.0,45.2241,45.24,45.215,45.24,45.21,163
2024-05-13 14:54:00,17188.0,45.2087,45.215,45.2,45.225,45.2,254
2024-05-13 14:55:00,5899.0,45.1935,45.2,45.185,45.2,45.185,98
2024-05-13 14:56:00,6600.0,45.18,45.18,45.1678,45.19,45.165,104
2024-05-13 14:57:00,8268.0,45.1685,45.165,45.165,45.18,45.16,93
2024-05-13 14:58:00,15999.0,45.1612,45.165,45.1501,45.17,45.15,179
2024-05-13 14:59:00,14978.0,45.1719,45.16,45.175,45.18,45.16,187
2024-05-13 15:00:00,12456.0,45.1842,45.17,45.17,45.19,45.16,184
2024-05-13 15:01:00,7717.0,45.1602,45.165,45.16,45.17,45.15,124
