t,v,vw,o,c,h,l,n
2023-10-16 09:44:00,100,32.22,32.22,32.22,32.22,32.22,1
2023-10-16 13:30:00,11047,32.4142,32.42,32.37,32.42,32.35,32
2023-10-16 13:31:00,10419,32.3725,32.34,32.35,32.4301,32.3,86
2023-10-16 13:32:00,5410,32.3165,32.38,32.32,32.38,32.27,34
2023-10-16 13:33:00,2106,32.3194,32.37,32.278,32.4,32.278,28
2023-10-16 13:34:00,3094,32.3131,32.27,32.34,32.35,32.27,35
2023-10-16 13:35:00,3606,32.2973,32.32,32.32,32.32,32.28,42
2023-10-16 13:36:00,5953,32.291,32.32,32.32,32.32,32.2643,59
2023-10-16 13:37:00,1866,32.3013,32.3,32.29,32.31,32.29,29
2023-10-16 13:38:00,1130,32.2812,32.285,32.2603,32.29,32.2603,16
2023-10-16 13:39:00,4845,32.2487,32.265,32.25,32.275,32.22,48
2023-10-16 13:40:00,8376,32.2463,32.24,32.26,32.26,32.24,105
2023-10-16 13:41:00,14283,32.2427,32.25,32.235,32.2605,32.23,141
2023-10-16 13:42:00,27172,32.2337,32.24,32.235,32.245,32.23,227
2023-10-16 13:43:00,12228,32.2644,32.25,32.302,32.302,32.23,107
2023-10-16 13:44:00,6216,32.3004,32.3,32.345,32.345,32.28,51
2023-10-16 13:45:00,5364,32.3095,32.34,32.3001,32.3411,32.3001,36
2023-10-16 13:46:00,2404,32.3634,32.32,32.44,32.44,32.32,29
2023-10-16 13:47:00,3645,32.4294,32.43,32.46,32.46,32.42,39
2023-10-16 13:48:00,4566,32.4563,32.48,32.445,32.48,32.43,51
2023-10-16 13:49:00,2417,32.4457,32.43,32.5,32.5,32.41,34
2023-10-16 13:50:00,2074,32.5578,32.525,32.62,32.62,32.525,49
2023-10-16 13:51:00,3647,32.5879,32.6,32.62,32.62,32.57,39
2023-10-16 13:52:00,1218,32.6365,32.63,32.63,32.66,32.62,21
2023-10-16 13:53:00,2911,32.6336,32.64,32.62,32.67,32.61,33
2023-10-16 13:54:00,2772,32.5976,32.63,32.63,32.63,32.58,28
2023-10-16 13:55:00,3244,32.5691,32.6,32.52,32.62,32.52,56
2023-10-16 13:56:00,1920,32.5078,32.51,32.53,32.54,32.49,35
2023-10-16 13:57:00,3296,32.5178,32.52,32.54,32.54,32.49,38
2023-10-16 13:58:00,4345,32.5136,32.525,32.51,32.53,32.5,35
2023-10-16 13:59:00,2724,32.5571,32.52,32.575,32.575,32.52,29
2023-10-16 14:00:00,4651,32.5323,32.59,32.48,32.59,32.465,47
2023-10-16 14:01:00,2932,32.4846,32.47,32.51,32.51,32.47,44
2023-10-16 14:02:00,2102,32.4626,32.525,32.44,32.525,32.44,23
2023-10-16 14:03:00,3498,32.4201,32.44,32.415,32.44,32.41,31
2023-10-16 14:04:00,2522,32.4219,32.4,32.44,32.44,32.4,35
2023-10-16 14:05:00,8477,32.413,32.425,32.41,32.43,32.385,73
2023-10-16 14:06:00,6072,32.4514,32.45,32.45,32.465,32.44,57
2023-10-16 14:07:00,5543,32.444,32.44,32.44,32.465,32.43,62
2023-10-16 14:08:00,2212,32.4506,32.44,32.46,32.46,32.44,24
2023-10-16 14:09:00,2963,32.489,32.48,32.49,32.5,32.47,36
2023-10-16 14:10:00,2663,32.48,32.495,32.48,32.505,32.47,26
2023-10-16 14:11:00,4018,32.5187,32.48,32.505,32.54,32.48,43
2023-10-16 14:12:00,2252,32.5166,32.51,32.53,32.535,32.505,27
2023-10-16 14:13:00,2033,32.5411,32.54,32.53,32.57,32.52,23
2023-10-16 14:14:00,1096,32.5386,32.54,32.55,32.55,32.53,16
2023-10-16 14:15:00,2335,32.537,32.5418,32.53,32.55,32.525,29
2023-10-16 14:16:00,1050,32.5335,32.535,32.53,32.5407,32.525,13
2023-10-16 14:17:00,1940,32.5417,32.52,32.56,32.565,32.52,18
2023-10-16 14:18:00,1310,32.5595,32.56,32.555,32.57,32.55,19
2023-10-16 14:19:00,6693,32.5564,32.55,32.56,32.57,32.54,59
2023-10-16 14:20:00,2500,32.566,32.565,32.58,32.58,32.56,27
2023-10-16 14:21:00,3048,32.5676,32.595,32.55,32.6,32.55,33
2023-10-16 14:22:00,4013,32.5553,32.55,32.565,32.57,32.55,47
2023-10-16 14:23:00,1296,32.5796,32.57,32.575,32.59,32.57,21
