t,v,vw,o,c,h,l,n
2023-12-19 09:39:00,251,1.52,1.52,1.52,1.52,1.52,2
2023-12-19 11:40:00,700,1.5214,1.52,1.52,1.52,1.52,10
2023-12-19 12:10:00,127,1.5279,1.53,1.53,1.53,1.53,6
2023-12-19 13:00:00,1820,1.5778,1.5795,1.57,1.58,1.57,12
2023-12-19 13:09:00,1060,1.5706,1.57,1.57,1.57,1.57,2
2023-12-19 13:20:00,902,1.54,1.54,1.54,1.54,1.54,2
2023-12-19 13:27:00,800,1.55,1.55,1.55,1.55,1.55,1
2023-12-19 13:39:00,500,1.5498,1.5497,1.5499,1.5499,1.5497,3
2023-12-19 13:41:00,222,1.5499,1.5499,1.5499,1.5499,1.5499,1
2023-12-19 13:45:00,150,1.55,1.55,1.55,1.55,1.55,2
2023-12-19 13:46:00,200,1.55,1.55,1.55,1.55,1.55,2
2023-12-19 13:47:00,100,1.5497,1.5497,1.5497,1.5497,1.5497,1
2023-12-19 13:48:00,200,1.55,1.55,1.55,1.55,1.55,2
2023-12-19 13:51:00,100,1.5498,1.5498,1.5498,1.5498,1.5498,1
2023-12-19 13:57:00,140,1.54,1.54,1.54,1.54,1.54,2
2023-12-19 14:04:00,718,1.55,1.55,1.55,1.55,1.55,2
2023-12-19 14:05:00,1000,1.55,1.55,1.55,1.55,1.55,1
2023-12-19 14:06:00,130,1.5477,1.55,1.55,1.55,1.55,2
2023-12-19 14:07:00,100,1.55,1.55,1.55,1.55,1.55,1
2023-12-19 14:30:00,23947,1.5631,1.56,1.5669,1.58,1.56,45
2023-12-19 14:31:00,3294,1.5903,1.57,1.6,1.6,1.57,12
2023-12-19 14:32:00,13877,1.605,1.6,1.6,1.61,1.6,59
2023-12-19 14:33:00,4134,1.5988,1.6,1.596,1.605,1.596,20
2023-12-19 14:34:00,4831,1.6069,1.6,1.615,1.615,1.6,20
2023-12-19 14:35:00,10362,1.6303,1.63,1.6399,1.64,1.63,11
2023-12-19 14:36:00,22224,1.6411,1.6311,1.65,1.65,1.6301,42
2023-12-19 14:37:00,7799,1.6403,1.6499,1.635,1.6499,1.6334,47
2023-12-19 14:38:00,3474,1.6298,1.6301,1.625,1.6301,1.625,25
2023-12-19 14:39:00,17516,1.6169,1.6206,1.62,1.6206,1.61,45
2023-12-19 14:40:00,2903,1.6231,1.6224,1.628,1.63,1.6219,13
2023-12-19 14:41:00,1549,1.6275,1.62,1.63,1.63,1.62,20
2023-12-19 14:42:00,5250,1.6245,1.6201,1.62,1.6298,1.62,12
2023-12-19 14:43:00,12344,1.6247,1.62,1.63,1.63,1.62,22
2023-12-19 14:44:00,7506,1.6304,1.63,1.6306,1.635,1.63,37
2023-12-19 14:45:00,26438,1.6226,1.63,1.6208,1.64,1.62,69
2023-12-19 14:46:00,1310,1.6216,1.6237,1.62,1.6237,1.62,10
2023-12-19 14:47:00,21122,1.6176,1.625,1.61,1.63,1.61,35
2023-12-19 14:48:00,2643,1.6119,1.6101,1.6105,1.6185,1.6101,10
2023-12-19 14:49:00,291,1.6134,1.615,1.615,1.615,1.615,7
2023-12-19 14:50:00,7005,1.6108,1.61,1.615,1.615,1.61,35
2023-12-19 14:51:00,12443,1.6192,1.6121,1.625,1.625,1.6121,23
2023-12-19 14:52:00,12452,1.6377,1.63,1.64,1.64,1.63,25
2023-12-19 14:53:00,11638,1.6214,1.63,1.6203,1.63,1.6203,19
2023-12-19 14:54:00,2855,1.6245,1.6295,1.62,1.63,1.62,15
2023-12-19 14:55:00,2470,1.6206,1.6209,1.62,1.6225,1.62,19
2023-12-19 14:56:00,5692,1.6212,1.62,1.62,1.6293,1.615,43
2023-12-19 14:57:00,12050,1.6275,1.6174,1.625,1.64,1.615,63
2023-12-19 14:58:00,999,1.6277,1.6275,1.6277,1.63,1.6275,7
2023-12-19 14:59:00,2374,1.6163,1.6283,1.61,1.6283,1.61,10
2023-12-19 15:00:00,2722,1.6096,1.61,1.61,1.61,1.605,20
2023-12-19 15:01:00,7485,1.6017,1.609,1.6,1.609,1.6,50
2023-12-19 15:03:00,1197,1.6005,1.6,1.6012,1.6012,1.6,13
2023-12-19 15:04:00,2178,1.6096,1.608,1.61,1.61,1.608,27
2023-12-19 15:05:00,550,1.6088,1.61,1.61,1.61,1.61,8
2023-12-19 15:06:00,402,1.605,1.605,1.605,1.605,1.605,6
2023-12-19 15:07:00,6575,1.603,1.605,1.602,1.6099,1.602,7
2023-12-19 15:08:00,182,1.6083,1.6075,1.6075,1.6075,1.6075,5
2023-12-19 15:09:00,210,1.6059,1.6046,1.6046,1.6046,1.6046,7
2023-12-19 15:10:00,631,1.6052,1.605,1.6043,1.605,1.6043,6
2023-12-19 15:11:00,290,1.605,1.6,1.6083,1.6083,1.6,6
2023-12-19 15:12:00,1808,1.6074,1.603,1.609,1.609,1.603,12
2023-12-19 15:13:00,2006,1.6053,1.6039,1.6081,1.6081,1.6039,10
2023-12-19 15:14:00,595,1.6043,1.6083,1.6,1.6083,1.6,13
2023-12-19 15:15:00,2041,1.6044,1.6025,1.605,1.61,1.6025,17
2023-12-19 15:17:00,5412,1.6091,1.6,1.61,1.61,1.6,53
2023-12-19 15:18:00,2723,1.6143,1.6168,1.615,1.619,1.61,13
2023-12-19 15:19:00,681,1.6151,1.615,1.615,1.615,1.615,13
2023-12-19 15:20:00,3138,1.6185,1.6107,1.6195,1.6195,1.6107,12
2023-12-19 15:21:00,187,1.6108,1.611,1.611,1.611,1.611,6
2023-12-19 15:23:00,1856,1.6133,1.62,1.6101,1.62,1.6101,8
2023-12-19 15:25:00,757,1.614,1.615,1.61,1.615,1.61,8
2023-12-19 15:27:00,27832,1.6121,1.62,1.61,1.62,1.61,135
2023-12-19 15:28:00,145,1.6062,1.605,1.605,1.605,1.605,8
2023-12-19 15:29:00,1878,1.6068,1.6065,1.61,1.61,1.605,9
2023-12-19 15:30:00,3434,1.6011,1.6085,1.59,1.6085,1.59,25
2023-12-19 15:31:00,360,1.5963,1.595,1.6,1.6,1.595,10
2023-12-19 15:32:00,19520,1.5996,1.595,1.6,1.6,1.5909,121
2023-12-19 15:33:00,802,1.6006,1.6,1.6,1.6,1.6,11
2023-12-19 15:34:00,2152,1.6003,1.6001,1.6008,1.6008,1.6001,10
2023-12-19 15:35:00,1308,1.6063,1.6074,1.6,1.6074,1.6,11
2023-12-19 15:36:00,220,1.6064,1.605,1.605,1.605,1.605,11
2023-12-19 15:37:00,11456,1.6002,1.605,1.59,1.605,1.59,112
2023-12-19 15:38:00,6265,1.6001,1.595,1.6,1.605,1.595,54
2023-12-19 15:39:00,4995,1.6084,1.61,1.61,1.61,1.605,39
2023-12-19 15:40:00,10809,1.6062,1.61,1.6,1.61,1.6,95
2023-12-19 15:41:00,431,1.5996,1.6,1.6,1.6,1.6,9
2023-12-19 15:42:00,5086,1.595,1.595,1.595,1.595,1.595,8
2023-12-19 15:44:00,1145,1.5993,1.5935,1.6,1.6,1.5935,5
2023-12-19 15:45:00,8875,1.5997,1.5916,1.6,1.6,1.5916,38
2023-12-19 15:46:00,677,1.6,1.6,1.6,1.6,1.6,2
2023-12-19 15:47:00,1286,1.6051,1.605,1.605,1.61,1.605,9
2023-12-19 15:48:00,1165,1.6041,1.61,1.6,1.61,1.6,11
2023-12-19 15:49:00,263,1.6055,1.605,1.605,1.605,1.605,8
2023-12-19 15:50:00,232,1.6077,1.61,1.61,1.61,1.61,8
2023-12-19 15:51:00,574,1.6049,1.605,1.605,1.605,1.605,11
2023-12-19 15:52:00,820,1.607,1.6085,1.605,1.6085,1.605,7
2023-12-19 15:53:00,4285,1.6078,1.605,1.605,1.6094,1.605,9
2023-12-19 15:54:00,613,1.6087,1.6091,1.6091,1.6091,1.6091,4
2023-12-19 15:55:00,1231,1.6009,1.6,1.6,1.6,1.6,7
2023-12-19 15:56:00,1828,1.6057,1.605,1.6,1.6087,1.6,7
2023-12-19 15:57:00,10266,1.6012,1.605,1.605,1.605,1.601,6
2023-12-19 15:58:00,4087,1.6064,1.6087,1.61,1.61,1.605,8
2023-12-19 15:59:00,101,1.6001,1.6,1.6,1.6,1.6,2
2023-12-19 16:01:00,436,1.6067,1.605,1.61,1.61,1.605,13
2023-12-19 16:02:00,1339,1.6012,1.6,1.6,1.6015,1.6,10
2023-12-19 16:03:00,457,1.6032,1.6,1.608,1.608,1.6,5
2023-12-19 16:04:00,205,1.6013,1.6,1.6,1.6,1.6,5
2023-12-19 16:06:00,6155,1.6002,1.6001,1.6001,1.6001,1.6001,6
2023-12-19 16:07:00,166,1.602,1.6,1.6,1.6,1.6,4
2023-12-19 16:08:00,347,1.6038,1.6045,1.6045,1.6045,1.6045,8
2023-12-19 16:09:00,2755,1.6048,1.605,1.605,1.605,1.605,12
2023-12-19 16:10:00,2251,1.6053,1.605,1.6021,1.61,1.6014,12
2023-12-19 16:11:00,12058,1.6068,1.605,1.606,1.61,1.6,50
2023-12-19 16:12:00,2551,1.6083,1.6045,1.6086,1.6086,1.6045,7
2023-12-19 16:15:00,943,1.6065,1.61,1.6001,1.61,1.6001,9
2023-12-19 16:16:00,8724,1.6003,1.6,1.6099,1.6099,1.6,20
2023-12-19 16:17:00,459,1.6085,1.61,1.61,1.61,1.61,12
2023-12-19 16:21:00,136,1.6086,1.6098,1.6098,1.6098,1.6098,3
2023-12-19 16:22:00,671,1.6064,1.605,1.6069,1.6069,1.605,5
2023-12-19 16:23:00,705,1.6077,1.6095,1.6075,1.6095,1.605,5
2023-12-19 16:24:00,673,1.6076,1.6077,1.6077,1.6077,1.6077,3
2023-12-19 16:25:00,180,1.6022,1.6,1.6,1.6,1.6,8
2023-12-19 16:28:00,246,1.6057,1.6099,1.6,1.6099,1.6,5
2023-12-19 16:29:00,240,1.6057,1.605,1.605,1.605,1.605,8
2023-12-19 16:30:00,1692,1.6026,1.605,1.601,1.605,1.601,7
2023-12-19 16:31:00,210,1.6029,1.6,1.6,1.6,1.6,9
2023-12-19 16:32:00,493,1.605,1.605,1.605,1.605,1.605,10
2023-12-19 16:33:00,8871,1.6082,1.605,1.61,1.61,1.605,61
2023-12-19 16:37:00,206,1.6167,1.6186,1.6186,1.6186,1.6186,4
2023-12-19 16:40:00,2789,1.6149,1.6185,1.62,1.62,1.61,13
2023-12-19 16:41:00,220,1.6197,1.6199,1.6199,1.6199,1.6199,3
2023-12-19 16:42:00,2102,1.6117,1.6116,1.6116,1.6116,1.6116,5
2023-12-19 16:43:00,823,1.6112,1.6111,1.6111,1.6111,1.6111,4
2023-12-19 16:44:00,506,1.6139,1.6139,1.6139,1.6139,1.6139,6
