t,v,vw,o,c,h,l,n
2023-06-12 11:54:00,400,49.54,49.54,49.54,49.54,49.54,2
2023-06-12 13:30:00,15791,49.4663,49.42,49.53,49.56,49.42,113
2023-06-12 13:31:00,4667,49.5397,49.55,49.55,49.56,49.53,40
2023-06-12 13:32:00,5413,49.5857,49.56,49.59,49.6,49.56,23
2023-06-12 13:33:00,5432,49.5832,49.6,49.5342,49.64,49.53,43
2023-06-12 13:34:00,618,49.5159,49.52,49.5412,49.5412,49.51,9
2023-06-12 13:35:00,2438,49.4863,49.51,49.48,49.51,49.47,24
2023-06-12 13:36:00,1984,49.4659,49.47,49.48,49.48,49.46,24
2023-06-12 13:37:00,4124,49.5105,49.49,49.52,49.53,49.49,38
2023-06-12 13:38:00,3815,49.4985,49.49,49.5,49.51,49.49,40
2023-06-12 13:39:00,2825,49.5311,49.5,49.57,49.57,49.5,30
2023-06-12 13:40:00,4561,49.5663,49.59,49.56,49.59,49.55,45
2023-06-12 13:41:00,755,49.572,49.55,49.58,49.58,49.55,18
2023-06-12 13:42:00,16612,49.5905,49.58,49.6,49.61,49.58,38
2023-06-12 13:43:00,4092,49.5959,49.61,49.59,49.62,49.58,44
2023-06-12 13:44:00,1251,49.5626,49.58,49.56,49.58,49.55,10
2023-06-12 13:45:00,3627,49.5165,49.51,49.51,49.54,49.51,44
2023-06-12 13:46:00,2838,49.5276,49.53,49.53,49.54,49.5,43
2023-06-12 13:47:00,2143,49.5187,49.515,49.52,49.54,49.505,22
2023-06-12 13:48:00,1967,49.52,49.54,49.52,49.54,49.505,27
2023-06-12 13:49:00,6625,49.5378,49.51,49.57,49.57,49.51,71
2023-06-12 13:50:00,2269,49.5919,49.575,49.6,49.61,49.575,34
2023-06-12 13:51:00,3504,49.6192,49.6,49.62,49.63,49.6,34
2023-06-12 13:52:00,2138,49.6243,49.63,49.6121,49.64,49.6121,28
2023-06-12 13:53:00,1969,49.6471,49.62,49.65,49.66,49.62,23
2023-06-12 13:54:00,1780,49.6405,49.65,49.63,49.66,49.63,24
2023-06-12 13:55:00,1849,49.6437,49.635,49.63,49.66,49.63,31
2023-06-12 13:56:00,1276,49.6469,49.64,49.67,49.67,49.64,20
2023-06-12 13:57:00,2613,49.6862,49.68,49.69,49.69,49.67,31
2023-06-12 13:58:00,1627,49.6996,49.7,49.7,49.71,49.69,23
2023-06-12 13:59:00,959,49.7069,49.71,49.71,49.71,49.7,17
2023-06-12 14:00:00,2452,49.7322,49.73,49.73,49.74,49.73,31
2023-06-12 14:01:00,1694,49.6977,49.72,49.69,49.72,49.69,23
2023-06-12 14:02:00,1320,49.6997,49.7,49.7,49.7,49.7,31
2023-06-12 14:04:00,765,49.6444,49.642,49.64,49.66,49.64,14
2023-06-12 14:05:00,1472,49.6507,49.6401,49.64,49.66,49.64,25
2023-06-12 14:06:00,5328,49.6169,49.63,49.61,49.63,49.61,30
2023-06-12 14:07:00,331,49.6114,49.62,49.62,49.62,49.62,14
2023-06-12 14:08:00,806,49.5803,49.59,49.58,49.59,49.57,14
2023-06-12 14:09:00,1366,49.5885,49.58,49.59,49.59,49.58,16
2023-06-12 14:10:00,1936,49.5957,49.6,49.58,49.6,49.58,23
2023-06-12 14:11:00,831,49.5726,49.57,49.57,49.58,49.57,19
2023-06-12 14:12:00,130,49.5717,49.57,49.57,49.57,49.57,6
2023-06-12 14:13:00,434,49.595,49.595,49.59,49.595,49.59,9
2023-06-12 14:14:00,1152,49.6077,49.595,49.62,49.62,49.595,22
2023-06-12 14:15:00,569,49.5964,49.6,49.58,49.6,49.58,12
2023-06-12 14:17:00,383,49.5693,49.57,49.57,49.57,49.57,14
2023-06-12 14:18:00,875,49.5315,49.52,49.53,49.53,49.52,23
2023-06-12 14:19:00,646,49.5359,49.53,49.55,49.55,49.53,14
2023-06-12 14:20:00,1844,49.5283,49.54,49.525,49.55,49.5,25
2023-06-12 14:21:00,8284,49.4907,49.5,49.49,49.51,49.48,83
2023-06-12 14:22:00,13013,49.4621,49.48,49.42,49.49,49.42,130
2023-06-12 14:23:00,5308,49.4111,49.43,49.41,49.43,49.405,71
2023-06-12 14:24:00,6733,49.3979,49.401,49.395,49.42,49.39,63
2023-06-12 14:25:00,3351,49.4042,49.39,49.43,49.44,49.38,48
2023-06-12 14:26:00,1904,49.4246,49.44,49.42,49.44,49.41,37
2023-06-12 14:27:00,531,49.4305,49.42,49.44,49.44,49.42,10
2023-06-12 14:28:00,2400,49.4545,49.45,49.45,49.46,49.45,20
2023-06-12 14:29:00,1167,49.4527,49.46,49.44,49.46,49.44,17
2023-06-12 14:30:00,2787,49.4187,49.45,49.4,49.45,49.4,29
2023-06-12 14:31:00,2636,49.3991,49.39,49.405,49.41,49.39,30
2023-06-12 14:32:00,3344,49.413,49.41,49.41,49.42,49.41,42
2023-06-12 14:33:00,1875,49.4299,49.42,49.4379,49.4379,49.42,13
2023-06-12 14:34:00,1927,49.4265,49.42,49.42,49.43,49.42,15
2023-06-12 14:35:00,447,49.4153,49.42,49.41,49.42,49.41,7
2023-06-12 14:36:00,3137,49.4033,49.41,49.41,49.41,49.4,28
2023-06-12 14:37:00,3370,49.4121,49.42,49.4,49.42,49.4,56
2023-06-12 14:38:00,3918,49.3847,49.3993,49.36,49.3993,49.36,45
2023-06-12 14:39:00,338,49.3676,49.36,49.37,49.37,49.36,9
2023-06-12 14:40:00,1366,49.3962,49.39,49.41,49.41,49.39,24
2023-06-12 14:41:00,329,49.383,49.39,49.3799,49.39,49.3799,6
2023-06-12 14:43:00,1849,49.3806,49.3779,49.39,49.39,49.3779,13
2023-06-12 14:44:00,1687,49.3992,49.4,49.4,49.4,49.4,23
2023-06-12 14:45:00,203,49.4026,49.41,49.41,49.41,49.41,10
2023-06-12 14:46:00,1590,49.4089,49.405,49.41,49.41,49.405,15
2023-06-12 14:47:00,513,49.4041,49.41,49.4,49.41,49.4,13
2023-06-12 14:48:00,1217,49.3817,49.38,49.385,49.385,49.38,15
2023-06-12 14:49:00,15819,49.38,49.38,49.38,49.38,49.38,14
2023-06-12 14:50:00,421,49.3996,49.4,49.4,49.4,49.4,8
2023-06-12 14:51:00,435,49.3824,49.39,49.38,49.39,49.38,8
2023-06-12 14:52:00,550,49.3809,49.385,49.38,49.385,49.38,7
2023-06-12 14:53:00,441,49.3733,49.38,49.37,49.38,49.37,10
2023-06-12 14:54:00,2258,49.3784,49.37,49.38,49.39,49.37,37
2023-06-12 14:55:00,1149,49.3932,49.39,49.4,49.4,49.385,17
2023-06-12 14:58:00,451,49.4595,49.47,49.45,49.47,49.45,9
2023-06-12 14:59:00,566,49.4515,49.47,49.446,49.47,49.446,11
2023-06-12 15:00:00,3074,49.457,49.47,49.4591,49.47,49.44,27
2023-06-12 15:01:00,1843,49.4596,49.46,49.4513,49.465,49.4513,16
2023-06-12 15:02:00,940,49.4491,49.46,49.44,49.46,49.44,12
2023-06-12 15:03:00,639,49.429,49.44,49.42,49.44,49.42,15
2023-06-12 15:04:00,144,49.422,49.42,49.42,49.42,49.42,4
2023-06-12 15:05:00,703,49.4407,49.435,49.45,49.45,49.435,9
2023-06-12 15:06:00,539,49.4558,49.46,49.44,49.46,49.44,8
2023-06-12 15:07:00,531,49.467,49.4607,49.47,49.47,49.4607,15
2023-06-12 15:08:00,126,49.4698,49.47,49.47,49.47,49.47,5
2023-06-12 15:09:00,234,49.451,49.45,49.45,49.45,49.45,3
2023-06-12 15:10:00,1374,49.4398,49.44,49.44,49.44,49.435,21
2023-06-12 15:11:00,427,49.4606,49.45,49.46,49.47,49.45,7
2023-06-12 15:12:00,347,49.4688,49.47,49.47,49.47,49.47,10
2023-06-12 15:13:00,327,49.4762,49.48,49.47,49.48,49.47,4
2023-06-12 15:14:00,101,49.47,49.47,49.47,49.47,49.47,2
2023-06-12 15:15:00,673,49.45,49.45,49.45,49.45,49.45,16
2023-06-12 15:16:00,1040,49.45,49.45,49.45,49.45,49.45,11
2023-06-12 15:17:00,6619,49.4435,49.46,49.4418,49.46,49.44,73
2023-06-12 15:18:00,815,49.4156,49.42,49.415,49.42,49.41,15
2023-06-12 15:19:00,1250,49.4048,49.41,49.395,49.415,49.395,22
2023-06-12 15:20:00,448,49.3804,49.39,49.37,49.39,49.37,9
2023-06-12 15:21:00,835,49.3643,49.37,49.36,49.37,49.36,19
2023-06-12 15:22:00,996,49.3432,49.35,49.34,49.35,49.34,18
2023-06-12 15:23:00,1156,49.3253,49.34,49.31,49.34,49.31,14
2023-06-12 15:24:00,2887,49.3054,49.3,49.31,49.31,49.3,41
2023-06-12 15:25:00,1200,49.2933,49.32,49.295,49.32,49.285,16
2023-06-12 15:26:00,356,49.2946,49.2999,49.2999,49.2999,49.2999,13
2023-06-12 15:27:00,542,49.3185,49.32,49.32,49.32,49.32,17
2023-06-12 15:28:00,1042,49.3057,49.31,49.31,49.31,49.31,18
2023-06-12 15:29:00,1097,49.2711,49.28,49.26,49.28,49.26,17
2023-06-12 15:30:00,1822,49.2679,49.28,49.26,49.28,49.26,30
2023-06-12 15:31:00,2517,49.2478,49.24,49.26,49.26,49.24,34
2023-06-12 15:32:00,3147,49.2461,49.27,49.23,49.27,49.23,32
2023-06-12 15:33:00,1987,49.2361,49.23,49.25,49.25,49.23,41
2023-06-12 15:34:00,2287,49.2528,49.26,49.26,49.26,49.25,24
2023-06-12 15:35:00,569,49.2692,49.27,49.27,49.27,49.27,12
2023-06-12 15:36:00,1691,49.2759,49.27,49.265,49.28,49.265,16
2023-06-12 15:37:00,618,49.2568,49.26,49.26,49.26,49.25,8
2023-06-12 15:38:00,650,49.2502,49.25,49.25,49.251,49.25,10
2023-06-12 15:39:00,668,49.2512,49.25,49.25,49.25,49.25,26
2023-06-12 15:40:00,210,49.257,49.26,49.26,49.26,49.26,10
2023-06-12 15:41:00,1573,49.2675,49.26,49.27,49.27,49.26,25
2023-06-12 15:42:00,667,49.2724,49.27,49.28,49.28,49.27,12
2023-06-12 15:43:00,602,49.2794,49.28,49.286,49.286,49.275,15
2023-06-12 15:44:00,3407,49.2836,49.29,49.265,49.29,49.265,32
2023-06-12 15:45:00,1954,49.2674,49.27,49.25,49.27,49.25,29
2023-06-12 15:46:00,3219,49.2525,49.24,49.26,49.26,49.235,31
2023-06-12 15:47:00,1382,49.2552,49.26,49.251,49.265,49.25,20
2023-06-12 15:48:00,321,49.25,49.25,49.25,49.25,49.25,3
2023-06-12 15:49:00,1596,49.2528,49.26,49.25,49.26,49.2421,31
2023-06-12 15:50:00,449,49.2578,49.255,49.26,49.26,49.255,8
2023-06-12 15:51:00,505,49.2621,49.26,49.275,49.275,49.26,11
2023-06-12 15:52:00,387,49.2748,49.265,49.28,49.28,49.265,8
2023-06-12 15:53:00,1252,49.2799,49.28,49.28,49.28,49.28,20
2023-06-12 15:54:00,660,49.261,49.265,49.26,49.265,49.26,16
2023-06-12 15:55:00,640,49.2691,49.27,49.265,49.27,49.265,13
2023-06-12 15:56:00,624,49.2737,49.255,49.29,49.29,49.255,13
2023-06-12 15:57:00,575,49.2803,49.28,49.28,49.28,49.28,13
2023-06-12 15:58:00,241,49.285,49.29,49.29,49.29,49.29,11
2023-06-12 15:59:00,915,49.2947,49.29,49.295,49.3,49.29,18
2023-06-12 16:00:00,1213,49.2995,49.295,49.3,49.3,49.295,21
2023-06-12 16:01:00,246,49.3133,49.31,49.31,49.31,49.31,9
2023-06-12 16:03:00,1061,49.3169,49.3148,49.321,49.321,49.31,12
2023-06-12 16:04:00,643,49.3136,49.32,49.31,49.32,49.31,19
2023-06-12 16:05:00,1099,49.3224,49.31,49.3281,49.3281,49.31,6
2023-06-12 16:06:00,427,49.3295,49.33,49.33,49.33,49.33,14
2023-06-12 16:07:00,152,49.3177,49.32,49.32,49.32,49.32,6
2023-06-12 16:08:00,220,49.31,49.31,49.31,49.31,49.31,5
2023-06-12 16:09:00,471,49.3034,49.3,49.31,49.31,49.3,11
2023-06-12 16:10:00,666,49.3155,49.31,49.32,49.32,49.31,11
2023-06-12 16:12:00,3434,49.3196,49.32,49.33,49.33,49.3152,49
2023-06-12 16:13:00,859,49.3195,49.32,49.314,49.32,49.314,20
2023-06-12 16:15:00,932,49.3233,49.32,49.33,49.33,49.32,25
2023-06-12 16:16:00,1352,49.3431,49.33,49.34,49.35,49.33,28
2023-06-12 16:17:00,513,49.3401,49.34,49.3393,49.34,49.3393,22
2023-06-12 16:19:00,276,49.3318,49.33,49.33,49.33,49.33,8
2023-06-12 16:20:00,684,49.3224,49.33,49.32,49.33,49.32,9
2023-06-12 16:21:00,197,49.3375,49.34,49.34,49.34,49.34,11
2023-06-12 16:22:00,469,49.3326,49.33,49.335,49.335,49.33,13
2023-06-12 16:23:00,615,49.3234,49.325,49.32,49.325,49.32,9
2023-06-12 16:24:00,611,49.32,49.32,49.32,49.32,49.32,21
2023-06-12 16:25:00,487,49.319,49.32,49.315,49.32,49.315,13
2023-06-12 16:26:00,600,49.3353,49.33,49.34,49.34,49.33,13
2023-06-12 16:28:00,426,49.3301,49.33,49.33,49.33,49.33,19
2023-06-12 16:31:00,2228,49.3231,49.33,49.32,49.33,49.32,22
2023-06-12 16:32:00,1746,49.319,49.3153,49.32,49.3206,49.3153,23
2023-06-12 16:34:00,245,49.3287,49.33,49.33,49.33,49.33,11
2023-06-12 16:36:00,1498,49.3377,49.34,49.33,49.345,49.33,41
2023-06-12 16:38:00,515,49.3212,49.32,49.32,49.32,49.32,11
2023-06-12 16:39:00,5723,49.3433,49.33,49.34,49.35,49.325,55
2023-06-12 16:40:00,505,49.34,49.34,49.34,49.34,49.34,9
2023-06-12 16:41:00,1169,49.3219,49.33,49.31,49.33,49.31,27
2023-06-12 16:43:00,278,49.3156,49.32,49.32,49.32,49.32,12
2023-06-12 16:48:00,1007,49.3588,49.3589,49.3589,49.3589,49.3589,3
2023-06-12 16:50:00,218,49.3501,49.35,49.35,49.35,49.35,10
2023-06-12 16:51:00,405,49.3474,49.345,49.35,49.35,49.345,5
2023-06-12 16:52:00,329,49.352,49.35,49.35,49.35,49.35,11
2023-06-12 16:53:00,3425,49.3386,49.35,49.33,49.35,49.33,53
2023-06-12 16:54:00,305,49.3296,49.33,49.33,49.33,49.33,5
2023-06-12 16:55:00,258,49.318,49.32,49.315,49.32,49.315,5
2023-06-12 16:56:00,540,49.3083,49.31,49.305,49.31,49.305,11
2023-06-12 16:57:00,850,49.316,49.31,49.315,49.32,49.31,16
2023-06-12 16:58:00,248,49.3173,49.32,49.32,49.32,49.32,14
2023-06-12 16:59:00,3502,49.3193,49.32,49.32,49.32,49.3132,36
2023-06-12 17:01:00,127,49.304,49.305,49.305,49.305,49.305,2
2023-06-12 17:02:00,2094,49.2998,49.3,49.295,49.3,49.295,24
2023-06-12 17:04:00,343,49.2963,49.3,49.3,49.3,49.3,9
2023-06-12 17:06:00,667,49.2765,49.29,49.275,49.29,49.27,15
2023-06-12 17:07:00,647,49.2742,49.26,49.255,49.26,49.255,14
2023-06-12 17:08:00,13143,49.2565,49.245,49.27,49.27,49.24,83
2023-06-12 17:09:00,1617,49.2831,49.26,49.285,49.29,49.26,30
2023-06-12 17:10:00,246,49.2705,49.27,49.27,49.27,49.27,12
2023-06-12 17:13:00,696,49.2951,49.3,49.28,49.3,49.28,25
2023-06-12 17:15:00,133,49.28,49.28,49.28,49.28,49.28,5
2023-06-12 17:16:00,375,49.2789,49.28,49.2778,49.28,49.2778,10
2023-06-12 17:17:00,553,49.2682,49.27,49.265,49.27,49.265,11
2023-06-12 17:18:00,529,49.2693,49.26,49.27,49.27,49.26,18
2023-06-12 17:19:00,214,49.26,49.26,49.26,49.26,49.26,10
2023-06-12 17:20:00,1920,49.2594,49.26,49.25,49.26,49.25,16
2023-06-12 17:21:00,190,49.2466,49.25,49.25,49.25,49.25,9
2023-06-12 17:22:00,294,49.2413,49.24,49.24,49.24,49.24,7
2023-06-12 17:23:00,432,49.2539,49.25,49.26,49.26,49.25,16
2023-06-12 17:24:00,929,49.2578,49.255,49.26,49.26,49.255,15
2023-06-12 17:26:00,206,49.2501,49.25,49.25,49.25,49.25,5
2023-06-12 17:27:00,1708,49.234,49.255,49.225,49.255,49.225,19
2023-06-12 17:28:00,212,49.234,49.24,49.24,49.24,49.24,11
2023-06-12 17:29:00,1236,49.2338,49.23,49.23,49.235,49.23,8
2023-06-12 17:31:00,465,49.2374,49.23,49.24,49.24,49.23,15
2023-06-12 17:34:00,4263,49.2139,49.21,49.2192,49.2192,49.21,27
2023-06-12 17:35:00,1128,49.2072,49.21,49.2,49.21,49.2,22
2023-06-12 17:36:00,832,49.1894,49.19,49.185,49.19,49.185,8
2023-06-12 17:37:00,1431,49.1708,49.17,49.17,49.175,49.17,25
2023-06-12 17:38:00,3356,49.173,49.17,49.18,49.18,49.17,18
2023-06-12 17:39:00,1630,49.1838,49.185,49.18,49.19,49.1799,28
2023-06-12 17:40:00,473,49.1911,49.19,49.195,49.195,49.19,10
2023-06-12 17:42:00,2377,49.1825,49.18,49.195,49.195,49.18,27
2023-06-12 17:43:00,1731,49.2089,49.2,49.21,49.21,49.2,24
2023-06-12 17:44:00,715,49.2109,49.21,49.215,49.215,49.21,29
2023-06-12 17:45:00,2474,49.2198,49.2176,49.22,49.22,49.2176,29
2023-06-12 17:46:00,269,49.2301,49.23,49.23,49.23,49.23,6
2023-06-12 17:47:00,5757,49.2223,49.23,49.22,49.235,49.215,66
2023-06-12 17:48:00,1328,49.2304,49.22,49.235,49.235,49.22,23
2023-06-12 17:49:00,315,49.23,49.23,49.23,49.23,49.23,12
2023-06-12 17:53:00,522,49.2279,49.2214,49.23,49.23,49.2214,13
2023-06-12 17:54:00,452,49.2292,49.23,49.23,49.23,49.23,14
2023-06-12 17:57:00,161,49.2205,49.22,49.22,49.22,49.22,6
2023-06-12 17:59:00,542,49.2177,49.22,49.21,49.22,49.21,8
2023-06-12 18:01:00,813,49.2123,49.21,49.22,49.22,49.21,16
2023-06-12 18:03:00,1094,49.2109,49.22,49.21,49.22,49.21,17
2023-06-12 18:04:00,1617,49.2105,49.215,49.21,49.215,49.21,14
