t,v,vw,o,c,h,l,n
2023-05-09 08:27:00,2010,36.86,36.86,36.86,36.86,36.86,7
2023-05-09 08:38:00,1600,36.9,36.9,36.9,36.9,36.9,4
2023-05-09 08:39:00,415,36.9,36.9,36.9,36.9,36.9,1
2023-05-09 09:07:00,295,37.0,37.0,37.0,37.0,37.0,2
2023-05-09 09:14:00,1178,36.8904,36.89,36.89,36.89,36.89,3
2023-05-09 09:21:00,700,36.88,36.88,36.88,36.88,36.88,1
2023-05-09 09:22:00,300,36.85,36.85,36.85,36.85,36.85,3
2023-05-09 09:23:00,7598,36.8411,36.85,36.82,36.85,36.82,50
2023-05-09 09:24:00,1402,36.8193,36.82,36.81,36.82,36.81,9
2023-05-09 09:47:00,500,36.81,36.81,36.81,36.81,36.81,1
2023-05-09 09:50:00,1000,36.8,36.8,36.8,36.8,36.8,1
2023-05-09 11:00:00,939,36.833,36.85,36.85,36.85,36.82,9
2023-05-09 11:05:00,106,36.8283,36.83,36.83,36.83,36.83,4
2023-05-09 11:12:00,331,36.7512,36.75,36.75,36.75,36.75,6
2023-05-09 11:32:00,801,36.76,36.76,36.76,36.76,36.76,3
2023-05-09 11:41:00,300,36.76,36.76,36.76,36.76,36.76,2
2023-05-09 11:43:00,700,36.76,36.76,36.76,36.76,36.76,2
2023-05-09 11:47:00,100,36.76,36.76,36.76,36.76,36.76,1
2023-05-09 11:52:00,1250,36.73,36.73,36.73,36.73,36.73,5
2023-05-09 11:53:00,336,36.71,36.71,36.71,36.71,36.71,4
2023-05-09 11:56:00,440,36.71,36.71,36.71,36.71,36.71,3
2023-05-09 11:57:00,464,36.71,36.71,36.71,36.71,36.71,4
2023-05-09 12:00:00,19969,36.7438,36.77,36.7,36.85,36.7,41
2023-05-09 12:01:00,305,36.712,36.71,36.71,36.71,36.71,6
2023-05-09 12:03:00,500,36.73,36.73,36.73,36.73,36.73,1
2023-05-09 12:09:00,26002,36.8231,36.78,36.79,36.8247,36.78,8
2023-05-09 12:10:00,509,36.7902,36.79,36.79,36.79,36.79,6
2023-05-09 12:12:00,300,36.79,36.79,36.79,36.79,36.79,1
2023-05-09 12:19:00,558,36.7211,36.72,36.72,36.72,36.72,9
2023-05-09 12:21:00,122,36.6933,36.69,36.69,36.69,36.69,7
2023-05-09 12:25:00,266,36.71,36.71,36.71,36.71,36.71,3
2023-05-09 12:29:00,5800,36.7002,36.71,36.7,36.71,36.7,12
2023-05-09 12:30:00,2000,36.7,36.7,36.7,36.7,36.7,13
2023-05-09 12:31:00,1103,36.6891,36.69,36.68,36.69,36.68,6
2023-05-09 12:32:00,101,36.67,36.67,36.67,36.67,36.67,2
2023-05-09 12:33:00,100,36.67,36.67,36.67,36.67,36.67,1
2023-05-09 12:34:00,709,36.667,36.67,36.66,36.67,36.66,8
2023-05-09 12:39:00,1783,36.7,36.7,36.7,36.7,36.7,13
2023-05-09 12:40:00,1699,36.7035,36.7,36.71,36.71,36.7,9
2023-05-09 12:42:00,500,36.72,36.72,36.72,36.72,36.72,3
2023-05-09 12:43:00,1293,36.6802,36.68,36.68,36.68,36.68,8
2023-05-09 12:47:00,1200,36.67,36.67,36.67,36.67,36.67,7
2023-05-09 12:49:00,110,36.6591,36.66,36.66,36.66,36.66,2
2023-05-09 12:51:00,300,36.69,36.69,36.69,36.69,36.69,2
2023-05-09 12:53:00,503,36.6799,36.68,36.68,36.68,36.68,4
2023-05-09 12:58:00,100,36.67,36.67,36.67,36.67,36.67,1
2023-05-09 12:59:00,180,36.6586,36.6599,36.6599,36.6599,36.6599,3
2023-05-09 13:00:00,103,36.65,36.65,36.65,36.65,36.65,2
2023-05-09 13:01:00,108,36.6294,36.63,36.63,36.63,36.63,4
2023-05-09 13:02:00,113,36.6,36.6,36.6,36.6,36.6,7
2023-05-09 13:06:00,685,36.6286,36.63,36.63,36.63,36.63,5
2023-05-09 13:07:00,150,36.59,36.59,36.59,36.59,36.59,2
2023-05-09 13:08:00,376,36.5713,36.57,36.57,36.57,36.57,5
2023-05-09 13:09:00,665,36.58,36.58,36.58,36.58,36.58,6
2023-05-09 13:10:00,302,36.58,36.58,36.58,36.58,36.58,2
2023-05-09 13:21:00,25004,36.62,36.62,36.62,36.62,36.62,3
2023-05-09 13:25:00,209,36.6324,36.63,36.63,36.63,36.63,5
2023-05-09 13:26:00,500,36.63,36.63,36.63,36.63,36.63,2
2023-05-09 13:28:00,1024,36.7,36.7,36.7,36.7,36.7,9
2023-05-09 13:29:00,6904,36.6826,36.69,36.67,36.69,36.67,15
