t,v,vw,o,c,h,l,n
2023-08-21 13:30:00,8755,30.248,30.455,30.315,30.455,30.1436,117
2023-08-21 13:31:00,1031,30.3325,30.27,30.49,30.49,30.27,11
2023-08-21 13:32:00,1731,30.5115,30.5,30.66,30.66,30.47,18
2023-08-21 13:33:00,1670,30.5576,30.5598,30.58,30.58,30.45,24
2023-08-21 13:34:00,891,30.7,30.585,30.75,30.76,30.585,16
2023-08-21 13:35:00,11291,30.7937,30.77,30.8,30.8,30.6985,33
2023-08-21 13:36:00,693,30.7288,30.6396,30.7485,30.7999,30.6396,11
2023-08-21 13:38:00,700,30.7032,30.5808,30.73,30.73,30.5808,28
2023-08-21 13:39:00,2100,30.7104,30.675,30.72,30.76,30.64,31
2023-08-21 13:40:00,436,30.6694,30.624,30.6808,30.6808,30.624,17
2023-08-21 13:41:00,538,30.6695,30.675,30.67,30.675,30.67,27
2023-08-21 13:42:00,227,30.6278,30.63,30.63,30.63,30.63,13
2023-08-21 13:43:00,289,30.632,30.63,30.63,30.63,30.63,18
2023-08-21 13:44:00,514,30.6076,30.61,30.62,30.625,30.61,15
2023-08-21 13:45:00,163,30.5713,30.55,30.55,30.55,30.55,10
2023-08-21 13:47:00,484,30.6007,30.605,30.605,30.605,30.605,10
2023-08-21 13:48:00,756,30.5927,30.55,30.615,30.615,30.55,15
2023-08-21 13:49:00,616,30.6104,30.625,30.62,30.625,30.6,17
2023-08-21 13:52:00,1338,30.5785,30.63,30.565,30.63,30.55,26
2023-08-21 13:53:00,889,30.5159,30.5474,30.51,30.5474,30.51,18
2023-08-21 13:54:00,306,30.5265,30.525,30.525,30.525,30.525,3
2023-08-21 13:55:00,1713,30.5771,30.5013,30.63,30.63,30.5013,56
2023-08-21 13:56:00,1887,30.7182,30.71,30.79,30.79,30.701,36
2023-08-21 13:57:00,1937,30.8468,30.79,30.77,30.92,30.77,31
2023-08-21 13:58:00,4345,30.9789,30.94,31.05,31.05,30.91,70
2023-08-21 13:59:00,5153,30.9769,31.005,30.92,31.03,30.92,47
2023-08-21 14:00:00,841,30.9107,30.88,30.91,30.9325,30.86,23
2023-08-21 14:01:00,492,30.9162,30.9799,30.94,30.9799,30.86,10
2023-08-21 14:02:00,947,30.8826,30.89,30.89,30.89,30.89,21
2023-08-21 14:04:00,1470,30.904,30.92,30.9103,30.93,30.8474,11
2023-08-21 14:05:00,386,30.8774,30.84,30.84,30.84,30.84,9
2023-08-21 14:06:00,393,30.8767,30.885,30.84,30.885,30.84,12
2023-08-21 14:07:00,584,30.9207,30.93,30.93,30.93,30.93,22
2023-08-21 14:08:00,973,30.9054,30.885,30.8606,30.9299,30.8606,18
2023-08-21 14:09:00,1343,30.9145,30.89,30.91,30.94,30.89,36
2023-08-21 14:10:00,1037,30.8691,30.9399,30.8775,30.9399,30.85,24
2023-08-21 14:11:00,2153,30.8177,30.855,30.9,30.9,30.8001,21
2023-08-21 14:12:00,1308,30.9092,30.92,30.9,30.92,30.9,32
2023-08-21 14:13:00,1294,30.9135,30.91,30.8954,30.94,30.8954,44
2023-08-21 14:14:00,1083,30.9093,30.89,30.91,30.92,30.89,32
2023-08-21 14:15:00,1075,30.8807,30.86,30.88,30.88,30.86,25
2023-08-21 14:16:00,354,30.895,30.89,30.89,30.89,30.89,12
2023-08-21 14:18:00,1307,30.9105,30.91,30.91,30.91,30.91,35
2023-08-21 14:19:00,384,30.9109,30.9,30.9,30.9,30.9,8
2023-08-21 14:20:00,1249,30.9353,30.93,30.96,30.96,30.93,39
2023-08-21 14:21:00,1913,30.9929,30.9908,31.0,31.0,30.98,31
2023-08-21 14:22:00,1951,30.965,30.96,30.99,30.99,30.95,38
2023-08-21 14:23:00,187,30.9764,30.975,30.975,30.975,30.975,9
2023-08-21 14:24:00,5119,30.9335,30.975,30.91,30.975,30.91,69
2023-08-21 14:25:00,948,30.8833,30.89,30.865,30.89,30.865,26
2023-08-21 14:26:00,309,30.8177,30.83,30.83,30.83,30.7936,10
