t,v,vw,o,c,h,l,n
2023-05-25 08:21:00,1022,2.5942,2.58,2.6,2.6,2.58,7
2023-05-25 11:00:00,200,2.5857,2.59,2.59,2.59,2.59,6
2023-05-25 11:06:00,350,2.56,2.56,2.56,2.56,2.56,1
2023-05-25 11:07:00,100,2.55,2.55,2.55,2.55,2.55,1
2023-05-25 11:16:00,300,2.5867,2.59,2.58,2.59,2.58,3
2023-05-25 11:53:00,453,2.56,2.56,2.56,2.56,2.56,5
2023-05-25 11:56:00,400,2.56,2.56,2.56,2.56,2.56,2
2023-05-25 12:00:00,9494,2.5533,2.53,2.56,2.59,2.53,29
2023-05-25 12:01:00,1439,2.5283,2.57,2.51,2.57,2.51,5
2023-05-25 12:05:00,700,2.5661,2.58,2.56,2.58,2.56,3
2023-05-25 12:08:00,132,2.5502,2.55,2.55,2.55,2.55,2
2023-05-25 12:09:00,1420,2.5501,2.55,2.55,2.55,2.55,2
2023-05-25 12:13:00,400,2.58,2.58,2.58,2.58,2.58,1
2023-05-25 12:16:00,2500,2.58,2.58,2.58,2.58,2.58,1
2023-05-25 12:17:00,303,2.55,2.55,2.55,2.55,2.55,2
2023-05-25 12:18:00,3501,2.58,2.58,2.58,2.58,2.58,2
2023-05-25 12:25:00,539,2.5707,2.57,2.57,2.57,2.57,3
2023-05-25 12:29:00,310,2.5734,2.57,2.57,2.57,2.57,4
2023-05-25 12:32:00,801,2.57,2.57,2.57,2.57,2.57,2
2023-05-25 12:34:00,1129,2.57,2.57,2.57,2.57,2.57,7
2023-05-25 12:37:00,101,2.56,2.56,2.56,2.56,2.56,2
2023-05-25 12:43:00,3017,2.5824,2.57,2.59,2.59,2.57,18
2023-05-25 12:45:00,1355,2.5863,2.59,2.58,2.59,2.58,4
2023-05-25 12:46:00,7051,2.58,2.58,2.58,2.58,2.58,3
2023-05-25 12:50:00,1926,2.58,2.58,2.58,2.58,2.58,2
2023-05-25 12:52:00,3745,2.59,2.59,2.59,2.59,2.59,5
2023-05-25 12:54:00,101,2.5999,2.6,2.6,2.6,2.6,2
2023-05-25 12:56:00,4310,2.6,2.6,2.6,2.6,2.6,10
2023-05-25 12:58:00,2250,2.6089,2.6,2.61,2.61,2.6,4
2023-05-25 13:09:00,100,2.6,2.6,2.6,2.6,2.6,1
2023-05-25 13:10:00,915,2.5998,2.6,2.6,2.6,2.6,2
2023-05-25 13:11:00,200,2.6096,2.6096,2.6096,2.6096,2.6096,1
2023-05-25 13:15:00,234,2.591,2.59,2.59,2.59,2.59,4
2023-05-25 13:20:00,1900,2.6053,2.61,2.6,2.61,2.6,3
2023-05-25 13:22:00,400,2.61,2.61,2.61,2.61,2.61,1
2023-05-25 13:23:00,200,2.61,2.61,2.61,2.61,2.61,1
2023-05-25 13:24:00,100,2.6,2.6,2.6,2.6,2.6,1
2023-05-25 13:25:00,2550,2.59,2.59,2.59,2.59,2.59,14
2023-05-25 13:30:00,34241,2.5499,2.58,2.565,2.58,2.52,49
2023-05-25 13:31:00,38520,2.5776,2.56,2.58,2.6,2.555,151
2023-05-25 13:32:00,3436,2.5799,2.58,2.58,2.58,2.575,24
2023-05-25 13:33:00,32084,2.5958,2.575,2.59,2.61,2.575,97
2023-05-25 13:34:00,15376,2.5974,2.59,2.598,2.61,2.59,82
2023-05-25 13:35:00,35563,2.6008,2.591,2.62,2.62,2.585,94
2023-05-25 13:36:00,6287,2.6169,2.61,2.625,2.63,2.605,22
2023-05-25 13:37:00,57062,2.5984,2.6281,2.59,2.6281,2.585,58
2023-05-25 13:38:00,26646,2.5779,2.595,2.58,2.595,2.57,48
2023-05-25 13:39:00,4711,2.5702,2.58,2.56,2.58,2.56,29
2023-05-25 13:40:00,15329,2.5671,2.566,2.556,2.575,2.555,54
2023-05-25 13:41:00,6944,2.5532,2.551,2.545,2.56,2.545,30
2023-05-25 13:42:00,7599,2.5297,2.54,2.51,2.54,2.51,40
2023-05-25 13:43:00,7794,2.5003,2.51,2.4927,2.51,2.49,59
2023-05-25 13:45:00,2668,2.4926,2.49,2.495,2.5,2.49,29
2023-05-25 13:46:00,976,2.4973,2.495,2.4999,2.4999,2.495,12
2023-05-25 13:47:00,20418,2.5011,2.5,2.5,2.51,2.495,84
2023-05-25 13:48:00,8155,2.4938,2.5,2.49,2.5,2.485,38
2023-05-25 13:49:00,5296,2.4836,2.48,2.49,2.49,2.48,32
2023-05-25 13:50:00,36802,2.4623,2.49,2.47,2.49,2.46,39
2023-05-25 13:51:00,3274,2.4881,2.47,2.5,2.5,2.47,26
2023-05-25 13:52:00,4487,2.5008,2.49,2.5093,2.5095,2.49,25
2023-05-25 13:53:00,4593,2.4987,2.505,2.51,2.51,2.49,25
2023-05-25 13:54:00,27949,2.5059,2.505,2.52,2.52,2.495,85
2023-05-25 13:55:00,21185,2.5127,2.5199,2.505,2.53,2.5,44
2023-05-25 13:56:00,13599,2.4901,2.5,2.49,2.5,2.485,31
2023-05-25 13:57:00,2131,2.5009,2.5,2.505,2.505,2.5,15
2023-05-25 13:58:00,1760,2.5018,2.5,2.4999,2.51,2.495,15
2023-05-25 13:59:00,4486,2.4822,2.49,2.49,2.49,2.48,29
2023-05-25 14:00:00,2287,2.4966,2.49,2.505,2.505,2.49,35
2023-05-25 14:01:00,5475,2.4895,2.505,2.485,2.505,2.485,38
2023-05-25 14:02:00,16238,2.4875,2.485,2.5,2.5,2.48,57
2023-05-25 14:03:00,3063,2.4931,2.495,2.5,2.5,2.49,14
2023-05-25 14:04:00,13151,2.4892,2.49,2.495,2.5005,2.475,81
2023-05-25 14:05:00,2498,2.5038,2.5087,2.49,2.51,2.49,14
2023-05-25 14:06:00,1032,2.4804,2.485,2.475,2.485,2.475,11
2023-05-25 14:07:00,3528,2.4754,2.475,2.475,2.48,2.475,14
2023-05-25 14:08:00,1600,2.4691,2.47,2.465,2.47,2.465,12
2023-05-25 14:09:00,6408,2.4705,2.465,2.4701,2.4738,2.465,21
2023-05-25 14:10:00,5352,2.468,2.478,2.46,2.478,2.46,20
2023-05-25 14:11:00,7230,2.4598,2.462,2.46,2.4638,2.455,40
2023-05-25 14:12:00,2196,2.4521,2.4592,2.4527,2.4592,2.45,23
2023-05-25 14:13:00,11196,2.4508,2.455,2.445,2.46,2.445,48
2023-05-25 14:14:00,3857,2.4491,2.4494,2.445,2.45,2.445,34
2023-05-25 14:15:00,8191,2.4408,2.445,2.45,2.45,2.4338,34
2023-05-25 14:16:00,10604,2.44,2.445,2.44,2.445,2.435,34
2023-05-25 14:17:00,2295,2.4429,2.445,2.44,2.4499,2.44,16
2023-05-25 14:18:00,3708,2.4394,2.435,2.44,2.44,2.4301,25
2023-05-25 14:19:00,2794,2.438,2.44,2.435,2.44,2.435,15
2023-05-25 14:20:00,1661,2.4293,2.43,2.425,2.43,2.425,19
2023-05-25 14:21:00,10316,2.4236,2.43,2.435,2.435,2.42,34
2023-05-25 14:22:00,7875,2.4336,2.43,2.44,2.448,2.425,48
2023-05-25 14:23:00,2916,2.4384,2.44,2.43,2.44,2.43,18
2023-05-25 14:24:00,4972,2.4298,2.43,2.425,2.43,2.425,25
2023-05-25 14:25:00,13322,2.4277,2.4293,2.4209,2.43,2.4209,14
2023-05-25 14:26:00,1881,2.4236,2.43,2.43,2.43,2.42,11
2023-05-25 14:27:00,9142,2.4388,2.43,2.44,2.44,2.43,43
2023-05-25 14:28:00,11842,2.4475,2.4492,2.45,2.45,2.44,27
2023-05-25 14:29:00,19171,2.4582,2.445,2.46,2.46,2.445,56
2023-05-25 14:30:00,6867,2.4554,2.4688,2.45,2.4688,2.445,45
2023-05-25 14:31:00,9333,2.4529,2.4429,2.44,2.46,2.44,34
2023-05-25 14:32:00,9616,2.441,2.44,2.45,2.45,2.4311,30
2023-05-25 14:33:00,106,2.445,2.445,2.445,2.445,2.445,3
2023-05-25 14:34:00,1964,2.4455,2.445,2.445,2.45,2.445,19
2023-05-25 14:35:00,1437,2.4425,2.445,2.445,2.445,2.44,11
2023-05-25 14:36:00,6965,2.4484,2.445,2.445,2.45,2.445,23
2023-05-25 14:37:00,1415,2.4451,2.445,2.445,2.445,2.445,10
