t,v,vw,o,c,h,l,n
2023-12-19 09:39:00,360,125.8999,125.9,125.9,125.9,125.9,4
2023-12-19 12:00:00,236,124.7927,124.81,124.81,124.81,124.81,7
2023-12-19 12:15:00,456,125.5594,125.5,125.6,125.6,125.5,6
2023-12-19 13:21:00,228,125.8985,125.96,125.96,125.96,125.96,8
2023-12-19 13:26:00,446,126.1038,126.15,126.15,126.15,126.15,5
2023-12-19 13:42:00,300,127.31,127.31,127.31,127.31,127.31,1
2023-12-19 13:44:00,785,126.6301,126.61,126.6,126.61,126.6,16
2023-12-19 13:45:00,471,126.3389,126.31,126.31,126.31,126.31,4
2023-12-19 13:47:00,201,126.6497,126.6499,126.6499,126.6499,126.6499,2
2023-12-19 13:49:00,608,126.3026,126.3,126.3,126.3,126.3,4
2023-12-19 13:51:00,390,126.2071,126.21,126.2,126.21,126.2,5
2023-12-19 13:54:00,400,126.24,126.24,126.24,126.24,126.24,1
2023-12-19 14:13:00,100,125.87,125.87,125.87,125.87,125.87,1
2023-12-19 14:22:00,1000,125.3664,125.31,125.3,125.4,125.3,8
2023-12-19 14:29:00,100,125.5,125.5,125.5,125.5,125.5,1
2023-12-19 14:30:00,59939,125.5281,125.56,125.17,125.62,125.09,232
2023-12-19 14:31:00,16951,125.4932,125.16,125.865,125.96,125.04,232
2023-12-19 14:32:00,26589,126.041,126.0,126.32,126.35,125.85,324
2023-12-19 14:33:00,5864,126.341,126.49,126.25,126.52,126.19,109
2023-12-19 14:34:00,9212,125.8808,126.15,125.78,126.15,125.56,170
2023-12-19 14:35:00,13807,126.0052,125.88,125.96,126.23,125.88,246
2023-12-19 14:36:00,10640,125.7637,125.93,125.71,126.0,125.61,158
2023-12-19 14:37:00,20716,125.8219,125.71,126.08,126.08,125.56,363
2023-12-19 14:38:00,12770,125.9235,126.055,125.76,126.17,125.66,250
2023-12-19 14:39:00,11609,125.7294,125.66,125.835,125.85,125.54,235
2023-12-19 14:40:00,7535,126.0343,125.91,126.11,126.14,125.91,119
2023-12-19 14:41:00,18294,126.1412,126.08,126.49,126.52,125.93,204
2023-12-19 14:42:00,6460,126.5627,126.48,126.68,126.68,126.4001,92
2023-12-19 14:43:00,26436,126.7926,126.69,126.84,126.97,126.62,247
2023-12-19 14:44:00,5583,126.8685,126.89,126.885,126.89,126.7893,105
2023-12-19 14:45:00,7536,126.8049,126.82,126.805,126.88,126.74,121
2023-12-19 14:46:00,8129,127.1306,126.805,127.44,127.45,126.805,163
2023-12-19 14:47:00,10816,127.6917,127.35,127.7775,127.85,127.35,176
2023-12-19 14:48:00,20426,127.7312,127.775,127.485,127.95,127.42,336
2023-12-19 14:49:00,5911,127.582,127.485,127.67,127.7,127.485,114
