t,v,vw,o,c,h,l,n
2024-03-18 11:45:00,419,20.181,20.18,20.19,20.19,20.18,6
2024-03-18 12:13:00,100,20.15,20.15,20.15,20.15,20.15,1
2024-03-18 12:49:00,172,20.28,20.28,20.28,20.28,20.28,1
2024-03-18 13:08:00,100,20.2897,20.2897,20.2897,20.2897,20.2897,1
2024-03-18 13:30:00,16207,20.07,20.07,20.1,20.1,20.07,65
2024-03-18 13:31:00,876,20.0441,20.09,20.02,20.09,20.02,22
2024-03-18 13:32:00,788,20.0352,20.03,20.08,20.08,20.02,15
2024-03-18 13:34:00,692,20.1069,20.12,20.1,20.12,20.1,9
2024-03-18 13:35:00,1904,20.1015,20.13,20.08,20.13,20.08,24
2024-03-18 13:36:00,3007,20.1044,20.09,20.07,20.14,20.07,73
2024-03-18 13:37:00,2891,20.1053,20.105,20.1,20.11,20.1,72
2024-03-18 13:38:00,2660,20.0839,20.1,20.0725,20.1,20.07,45
2024-03-18 13:39:00,7186,20.0442,20.07,20.01,20.0703,20.01,59
2024-03-18 13:40:00,5164,20.0153,20.005,20.03,20.03,20.0,50
2024-03-18 13:41:00,846,20.0291,20.03,20.025,20.03,20.025,23
2024-03-18 13:42:00,3367,20.0657,20.04,20.075,20.08,20.04,56
2024-03-18 13:43:00,1126,20.0773,20.08,20.095,20.095,20.0695,35
2024-03-18 13:44:00,9381,20.103,20.105,20.09,20.115,20.09,80
2024-03-18 13:45:00,6572,20.095,20.1,20.085,20.11,20.08,50
2024-03-18 13:46:00,3504,20.0877,20.085,20.085,20.095,20.08,29
2024-03-18 13:47:00,3225,20.071,20.09,20.0699,20.09,20.05,33
2024-03-18 13:48:00,6177,20.1129,20.08,20.125,20.13,20.08,84
2024-03-18 13:49:00,5584,20.1388,20.12,20.14,20.15,20.12,58
2024-03-18 13:50:00,1365,20.158,20.15,20.16,20.16,20.15,27
2024-03-18 13:51:00,1495,20.1578,20.15,20.17,20.17,20.15,36
2024-03-18 13:52:00,3283,20.2144,20.19,20.24,20.24,20.19,40
2024-03-18 13:53:00,5270,20.2243,20.245,20.21,20.245,20.21,65
2024-03-18 13:54:00,4006,20.2157,20.2,20.224,20.225,20.2,28
2024-03-18 13:55:00,4268,20.2312,20.23,20.22,20.245,20.22,45
2024-03-18 13:56:00,303,20.229,20.23,20.23,20.23,20.23,17
2024-03-18 13:57:00,2521,20.2482,20.25,20.25,20.25,20.2409,17
2024-03-18 13:58:00,1177,20.2461,20.25,20.255,20.255,20.25,22
2024-03-18 13:59:00,1039,20.2565,20.25,20.2587,20.2587,20.25,19
2024-03-18 14:00:00,15008,20.2531,20.255,20.25,20.265,20.245,82
2024-03-18 14:01:00,723,20.2405,20.25,20.23,20.25,20.23,20
2024-03-18 14:03:00,2271,20.224,20.2301,20.22,20.2301,20.21,37
2024-03-18 14:04:00,10514,20.2443,20.225,20.25,20.25,20.225,42
2024-03-18 14:05:00,2891,20.2534,20.2698,20.24,20.2698,20.24,29
2024-03-18 14:06:00,1802,20.2337,20.245,20.23,20.245,20.23,32
2024-03-18 14:07:00,857,20.2481,20.245,20.25,20.25,20.245,26
2024-03-18 14:09:00,2331,20.2664,20.26,20.27,20.27,20.26,39
2024-03-18 14:10:00,1562,20.2767,20.27,20.2799,20.2799,20.27,17
2024-03-18 14:11:00,1726,20.2849,20.28,20.2899,20.29,20.28,33
2024-03-18 14:12:00,2602,20.2954,20.3,20.31,20.31,20.29,52
2024-03-18 14:13:00,1598,20.3056,20.31,20.31,20.31,20.3,27
2024-03-18 14:14:00,1820,20.3185,20.31,20.32,20.325,20.31,36
2024-03-18 14:15:00,1519,20.3186,20.31,20.32,20.32,20.31,24
2024-03-18 14:16:00,270,20.3167,20.33,20.33,20.33,20.33,10
2024-03-18 14:17:00,2161,20.3376,20.33,20.345,20.35,20.33,38
2024-03-18 14:18:00,8951,20.3481,20.34,20.37,20.37,20.34,65
2024-03-18 14:19:00,987,20.3658,20.37,20.38,20.38,20.361,20
2024-03-18 14:20:00,1995,20.3806,20.39,20.375,20.39,20.375,30
2024-03-18 14:21:00,2222,20.3708,20.3767,20.3699,20.3767,20.365,46
2024-03-18 14:22:00,3496,20.3801,20.375,20.39,20.39,20.375,32
2024-03-18 14:23:00,845,20.3885,20.395,20.4,20.4,20.395,12
2024-03-18 14:24:00,981,20.4017,20.4,20.4,20.41,20.4,26
2024-03-18 14:25:00,1985,20.3898,20.4,20.39,20.4,20.39,27
2024-03-18 14:26:00,1728,20.3909,20.39,20.39,20.4,20.39,35
2024-03-18 14:27:00,1665,20.3906,20.395,20.3888,20.395,20.3888,22
2024-03-18 14:28:00,6781,20.3897,20.3809,20.395,20.395,20.3809,17
2024-03-18 14:29:00,1469,20.3925,20.39,20.395,20.4,20.39,26
2024-03-18 14:30:00,3049,20.4023,20.395,20.41,20.41,20.395,42
2024-03-18 14:31:00,3364,20.4025,20.41,20.39,20.41,20.39,50
2024-03-18 14:32:00,2663,20.3894,20.39,20.4,20.4,20.38,38
2024-03-18 14:33:00,2193,20.408,20.4,20.41,20.41,20.4,31
2024-03-18 14:34:00,2107,20.4208,20.42,20.425,20.43,20.42,25
2024-03-18 14:35:00,1834,20.4243,20.425,20.425,20.425,20.42,16
