t,v,vw,o,c,h,l,n
2023-05-17 11:37:00,100,10.15,10.15,10.15,10.15,10.15,1
2023-05-17 11:40:00,300,10.15,10.15,10.15,10.15,10.15,1
2023-05-17 11:48:00,100,10.11,10.11,10.11,10.11,10.11,1
2023-05-17 12:00:00,1005,10.1538,10.13,10.16,10.16,10.13,21
2023-05-17 12:05:00,108,10.1281,10.1291,10.1291,10.1291,10.1291,3
2023-05-17 12:23:00,100,10.12,10.12,10.12,10.12,10.12,1
2023-05-17 12:27:00,500,10.1,10.1,10.1,10.1,10.1,8
2023-05-17 12:28:00,668,10.12,10.12,10.12,10.12,10.12,9
2023-05-17 12:29:00,800,10.1,10.1,10.1,10.1,10.1,1
2023-05-17 12:51:00,250,10.106,10.1,10.11,10.11,10.1,3
2023-05-17 12:55:00,150,10.1076,10.11,10.11,10.11,10.11,3
2023-05-17 13:13:00,105,10.15,10.15,10.15,10.15,10.15,2
2023-05-17 13:21:00,275,10.1113,10.1113,10.1113,10.1113,10.1113,1
2023-05-17 13:25:00,295,10.0972,10.12,10.09,10.12,10.09,8
2023-05-17 13:27:00,351,10.1387,10.14,10.14,10.14,10.14,4
2023-05-17 13:28:00,670,10.0164,10.02,10.04,10.04,10.01,17
2023-05-17 13:30:00,56572,9.9926,9.99,10.07,10.07,9.99,156
2023-05-17 13:31:00,4516,10.077,10.09,10.11,10.11,10.051,58
2023-05-17 13:32:00,2727,10.1537,10.14,10.1473,10.18,10.14,40
2023-05-17 13:33:00,4463,10.1347,10.11,10.15,10.1799,10.11,39
2023-05-17 13:34:00,6722,10.1757,10.16,10.2,10.2,10.16,79
2023-05-17 13:35:00,5401,10.185,10.2,10.1633,10.21,10.1633,67
2023-05-17 13:36:00,5020,10.1669,10.185,10.1882,10.1882,10.14,66
2023-05-17 13:37:00,6035,10.1595,10.19,10.1592,10.19,10.14,45
2023-05-17 13:38:00,3205,10.1705,10.16,10.1757,10.19,10.16,37
2023-05-17 13:39:00,7771,10.1981,10.19,10.21,10.21,10.18,68
2023-05-17 13:40:00,12114,10.17,10.2,10.13,10.2,10.13,96
2023-05-17 13:41:00,2319,10.1667,10.15,10.18,10.18,10.14,35
2023-05-17 13:42:00,7274,10.1931,10.2,10.21,10.21,10.1655,60
2023-05-17 13:43:00,9153,10.2492,10.19,10.29,10.29,10.18,92
2023-05-17 13:44:00,5242,10.2829,10.29,10.27,10.295,10.25,52
2023-05-17 13:45:00,20398,10.2999,10.28,10.29,10.31,10.265,192
2023-05-17 13:46:00,2120,10.2844,10.285,10.275,10.3,10.275,30
2023-05-17 13:47:00,2607,10.2753,10.27,10.27,10.28,10.2617,25
2023-05-17 13:48:00,8728,10.2787,10.28,10.29,10.29,10.25,72
2023-05-17 13:49:00,5415,10.2324,10.25,10.23,10.2525,10.215,59
2023-05-17 13:50:00,2863,10.2473,10.24,10.25,10.26,10.24,43
2023-05-17 13:51:00,6872,10.2657,10.25,10.25,10.28,10.25,85
2023-05-17 13:52:00,1789,10.2697,10.26,10.28,10.28,10.26,37
2023-05-17 13:53:00,29013,10.3046,10.28,10.3014,10.31,10.28,250
2023-05-17 13:54:00,8815,10.2915,10.31,10.28,10.31,10.27,77
2023-05-17 13:55:00,9997,10.3037,10.29,10.32,10.33,10.29,88
2023-05-17 13:56:00,13917,10.3092,10.315,10.3027,10.33,10.29,91
2023-05-17 13:57:00,9482,10.3132,10.31,10.31,10.32,10.31,101
2023-05-17 13:58:00,15491,10.3096,10.3009,10.31,10.32,10.297,78
2023-05-17 13:59:00,17787,10.2344,10.2985,10.1813,10.2985,10.1813,117
2023-05-17 14:00:00,5846,10.1659,10.18,10.15,10.19,10.15,82
2023-05-17 14:01:00,4093,10.1771,10.155,10.21,10.21,10.155,57
2023-05-17 14:02:00,516,10.2207,10.21,10.228,10.228,10.21,8
2023-05-17 14:03:00,4646,10.2181,10.22,10.2,10.2416,10.19,64
2023-05-17 14:04:00,243,10.1903,10.19,10.19,10.19,10.19,9
2023-05-17 14:05:00,2595,10.177,10.19,10.1501,10.19,10.1501,40
2023-05-17 14:06:00,4299,10.1728,10.16,10.2,10.2,10.15,69
